,quinault-alceste,quinault-isis,Cost,Operation Type
98,"('#choeur-des-thessaliens', 'Au secours, au secours. ')","('#jupiter', 'Quoi si tôt.')",1.64,Substitution
99,"('#thetis', ""Époux infortuné, redoute ma colère,  Tu vas hâter l'instant qui doit finir tes jours ;  C'est Thétis que la Mer révère,  Que tu vois contre toi du parti de son Frère.  Et c'est à la mort que tu cours. "")","('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",0.91,Substitution
100,"('#admete', 'Au secours, au secours. ')","('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",1.56,Substitution
101,"('#thetis', ""Puisqu'on méprise ma puissance ;  Que les vents déchaînés,  Que les flots mutinés  S'arment pour ma vengeance.  THETIS rentre dans la Mer, et les Aquilons excitent une tempête qui agite les Vaisseaux qui s'efforcent de poursuivre LICOMÈDE. "")","('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.33,Substitution
102,"('#eole', ""Le Ciel protège les Héros :  Allez Admète, allez Alcide ;  Le Dieu qui sur les Dieux préside  M'ordonne de calmer les flots :  Allez, poursuivez un Perfide.  Retirez-vous,  Vents en courroux,  Rentrez dans vos prisons profondes :  Et laissez régner sur les ondes  Les Zéphyrs les plus doux.  L'orage cesse, les Zéphyrs volent et font fuir les Aquilons qui tombent dans la Mer avec les nuages qu'ils en avaient élevés, et les Vaisseaux d'ALCIDE et d'ADMÈTE poursuivent LICOMÈDE."")","('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",1.44,Substitution
103,"('#cephise', 'Alceste ne vient point, et nous devons attendre. ')",,1.0,Insertion
104,"('#straton', ""Que peut-elle prétendre ?  Pourquoi se tourmenter ici mal à propos ?  Ses cris ont beau se faire entendre,  Peut-être son Époux a péri dans les flots,  Et nous sommes enfin dans l'Île de Scyros. "")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",0.7,Substitution
105,,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",1.0,Deletion
106,"('#cephise', ""Tu ne te plaindras point que j'en use de même :  Je t'ai donné peu d'embarras  Tu vois comme je suis tes pas. "")","('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.21,Substitution
107,,"('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",1.0,Deletion
108,"('#straton', 'Tu sais dissimuler une colère extrême. ')","('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.68,Substitution
109,"('#cephise', ""Et si je te disais que c'est toi seul que j'aime ? "")","('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",0.65,Substitution
110,"('#straton', 'Tu le dirais en vain, je ne te croirais pas.')","('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",0.0,Match
111,"('#cephise', ""Crois-moi, si j'ai feint de changer  C'était pour te mieux engager. Un Rival n'est pas inutile,  Il réveille l'ardeur et les soins d'un Amant ;  Une conquête facile  Donne peu d'empressement,  Et l'Amour tranquille  S'endort aisément. "")","('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",1.32,Substitution
112,"('#straton', ""Non, non, ne tente point une seconde ruse,  Je vois plus clair que tu ne crois.  On excuse d'abord un Amant qu'on abuse ;  Mais la sottise est sans excuse,  De se laisser tromper deux fois. "")","('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",0.97,Substitution
113,"('#cephise', ""N'est-il aucun moyen d'apaiser ta colère ? "")",,1.0,Insertion
114,"('#straton', ""Consens à m'épouser, et sans retardement. "")","('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.03,Substitution
115,"('#cephise', ""Une si grande affaire  Ne se fait pas si promptement :  Un hymen qu'on diffère  N'en est que plus charmant. "")","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",1.38,Substitution
116,"('#straton', ""Un hymen qui peut plaire  Ne coûte guère,  Et c'est un noeud bientôt formé ;  Rien n'est plus aisé que de faire  Un Époux, d'un Amant aimé. "")","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",0.79,Substitution
117,,"('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",1.0,Deletion
118,"('#cephise', ""Je t'aime d'un amour sincère ;  Et s'il est nécessaire,  Je m'offre à t'en faire un serment. "")","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",0.29,Substitution
119,"('#straton', 'Amusement, amusement.')","('#mercure', 'Que la feinte entre nous finisse')",1.34,Substitution
120,"('#cephise', ""L'injuste enlèvement d'Alceste  Attire dans ces lieux une guerre funeste,  Les plus braves des Grecs s'arment pour son secours :  Au milieu des cris et des larmes,  L'hymen a peu de charmes ;  Attendons de tranquilles jours.  Le bruit affreux des armes  Effarouche bien les Amours. "")","('#iris', 'Parlons sans mystère en ce jour;')",1.63,Substitution
121,"('#straton', ""Discours, discours, discours.  Tu n'as qu'à m'épouser pour m'ôter tout ombrage ?  Pourquoi différer davantage ?  À quoi servent tant de façons ? "")","('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.01,Substitution
122,,"('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",1.0,Deletion
123,"('#cephise', ""Rends-moi la liberté pour m'épouser sans crainte ;  Un hymen fait avec contrainte  Est un mauvais moyen de finir tes soupçons. "")","('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",0.91,Substitution
124,"('#straton', 'Chansons, chansons, chansons. ')",,1.0,Insertion
125,"('#licomede', 'Allons, allons, la plainte est vaine. ')",,1.0,Insertion
126,"('#alceste', 'Ah ! Quelle rigueur inhumaine ! ')",,1.0,Insertion
127,"('#licomede', 'Allons, je suis sourd à vos cris,  Je me venge de vos mépris. ')","('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.84,Substitution
128,"('#alceste', 'Quoi ! Vous serez inexorable ? ')",,1.0,Insertion
129,"('#licomede', ""Cruelle, vous m'avez appris  À devenir impitoyable. "")",,1.0,Insertion
130,"('#alceste', ""Est-ce ainsi que l'Amour a su vous émouvoir ?  Est-ce ainsi que pour moi votre âme est attendrie ? "")","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",1.1,Substitution
131,"('#licomede', ""L'Amour se change en Furie,  Quand il est au désespoir ;  Puisque je perds toute espérance,  Je veux désespérer mon rival à son tour ;  Et les douceurs de la Vengeance  Ont de quoi consoler des rigueurs de l'Amour. "")","('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",0.94,Substitution
132,"('#alceste', ""Voyez la douleur qui m'accable. "")",,1.0,Insertion
133,"('#licomede', ""Vous avez sans pitié regardé ma douleur,  Vous m'avez rendu misérable,  Vous partagerez mon malheur. "")","('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')",1.02,Substitution
134,"('#alceste', ""Admète avait mon coeur dès ma plus tendre enfance ;  Nous ne connaissions pas l'Amour ni sa puissance.  Lorsque d'un noeud fatal il vint nous enchaîner :  Ce n'est pas une grande offense  Que le refus d'un coeur qui n'est plus à donner. "")","('#iris', ""J'ai cherché vainement la fille d'Inachus."")",1.66,Substitution
135,"('#licomede', ""Est-ce aux Amants qu'on désespère  À devoir rien examiner ?  Non, je ne puis vous pardonner  D'avoir trop su me plaire.  Que ne m'ont point coûté vos attraits !  Ils ont mis dans mon coeur une cruelle flamme ;  Ils ont arraché de mon âme  L'innocence et la paix.  Non, Ingrate, non, Inhumaine,  Non, quelque soit votre peine,  Non, je ne vous rendrai jamais  Tous les maux que vous m'avez faits. "")","('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")",0.34,Substitution
136,"('#straton', ""Voici l'Ennemi qui s'avance  En diligence. "")","('#iris', 'Elle honore son maître et brille sous ses pas.')",1.44,Substitution
137,"('#licomede', 'Préparons-nous  À nous défendre. ')","('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",1.83,Substitution
138,"('#alceste', ""Ah ! Cruel, que n'épargnez-vous  Le sang qu'on va répandre ! "")","('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")",1.23,Substitution
139,"('#licomede #soldats', ""Périssons-tous,  Plutôt que de nous rendre.  LICOMÈDE contraint ALCESTE d'entrer dans la Ville, CÉPHISE la suit, et les soldats de LICOMÈDE ferment la Porte de la Ville aussitôt qu'ils y sont entrés. "")",,1.0,Insertion
140,"('#admete #alcide', 'Marchez, marchez, marchez :  Approchez, Amis, approchez,  Marchez, marchez, marchez :  Hâtons-nous de punir les Traîtres,  Rendons-nous maîtres  Des murs qui les tiennent cachés :  Marchez, marchez, marchez : ')",,1.0,Insertion
141,"('#licomede', 'Ne prétendez pas nous surprendre,  Venez, nous allons vous attendre :  Nous ferons tous notre devoir  Pour vous bien recevoir. ')","('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")",0.84,Substitution
142,"('#straton', 'Nous ferons tous notre devoir  Pour vous bien recevoir. ')","('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",0.99,Substitution
143,"('#admete', 'Perfide, évite un sort funeste,  On te pardonne tout si tu veux rendre Alceste. ')",,1.0,Insertion
144,"('#licomede', ""J'aime mieux mourir, s'il le faut,  Que de céder jamais cet Objet plein de charmes. "")","('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")",0.63,Substitution
145,"('#admete #alcide', ""À l'assaut, à l'assaut. "")",,1.0,Insertion
146,"('#licomede #straton', 'Aux Armes, aux Armes.')",,1.0,Insertion
147,"('#les-assiegeants', ""À l'assaut, à l'assaut. "")",,1.0,Insertion
148,"('#les-assieges', 'Aux armes, aux armes.')",,1.0,Insertion
149,"('#admete #licomede', 'À moi, Compagnons, à moi.  À moi, suivez votre Roi. ')","('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")",0.72,Substitution
150,"('#alcide', ""C'est Alcide  Qui vous guide. "")",,1.0,Insertion
151,"('#admete #alcide #licomede', 'À moi, Compagnons, à moi.  On fait avancer des Béliers et autres Machines de guerre  pour battre la Place.')",,1.0,Insertion
152,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')",,1.0,Insertion
153,"('#les-assiegeants', ""Que chacun à l'envi combatte ;  Que l'on abatte  Les Murs, et les Remparts. "")","('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')",1.58,Substitution
154,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')","('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")",1.43,Substitution
155,"('#les-assieges', ""Que les ennemis pêle-mêle,  Trébuchent sous l'affreuse grêle  De nos flèches, et de nos dards. "")","('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")",1.75,Substitution
156,,"('#jupiter', ""La fille d'Inachus."")",1.0,Deletion
157,"('#tous', 'Donnons, donnons de toutes parts.  Courage, courage, courage,  Ils sont à nous, ils sont à nous. ')","('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")",1.24,Substitution
158,"('#alcide', ""C'est trop disputer l'avantage,  Je vais vous ouvrir un passage,  Suivez-moi tous, suivez-moi tous. "")","('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")",0.85,Substitution
159,"('#tous', 'Courage, courage, courage,  Ils sont à nous, ils sont à nous.  Les assiégés voyant leurs Remparts à demi abattus,  et la Porte de la Ville enfoncée,  font un dernier effort dans une Sortie,  pour repousser les Assiégeants. ')",,1.0,Insertion
160,"('#les-assiegeants', ""Achevons d'emporter la Place ;  L'Ennemi commence à plier.  Main basse, main basse, main basse. ."")","('#junon', 'Junon commande Allez, allez, Mercure obéissez.')",1.62,Substitution
161,"('#les-assieges', 'Quartier, quartier, quartier. ')",,1.0,Insertion
162,"('#les-assiegeants', 'La Ville est prise. ')",,1.0,Insertion
163,"('#les-assieges', 'Quartier, quartier, quartier. ')",,1.0,Insertion
164,"('#licas', 'Il faut rendre Céphise. ')",,1.0,Insertion
165,"('#straton', 'Je suis ton prisonnier,  Quartier, quartier, quartier. ')",,1.0,Insertion
166,"('#pheres', ""Courage, Enfants, je suis à vous ;  Mon bras va seconder vos coups :  Mais c'en est déjà fait, et l'on a pris la Ville ;  La faiblesse de l'âge a retardé mes pas :  La valeur devient inutile  Quand la force n'y répond pas.  Que la Vieillesse est lente,  Les efforts qu'elle tente  Sont toujours impuissants :  C'est une charge bien pesante  Qu'un fardeau de quatre-vingts ans. "")","('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")",0.49,Substitution
167,"('#alcide', 'Rendez à votre Fils cette aimable Princesse. ')","('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",1.29,Substitution
168,"('#pheres', 'Ce don de votre main serait encor plus doux. ')",,1.0,Insertion
169,"('#alcide', 'Allez, allez la rendre à son heureux Époux. ')","('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")",0.67,Substitution
170,"('#alceste', 'Tout est soumis, la guerre cesse ;  Seigneur, pourquoi me laissez-vous ?  Quel nouveau soin vous presse ?')","('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")",0.85,Substitution
171,"('#alcide', ""Vous n'avez rien à redouter,  Je vais chercher ailleurs des Tyrans à dompter. "")","('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')",1.14,Substitution
172,"('#alceste', ""Les noeuds d'une amitié pressante  Ne retiendront-ils point votre âme impatiente ?  Et la Gloire vous doit-elle emporter ? "")","('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")",0.78,Substitution
173,"('#alcide', ""Gardez-vous bien de m'arrêter. "")","('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')",1.25,Substitution
174,,"('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")",1.0,Deletion
175,"('#alceste', ""C'est votre valeur triomphante  Qui fait le sort charmant que nous allons goûter ;  Quelque douceur que l'on ressente,  Un ami tel que vous l'augmente ;  Voulez-vous sitôt nous quitter ? "")","('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")",0.31,Substitution
176,,"('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")",1.0,Deletion
177,,"('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')",1.0,Deletion
178,"('#alcide', ""Gardez-vous bien de m'arrêter.  Laissez ; laissez-moi fuir un charme qui m'enchante :  Non, toute ma vertu n'est pas assez puissante  Pour répondre d'y résister.  Non, encore une fois, Princesse trop charmante,  Gardez-vous bien de m'arrêter. "")","('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")",0.25,Substitution
179,"('#tous', 'Cherchons Admète promptement. ')","('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",1.71,Substitution
180,"('#alceste', ""Peut-on chercher ce qu'on aime  Avec trop d'empressement !  Quand l'amour est extrême,  Le moindre éloignement  Est un cruel tourment. "")","('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")",0.54,Substitution
181,"('#tous', 'Cherchons Admète promptement. ')","('#argus', 'Non !')",1.59,Substitution
182,,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')",1.0,Deletion
183,,"('#argus', 'Non, non, on ne la doit point voir')",1.0,Deletion
184,,"('#hierax', 'Quoi ! Junon me devient contraire ?')",1.0,Deletion
185,"('#alceste', 'Ô Dieux ! Quel spectacle funeste ! ')","('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")",1.45,Substitution
186,,"('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")",1.0,Deletion
187,"('#cleante', ""Le chef des Ennemis mourant et terrassé,  De sa rage expirante a ramassé le reste,  Le Roi vient d'en être blessé. "")",,1.0,Insertion
188,"('#admete', 'Je meurs, charmante Alceste ;  Mon sort est assez doux,  Puisque je meurs pour vous. ')","('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")",0.49,Substitution
189,"('#alceste', ""C'est pour vous voir mourir que le Ciel me délivre ! "")","('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")",1.03,Substitution
190,"('#admete', ""Avec le nom de votre Époux  J'eusse été trop heureux de vivre ;  Mon sort est assez doux,  Puisque je meurs pour vous. "")","('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")",1.25,Substitution
191,,"('#hierax', 'Ô Dieux !')",1.0,Deletion
192,"('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ?  Fallait-il que sitôt l'aveugle sort des armes  Tranchât des noeuds si beaux, par un affreux trépas ?  Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")","('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")",0.56,Substitution
193,"('#admete', 'Belle Alceste, ne pleurez pas,  Tout mon sang ne vaut point vos larmes. ')","('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")",0.77,Substitution
194,"('#alceste', ""Est-ce là cet hymen si doux, si plein d'appas,  Qui nous promettait tant de charmes ? "")","('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")",1.12,Substitution
195,,"('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')",1.0,Deletion
196,"('#admete', 'Alceste, vous pleurez ? ')",,1.0,Insertion
197,"('#alceste', 'Admète, vous mourez. ')","('#argus', 'Liberté, liberté.')",1.68,Substitution
198,"('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')","('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')",1.65,Substitution
199,,"('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')",1.0,Deletion
200,,"('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")",1.0,Deletion
201,,"('#hierax #argus', 'Que voulez-vous ?')",1.0,Deletion
202,,"('#choeur-des-nymphes', 'Liberté, liberté.')",1.0,Deletion
203,,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")",1.0,Deletion
204,"('#alceste', ""Se peut-il que le Ciel permette,  Que les coeurs d'Alceste et d'Admète  Soient ainsi séparés ? "")","('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")",1.19,Substitution
205,"('#ensemble', 'Alceste, vous pleurez ?  Admète, vous mourez ! ')","('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",1.82,Substitution
206,"('#apollon', ""La lumière aujourd'hui te doit être ravie ;  Il n'est qu'un seul moyen de prolonger ton sort.  Le Destin me promet de te rendre la vie,  Si quelque autre pour toi veut s'offrir à la mort.  Reconnais si quelqu'un t'aime parfaitement,  Sa mort aura pour prix une immortelle gloire :  Pour en conserver la mémoire,  Les Arts vont élever un pompeux Monument.  Les Arts qui sont autour d'Apollon se séparent sur des Nuages différents, et tous descendent pour élever un Monument superbe, tandis qu'Apollon s'envole. "")","('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")",0.15,Substitution
207,,"('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")",1.0,Deletion
208,"('#alceste', ""Ah ! Pourquoi nous séparez-vous ?  Eh du moins, attendez que la mort nous sépare ;  Cruels, quel pitié barbare  Vous presse d'arracher Alceste à son Époux ?  Ah ! Pourquoi nous séparez-vous ? "")","('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")",1.02,Substitution
209,,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")",1.0,Deletion
210,"('#pheres #cephise', ""Plus votre Époux mourant voit d'amour et d'appas,  Et plus le jour qu'il perd lui doit faire d'envie :  Ce sont les douceurs de la vie  Qui font les horreurs du trépas. "")","('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")",0.9,Substitution
211,"('#alceste', ""Les Arts n'ont point encore achevé leur ouvrage ;  Cet Autel doit porter la glorieuse Image,  De qui signalera sa foi,  En mourant, pour sauver son Roi. Le prix d'une gloire immortelle  Ne peut-il toucher un grand coeur ?  Faut-il que la mort la plus belle  Ne laisse pas de faire peur ?  À quoi sert la foule importune  Dont les Rois sont embarrassés ?  Un coup fatal de la Fortune  Écarte les plus empressés. "")","('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")",0.15,Substitution
212,"('#alceste #pheres #cephise', ""De tant d'amis qu'avait Admète,  Aucun ne vient le secourir ;  Quelque honneur qu'on promette,  On le laisse mourir. "")","('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')",0.99,Substitution
213,"('#pheres', ""J'aime mon Fils, je l'ai fait Roi ;  Pour prolonger son sort, je mourrais sans effroi,  Si je pouvais offrir des jours dignes d'envie :  Je n'ai plus qu'un reste de vie,  Ce n'est rien pour Admète, et c'est beaucoup pour moi. "")","('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")",1.08,Substitution
214,"('#cephise', ""Les honneurs les plus éclatants,  En vain dans le tombeau promettent de nous suivre,  La mort est affreuse en tout temps :  Mais peut-on renoncer à vivre,  Quand on n'a vécu que quinze ans ? "")",,1.0,Insertion
215,"('#alceste', ""Chacun est satisfait des excuses qu'il donne :  Cependant on ne voit personne  Qui, pour sauver Admète, ose perdre le jour ;  Le Devoir, l'Amitié, le Sang, tout l'abandonne,  Il n'a plus d'espoir qu'en l'Amour. "")","('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")",0.67,Substitution
216,"('#pheres', ""Voyons encor mon Fils, allons, hâtons nos pas ;  Ses yeux vont se couvrir d'éternelles ténèbres. "")","('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")",1.46,Substitution
