,musset-lorenzaccio,rostand-cyrano,Cost,Operation Type
448,,"('#cyrano', 'Énorme.')",1.0,Deletion
449,"('#le-prieur', ""Donnez-moi un verre de limonade, brave homme. Il s'assoit."")",,1.0,Insertion
450,"('#un-des-bourgeois', ""Voilà le prieur de Capoue ; c'est là un patriote ! Les deux bourgeois se rassoient."")",,1.0,Insertion
451,"('#le-prieur', ""Vous venez de l'église, messieurs ?  que dites-vous du sermon ?"")","('#le-bret', 'Le Cardinal...')",1.19,Substitution
452,"('#le-bourgeois', 'Il était beau, seigneur Prieur.')","('#cyrano', 'Il était là, le Cardinal ?')",1.28,Substitution
453,,"('#le-bret', 'A dû trouver cela...')",1.0,Deletion
454,,"('#cyrano', 'Mais très original.')",1.0,Deletion
455,,"('#le-bret', 'Pourtant...')",1.0,Deletion
456,"('#deuxieme-bourgeois', ""Cette noblesse des Strozzi est chère au peuple, parce qu'elle n'est pas fière.  N'est-il pas agréable de voir un grand seigneur adresser librement la parole à ses voisins d'une manière affable ?  Tout cela fait plus qu'on ne pense."")","('#cyrano', ""C'est un auteur. Il ne peut lui déplaire Que l'on vienne troubler la pièce d'un confrère."")",1.21,Substitution
457,,"('#le-bret', ""Tu te mets sur les bras, vraiment, trop d'ennemis !"")",1.0,Deletion
458,"('#le-prieur', ""S'il faut parler franchement, j'ai trouvé le sermon trop beau.  J'ai prêché quelquefois, et je n'ai jamais tiré grande gloire du tremblement des vitres !  Mais une petite larme sur la joue d'un brave homme m'a toujours été d'un grand prix. Entre Salviati."")",,1.0,Insertion
459,"('#salviati', ""On m'a dit qu'il y avait ici des femmes qui me demandaient tout à l'heure.  Mais je ne vois de robe ici que la vôtre, Prieur.  Est-ce que je me trompe ?"")","('#cyrano', ""Combien puis-je, à peu près, ce soir, m'en être mis ?"")",1.56,Substitution
460,"('#le-marchand-de-soieries', ""Excellence, on ne Vous a pas trompé.  Elles se sont éloignées ; mais je pense qu'elles vont revenir.  Voilà dix aunes d'étoffes et quatre paires de bas pour elles."")","('#le-bret', 'Quarante-huit. Sans compter les femmes.')",1.54,Substitution
461,"('#salviati', ""Voilà une jolie femme qui passe.  - Où diable l'ai-je donc vue ?  - Ah !  parbleu, c'est dans mon lit."")","('#cyrano', 'Voyons, compte !')",1.74,Substitution
462,"('#le-prieur', 'Je crois avoir vu votre signature sur une lettre adressée au duc.')","('#le-bret', ""Montfleury, le bourgeois, De_Guiche, le vicomte,  Baro, l'Académie..."")",1.46,Substitution
463,"('#le-bourgeois', ""Je le dis tout haut : c'est la supplique adressée par les bannis."")","('#cyrano', 'Assez ! Tu me ravis !')",1.97,Substitution
464,,"('#le-bret', 'Mais où te mènera la façon dont tu vis ? Quel système est le tien ?')",1.0,Deletion
465,,"('#cyrano', ""J'errais dans un méandre ; J'avais trop de partis, trop compliqués, à prendre ; J'ai pris..."")",1.0,Deletion
466,"('#le-prieur', 'En avez-vous dans votre famille ?')","('#le-bret', 'Lequel ?')",0.82,Substitution
467,"('#le-bourgeois', ""Deux, Excellence, mon père et mon oncle.  Il n'y a plus que moi d'homme à la maison."")","('#cyrano', ""Mais le plus simple, de beaucoup. J'ai décidé d'être admirable, en tout, pour tout !"")",1.72,Substitution
468,,"('#le-bret', 'Soit ! - Mais enfin, à moi, le motif de ta haine Pour Montfleury, le vrai, dis-le-moi !')",1.0,Deletion
469,"('#le-deuxieme-bourgeois', 'Comme ce Salviati a une méchante langue !')",,1.0,Insertion
470,"('#l-orfevre', ""Cela n'est pas étonnant ; un homme à moitié ruiné, vivant des générosités de ces Médicis, et marié comme il l'est à une femme déshonorée partout !  Il voudrait qu'on dît de toutes les femmes ce qu'on dit de la sienne."")","('#cyrano', ""Ce Silène,  Si ventru que son doigt n'atteint pas son nombril,  Pour les femmes encor se croit un doux péril,  Et leur fait, cependant qu'en jouant il bredouille,  Des yeux de carpes avec ses gros yeux de grenouilles ! ... Et je le hais depuis qu'il se permit, un soir,  De poser son regard, sur celle... Oh ! J'ai cru voir Glisser sur une fleur une longue limace !"")",0.98,Substitution
471,"('#salviati', ""N'est-ce pas Louise Strozzi qui passe sur ce tertre ?"")","('#le-bret', 'Hein ? Comment ? Serait-il possible ? ...')",1.47,Substitution
472,,"('#cyrano', ""Que j'aimasse ? ... J'aime. Changement de ton et gravement."")",1.0,Deletion
473,"('#le-marchand-de-soieries', 'Elle-même, Seigneurie.  Peu de dames de notre noblesse me sont inconnues.  Si je ne me trompe, elle donne la main à sa soeur cadette.')","('#le-bret', ""Et peut-on savoir ? Tu ne m'as jamais dit ? ..."")",1.11,Substitution
474,"('#salviati', ""J'ai rencontré cette Louise la nuit dernière au bal des Nasi.  Elle a, ma foi, une jolie jambe, et nous devons coucher ensemble au premier jour."")","('#cyrano', ""Qui j'aime ? ... Réfléchis, voyons. Il m'interdit Le rêve d'être aimé même par une laide,  Ce nez qui d'un quart d'heure en tous lieux me précède ; Alors moi, j'aime qui ? ... Mais cela va de soi ! J'aime - mais c'est forcé ! - la plus belle qui soit !"")",1.49,Substitution
475,,"('#le-bret', 'La plus belle ? ...')",1.0,Deletion
476,,"('#cyrano', 'Tout simplement, qui soit au monde ! La plus brillante, la plus fine, La plus blonde ! Avec accablement.')",1.0,Deletion
477,"('#le-prieur', ""Comment l'entendez-vous ?"")","('#le-bret', 'Eh, mon Dieu, quelle est donc cette femme ? ...')",1.58,Substitution
478,"('#salviati', ""Cela est clair, elle me l'a dit.  Je lui tenais l'étrier, ne pensant guère à malice ; je ne sais par quelle distraction je lui pris la jambe, et voilà comme tout est venu."")","('#cyrano', ""Un danger Mortel sans le vouloir, exquis sans y songer. Un piège de nature, une rose muscade Dans laquelle l'amour se tient en embuscade ! Qui connaît son sourire a connu le parfait. Elle fait de la grâce avec rien, elle fait Tenir tout le divin dans un geste quelconque,  Et tu ne saurais pas, Vénus, monter en conque,  Ni toi, Diane, marcher dans les grands bois fleuris,  Comme elle monte en chaise et marche dans Paris !..."")",0.73,Substitution
479,"('#le-prieur', ""Julien, je ne sais pas si tu sais que c'est de ma soeur que tu parles."")","('#le-bret', ""Sapristi ! Je comprends. C'est clair !"")",1.45,Substitution
480,,"('#cyrano', ""C'est diaphane."")",1.0,Deletion
481,"('#salviati', 'Je le sais très bien ; toutes les femmes sont faites pour coucher avec les hommes, et ta soeur peut bien coucher avec moi.')","('#le-bret', 'Magdeleine_Robin, ta cousine !')",1.67,Substitution
482,,"('#cyrano', 'Oui, - Roxane.')",1.0,Deletion
483,"('#le-prieur', 'Vous dois-je quelque chose, brave homme ? Il jette une pièce de monnaie sur la table, et sort.')",,1.0,Insertion
484,"('#salviati', ""J'aime beaucoup ce brave prieur, à qui un propos sur sa soeur, a fait oublier le reste de son argent.  Ne dirait-on pas que toute la vertu de Florence s'est réfugiée chez ces Strozzi ?  Le voilà qui se retourne.  Écarquille les yeux tant que tu voudras, tu ne me feras pas peur."")","('#le-bret', ""Eh bien ! Mais c'est au mieux ! Tu l'aimes ? Dis-le-lui ! Tu t'es couvert de gloire à ses yeux aujourd'hui !"")",1.15,Substitution
485,"('#catherine', ""Le soleil commence à baisser.  De larges bandes de pourpre traversent le feuillage, et la grenouille fait sonner sous les roseaux sa petite cloche de cristal.  C'est une singulière chose que toutes les harmonies du soir avec le bruit lointain de cette ville."")","('#cyrano', ""Regarde-moi, mon cher, et dis quelle espérance Pourrait bien me laisser cette protubérance ! Oh ! Je ne me fais pas d'illusion ! - Parbleu,  Oui, quelquefois, je m'attendris, dans le soir bleu ; J'entre en quelque jardin où l'heure se parfume ; Avec mon pauvre grand diable de nez je hume L'avril ; je suis des yeux, sous un rayon d'argent,  Au bras d'un cavalier, quelque femme, en songeant Que pour marcher, à petits pas, dans de la lune,  Aussi moi j'aimerais au bras en avoir une,  Je m'exalte, j'oublie... et j'aperçois soudain L'ombre de mon profil sur le mur du jardin !"")",0.67,Substitution
486,"('#marie', 'Il est temps de rentrer ; noue ton voile autour de ton cou.')","('#le-bret', 'Mon ami !...')",1.45,Substitution
487,"('#catherine', ""Pas encore, à moins que vous n'ayez froid.  Regardez, ma mère chérie ; que le ciel est beau !  Que tout cela est vaste et tranquille !  Comme Dieu est partout !  Mais vous baissez la tête ; vous êtes inquiète depuis ce matin."")","('#cyrano', ""Mon ami, j'ai de mauvaises heures ! De me sentir si laid, parfois, tout seul..."")",1.41,Substitution
488,"('#marie', ""Inquiète, non, mais affligée.  N'as-tu pas entendu répéter cette fatale histoire de Lorenzo ?  Le voilà la fable de Florence."")","('#le-bret', 'Tu pleures ?')",0.88,Substitution
489,"('#catherine', ""Ô ma mère !  La lâcheté n'est point un crime, le courage n'est pas une vertu ; pourquoi la faiblesse serait-elle blâmable ?  Répondre des battements de son coeur est un triste privilège.  Et pourquoi cet enfant n'aurait-il pas le droit que nous avons toutes, nous autres femmes ?  Une femme qui n'a peur de rien n'est pas aimable, dit-on."")","('#cyrano', ""Ah ! Non, cela, jamais ! Non, ce serait trop laid,  Si le long de ce nez une larme coulait ! Je ne laisserai pas, tant que j'en serai maître,  La divine beauté des larmes se commettre Avec tant de laideur grossière !... Vois-tu bien,  Les larmes, il n'est rien de plus sublime, rien,  Et je ne voudrais pas qu'excitant la risée,  Une seule, par moi, fût ridiculisée !..."")",0.23,Substitution
490,"('#marie', ""Aimerais-tu un homme qui a peur ?  Tu rougis, Catherine Lorenzo est ton neveu, mais figure-toi qu'il s'appelle de tout autre nom, qu'en penserais-tu ?  Quelle femme voudrait s'appuyer sur son bras pour monter à cheval ?  quel homme lui serrerait la main ?"")",,1.0,Insertion
491,"('#catherine', ""Cela est triste, et cependant ce n'est pas de cela que je le plains.  Son coeur n'est peut-être pas celui d'un Médicis mais, hélas !  c'est encore moins celui d'un honnête homme."")","('#le-bret', ""Va, ne t'attriste pas ! L'amour n'est que hasard !"")",0.65,Substitution
492,"('#marie', ""N'en parlons pas, Catherine ; il est assez cruel pour une mère de ne pouvoir parler de son fils."")",,1.0,Insertion
493,"('#catherine', ""Ah !  Cette Florence !  C'est là qu'on l'a perdu !  N'ai-je pas vu briller quelquefois dans ses yeux le feu d'une noble ambition ?  Sa jeunesse n'a-t-elle pas été l'aurore d'un soleil levant ?  Et souvent encore, aujourd'hui, il me semble qu'un éclair rapide...  Je me dis, malgré moi, que tout n'est pas mort en lui."")","('#cyrano', ""Non ! J'aime Cléopâtre : ai-je l'air d'un César ? J'adore Bérénice : ai-je l'aspect d'un Tite ?"")",1.44,Substitution
494,"('#marie', 'Ah !  tout cela est un abîme !  Tant de facilité, un si doux amour de la solitude !  Ce ne sera jamais un guerrier que mon Renzo, disais-je en le voyant rentrer de son collège, avec ses gros livres sous le bras, mais un saint amour de la vérité brillait sur ses lèvres et dans ses yeux noirs ; il lui fallait s\'inquiéter de tout, dire sans cesse : ""Celui-là est pauvre, celui-là est ruiné ; comment faire ?"" Et cette admiration pour les grands hommes de son Plutarque !  Catherine, Catherine, que de fois je l\'ai baisé au front en pensant au père de la patrie !')","('#le-bret', ""Mais ton courage ! Ton esprit ! - Cette petite Qui t'offrait là, tantôt, ce modeste repas,  Ses yeux, tu l'as bien vu, ne te détestaient pas !"")",0.63,Substitution
495,,"('#cyrano', ""C'est vrai !"")",1.0,Deletion
496,"('#catherine', 'Ne vous affligez pas.')",,1.0,Insertion
497,"('#marie', ""Je dis que je ne veux pas parler de lui, et j'en parle sans cesse.  Il y a de certaines choses, vois-tu, les mères ne s'en taisent que dans le silence éternel.  Que mon fils eût été un débauché vulgaire, que le sang des Soderini eût été pâle dans cette faible goutte tombée de mes veines, je ne me désespérerais pas ; mais j'ai espéré et j'ai eu raison de le faire.  Ah !  Catherine.  il n'est même plus beau, comme une fumée malfaisante, la souillure de son coeur lui est montée au visage.  Le sourire, ce doux épanouissement qui rend la jeunesse semblable aux fleurs, s'est enfui de ses joues couleur de soufre, pour y laisser grommeler une ironie ignoble et le mépris de tout."")","('#le-bret', 'Hé, bien ! Alors ?... Mais, Roxane, elle-même,  Toute blême a suivi ton duel !...')",1.13,Substitution
498,"('#catherine', 'Il est encore beau quelquefois dans sa mélancolie étrange.')","('#cyrano', 'Toute blême ?')",1.65,Substitution
499,"('#marie', ""Sa naissance ne l'appelait-elle pas au trône ?  N'aurait-il pas pu y faire monter un jour avec lui la science d'un docteur, la plus belle jeunesse du monde, et couronner d'un diadème d'or tous mes songes chéris ?  Ne devais-je pas m'attendre à cela ?  Ah !  Cattina, pour dormir tranquille, il faut n'avoir jamais fait certains rêves.  Cela est trop cruel d'avoir vécu dans un palais de fées, où murmuraient les cantiques des anges, de s'y être endormie, bercée par son fils, et de se réveiller dans une masure ensanglantée, pleine de débris d'orgie et de restes humains, dans les bras d'un spectre hideux qui vous tue en vous appelant encore du nom de mère."")","('#le-bret', 'Son coeur et son esprit déjà sont étonnés ! Ose, et lui parle, afin...')",1.66,Substitution
500,"('#catherine', 'Des ombres silencieuses commencent à marcher sur la route.  Rentrons, Marie, tous ces bannis me font peur.')","('#cyrano', ""Qu'elle me rie au nez ? Non ! - C'est la seule chose au monde que je craigne !"")",1.27,Substitution
501,,"('#le-portier', 'Monsieur, on vous demande...')",1.0,Deletion
502,"('#marie', ""Pauvres gens !  Ils ne doivent que faire pitié !  Ah !  Ne puis-je voir un seul objet qu'il ne m'entre une épine dans le coeur ?  Ne puis-je plus ouvrir les yeux ?  Hélas !  Ma Cattina, ceci est encore l'ouvrage de Lorenzo.  Tous ces pauvres bourgeois ont eu confiance en lui ; il n'en est pas un parmi tous ces pères de famille chassés de leur patrie, que mon fils n'ait trahi.  Leurs lettres, signées de leurs noms, sont montrées au duc.  C'est ainsi qu'il fait tourner à un infâme usage jusqu'à la glorieuse mémoire de ses aïeux.  Les républicains s'adressent à lui comme à l'antique rejeton de leur protecteur ; sa maison leur est ouverte, les Strozzi eux-mêmes y viennent.  Pauvre Philippe !  Il y aura une triste fin pour tes cheveux gris !  Ah !  Ne puis-je voir une fille sans pudeur un malheureux privé de sa famille, sans que tout cela ne me crie : Tu es la mère de nos malheurs !  Quand serai-je là ? Elle frappe la terre."")","('#cyrano', 'Ah ! Mon Dieu ! Sa Duègne !')",1.98,Substitution
503,"('#catherine', ""Ma pauvre mère, vos larmes se gagnent. Elles s'éloignent. - Le soleil est couché. - Un groupe de bannis se forme au milieu d'un champ."")","('#la-duegne', ""De son vaillant cousin on désire savoir Où l'on peut, en secret, le voir."")",1.49,Substitution
504,"('#premier-banni', 'Où allez-vous ?')","('#cyrano', 'Me voir ?')",1.05,Substitution
505,,"('#la-duegne', 'Vous voir. - On a des choses à vous dire.')",1.0,Deletion
506,"('#second-banni', 'À Pise ; et vous ?')","('#cyrano', 'Des ?...')",1.57,Substitution
507,"('#premier-banni', 'À Rome.')","('#la-duegne', 'Des choses !')",1.41,Substitution
508,,"('#cyrano', 'Ah ! Mon Dieu !')",1.0,Deletion
509,"('#troiseme-banni', 'Et moi à Venise ; en voilà deux qui vont à Ferrare.  Que deviendrons-nous ainsi éloignés les uns des autres ?')","('#la-duegne', ""L'on ira, demain, aux primes roses D'aurore, - ouïr la messe à Saint-Roch."")",1.59,Substitution
510,,"('#cyrano', 'Ah ! Mon_Dieu !')",1.0,Deletion
511,"('#quatrieme-banni', ""Adieu, voisin, à des temps meilleurs. Il s'en va."")",,1.0,Insertion
512,"('#second-banni', ""Adieu, pour nous, nous pouvons aller ensemble jusqu'à la Croix de la Vierge ; Il sort avec un autre. - Arrive Maffio."")","('#la-duegne', 'En sortant, où peut-on entrer, causer un peu ?')",0.91,Substitution
513,"('#premier-banni', ""C'est toi, Maffio ?  Par quel hasard es-tu ici ?"")","('#cyrano', 'Où ?... Je... Ah ! Mon Dieu !...')",1.2,Substitution
514,,"('#la-duegne', 'Dites vite.')",1.0,Deletion
515,,"('#cyrano', 'Je cherche !...')",1.0,Deletion
516,,"('#la-duegne', 'Où ?...')",1.0,Deletion
517,,"('#cyrano', 'Chez... chez... Ragueneau... le pâtissier...')",1.0,Deletion
518,"('#maffio', ""Je suis des vôtres.  Vous saurez que le duc a enlevé ma soeur ; J'ai tiré l'épée ; une espèce de tigre avec des membres de fer s'est jeté à mon cou et m'a désarmé.  Après quoi j'ai reçu l'ordre de sortir de la ville, et une bourse à moitié pleine de ducats."")",,1.0,Insertion
519,"('#second-banni', 'Et ta soeur, où est-elle ?')","('#la-duegne', 'Il perche ?')",1.72,Substitution
520,"('#maffio', ""On me l'a montrée ce soir sortant du spectacle dans une robe comme n'en a pas l'impératrice ; que Dieu lui pardonne.  Une vieille l'accompagnait, qui a laissé trois de ses dents à la sortie.  Jamais je n'ai donné de ma vie un coup de poing qui m'ait fait ce plaisir-là."")","('#cyrano', 'Dans la rue - Ah ! Mon Dieu, mon Dieu ! - Saint-Honoré !...')",1.48,Substitution
521,"('#troisieme-banni', ""Qu'ils crèvent tous dans leur fange crapuleuse, et nous mourrons contents."")",,1.0,Insertion
522,"('#quatrieme-banni', 'Philippe Strozzi nous écrira à Venise, quelque jour nous serons tous étonnés de trouver une armée à nos ordres.')","('#la-duegne', 'On ira. Soyez-y. Sept heures.')",1.31,Substitution
523,"('#troisieme-banni', ""Que Philippe vive longtemps !  Tant qu'il y aura un cheveu sur sa tête, la liberté de l'Italie n'est pas morte. Une partie du groupe se détache ; tous les bannis s'embrassent."")","('#cyrano', ""J'y serai. La Duègne sort."")",1.56,Substitution
524,"('#une-voix', 'À des temps meilleurs !')","('#cyrano', ""Moi !... D'elle !... Un rendez-vous !..."")",1.41,Substitution
525,"('#une-autre-banni', ""À des temps meilleurs ! Deux bannis montent sur une plate-forme d'où l'on découvre la ville."")",,1.0,Insertion
526,"('#premier-banni', ""Adieu, Florence, peste de l'Italie ; adieu, mère stérile, qui n'as plus de lait pour tes enfants."")","('#le-bret', ""Eh bien ! Tu n'es plus triste ?"")",1.89,Substitution
527,"('#second-banni', ""Adieu, Florence, la bâtarde, spectre hideux de l'antique Florence, adieu, fange sans nom."")","('#cyrano', ""Ah ! Pour quoi que ce soit, elle sait que j'existe !"")",1.57,Substitution
528,,"('#le-bret', 'Maintenant, tu vas être calme ?')",1.0,Deletion
529,"('#tous-les-bannis', ""Adieu, Florence !  Maudites soient les mamelles de tes femmes !  Maudits soient tes sanglots !  Maudites les prières de tes églises, le pain de tes blés, l'air de tes rues !  Malédiction sur la dernière goutte de ton sang corrompu !"")","('#cyrano', ""Maintenant... Mais je vais être frénétique et fulminant ! Il me faut une armée entière à déconfire ! J'ai dix coeurs ; j'ai vingt bras ; il ne peut me suffire De pourfendre des nains... Il me faut des géants ! Il crie à tue-tête. Depuis un moment, sur la scène, au fond, des ombres de comédiens et de comédiennes s'agitent, chuchotent : on commence à répéter. Les violons ont repris leur place."")",1.1,Substitution
530,,"('#une-voix', 'Hé ! Pst ! Là-bas ! Silence ! On répète céans !')",1.0,Deletion
531,"('#philippe', ""Dix citoyens bannis dans ce quartier-ci seulement !  Le vieux Galeazzo et le petit Maffio bannis, sa soeur corrompue devenue une fille publique en une nuit !  Pauvre petite !  Quand l'éducation des basses classes sera-t-elle assez forte pour empêcher les petites filles de rire lorsque leurs parents pleurent !  La corruption est-elle donc une loi de nature ?  Ce qu'on appelle la vertu, est-ce donc l'habit du dimanche qu'on met pour aller à la messe ?  Le reste de la semaine, on est à la croisée, et, tout en tricotant, on regarde les jeunes gens passer.  Pauvre humanité !  Quel nom portes-tu donc ?  Celui de ta race, ou celui de ton baptême ?  Et nous autres, vieux rêveurs, quelle tache originelle avons-nous lavée sur la face humaine depuis quatre ou cinq mille ans que nous jaunissons avec nos livres ?  Qu'il t'est facile à toi, dans le silence du cabinet, de tracer d'une main légère une ligne mince et pure comme un cheveu sur ce papier blanc !  Qu'il t'est facile de bâtir des palais et des villes avec ce petit compas et un peu d'encre !  Mais l'architecte qui a dans son pupitre des milliers de plans admirables ne peut soulever de terre le premier pavé de son édifice quand il vient se mettre à l'ouvrage avec son dos voûté et ses idées obstinées.  Que le bonheur des hommes ne soit qu'un rêve, cela est pourtant dur, que le mal soit irrévocable, éternel, impossible à changer...  Non !  Pourquoi le philosophe qui travaille pour tous regarde-t-il autour de lui ?  Voilà le tort.  Le moindre insecte qui passe devant ses yeux lui cache le soleil.  Allons-y donc plus hardiment !  La république, il nous faut ce mot-là.  Et quand ce ne serait qu'un mot, c'est quelque chose, puisque les peuples se lèvent quand il traverse l'air...  Ah !  Bonjour, Léon. Entre le prieur de Capoue."")","('#cyrano', 'Nous partons ! Il remonte ; par la grande porte du fond ; entrent Cuigy, Brissaille, plusieurs officiers, qui soutiennent Lignière complètement ivre.')",1.01,Substitution
532,"('#le-prieur', 'Je viens de la foire de Montolivet.')","('#cuigy', 'Cyrano !')",1.48,Substitution
533,"('#philippe', ""Etait-ce beau ?  Te voilà aussi, Pierre ?  Assieds-toi donc, j'ai à te parler. Entre Pierre Strozzi."")","('#cyrano', ""Qu'est-ce ?"")",0.92,Substitution
534,"('#le-prieur', ""C'était très beau, et je me suis assez amusé, sauf certaine contrariété un peu trop forte que j'ai quelque peine à digérer."")","('#cuigy', ""Une énorme grive Qu'on t'apporte !"")",1.87,Substitution
535,"('#pierre', ""Bah !  Qu'est-ce donc ?"")","('#cyrano', ""Lignière !... hé, qu'est-ce qui t'arrive ?"")",0.72,Substitution
536,"('#le-prieur', ""Figurez-vous que j'étais entré dans une boutique pour prendre un verre de limonade...  Mais non, cela est inutile...  Je suis un sot de m'en souvenir."")",,1.0,Insertion
537,"('#philippe', 'Que diable as-tu sur le coeur ?  Tu parles comme une âme en peine.')","('#cuigy', 'Il te cherche !')",1.07,Substitution
538,,"('#brissaille', 'Il ne peut rentrer chez lui !')",1.0,Deletion
539,"('#le-prieur', ""Ce n'est rien, un méchant propos, rien de plus.  Il n'y a aucune importance à attacher à tout cela."")",,1.0,Insertion
540,"('#pierre', 'Un propos ?  Sur qui ?  Sur toi ?')","('#cyrano', 'Pourquoi ?')",1.05,Substitution
541,"('#le-prieur', ""Non pas sur moi précisément.  Je me soucierais bien d'un propos sur moi."")","('#ligniere', ""Ce billet m'avertit... cent hommes contre moi... À_cause de... chanson... grand danger me menace... Porte_de_Nesle... Il faut, pour rentrer, que j'y passe... Permets-moi donc d'aller coucher sous... sous ton toit !"")",1.31,Substitution
542,,"('#cyrano', ""Cent hommes, m'as-tu dis ? Tu coucheras chez toi !"")",1.0,Deletion
543,,"('#ligniere', 'Mais...')",1.0,Deletion
544,"('#pierre', 'Sur qui donc ?  Allons, parle si tu veux.')","('#cyrano', ""Prends cette lanterne !... Et marche ! - Je te jure Que c'est moi qui ferai ce soir ta couverture !... Vous, suivez à distance, et vous serez témoins ! Lignière saisit précipitamment la lanterne. Aux officiers."")",1.35,Substitution
545,"('#le-prieur', ""J'ai tort ; on ne se souvient pas de ces choses-là quand on sait la différence d'un honnête homme à un Salviati."")","('#cuigy', 'Mais cent hommes !...')",1.95,Substitution
546,,"('#cyrano', ""Ce soir, il ne m'en faut pas moins ! Les comédiens et les comédiennes, descendus de scène, se sont rapprochés dans leurs divers costumes."")",1.0,Deletion
547,,"('#le-bret', 'Mais pourquoi protéger...')",1.0,Deletion
548,"('#pierre', ""Salviati ?  Qu'a dit cette canaille ?"")","('#cyrano', 'Voilà Le_Bret qui grogne !')",1.41,Substitution
549,"('#le-prieur', ""C'est un misérable, tu as raison.  Qu'importe ce qu'il peut dire ?  Un homme sans pudeur, un valet de Cour qui, à ce qu'on raconte, a pour femme la plus grande dévergondée !  Allons, voilà qui est fait, je n'y penserai pas davantage."")","('#le-bret', 'Cet ivrogne banal ?...')",1.53,Substitution
550,"('#pierre', ""Penses-y et parle, Léon, c'est-à-dire que cela me démange de lui couper les oreilles.  De qui a-t-il médit ?  De nous ?  De mon père ?  Ah !  Sang du Christ, je ne l'aime guère, ce Salviati.  Il faut que je sache cela, entends-tu ?"")","('#cyrano', ""Parce_que cet ivrogne,  Ce tonneau de muscat, ce fût de rossoli,  Fit quelque chose un jour de tout à fait joli Au sortir d'une messe ayant, selon le rite,  Vu celle qu'il aimait prendre de l'eau bénite,  Lui que l'eau fait sauver, courut au bénitier,  Se pencha sur sa conque et le but tout entier !..."")",0.9,Substitution
551,"('#le-prieur', ""Si tu y tiens, je te le dirai.  Il s'est exprimé devant moi, dans une boutique, d'une manière vraiment offensante sur le compte de notre soeur."")","('#une-comedienne', ""Tiens, c'est gentil, cela !"")",1.39,Substitution
552,,"('#cyrano', ""N'est-ce pas, la soubrette ?"")",1.0,Deletion
553,,"('#la-comedienne', 'Mais pourquoi sont-ils cent contre un pauvre poète ?')",1.0,Deletion
554,"('#pierre', 'Ô mon_Dieu !  Dans quels termes ?  Allons, parle donc !')","('#cyrano', 'Marchons. Et vous, messieurs, en me voyant charger,  Ne me secondez pas, quel que soit le danger ! Aux officiers.')",1.62,Substitution
555,"('#le-prieur', 'Dans les termes les plus grossiers.')",,1.0,Insertion
556,"('#pierre', ""Diable de prêtre que tu es !  Tu me vois hors de moi d'impatience, et tu cherches tes mots !  Dis les choses comme elles sont, parbleu !  Un mot est un mot ; il n'y a pas de bon Dieu qui tienne."")","('#une-comedienne', 'Oh ! Mais moi je vais voir !')",1.21,Substitution
557,"('#philippe', 'Pierre, Pierre !  Tu manques à ton frère.')",,1.0,Insertion
558,"('#le-prieur', ""Il a dit qu'il coucherait avec elle, voilà son mot et qu'elle le lui avait promis."")","('#cyrano', 'Venez !...')",1.77,Substitution
559,"('#pierre', ""Qu'elle couche...  Ah !  Mort de mort, de mille morts !  Quelle heure est-il ?"")",,1.0,Insertion
560,"('#philippe', ""Où vas-tu ?  Allons, es-tu fait de salpêtre ?  Qu'as-tu à faire de cette épée ?  Tu en as une au côté."")","('#une-comedienne', 'Viens-tu Cassandre ?...')",0.57,Substitution
561,"('#pierre', ""Je n'ai rien à faire ; allons dîner, le dîner est servi. Ils sortent."")",,1.0,Insertion
562,"('#valori', ""Comment se fait-il que le duc n'y vienne pas ?  Ah !  monsieur, quelle satisfaction pour un chrétien que ces pompes magnifiques de l'Eglise romaine !  Quel homme pourrait y être insensible ?  L'artiste ne trouve-t-il pas là le paradis de son coeur' ?  Le guerrier, le prêtre et le marchand n'y rencontrent-ils pas tout ce qu'ils aiment ?  Cette admirable harmonie des orgues, ces tentures éclatantes de velours et de tapisseries, ces tableaux des premiers maîtres, les parfums tièdes et suaves que balancent les encensoirs, et les chants délicieux de ces voix argentines, tout cela peut choquer, par son ensemble mondain, le moine sévère et ennemi du plaisir.  Mais rien n'est plus beau, selon moi, qu'une religion qui se fait aimer par de pareils moyens.  Pourquoi les prêtres voudraient-ils servir un Dieu jaloux ?  La religion n'est pas un oiseau de proie ; c'est une colombe compatissante qui plane doucement sur tous les rêves et sur tous les amours."")","('#cyrano', ""Venez tous, le Docteur, Isabelle, Léandre, Tous ! Car vous allez joindre, essaim charmant et fol,  La farce italienne à ce drame espagnol,  Et sur son ronflement tintant un bruit fantasque,  L'entourer de grelots comme un tambour de basque !..."")",0.82,Substitution
563,,"('#les-femmes', 'Bravo ! - Vite, une mante ! - Un capuchon !')",1.0,Deletion
564,"('#lorenzo', 'Sans doute ; ce que vous dites là est parfaitement vrai et parfaitement faux, comme tout au monde.')","('#jodelet', 'Allons !')",1.58,Substitution
