,quinault-atys,quinault-isis,Cost,Operation Type
94,"('#cybele', ""Venez tous dans mon temple, et que chacun révère Le sacrificateur dont je vais faire choix : Je m'expliquerai par sa voix, Les voeux qu'il m'offrira seront sûrs de me plaire. Je reçois vos respects ; j'aime à voir les honneurs Dont vous me présentés un éclatant hommage, Mais l'hommage des coeurs Est ce que j'aime davantage. Vous devez vous animer D'une ardeur nouvelle, S'il faut honorer Cybèle, Il faut encor plus l'aimer. Cybèle portée par son char volant, se va rendre dans son temple. Tous les phrygiens s'empressent d'y aller, et répètent les quatre derniers vers que la déesse a prononcés."")","('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")",1.42,Substitution
95,"('#les-choeurs', ""Nous devons nous animer D'une ardeur nouvelle, S'il faut honorer Cybèle, Il faut encor plus l'aimer."")","('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')",1.33,Substitution
96,"('#celaenus', ""N'avancez pas plus loin, ne suivez point mes pas ; Sortez. Toi ne me quitte pas. Atys, il faut attendre ici que la déesse Nomme un grand sacrificateur."")","('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")",1.23,Substitution
97,"('#atys', 'Son choix sera pour vous, seigneur ; Quelle tristesse semble avoir surpris votre coeur ?')","('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')",0.5,Substitution
98,,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")",1.0,Deletion
99,"('#celaenus', ""Les rois les plus puissants connaissent l'importance D'un si glorieux choix : Qui pourra l'obtenir étendra sa puissance Partout où de Cybèle on révère les lois."")","('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")",0.86,Substitution
100,"('#atys', ""Elle honore aujourd'hui ces lieux de sa présence, C'est pour vous préférer aux plus puissants des rois."")","('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")",1.64,Substitution
101,"('#celaenus', ""Mais quand j'ai vu tantôt la beauté qui m'enchante, N'as-tu point remarqué comme elle était tremblante ?"")","('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")",1.46,Substitution
102,"('#atys', ""À nos jeux, à nos chants, j'étais trop appliqué, Hors la fête, seigneur, je n'ai rien remarqué."")",,1.0,Insertion
103,"('#celaenus', ""Son trouble m'a surpris. Elle t'ouvre son âme ; N'y découvres-tu point quelque secrète flamme ? Quelque rival caché ?"")","('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')",1.26,Substitution
104,"('#atys', 'Seigneur, que dites-vous ?')","('#mercure', ""Refusez vous d'unir votre coeur et le mien."")",0.98,Substitution
105,"('#celaenus', ""Le seul nom de rival allume mon courroux. J'ai bien peur que le ciel n'ait pu voir sans envie Le bonheur de ma vie, Et si j'étais aimé mon sort serait trop doux. Ne t'étonnes point tant de voir la jalousie Dont mon âme est saisie, On ne peut bien aimer sans être un peu jaloux."")","('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")",0.49,Substitution
106,"('#atys', ""Seigneur, soyez content, que rien ne vous alarme ; L'hymen va vous donner la beauté qui vous charme, Vous serez son heureux époux."")","('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')",1.02,Substitution
107,"('#celaenus', ""Tu peux me rassurer, Atys, je te veux croire, C'est son coeur que je veux avoir, Dis-moi s'il est en mon pouvoir ?"")","('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')",1.1,Substitution
108,"('#atys', 'Son coeur suit avec soin le devoir et la gloire, Et vous avez pour vous la gloire et le devoir.')","('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")",0.92,Substitution
109,"('#celaenus', ""Ne me déguise point ce que tu peux connaître. Si j'ai ce que j'aime en ce jour L'hymen seul m'en rend-t-il le maître ? La gloire et le devoir auront tout fait, peut-être, Et ne laissent pour moi rien à faire à l'amour."")","('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")",0.55,Substitution
110,"('#atys', ""Vous aimez d'un amour trop délicat, trop tendre."")","('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')",0.35,Substitution
111,,"('#mercure', 'Que la feinte entre nous finisse')",1.0,Deletion
112,"('#celaenus', ""L'indifférent Atys ne le saurait comprendre."")",,1.0,Insertion
113,"('#atys', ""Qu'un indifférent est heureux ! Il jouit d'un destin paisible. Le ciel fait un présent bien cher, bien dangereux, Lorsqu'il donne un coeur trop sensible."")","('#iris', 'Parlons sans mystère en ce jour;')",0.86,Substitution
114,"('#celaenus', ""Quand on aime bien tendrement On ne cesse jamais de souffrir, et de craindre ; Dans le bonheur le plus charmant, On est ingénieux à se faire un tourment, Et l'on prend plaisir à se plaindre. Va songe à mon hymen, et vois si tout est prêt, Laisse-moi seul ici, la déesse paraît."")","('#mercure #iris', ""Le moindre artifice Offense l'amour."")",1.18,Substitution
115,"('#cybele', ""Je veux joindre en ces lieux la gloire et l'abondance, D'un sacrificateur je veux faire le choix, Et le roi de Phrygie aurait la préférence Si je voulais choisir entre les plus grands rois. Le puissant dieu des flots vous donna la naissance, Un peuple renommé s'est mis sous votre loi ; Vous avez sans mes soins, d'ailleurs, trop de puissance, Je veux faire un bonheur qui ne soit du qu'à moi. Vous estimez Atys, et c'est avec justice, Je prétends que mon choix à vos voeux soit propice, C'est Atys que je veux choisir."")",,1.0,Insertion
116,"('#celaenus', ""J'aime Atys, et je vois sa gloire avec plaisir. Je suis roi, Neptune est mon père, J'épouse une beauté qui va combler mes voeux : Le souhait qui me reste à faire, C'est de voir mon ami parfaitement heureux."")",,1.0,Insertion
117,"('#cybele', ""Il m'est doux que mon choix à vos désirs réponde ; Une grande divinité Doit faire sa félicité Du bien de tout le monde. Mais surtout le bonheur d'un roi chéri des cieux Fait le plus doux plaisir des dieux."")","('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",1.48,Substitution
118,"('#celaenus', ""Le sang approche Atys de la nymphe que j'aime, Son mérite l'égale aux rois : Il soutiendra mieux que moi-même La majesté suprême De vos divines lois. Rien ne pourra troubler son zèle, Son coeur s'est conservé libre jusqu'à ce jour ; Il faut tout un coeur pour Cybèle, À peine tout le mien peut suffire à l'amour."")","('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",0.96,Substitution
119,"('#cybele', ""Portez à votre ami la première nouvelle De l'honneur éclatant où ma faveur l'appelle."")","('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",1.79,Substitution
120,"('#cybele', ""Tu t'étonnes, Mélisse, et mon choix te surprend ?"")","('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",0.53,Substitution
121,"('#melisse', 'Atys vous doit beaucoup, et son bonheur est grand.')","('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",1.76,Substitution
122,"('#cybele', ""J'ai fait encor pour lui plus que tu ne peux croire."")","('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')",1.28,Substitution
123,,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",1.0,Deletion
124,"('#melisse', 'Est-il pour un mortel un rang plus glorieux ?')",,1.0,Insertion
125,"('#cybele', ""Tu ne vois que sa moindre gloire ; Ce mortel dans mon coeur est au dessus des dieux. Ce fut au jour fatal de ma dernière fête Que de l'aimable Atys je devins la conquête : Je partis à regret pour retourner aux cieux, Tout m'y parût changé, rien n'y plut à mes yeux. Je sens un plaisir extrême À revenir dans ces lieux. Où peut-on jamais être mieux, Qu'aux lieux où l'on voit ce qu'on aime ?"")","('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")",0.19,Substitution
126,"('#melisse', ""Tous les dieux ont aimé, Cybèle aime à son tour. Vous méprisiez trop l'amour, Son nom vous semblait étrange, À la fin il vient un jour Où l'amour se venge."")",,1.0,Insertion
127,"('#cybele', ""J'ai crû me faire un coeur maître de tout son sort, Un coeur toujours exempt de trouble et de tendresse."")","('#iris', 'Elle honore son maître et brille sous ses pas.')",1.61,Substitution
128,"('#melisse', ""Vous braviez à tort L'amour qui vous blesse ; Le coeur le plus fort À des moments de faiblesse. Mais vous pouviez aimer, et descendre moins bas."")",,1.0,Insertion
129,"('#cybele', ""Non, trop d'égalité rend l'amour sans appas. Quel plus haut rang ai-je à prétendre ? Et de quoi mon pouvoir ne vient-il point à bout ? Lorsqu'on est au-dessus de tout, On se fait pour aimer un plaisir de descendre. Je laisse aux dieux les biens dans le ciel préparés, Pour Atys, pour son coeur, je quitte tout sans peine, S'il m'oblige à descendre, un doux penchant m'entraîne ; Les coeurs que le destin a le plus séparés, Sont ceux qu'amour unit d'une plus forte chaîne. Fais venir le sommeil ; que lui-même en ce jour, Prenne soin ici de conduire Les songes qui lui font la cour ; Atys ne sait point mon amour, Par un moyen nouveau je prétends l'en instruire."")","('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",0.21,Substitution
130,"('#cybele', ""Que les plus doux zéphyrs, que les peuples divers, Qui des deux bouts de l'univers Sont venus me montrer leur zèle, Célèbrent la gloire immortelle Du sacrificateur dont Cybèle a fait choix, Atys doit dispenser mes lois, Honorez le choix de Cybèle."")","('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")",0.45,Substitution
131,"('#les-choeurs', ""Célébrons la gloire immortelle Du sacrificateur dont Cybèle a fait choix : Atys doit dispenser ses lois, Honorons le choix de Cybèle. Que devant vous tout s'abaisse, et tout tremble ; Vivez heureux, vos jours sont notre espoir : Rien n'est si beau que de voir ensemble Un grand mérite avec un grand pouvoir. Que l'on bénisse Le ciel propice, Qui dans vos mains Met le sort des humains."")","('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")",1.01,Substitution
132,"('#atys', ""Indigne que je suis des honneurs qu'on m'adresse, Je dois les recevoir au nom de la déesse ; J'ose, puisqu'il lui plaît, lui présenter vos voeux : Pour le prix de votre zèle, Que la puissante Cybèle Vous rende à jamais heureux."")","('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",0.54,Substitution
133,"('#les-choeurs', 'Que la puissante Cybèle Nous rende à jamais heureux.')",,1.0,Insertion
134,"('#atys', ""Que servent les faveurs que nous fait la fortune Quand l'amour nous rend malheureux ? Je perds l'unique bien qui peut combler mes voeux, Et tout autre bien m'importune. Que servent les faveurs que nous fait la fortune Quand l'amour nous rend malheureux ?"")","('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")",0.9,Substitution
135,"('#idas', 'Peut-on ici parler sans feindre ?')",,1.0,Insertion
136,"('#atys', ""Je commande en ces lieux, vous n'y devez rien craindre."")","('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")",0.5,Substitution
137,"('#doris', 'Mon frère est votre ami.')",,1.0,Insertion
138,"('#idas', 'Fiez-vous à ma soeur.')","('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')",1.48,Substitution
139,"('#atys', 'Vous devez avec moi partager mon bonheur.')","('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")",0.82,Substitution
140,"('#idas #doris', ""Nous venons partager vos mortelles alarmes ; Sangaride les yeux en larmes Nous vient d'ouvrir son coeur."")",,1.0,Insertion
141,"('#atys', ""L'heure approche où l'hymen voudra qu'elle se livre Au pouvoir d'un heureux époux."")",,1.0,Insertion
142,"('#idas #doris', 'Elle ne peut vivre Pour un autre que pour vous.')","('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")",1.4,Substitution
143,"('#atys', 'Qui peut la dégager du devoir qui la presse ?')","('#jupiter', ""La fille d'Inachus."")",1.9,Substitution
144,"('#idas #doris', 'Elle veut elle-même aux pieds de la déesse Déclarer hautement vos secrètes amours.')","('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")",0.28,Substitution
145,"('#atys', ""Cybèle pour moi s'intéresse, J'ose tout espérer de son divin secours... Mais quoi, trahir le roi ! Tromper son espérance ! De tant de biens reçus est-ce la récompense ?"")",,1.0,Insertion
146,"('#idas #doris', ""Dans l'empire amoureux Le devoir n'a point de puissance ; L'amour dispense Les rivaux d'être généreux ; Il faut souvent pour devenir heureux Qu'il en coûte un peu d'innocence."")","('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")",0.98,Substitution
147,"('#atys', 'Je souhaite, je crains, je veux, je me repends.')",,1.0,Insertion
148,"('#idas #doris', 'Verrez-vous un rival heureux à vos dépends ?')",,1.0,Insertion
149,"('#atys', 'Je ne puis me résoudre à cette violence.')",,1.0,Insertion
150,"('#atys #idas #doris', ""En vain, un coeur, incertain de son choix. Met en balance mille fois L'amour et la reconnaissance, L'amour toujours emporte la balance."")",,1.0,Insertion
151,"('#atys', 'Le plus juste parti cède enfin au plus fort. Allez, prenez soin de mon sort, Que Sangaride ici se rende en diligence.')","('#junon', 'Junon commande Allez, allez, Mercure obéissez.')",1.18,Substitution
152,"('#atys', ""Nous pouvons nous flatter de l'espoir le plus doux Cybèle et l'amour sont pour nous. Mais du devoir trahi j'entends la voix pressante Qui m'accuse et qui m'épouvante. Laisse mon coeur en paix, impuissante vertu, N'ai-je point assez combattu ? Quand l'amour malgré toi me contraint à me rendre, Que me demandes-tu ? Puisque tu ne peux me défendre, Que me sert-il d'entendre Les vains reproches que tu fais ? Impuissante vertu laisse mon coeur en paix. Mais le sommeil vient me surprendre, Je combats vainement sa charmante douceur. Il faut laisser suspendre Les troubles de mon coeur. Atys s'endort. Le théâtre change et représente une antre entouré de pavots et de ruisseaux, où le dieu du sommeil se vient rendre accompagné des songes agréables et funestes."")","('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")",0.59,Substitution
153,"('#le-sommeil', 'Dormons, dormons tous ; Ah que le repos est doux !')","('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",1.33,Substitution
154,"('#morphee', 'Régnez, divin sommeil, régnez sur tout le monde, Répandez vos pavots les plus assoupissants ; Calmez les soins, charmez les sens, Retenez tous les coeurs dans une paix profonde.')","('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")",0.59,Substitution
155,"('#phobetor', ""Ne vous faites point violence, Coulez, murmurez, clairs ruisseaux, Il n'est permis qu'au bruit des eaux De troubler la douceur d'un si charmant silence."")","('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")",0.08,Substitution
156,"('#sommeil #morphee #phobetor #phantase', ""Dormons, dormons tous, Ah que le repos est doux ! Les songes agréables approchent d'Atys, et par leurs chants, et par leurs danses, lui font connaître l'amour de Cybèle, et le bonheur qu'il en doit espérer."")","('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')",0.52,Substitution
157,"('#morphee', ""Écoute, écoute Atys la gloire qui t'appelle, Sois sensible à l'honneur d'être aimé de Cybèle, Jouis heureux Atys de ta félicité."")","('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")",0.92,Substitution
158,"('#morphee #phobetor #phantase', ""Mais souviens-toi que la beauté, Quand elle est immortelle, Demande la fidélité D'une amour éternelle."")","('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')",0.96,Substitution
159,"('#phantase', ""Que l'amour a d'attraits Lorsqu'il commence À faire sentir sa puissance ! Que l'amour a d'attraits Lorsqu'il commence Pour ne finir jamais. Trop heureux un amant Qu'amour exempte Des peines d'une longue attente ! Trop heureux un amant Qu'amour exempte De crainte et de tourment !"")","('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")",1.19,Substitution
160,"('#phobetor', ""Goûte en paix chaque jour une douceur nouvelle, Partage l'heureux sort d'une divinité, Ne vante plus la liberté, Il n'en est point du prix d'une chaîne si belle."")","('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")",0.97,Substitution
161,"('#morphee #phobetor #phantase', ""Mais souviens-toi que la beauté, Quand elle est immortelle, Demande la fidélité D'une amour éternelle."")",,1.0,Insertion
162,"('#phantase', ""Que l'amour a d'attraits Lorsqu'il commence À faire sentir sa puissance ! Que l'amour a d'attraits Lorsqu'il commence Pour ne finir jamais ! Les songes funestes approchent d'Atys, et le menacent de la vengeance de Cybèle s'il méprise son amour, et s'il ne l'aime pas avec fidélité."")","('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")",0.61,Substitution
163,"('#un-songe-funeste', ""Garde-toi d'offenser un amour glorieux, C'est pour toi que Cybèle abandonne les cieux Ne trahis point son espérance. Il n'est point pour les dieux de mépris innocent, Ils sont jaloux des coeurs, ils aiment la vengeance, Il est dangereux qu'on offense Un amour tout-puissant."")","('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')",0.61,Substitution
164,"('#choeur-des-songes-funestes', ""L'amour qu'on outrage Se transforme en rage, Et ne pardonne pas Aux plus charmants appas. Si tu n'aimes point Cybèle D'une amour fidèle, Malheureux, que tu souffriras ! Tu périras : Crains une vengeance cruelle, Tremble, crains un affreux trépas. Atys épouvanté par les songes funestes, se réveille en sursaut, le sommeil et les songes disparaissent avec l'antre où ils étaient, et Atys se retrouve dans le même palais où il s'était endormi."")","('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")",0.51,Substitution
165,"('#atys', 'Venez à mon secours, ô dieux ! Ô justes dieux !')","('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",1.78,Substitution
166,"('#cybele', 'Atys, ne craignez rien, Cybèle est en ces lieux.')","('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")",1.17,Substitution
167,,"('#argus', 'Non !')",1.0,Deletion
168,,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')",1.0,Deletion
169,,"('#argus', 'Non, non, on ne la doit point voir')",1.0,Deletion
170,,"('#hierax', 'Quoi ! Junon me devient contraire ?')",1.0,Deletion
171,"('#atys', ""Pardonnez au désordre où mon coeur s'abandonne ; C'est un songe..."")","('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")",0.65,Substitution
172,"('#cybele', 'Parlez, quel songe vous étonne ? Expliquez-moi votre embarras.')","('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")",1.65,Substitution
173,"('#atys', 'Les songes sont trompeurs, et je ne les crois pas. Les plaisirs et les peines Dont en dormant on est séduit, Sont des chimères vaines Que le réveil détruit.')","('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")",1.35,Substitution
174,"('#cybele', ""Ne méprisez pas tant les songes L'amour peut emprunter leur voix, S'ils font souvent des mensonges, Ils disent vrai quelque fois. Ils parlaient par mon ordre, et vous les devez croire."")","('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")",1.04,Substitution
175,,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")",1.0,Deletion
176,"('#atys', 'Ô ciel !')","('#hierax', 'Ô Dieux !')",0.36,Substitution
177,"('#cybele', ""N'en doutez point, connaissez votre gloire. Répondez avec liberté, Je vous demande un coeur qui dépend de lui-même."")","('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")",0.44,Substitution
178,"('#atys', ""Une grande divinité Doit s'assurer toujours de mon respect extrême."")",,1.0,Insertion
179,"('#cybele', ""Les dieux dans leur grandeur suprême Reçoivent tant d'honneurs qu'ils en sont rebutés, Ils se lassent souvent d'être trop respectés, Ils sont plus contents qu'on les aime."")","('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")",0.26,Substitution
180,"('#atys', 'Je sais trop ce que je vous dois Pour manquer de reconnaissance...')","('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")",1.03,Substitution
181,"('#sangaride', ""J'ai recours à votre puissance, Reine des dieux, protégez-moi. L'intérêt d'Atys vous en presse..."")",,1.0,Insertion
182,"('#atys', 'Je parlerai pour vous, que votre crainte cesse.')",,1.0,Insertion
183,"('#sangaride', 'Tous deux unis des plus beaux noeuds...')","('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')",0.98,Substitution
184,,"('#argus', 'Liberté, liberté.')",1.0,Deletion
185,"('#atys', ""Le sang et l'amitié nous unissent tous deux. Que votre secours la délivre Des lois d'un hymen rigoureux, Ce sont les plus doux de ses voeux De pouvoir à jamais vous servir et vous suivre."")","('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')",1.56,Substitution
186,"('#cybele', ""Les dieux sont les protecteurs De la liberté des coeurs. Allez, ne craignez point le roi ni sa colère, J'aurai soin d'apaiser Le fleuve Sangar votre père ; Atys veut vous favoriser, Cybèle en sa faveur ne peut rien refuser."")",,1.0,Insertion
187,"('#atys', ""Ah ! C'en est trop..."")","('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')",1.63,Substitution
188,"('#cybele', ""Non, non, il n'est pas nécessaire Que vous cachiez votre bonheur, Je ne prétends point faire Un vain mystère D'un amour qui vous fait honneur. Ce n'est point à Cybèle à craindre d'en trop dire. Il est vrai, j'aime Atys, pour lui j'ai tout quitté, Sans lui je ne veux plus de grandeur ni d'empire, Pour ma félicité Son coeur seul peut suffire. Allez, Atys lui-même ira vous garantir De la fatale violence Où vous ne pouvez consentir. Sangaride se retire."")","('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")",1.57,Substitution
189,,"('#hierax #argus', 'Que voulez-vous ?')",1.0,Deletion
190,,"('#choeur-des-nymphes', 'Liberté, liberté.')",1.0,Deletion
191,"('#cybele', 'Laissez-nous, attendez mes ordres pour partir, Je prétends vous armer de ma toute-puissance.')","('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")",0.87,Substitution
192,,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")",1.0,Deletion
193,,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",1.0,Deletion
194,"('#cybele', ""Qu'Atys dans ses respects mêlé d'indifférence ! L'ingrat Atys ne m'aime pas ; L'amour veut de l'amour, tout autre prix l'offense, Et souvent le respect et la reconnaissance Sont l'excuse des coeurs ingrats."")","('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")",0.91,Substitution
195,"('#melisse', ""Ce n'est pas un si grand crime De ne s'exprimer pas bien, Un coeur qui n'aima jamais rien Sait peu comment l'amour s'exprime."")",,1.0,Insertion
196,"('#cybele', ""Sangaride est aimable, Atys peut tout charmer, Ils témoignent trop s'estimer, Et de simples parents sont moins d'intelligence : Ils se sont aimés dés l'enfance, Ils pourraient enfin trop s'aimer. Je crains une amitié que tant d'ardeur anime. Rien n'est si trompeur que l'estime : C'est un nom supposé Qu'on donne quelquefois à l'amour déguisé. Je prétends m'éclaircir, leur feinte sera vaine."")","('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")",0.76,Substitution
