,diderot-est-il-bon-est-il-mechant,diderot-piece-prologue,Cost,Operation Type
231,"('#madame-bertrand', ""C'est le premier et le seul."")","('#madame-bertrand', ""C'est le premier et le seul."")",0.0,Match
232,"('#monsieur-hardouin', 'Quel âge a-t-il ?')","('#monsieur-hardouin', 'Quel âge a-t-il ?')",0.0,Match
233,"('#madame-bertrand', 'Environ six ans.')","('#madame-bertrand', 'Environ six ans.')",0.0,Match
234,"('#monsieur-hardouin', ""Il n'en peut guère avoir davantage."")","('#monsieur-hardouin', ""Il n'en peut guère avoir davantage."")",0.0,Match
235,"('#madame-bertrand', ""On aurait pu le croire, il y a six mois, mais depuis ce temps j'ai tant pleuré, tant fatigué, tant souffert.  Je suis si changée."")","('#madame-bertrand', ""On aurait pu le croire il y a six mois ; mais depuis ce temps, j'ai tant pleuré, tant fatigué, tant souffert ; je suis si changée..."")",0.0,Match
236,"('#monsieur-hardouin', ""Il n'y paraît pas."")","('#monsieur-hardouin', ""Il n'y paraît pas."")",0.0,Match
237,"('#madame-bertrand', 'Il revenait de la Chine.  La Chine ne me sort plus de la tête.')","('#madame-bertrand', 'Il revenait de la Chine...  La Chine ne me sort plus de la tête.')",0.0,Match
238,"('#monsieur-hardouin', ""Nous l'en chasserons."")","('#monsieur-hardouin', ""Nous l'en chasserons."")",0.0,Match
239,"('#madame-bertrand', 'Je puis compter sur vous ?')","('#madame-bertrand', 'Je puis compter sur vous ?')",0.0,Match
240,"('#monsieur-hardouin', ""Vous le pouvez ; mais pensez-y bien ; c'est à la condition que je vous ai dite, sans quoi je ne réponds de rien."")","('#monsieur-hardouin', ""Vous le pouvez ; mais, songez-y bien, c'est à la condition que je vous ai dite, sans quoi je ne réponds de rien."")",0.0,Match
241,"('#madame-bertrand', ""Vous êtes un galant homme ; il n'y a là-dessus qu'une voix.  Faites, dites tout ce qu'il vous plaira..."")","('#madame-bertrand', ""Vous êtes un homme de bien; il n'y a là-dessus qu'une voix.  Faites, dites tout ce qui vous plaira ; je vous donne carte blanche."")",0.0,Match
242,"('#monsieur-hardouin', 'Et puis faites une pièce, au milieu de tout cela ?...  Mille pardons, cher des Renardeaux, de vous avoir fait attendre.')","('#monsieur-hardouin', 'Et puis faites une pièce au milieu de tout cela !...  Mille pardons, cher Renardeau, de vous avoir fait attendre.')",0.0,Match
243,"('#monsieur-des-renardeaux', 'Je vous le pardonne ; car elle est, ma foi, charmante.')","('#monsieur-renardeau', 'Je vous le pardonne, car elle est, ma foi, charmante.')",0.0,Match
244,"('#monsieur-hardouin', 'Vous avez encore des yeux.')","('#monsieur-hardouin', 'Vous avez encore des yeux.')",0.0,Match
245,"('#monsieur-des-renardeaux', ""C'est tout ce qui me reste.  Me voilà, à vos ordres ; hé bien, de quoi s'agit-il ?"")","('#monsieur-renardeau', ""C'est tout ce qui me reste.  Hé bien, de quoi s'agit-il ?"")",0.31,Substitution
246,"('#monsieur-hardouin', 'Je ne sais comment je puis rire ; car je suis profondément désolé.')","('#monsieur-hardouin', 'Je ne sais comment je puis rire, car je suis profondément désolé.')",0.0,Match
247,"('#monsieur-des-renardeaux', 'Votre pièce est tombée.')","('#monsieur-renardeau', 'Votre pièce est tombée ?')",0.0,Match
248,"('#monsieur-hardouin', ""C'est bien pis."")","('#monsieur-hardouin', ""C'est bien pis."")",0.0,Match
249,"('#monsieur-des-renardeaux', 'Comment, diable ?')","('#monsieur-renardeau', 'Comment, diable !')",0.0,Match
250,"('#monsieur-hardouin', ""J'avais une soeur que j'aimais à la folie, un peu dévote ; mais à cela près, la meilleure créature, la meilleure soeur qu'il y eût au monde.  Je l'ai perdue."")","('#monsieur-hardouin', ""J'avais une soeur que j'aimais à la folie ; un peu dévote ; mais, à cela près, la meilleure créature, la meilleure soeur qu'il y eût au monde : je l'ai perdue."")",0.0,Match
251,"('#monsieur-des-renardeaux', ""Et l'on vous dispute sa succession ?"")","('#monsieur-renardeau', ""Et l'on vous dispute sa succession."")",0.0,Match
252,"('#monsieur-hardouin', ""C'est bien pis."")","('#monsieur-hardouin', ""C'est bien pis."")",0.0,Match
253,"('#monsieur-des-renardeaux', 'Comment, diable !')","('#monsieur-renardeau', 'Comment, diable !')",0.0,Match
254,"('#monsieur-hardouin', 'On en a disposé sans mon aveu.  Elle vivait avec une amie.  Celle-ci accoutumée au rôle de maîtresse de la maison, a tout pris, tout donné, tout vendu, lits, glaces, linge, vaisselle, meubles, batterie de cuisine, argenterie, et il ne me reste de mobilier non plus que vous en voyez sur ma main.')","('#monsieur-hardouin', 'On en a disposé sans mon aveu.  Elle vivait avec une amie : celle-ci, accoutumée à jouer la maîtresse dans la maison, a tout donné, tout pris, tout vendu, lits, glaces, linge, vaisselle, meubles, batterie de cuisine ; et il ne me reste de mobilier non plus que vous en voyez sur ma main.')",0.0,Match
255,"('#monsieur-des-renardeaux', 'Cela était-il considérable.')","('#monsieur-renardeau', 'Cela était-il considérable ?')",0.0,Match
256,"('#monsieur-hardouin', ""Assez.  Je ne sais quel parti prendre.  Perdre une bonne partie de son bien, surtout quand on n'est pas mieux dans ses affaires que moi, cela me paraît dur.  Attaquer l'ancienne amie d'une soeur, cela me semble indécent.  Que me conseillez-vous ?"")","('#monsieur-hardouin', ""Assez.  Je ne sais quel parti prendre.  Perdre son bien, surtout quand on n'est pas mieux dans ses affaires que moi, cela me paraît dur.  Attaquer l'ancienne amie d'une soeur, cela me semble indécent.  Que me conseillez-vous ?"")",0.0,Match
257,"('#monsieur-des-renardeaux', 'Ce que je vous conseille ?  De rester en repos.')","('#monsieur-renardeau', 'Ce que je vous conseille ?  De demeurer en repos.')",0.0,Match
258,"('#monsieur-hardouin', ""C'est bientôt dit."")","('#monsieur-hardouin', ""C'est bientôt dit."")",0.0,Match
259,"('#monsieur-des-renardeaux', ""Demeurez en repos, vous dis-je.  Savez-vous ce que c'est que votre affaire ?  La même que celle que j'ai avec votre vieille amie, Madame Servin ; qui dure depuis dix ans ; qui en durera dix autres ; pour laquelle j'ai fait cinquante voyages à Paris ; qui m'y rappellera cinquante fois encore ; qui me coûte en faux frais à peu près deux cents louis ; qui m'en coûtera plus de deux cents autres ; et qui, grâces aux puissantes protections de la dame, ou ne sera jamais jugée, ou dont après la sentence, si j'en obtiens une, je ne tirerai pas le quart de mes déboursés."")","('#monsieur-renardeau', ""Demeurez en repos, vous dis-je.  Savez-vous ce que c'est que votre affaire ?  Précisément la même que j'ai avec votre vieille amie, madame Servin, qui dure depuis dix ans ; qui en durera dix autres ; pour laquelle j'ai fait cinquante voyages à Paris ; qui m'y rappellera cinquante fois encore ; qui me coûte en faux-frais à peu près deux cents louis, qui m'en coûtera plus de deux cents autres ; et qui, grâce aux puissants protecteurs de la dame, ne sera peut-être jamais jugée ; ou dont, après la sentence, si j'en obtiens une, je ne tirerai que le quart de mes déboursés.  Entendez-vous ?"")",0.0,Match
260,"('#monsieur-hardouin', 'Ainsi vous ne voulez pas absolument que je plaide.')","('#monsieur-hardouin', 'Ainsi, vous ne voulez pas absolument que je plaide ?')",0.0,Match
261,"('#monsieur-des-renardeaux', ""Non, de par tous les diables qui emportent et votre ami, Madame Servin, et l'amie de votre soeur."")","('#monsieur-renardeau', ""Non, de par tous les diables qui emportent et votre amie madame Servin, et l'amie de votre soeur !"")",0.0,Match
262,"('#monsieur-hardouin', ""Si c'était à recommencer, vous ne plaideriez donc pas ?"")","('#monsieur-hardouin', ""Si c'était à recommencer, vous ne plaideriez donc pas ?"")",0.0,Match
263,"('#monsieur-des-renardeaux', 'Non...  À quoi pensez-vous.')","('#monsieur-renardeau', 'Non... à quoi rêvez-vous ?')",0.31,Substitution
264,"('#monsieur-hardouin', ""À vous obliger, si je puis.  Je n'aime pas à demeurer en reste avec mes amis.  Il me vient une idée..."")",,1.0,Insertion
265,"('#monsieur-des-renardeaux', 'Quelle ?')",,1.0,Insertion
266,"('#monsieur-hardouin', ""Mais en retour du service que vous me rendez, en me dissuadant d'entamer une mauvaise affaire ; car je n'y pense plus ; si par hasard je finissais la vôtre ?  Savez-vous que cela ne me seroit pas du tout impossible."")","('#monsieur-hardouin', ""Il me vient une bonne idée.  Si par reconnaissance du service que vous me rendez, en me dissuadant d'entamer une mauvaise affaire, je finissais la vôtre ?  Savez-vous que cela ne me serait point du tout impossible ?"")",0.0,Match
267,"('#monsieur-des-renardeaux', ""J'y consens ; j'y consens de tout mon coeur ; et s'il ne vous fallait qu'une procuration en bonne forme, procuration par laquelle je vous autoriserais à terminer ; procuration par laquelle je m'engagerais à ratifier, sans exception, tout ce qu'il vous aurait plu d'arbitrer ; faites-moi donner encre, plume, papier ; et je la dresse, et je la signe."")","('#monsieur-renardeau', ""J'y consens de tout mon coeur ; et, s'il ne vous fallait qu'une procuration en bonne forme, par laquelle je vous autoriserais à terminer, et m'engagerais à ratifier, sans exception, tout ce qu'il vous aurait plu d'arbitrer, faites-moi donner de l'encre et du papier, je la dresse et la signe."")",0.0,Match
268,"('#monsieur-hardouin', ""Voilà sur cette table tout ce qu'il vous faut... Mon cher des Renardeaux, bride en main.  Je ferai de mon mieux, vous n'en doutez pas ; mais à tout événement, point de reproches. L'arrêtant."")","('#monsieur-hardouin', ""Voilà sur cette table ce qu'il vous faut Mon cher Renardeau, bride en main.  Je ferai de mon mieux : vous n'en doutez pas ; mais, à tout événement, point de reproches."")",0.0,Match
269,"('#monsieur-des-renardeaux', ""N'en craignez point."")","('#monsieur-renardeau', ""N'en craignez point."")",0.0,Match
270,"('#monsieur-hardouin', ""Que sait-on ? Ah, ah, ah, si l'avocat bas-normand savait que j'ai là, dans ma poche, la procuration de la dame ?...  Voilà qui est fort bien ; mais la pièce que j'ai promise...  Allons, il faut suivre sa destinée, et la mienne est de promettre ce que je ne ferai point ; et de temps en temps de faire ce que je n'aurai pas promis. Tandis que des Renardeaux écrit."")","('#monsieur-hardouin', ""Ah ! Ah ! Ah !  Si l'avocat bas-normand savait que j'ai là, dans ma poche, la procuration de la dame !...  Voilà qui est fort bien...  Mais la pièce que j'ai promise !...  Allons, il faut se résigner à son sort ; et le mien est de promettre ce que je ne ferai point, et de faire ce que je n'aurai pas promis."")",0.0,Match
271,"('#monsieur-des-renardeaux', 'La voilà.  Je soussigné, Issachar des Renardeaux...')","('#monsieur-renardeau', 'La voilà : Je soussigné, Issachar des Renardeaux...')",0.0,Match
272,"('#monsieur-hardouin', 'Je ne doute point que cela ne soit à merveilles...')","('#monsieur-hardouin', 'Je ne doute point que cela ne soit à merveille.')",0.0,Match
273,"('#monsieur-des-renardeaux', 'Mais encore faut-il prendre lecture du titre en conséquence duquel on doit opérer.  Cela est dans la règle.  Je soussigné, Issachar...')","('#monsieur-renardeau', 'Mais encore faut-il prendre lecture du titre en conséquence duquel on doit opérer.  Cela est dans la règle.')",0.0,Match
274,"('#monsieur-hardouin', ""Est-ce que j'ai jamais suivi de règles."")","('#monsieur-hardouin', ""Est-ce que j'ai jamais suivi de règles ?"")",0.0,Match
275,"('#monsieur-des-renardeaux', ""Vous n'en avez pas été plus sage.  La règle, mon ami ; la règle, c'est la reine du monde.  Au reste, que j'obtienne seulement le remboursement de mes frais qu'elle fera régler, avec de quoi meubler décemment ce petit corps de logis qui donne sur la rivière et sur la forêt ; qui doit vous inspirer les plus beaux vers du monde ; que, depuis dix ans, vous devez venir occuper et que vous n'occuperez jamais ; et je tiens quitte de tout Madame Servin, voyez, pour moi, pour ma femme, pour mes enfants, et leurs ayant causes, et leurs ayant causes.  À propos, j'ai vu dans sa cour une chaise à porteur, le seul effet mobilier qui reste de feu Madame Desforges ma parente qui cessa de marcher longtemps avant que de mourir ; stipulez en sus la chaise à porteur.  Ma femme commence à manquer par les jambes, et ce serait un cadeau à lui faire.  N'oubliez pas la chaise à porteur."")","('#monsieur-renardeau', ""Vous n'en avez pas été plus sage.  La règle, mon ami, la règle.  Au reste, que j'obtienne seulement de quoi faire meubler décemment ce petit corps de logis qui donne sur la rivière et sur la forêt, qui doit vous inspirer les plus beaux vers du monde ; que vous devez, depuis dix ans, venir occuper, et que vous n'occuperez jamais ; et je tiens quitte de tout madame Servin, pour moi, pour ma femme, pour mes enfants, et leurs ayants cause.  À propos, j'ai vu dans sa cour une chaise à porteurs, le seul effet mobilier qui reste de feu madame Desforges, ma parente, qui a cessé de marcher, longtemps avant que de mourir.  Stipulez, en sus, la chaise à porteurs.  Ma femme commence à pécher par les jambes, et ce serait un cadeau à lui faire.  N'oubliez pas la chaise à porteurs."")",0.0,Match
276,"('#monsieur-hardouin', ""Je n'oublierai pas."")","('#monsieur-hardouin', ""J'y penserai."")",0.83,Substitution
277,"('#monsieur-des-renardeaux', 'Vous êtes distrait.')","('#monsieur-renardeau', 'Vous êtes distrait.')",0.0,Match
278,"('#monsieur-hardouin', ""Mon ami, je suis excédé de ce maudit pays-ci.  La vie s'y évapore.  On n'y fait quoi que ce soit de bien ; et je suis résolu d'aller vivre et mourir à Gisors."")","('#monsieur-hardouin', ""Mon ami, je suis excédé de ce maudit pays-ci.  La vie s'y évapore.  On n'y fait quoi que ce soit ; et je suis résolu d'aller vivre et mourir à Gisors."")",0.0,Match
279,"('#monsieur-des-renardeaux', 'Vous viendrez vivre à Gisors ?')","('#monsieur-renardeau', 'Vous viendrez vivre à Gisors ?')",0.0,Match
280,"('#monsieur-hardouin', ""À Gisors.  C'est là que la gloire, le repos et le bonheur m'attendent."")","('#monsieur-hardouin', ""À Gisors ; c'est là que la gloire, le repos et le bonheur m'attendent."")",0.0,Match
281,"('#monsieur-des-renardeaux', 'Vous viendrez mourir à Gisors ?')","('#monsieur-renardeau', 'Vous viendrez mourir à Gisors ?')",0.0,Match
282,"('#monsieur-hardouin', 'À Gisors.')","('#monsieur-hardouin', 'À Gisors.')",0.0,Match
283,"('#monsieur-des-renardeaux', ""Et moi je vous dis que les têtes comme la vôtre ne savent jamais ce qu'elles feront ; et que vous irez vivre et mourir où il plaira à votre mauvais génie de vous mener.  Ne faites point de projets."")","('#monsieur-renardeau', ""Et moi je vous dis que les têtes comme la vôtre ne savent jamais ce qu'elles feront ; et que vous irez vivre et mourir où il plaira à votre mauvais génie de vous mener : ne faites point de projets."")",0.0,Match
284,"('#monsieur-hardouin', ""Ma foi, j'en ai tant fait qui se sont évanouis, que ce serait le mieux ; mais on fait des projets ; comme on se remue sur sa chaise, quand on est mal assis."")","('#monsieur-hardouin', ""Ma foi, j'en ai tant fait qui n'ont point eu lieu, que ce serait le plus sage : mais on fait des projets comme on se remue sur sa chaise, quand on est mal assis."")",0.0,Match
285,"('#monsieur-des-renardeaux', 'Et la dame, quand la verrez-vous ?')","('#monsieur-renardeau', 'Quand verrez-vous la dame ?')",0.0,Match
286,"('#monsieur-hardouin', ""Aujourd'hui."")","('#monsieur-hardouin', ""Aujourd'hui."")",0.0,Match
287,"('#monsieur-des-renardeaux', ""Elle est fine ; prenez garde qu'elle n'évente notre complot."")","('#monsieur-renardeau', ""Elle est fine ; prenez garde qu'elle n'évente notre complot."")",0.0,Match
288,"('#monsieur-hardouin', 'Est-ce que cela vous viendrait à sa place, à vous avocat, et avocat bas-normand ?')","('#monsieur-hardouin', 'Est-ce que cela vous viendrait à sa place, à vous avocat, et avocat bas-normand ?')",0.0,Match
289,"('#monsieur-des-renardeaux', 'Peut-être ; je suis quelque fois délié.  Et quand vous reverrai-je.')","('#monsieur-renardeau', 'Peut-être.  Je suis quelquefois délié.  Et quand vous reverrai-je ?')",0.0,Match
290,"('#monsieur-hardouin', 'Dans la journée.')","('#monsieur-hardouin', 'Dans la journée.')",0.0,Match
291,"('#monsieur-des-renardeaux', 'Où ?')","('#monsieur-renardeau', 'Où ?')",0.0,Match
292,"('#monsieur-hardouin', 'Ici.  Vous habitez toujours votre grenier, rue de la Flèche ?')",,1.0,Insertion
293,"('#monsieur-des-renardeaux', ""Toujours.  Adieu.  Ne plaidez pas, entendez-vous ; et tirez de la dame Servin le meilleur parti que vous pourrez.  J'ai trois enfants ; et elle n'a que sa fille, cette vieille folle qui est laide et méchante comme un singe malade ; et sourde en sus comme un pot.  Elle est riche et je ne le suis pas.  Adieu."")",,1.0,Insertion
294,"('#monsieur-hardouin', 'Adieu.')",,1.0,Insertion
295,"('#monsieur-des-renardeaux', 'Et la chaise à porteur.')",,1.0,Insertion
296,"('#monsieur-hardouin', 'Et la chaise à porteur...  Me voilà seul enfin ; et je puis rêver.')",,1.0,Insertion
297,"('#monsieur-de-crancey', ""On a une peine à diable à pénétrer jusqu'à vous.  C'est pis que chez un ministre ou son premier commis.  Savez-vous qu'il y a deux heures que j'écume de rage dans cette antichambre.  Avez-vous reçu ma lettre."")",,1.0,Insertion
298,"('#monsieur-hardouin', 'Oui ; et vous, avez-vous reçu ma réponse ?')",,1.0,Insertion
299,"('#monsieur-de-crancey', 'Non.')","('#monsieur-hardouin', 'Ici.')",0.0,Match
300,"('#monsieur-hardouin', 'Comme vous voilà !  On vous prendrait pour un postillon.')",,1.0,Insertion
301,"('#monsieur-de-crancey', ""C'est que je le suis devenu, et que j'en ai fait l'apprentissage pendant quatre jours."")",,1.0,Insertion
302,"('#monsieur-hardouin', 'Je suis un peu obtus.  Je ne vous entends pas.')",,1.0,Insertion
303,"('#monsieur-de-crancey', ""Je le crois.  Mon ami, je vous ai prévenu que Madame de Vertillac qui m'estime, qui m'aime, et qui me refuse opiniâtrement sa fille dont je suis aimé ; dans le dessein absurde de rompre cette passion..."")",,1.0,Insertion
304,"('#monsieur-hardouin', ""Qui ne finira qu'avec votre vie et celle de sa fille."")",,1.0,Insertion
305,"('#monsieur-de-crancey', ""Assurément ; l'emmenait à Paris."")",,1.0,Insertion
306,"('#monsieur-hardouin', 'Après.')",,1.0,Insertion
307,"('#monsieur-de-crancey', ""Ah, vous n'avez jamais aimé, puisque vous ne devinez pas le reste."")",,1.0,Insertion
308,"('#monsieur-hardouin', 'Vous êtes parti le premier, et leur avez servi de postillon.')",,1.0,Insertion
309,"('#monsieur-de-crancey', ""C'est cela."")",,1.0,Insertion
310,"('#monsieur-hardouin', 'Et sa fille, vous a-t-elle reconnu ?')",,1.0,Insertion
311,"('#monsieur-de-crancey', ""Sans doute, mais sa surprise a pensé tout gâter ; elle pousse un cri.  Sa mère se retourne brusquement : « Qu'avez-vous, ma fille ?  Est-ce que vous vous êtes blessé ?...  Non, maman ; ce n'est rien... »  Ah, mon ami, avec quelle attention, je leur évitais les mauvais pas !  Comme j'allongeais le chemin, en dépit des impatiences de la mère !  Combien de baisers nous nous sommes envoyés, renvoyés, elle du fond de la voiture, moi de dessus mon cheval, tandis que sa mère dormait !  Combien de fois nos yeux et nos bras se sont élevés vers le ciel !  C'était autant de serments !  Quel plaisir à lui donner la main, en descendant de voiture, en y remontant !  Combien nous nous sommes affligés !  Que de larmes nous avons versé !"")",,1.0,Insertion
312,"('#monsieur-hardouin', ""Et cet énorme chapeau, rabattu, vous dérobait aux regards de la mère ?  Mais qu'avez-vous projeté."")",,1.0,Insertion
313,"('#monsieur-de-crancey', ""Tout ce qu'il est possible d'imaginer d'extravagant."")",,1.0,Insertion
314,"('#monsieur-hardouin', 'Les voilà !  Sortez vite.')",,1.0,Insertion
315,"('#monsieur-de-crancey', ""Non, je reste.  Je veux que cette femme me voie ; et connaisse par ce que j'ai fait, ce que je serais capable de faire."")",,1.0,Insertion
316,"('#madame-de-vertillac', ""Mademoiselle, je ne vous conseille pas d'être de cette maussaderie, si vous voulez que je vous présente ailleurs."")",,1.0,Insertion
317,"('#mademoiselle-de-vertillac', 'Ah ciel.  Je suis prête à me trouver mal.')",,1.0,Insertion
318,"('#madame-de-vertillac', ""Bonjour, mon cher Hardouin...  Qu'avez-vous ?  Est-ce avec ce visage-là qu'on reçoit ses anciens amis.  Vous voilà tout déconcerté.  Vous ne m'attendiez pas."")",,1.0,Insertion
319,"('#monsieur-hardouin', 'Pardonnez-moi, madame, je vous savais à Paris.')",,1.0,Insertion
320,"('#madame-de-vertillac', ""Et c'est moi qui vous préviens ?"")",,1.0,Insertion
321,"('#monsieur-hardouin', ""Je suis accablé d'affaires."")",,1.0,Insertion
322,"('#madame-de-vertillac', ""Qu'est-ce que cet homme-là ?  C'est notre postillon, je crois.  L'ami, n'as-tu pas été mieux payé que tu ne nous as servies.  Parle.  Que veux-tu ?  Un petit écu de plus.  Dis à mon laquais de te le donner... C'est lui !  c'est mon persécuteur ; le maudit homme, cessera-t-il de me poursuivre ?...  Monsieur, par hasard, est-ce que vous auriez été notre postillon ? De Crancey relevant son chapeau qu'il avait tenu rabattu"")",,1.0,Insertion
323,"('#monsieur-de-crancey', ""Madame, j'ai eu cet honneur pendant toute la route."")",,1.0,Insertion
324,"('#madame-de-vertillac', 'Et vous le saviez ?')",,1.0,Insertion
325,"('#mademoiselle-de-vertillac', 'Il est vrai, maman.')",,1.0,Insertion
326,"('#madame-de-vertillac', ""Vous le saviez !  Et vous ne m'en avez rien dit ?"")",,1.0,Insertion
327,"('#monsieur-hardouin', ""À sa place, qu'eussiez-vous fait ?"")",,1.0,Insertion
328,"('#madame-de-vertillac', ""Je ne suis plus surprise de sa lenteur à nous mener.  Que je suis à plaindre !  Ils me feront devenir folle. Vous riez...  Faut-il donc s'en retourner en province. À Monsieur Hardouin."")",,1.0,Insertion
329,"('#monsieur-hardouin', 'Non, mais les marier à Paris ; et le plus tôt sera le mieux.')",,1.0,Insertion
330,"('#mademoiselle-de-vertillac', 'Monsieur, ce procédé est indigne.')",,1.0,Insertion
331,"('#monsieur-de-crancey', ""Madame, pardons ; mille pardons.  L'amour..."")",,1.0,Insertion
332,"('#madame-de-vertillac', ""L'amour, l'amour est un fou."")",,1.0,Insertion
333,"('#monsieur-hardouin', 'Madame, qui le scait mieux que nous.')",,1.0,Insertion
334,"('#madame-de-vertillac', ""Retirez-vous.  Je ne veux ni vous entendre ni vous voir.  Je crois que votre projet est de me tourmenter ici, comme vous avez fait depuis trois ans en province.  Mais écoutez-moi, et ne perdez pas un mot de ce que je vais vous dire.  Vous aimez ma fille ; si, sous quelque forme que ce soit, vous approchez de notre domicile ; si vous nous obsédez au spectacle, à la promenade, en visite ; si vous me causez le moindre souci ; je l'enferme dans un couvent pour n'en sortir que quand il ne sera plus en mon pouvoir de l'y retenir.  Adieu.  Adieu, mon ami."")",,1.0,Insertion
335,"('#monsieur-de-crancey', ""Cette extravagante, cette cruelle mère ne sait ni ce qu'un amant tel que moi peut oser ; ni jusqu'où sa rigueur dont tout le monde est indigné, peut conduire sa fille.  Il me semble que sa propre expérience aurait dû la mieux conseiller ; car enfin...  Madame de Vertillac, prenez-y garde.  Nous ferons quelque extravagance d'éclat dont tout le blâme retombera sur vous, je vous en préviens.  On dira...  Ce que vous entendez, mon ami, je vous supplie de le rendre fidelement à Madame de Vertillac."")",,1.0,Insertion
336,"('#monsieur-hardouin', ""Doucement.  Modérez-vous ; et voyons, à tête reposée, s'il n'y auroit pas quelque moyen de finir notre peine."")",,1.0,Insertion
337,"('#monsieur-de-crancey', ""Elle passe pour avoir eu du goût pour vous.  On croît même qu'une assez longue suite de successeurs ne vous a pas fait oublier.  Priez, suppliez, ordonnez ensuite, car on en acquiert le droit avec les femmes.  Que mon sort se décide et promptement ; ou je ne réponds de rien."")",,1.0,Insertion
338,"('#monsieur-hardouin', ""Il faut y penser.  J'y pense ; et plus j'y pense plus la chose me parait difficile."")",,1.0,Insertion
339,"('#monsieur-de-crancey', 'Quoi cette heureuse fécondité en expédients qui vous a fait tant de réputation...')",,1.0,Insertion
340,"('#monsieur-hardouin', 'Et de haines.')",,1.0,Insertion
341,"('#monsieur-de-crancey', 'Cessera-t-elle pour votre ami ?')",,1.0,Insertion
342,"('#monsieur-hardouin', 'Je suis devenu pusillanime, scrupuleux.')",,1.0,Insertion
343,"('#monsieur-de-crancey', ""Je vois ce que c'est.  Vous avez encore des vues sur Madame de Vertillac ; comme elle pourrait bien en avoir sur vous ; et vous craignez..."")",,1.0,Insertion
344,"('#monsieur-hardouin', ""Je crains les reproches de ma conscience ; les vôtres ; mon âme est devenue timorée ; je ne me reconnais pas ; ah si j'étais ce que je fus !  Autrefois !  Et puis, je ne vois que des gens qui veulent la chose et qui ne veulent pas les moyens."")",,1.0,Insertion
345,"('#monsieur-de-crancey', ""Je n'en suis pas."")",,1.0,Insertion
346,"('#monsieur-hardouin', 'Et vous me donneriez carte blanche.')",,1.0,Insertion
347,"('#monsieur-de-crancey', 'Sans balancer.')",,1.0,Insertion
348,"('#monsieur-hardouin', 'Sans me questionner.')",,1.0,Insertion
349,"('#monsieur-de-crancey', ""Vous questionner ?  Regardez-moi bien.  Lorsqu'il s'agira de finir mon supplice et celui de mon amie ; fallût-il, les yeux bandés signer un pacte avec le diable, me voilà prêt."")",,1.0,Insertion
350,"('#monsieur-hardouin', ""Ce n'est pas tout à fait cela.  Mais première condition.  Point de curiosité."")",,1.0,Insertion
351,"('#monsieur-de-crancey', ""Je n'en aurai point."")",,1.0,Insertion
352,"('#monsieur-hardouin', 'Seconde condition.  De la docilité.')",,1.0,Insertion
353,"('#monsieur-de-crancey', ""Qu'exigez-vous ?"")",,1.0,Insertion
354,"('#monsieur-hardouin', ""D'ignorer le domicile de ces femmes ; de les laisser en repos ; et de simuler un peu d'indifférence."")",,1.0,Insertion
355,"('#monsieur-de-crancey', ""Moi !  Moi !  Simuler de l'indifférence !  Cela est au-dessus de mes forces.  Je ne saurais.  C'est à m'attirer le mépris de la mère, et à faire mourir de douleur sa fille.  Je ne saurais.  Je ne saurais."")",,1.0,Insertion
356,"('#monsieur-hardouin', 'Avez-vous oublié la menace de Madame de Vertillac.')",,1.0,Insertion
357,"('#monsieur-de-crancey', ""Je me soucie bien de ses menaces.  Un couvent !  On brise les portes d'un couvent ; on en franchit les murs.  Monsieur, l'amour est plus fort que l'enfer."")",,1.0,Insertion
358,"('#monsieur-hardouin', 'Remettez-vous.')",,1.0,Insertion
359,"('#monsieur-de-crancey', 'Me voilà remis.  Oui je suis remis.')",,1.0,Insertion
360,"('#monsieur-hardouin', ""Vous conviendrait-il que Madame de Vertillac ; Madame de Vertillac, entendez-vous, vous suppliât à mains jointes d'avoir la bonté d'épouser mademoiselle sa fille."")",,1.0,Insertion
361,"('#monsieur-de-crancey', 'Me suppliât !')",,1.0,Insertion
362,"('#monsieur-hardouin', ""Oui, oui, vous suppliât ; sans trop présumer de mes forces, je pourrais, je crois, l'amener jusques là."")",,1.0,Insertion
363,"('#monsieur-de-crancey', ""Mais la fuir !  Mais jouer l'indifférence !  Mon ami, ne pourriez-vous pas m'imposer un rôle plus raisonnable et plus facile."")",,1.0,Insertion
364,"('#monsieur-hardouin', 'Homme enragé, que vous demandai-je ?  De ne sortir de votre logis, que quand je vous appellerai.')",,1.0,Insertion
365,"('#monsieur-de-crancey', 'Et cette détention durera-t-elle longtemps ?')",,1.0,Insertion
366,"('#monsieur-hardouin', 'Un jour peut-être.')",,1.0,Insertion
367,"('#monsieur-de-crancey', ""Un jour sans la voir.  Cela ne m'est point encore arrivé.  Un mortel jour entier !  Qu'en pensera-t-elle ?  Vous êtes un tyran.  Allons, j'accorde le jour, mais pas une minute de plus.  À propos, vous ne savez pas ce qui m'a passé par la tête lorsque je conduisais leur voiture.  Au moindre signe de mon amie, je les enlevais toutes deux."")",,1.0,Insertion
368,"('#monsieur-hardouin', ""Qu'eussiez-vous fait de la mère ?"")",,1.0,Insertion
369,"('#monsieur-de-crancey', ""Je ne sais ; mais l'aventure eut fait un tapage enragé ; et il aurait bien fallu qu'elle m'accordât sa fille.  Celle-ci ne l'a pas voulu.  Je crains bien qu'elle ne s'en repente."")",,1.0,Insertion
370,"('#monsieur-hardouin', 'Et vous formiez ce projet sans scrupule ?')",,1.0,Insertion
371,"('#monsieur-de-crancey', 'Aucun.')",,1.0,Insertion
