,corneillet-festin-pierre,moliere-dom-juan,Cost,Operation Type
113,"('#charlotte', ""Et ne m'disais-tu pas qu'glien avait un, Piarrot, Qu'était bien pu mieux fait que tretous ?"")","('#charlotte', ""Ne m'as-tu pas dit, Piarrot, qu'il y en a un qu'est bien pu mieux fait que les autres ? "")",0.0,Match
114,"('#pierrot', ""C'est le Maître, Queuque bian gros Monsieu, de pu gros qui puisse être ; Car i n'a que du d'or par ila, par ici, Et ceux qui le sarvont sont de Monsieus aussi. Stan pendant, si je n'eume été là, palsanguenne Il en tenait."")","('#pierrot', ""Oui, c'est le maître, il faut que ce soit queuque gros gros Monsieur, car il a du dor à son habit tout de pis le haut jusqu'en bas ; et ceux qui le servont sont des Monsieux eux-mesmes ; et stapandant, tout gros Monsieur qu'il est, il serait par ma fique nayé si je naviomme été là. "")",0.0,Match
115,"('#charlotte', ""Ardé z'un peu."")","('#charlotte', 'Ardez un peu. ')",0.0,Match
116,"('#pierrot', ""Jamais marguenne, Tout gros Monsieu qui l'est, il n'en fut revenu."")","('#pierrot', 'Ô parquenne, sans nous, il en avait pour sa maine de fèves. ')",1.78,Substitution
117,"('#charlotte', 'Et cheu toi, dis Piarrot, est-il encor tout nu ?')","('#charlotte', 'Est-il encore cheux toi tout nu, Piarrot ? ')",0.0,Match
118,"('#pierrot', ""Nannain, tout devant nous qui le regardions faire, I l'avons rhabillé. Monguieu, combian d'affaire ! J'n'avais vu s'habiller jamais de Courtisans, Ni leu z'Angingorniaux ; je me pardrais dedans. Pour les z'y faire entrer comme n'en lé balote ! J'étas tout éboby de voir ça. Quien, Charlotte, Quand i sont habillés, i vous z'ant tout-à-point De grands cheveux touffus, mais qui ne tenont point À leu tête, et pis vla tout d'un coup qui l'y passe, I boutont ça tout comme un bonnet de filasse. Leu Chemise qu'à voir j'étas tout étourdi, Ant dé manche où tous deux j'entrerions tout brandi. En deglieu d'haut-de-chausse, il ant sartaine histoire Qui ne leu vient que là ; j'auras bian de quoi boire, Si j'avas tout l'argent dé Lisets de dessu. Glien a tant, glien a tant, qu'en n'an serait voir pu. Il n'ant jusqu'au Colet qui n'va point en darrière, Et qui leu pend devant bâti d'une manière, Que je n'te l'sérais dire, et si j'l'ai vu de près. Il ant au bout dé bras d'autres petits-collets, Aveu des passements faits de dantale blanche, Qui veniant par le bout faisont le tour dé manche. Montrant son genou."")","('#pierrot', ""Nannain, ils l'avont rhabillé tout devant nous.  Mon quieu, je n'en avais jamais vu s'habiller, que d'histoires et d'angigorniaux boutont ces Messieus-là les courtisans, je me pardrois là dedans pour moi, et j'estois tout ébobi de voir ça.  Quien, Charlotte, ils avont des cheveux qui ne tenont point à leu teste, et ils boutont ça après tout, comme un gros bonnet de filace.  Ils ant des chemises qui ant des manches où j'entrerions tout brandis, toi et moi.  En glieu d'haut de chausse, ils portont un garde-robe aussi large que d'ici à Pasque ; en glieu de pourpoint, de petites brassières, qui ne leu venont pas usqu'au brichet ; et en glieu de rabats, un grand mouchoir de cou à réziau, aveuc quatre grosses houppes de linge qui leu pendont sur l'estomaque.  Ils avont itou d'autres petits rabats au bout des bras, et de grands entonnois de passement aux jambes, et parmi tout ça tant de rubans, tant de rubans, que c'est une vraie piquié.  Ignia pas jusqu'aux souliers qui n'en soiont farcis tout de pis un bout jusqu'à l'autre ; et ils sont faits d'eune façon que je me romprois le cou aveuc. "")",0.0,Match
119,"('#charlotte', ""I faut que j'aille voir, Piarrot."")","('#charlotte', ""Par ma fi, Piarrot, il faut que j'aille voir un peu ça. "")",0.0,Match
120,"('#pierrot', ""Oh, si te plaît, J'ai queuq'chose à te dire."")","('#pierrot', ""Ô acoute un peu auparavant, Charlotte : j'ai queuque autre chose à te dire, moi. "")",0.0,Match
121,"('#charlotte', ""Et bian, dis qu'esque c'est ?"")","('#charlotte', ""Et bian !  Dis, qu'est-ce que c'est ? "")",0.0,Match
122,"('#pierrot', ""Vois-tu, Charlotte, i faut qu'aveu toi, com's'dit l'autre, Je débonde mon coeur, il irait trop du nôtre, Quand je somme pour être à nous deux tout de bon, Si je n'me plaignas pas."")","('#pierrot', ""Vois-tu, Charlotte, il faut, comme dit l'autre, que je débonde mon coeur.  Je t'aime, tu le sais bian, et je sommes pour estre mariés ensemble, mais marquenne, je ne suis point satisfait de toi. "")",0.0,Match
123,"('#charlotte', ""Quemment ? Qu'est-qu'iglia don ?"")","('#charlotte', ""Quement ?  Qu'est-ce que c'est donc qu'iglia ? "")",0.0,Match
124,"('#pierrot', ""Iglia que franchement tu me chagraignes l'âme."")","('#pierrot', ""Iglia que tu me chagraignes l'esprit, franchement. "")",0.0,Match
125,"('#charlotte', ""Et d'où vient ?"")","('#charlotte', 'Et quement donc ? ')",0.94,Substitution
126,"('#pierrot', ""Tastigué, tu dois être ma Femme. Et tu ne m'aimes pas."")","('#pierrot', ""Testiguienne, tu ne m'aimes point. "")",0.0,Match
127,"('#charlotte', ""Ah, ah, n'est-ce que ça."")","('#charlotte', ""Ah !  Ah !  N'est que ça ? "")",0.0,Match
128,"('#pierrot', ""Non, s'n'est qu'ça, stanpendant c'est bian assez, vien ça."")","('#pierrot', ""Oui, ce n'est que ça, et c'est bian assez. "")",0.3,Substitution
129,"('#charlotte', ""Mon guieu, toujou, Piarrot, tu m'dis la même chose."")","('#charlotte', 'Mon quieu, Piarrot, tu me viens toujou dire la mesme chose. ')",0.0,Match
130,"('#pierrot', ""Si j'te la dis toujou, c'est toi qu'en est la cause, Et si tu me faisais queuquefouas autrement, J'te diras autre chose."")","('#pierrot', ""Je te dis toujou la mesme chose, parce que c'est toujou la mesme chose ; et si ce n'étoit pas toujou la mesme chose ; je ne te dirois pas toujou la mesme chose. "")",0.19,Substitution
131,"('#charlotte', ""Apprends-moi donc quement, Tu voudrais que j'te fisse."")","('#charlotte', ""Mais qu'est-ce qu'il te faut ?  Que veux-tu ? "")",0.52,Substitution
132,"('#pierrot', ""Oh, je veux que tu m'aime."")","('#pierrot', ""Jerniquenne !  Je veux que tu m'aimes. "")",0.0,Match
133,"('#charlotte', ""Es-que je n't'aime pas ?"")","('#charlotte', ""Est-ce que je ne t'aime pas ? "")",0.0,Match
134,"('#pierrot', ""Non, tu fais tout de même Que si j'n'avions point fait nos z'accordailles, et si J'n'ai rien à me reprocher là-dessus, Dieu marci. Das qui passe un Marcier, tout aussitôt j't'ajette Lé pu jolis lacets qui soient dans sa bannette. Pour t'aller dénicher dé Marle je ne sais z'où Tous lé jours je m'hasarde à me rompre le cou. Je fais jouer pour toi lé vielleux z'à ta fête, Et tout ça, contre un mur c'est me cougné la tête. J'n'y gagne rien. Vois-tu ? Ça n'est ni biau ni bon, De n'vouloir pas aimer les gens qui nous z'aimon."")","('#pierrot', ""Non, tu ne m'aimes pas ; et si, je fais tout ce que je pis pour ça.  Je t'achète, sans reproche, des rubans à tous les marciers qui passont ; je me romps le cou à t'aller denicher des marles, je fais jouer pour toi les vielleux quand ce vient ta feste, et tout ça, comme si je me frappois la teste contre un mur.  Vois-tu, ça n'est ni biau ni honneste de n'aimer pas les gens qui nous aimont. "")",0.0,Match
135,"('#charlotte', ""Mon guieu, je t'aime aussi, de quoi te mettre en paine ?"")","('#charlotte', ""Mais, mon gnieu, je t'aime aussi. "")",0.97,Substitution
136,"('#pierrot', ""Oui, tu m'aimes, mais c'est d'une belle dégaine."")","('#pierrot', ""Oui, tu m'aimes d'une belle deguaine ! "")",0.12,Substitution
137,"('#charlotte', ""Qu'es-donc q'tu veux qu'en fasse ?"")","('#charlotte', ""Quement veux-tu donc qu'on fasse ? "")",0.0,Match
138,"('#pierrot', ""Oh, je veux que tout haut, L'en fasse ce qu'en fait pour aimé comme i faut."")","('#pierrot', ""Je veux que l'en fasse comme l'en fait quand l'en aime comme il faut. "")",0.0,Match
139,"('#charlotte', ""J't'aime aussi comme i faut, pourquoi donc q'tu t'étonnes ?"")","('#charlotte', ""Ne t'aimai-je pas aussi comme il faut ? "")",0.14,Substitution
140,"('#pierrot', ""Non, ça s'voit quand il est, et toujou z'aux parsonnes, Quand c'est tout d'bon qu'en aime, en leu fait en passant Mil p'tite singerie ; et sis-je un innocent ? Margué, je n'veux que voir com' la grosse Tomasse Fait au jeune Robain, al n'tient jamais en place, Tant al n'est assotée, et dès qu'a l'voit passer, Al n'attend point qui vienne, al s'en court l'agacer ; Ly jett'son Chapiau bas, et toujou sans reproche Ly fait exprès queuq'niche, ou baille une taloche : Et darrainement oncor que su z'un Escabiau I regardait danser, al s'en fut bian et biau Ly tirer de dessous et l'mit à la renvarse. Jarny vla s'q'c'est qu'aimer, mais margué l'en me barse Quand dret comme un piquet j'vois q'tu viens te parcher. Tu n'me dis jamais mot, et j'ai biau tentincher, En glieu de m'fair' présent d'une bonne égratineure, De m'bailler queuquecoup, ou d'voir par aventure Si j'sis point chatouilleux, tu te grattes lé doigts, Et t'és-là toujou comme une vray souche de bois. T'es trop fraide, vois-tu, ventrigué, ça me choque."")","('#pierrot', ""Non !  Quand ça est, ça se voit, et l'en fait mille petites singeries aux personnes quand on les aime du bon du coeur.  Regarde la grosse Thomasse, comme elle est assotée du jeune Robain : alle est toujou autour de li à l'agacer, et ne le laisse jamais en repos ; toujou al li fait queuque niche ou li baille quelque taloche en passant ; et l'autre jour qu'il estoit assis sur un escabiau, al fut le tirer de dessous li, et le fit choir tout de son long par tarre.  Jarni !  Vlà où l'en voit les gens qui aimont ; mais toi, tu ne me dis jamais mot, t'es toujou là comme eune vraie souche de bois ; et je passerois vingt fois devant toi, que tu ne te grouillerois pas pour me bailler le moindre coup, ou me dire la moindre chose.  Ventrequenne !  ça n'est pas bian, après tout, et t'es trop froide pour les gens. "")",0.0,Match
141,"('#charlotte', ""C'est me n'imeur, Piarrot ; que veux-tu ?"")","('#charlotte', ""Que veux-tu que j'y fasse ?  C'est mon himeur, et je ne me pis refondre. "")",1.31,Substitution
142,"('#pierrot', ""Tu te moques. Quand l'en aime les Gens, l'en en baille toujou Queuq'petit' signifiance."")","('#pierrot', ""Ignia himeur qui quienne.  Quand en a de l'amiquié pour les personnes, l'an en baille toujou queuque petite signifiance."")",0.0,Match
143,"('#charlotte', ""Ô cherche donc par où. S'tu penses qu'à t'aimer queuque autre soit pu prompte, Va l'aimer, j'te l'accorde."")","('#charlotte', ""Enfin je t'aime tout autant que je pis, et, si tu n'es pas content de ça, tu n'as qu'à en aimer queuque autre. "")",0.01,Substitution
144,"('#pierrot', ""Et bian, vla pas mon compte ? Tastigué, s'tu m'aimais, m'dirais-tu ça ?"")","('#pierrot', ""Eh bien, vlà pas mon compte.  Testigué, si tu m'aimais, me dirais-tu ça ? "")",0.0,Match
145,"('#charlotte', ""Pourquoi M'viens-tu tarabuster toujou l'esprit ?"")","('#charlotte', ""Pourquoi me viens-tu aussi tarabuster l'esprit ? "")",0.0,Match
146,"('#pierrot', ""Dis-moi. Queu mal t'fais-je à vouloir que tu m'fasses paraître Un peu pu d'amiquié ?"")","('#pierrot', ""Morqué !  Queu mal te fais-je !  Je ne te demande qu'un peu d'amiquié. "")",0.0,Match
147,"('#charlotte', ""Va, ça m'viendra peut-être. Ne me presse point tant, et laisse faire."")","('#charlotte', ""Eh bian !  Laisse faire aussi, et ne me presse point tant, peut-être que ça viendra tout d'un coup sans y songer. "")",0.0,Match
148,"('#pierrot', ""Et bien, Touche donc là, Charlotte, et d'bon coeur."")","('#pierrot', 'Touche donc là, Charlotte. ')",0.15,Substitution
149,"('#charlotte', 'Et bien, quien.')","('#charlotte', 'Eien, quien. ')",0.07,Substitution
150,"('#pierrot', ""Promets q'tu tâcheras z'a m'aimer davantage."")","('#pierrot', ""Promets-moi donc que tu tâcheras de m'aimer davantage. "")",0.0,Match
151,"('#charlotte', 'Est-ce là su Monsieu ?')","('#charlotte', ""J'y ferai tout ce que je pourrai, mais il faut que ça vienne de lui-même.  Pierrot, est-ce là ce Monsieur ? "")",1.93,Substitution
152,"('#pierrot', 'Oui, le vla.')","('#pierrot', 'Oui, le vlà. ')",0.0,Match
153,"('#charlotte', ""Queu dommage Qui l'eût été nayé ! Qui l'est genty !"")","('#charlotte', ""Ah !  Mon quieu, qu'il est genti, et que ç'auroit été dommage qu'il eût esté nayé ! "")",0.11,Substitution
154,"('#pierrot', 'Je vas Boire chopaine, aguieu, je ne tarderai pas.')","('#pierrot', ""Je revians tout à l'heure : je m'en vas boire chopaine, pour me rebouter tant soit peu de la fatigue que j'ais eue. "")",0.47,Substitution
155,"('#don-juan', ""Il n'y faut plus penser, c'en est fait, Sganarelle. La force entre mes bras allait mettre la Belle, Lorsque ce coup de vent, difficile à prévoir, Renversant notre Barque, a trompé mon espoir. Si par là de mon feu l'espérance est frivole, L'aimable Paysanne aisément m'en console, Et c'est une conquête assez pleine d'appas, Qui dans l'occasion ne m'échappera pas. Déjà par cent douceurs j'ai jeté dans son âme Ces dispositions à bien traiter ma flamme On se plaît à m'entendre, et je puis espérer Qu'ici je n'aurai pas longtemps à soupirer."")","('#don-juan', ""Nous avons manqué notre coup, Sganarelle, et cette bourrasque imprévue a renversé avec notre barque le projet que nous avions fait ; mais, à te dire vrai, la paysanne que je viens de quitter répare ce malheur, et je lui ai trouvé des charmes qui effacent de mon esprit tout le chagrin que me donnait le mauvais succès de notre entreprise.  Il ne faut pas que ce coeur m'échappe, et j'y ai déjà jeté des dispositions à ne pas me souffrir longtemps de pousser des soupirs. "")",0.0,Match
156,"('#sganarelle', ""Ah, Monsieur, je frémis à vous entendre dire. Quoi, des bras de la mort quand le Ciel nous retire, Au lieu de mériter par quelque amendement, Les bontés qu'il répand sur nous incessamment ; Au lieu de renoncer aux folles amourettes, Qui déjà tant de fois... Paix, Coquin que vous êtes. Monsieur sait ce qu'il fait, et vous ne savez, vous, Ce que vous dites. S'interrompant, en voyant Don Juan prêt à se fâcher."")","('#sganarelle', ""Monsieur, j'avoue que vous m'étonnez.  À peine sommes-nous échappés d'un péril de mort, qu'au lieu de rendre grâce au Ciel de la pitié qu'il a daigné prendre de nous, vous travaillez tout de nouveau à attirer sa colère par vos fantaisies accoutumées et vos amours cr...  Paix !  Coquin que vous êtes ; vous ne savez ce que vous dites, et Monsieur sait ce qu'il fait.  Allons. "")",0.0,Match
157,"('#don-juan', 'Ah ! Que vois-je auprès de nous ?')",,1.0,Insertion
158,"('#sganarelle', ""Qu'est-ce ?"")",,1.0,Insertion
159,"('#don-juan', ""Tourne les yeux, Sganarelle, et condamne La surprise où me met cette autre paysanne. D'où sort-elle ? Peut-on rien voir de plus charmant ? Celle-ci vaut bien l'autre, et mieux."")","('#don-juan', ""Ah, ah, d'où sort cette autre paysanne, Sganarelle ?  As-tu rien vu de plus joli ?  Et ne trouves-tu pas, dis-moi, que celle-ci vaut bien l'autre ? "")",0.0,Match
160,"('#sganarelle', 'Assurément.')",,1.0,Insertion
161,"('#don-juan', 'Il faut que je lui parle.')",,1.0,Insertion
162,"('#sganarelle', 'Autre pièce nouvelle.')","('#sganarelle', 'Assurément.  Autre pièce nouvelle.')",0.0,Match
163,"('#don-juan', ""L'agréable rencontre ! Et d'où me vient, la belle, L'inespéré bonheur de trouver en ces lieux, Sous cet habit rustique, un chef-d'oeuvre des Cieux ?"")","('#don-juan', ""D'où me vient, la belle, une rencontre si agréable ?  Quoi, dans ces lieux champêtres, parmi ces arbres et ces rochers, on trouve des personnes faites comme vous êtes ? "")",0.0,Match
164,"('#charlotte', 'Eh ! Monsieur.')","('#charlotte', 'Vous voyez, Monsieur. ')",0.0,Match
165,"('#don-juan', ""Il n'est point un plus joli visage."")","('#don-juan', 'Êtes-vous de ce village ?')",1.95,Substitution
166,"('#charlotte', 'Monsieur.')","('#charlotte', 'Oui, Monsieur. ')",0.2,Substitution
167,"('#don-juan', 'Demeurez-vous, ma belle, en ce village !')","('#don-juan', 'Et vous y demeurez ? ')",0.7,Substitution
168,"('#charlotte', 'Oui, Monsieur.')","('#charlotte', 'Oui, Monsieur. ')",0.0,Match
169,"('#don-juan', 'Votre nom ?')","('#don-juan', 'Vous vous appelez ? ')",1.02,Substitution
170,"('#charlotte', ""Charlotte, à vous servir, Si j'en étais capable."")","('#charlotte', 'Charlotte, pour vous servir. ')",0.33,Substitution
171,"('#don-juan', ""Ah, je me sens ravir. Qu'elle est belle, et qu'au coeur sa vue est dangereuse ! Pour moi... À Sganarelle."")","('#don-juan', 'Ah !  La belle personne, et que ses yeux sont pénétrants ! ')",0.43,Substitution
172,"('#charlotte', 'Vous me rendez, Monsieur, toute honteuse.')","('#charlotte', 'Monsieur, vous me rendez toute honteuse. ')",0.0,Match
173,"('#don-juan', ""Honteuse, d'ouïr dire ici vos vérités ! Sganarelle, as-tu vu jamais tant de beautés ? Tournez-vous, s'il vous plaît. Que sa taille est mignonne ! Haussez un peu la tête. Ah, l'aimable personne ! Cette bouche, ces yeux. Ouvrez-les tout à fait. Qu'ils sont beaux ! Et vos dents ? Il n'est rien si parfait. Ces lèvres ont surtout un vermeil que j'admire, J'en suis charmé. À Sganarelle. À Charlotte. À Sganarelle À Charlotte. À Sganarelle À Charlotte."")","('#don-juan', ""Ah, n'ayez point de honte d'entendre dire vos vérités.  Sganarelle, qu'en dis-tu ?  Peut-on voir rien de plus agréable ?  Tournez-vous un peu, s'il vous plaît, ah que cette taille est jolie !  Haussez un peu la tête, de grâce, ah que ce visage est mignon.  Ouvrez vos yeux entièrement, ah qu'ils sont beaux !  Que je voie un peu vos dents, je vous prie, ah qu'elles sont amoureuses !  Et ces lèvres appétissantes.  Pour moi, je suis ravi, et je n'ai jamais vu une si charmante personne. "")",0.0,Match
174,"('#charlotte', ""Monsieur, cela vous plaît à dire, Et je ne sais si c'est pour vous railler de moi."")","('#charlotte', ""Monsieur, cela vous plaît à dire, et je ne sais pas si c'est pour vous railler de moi. "")",0.0,Match
175,,"('#don-juan', ""Moi, me railler de vous ?  Dieu m'en garde, je vous aime trop pour cela, et c'est du fond du coeur que je vous parle. "")",1.0,Deletion
176,,"('#charlotte', 'Je vous suis bien obligée, si ça est.')",1.0,Deletion
177,,"('#don-juan', ""Point du tout, vous ne m'êtes point obligée de tout ce que je dis, et ce n'est qu'à votre beauté que vous en êtes redevable. "")",1.0,Deletion
178,,"('#charlotte', ""Monsieur, tout ça est trop bien dit pour moi, et je n'ai pas d'esprit pour vous répondre. "")",1.0,Deletion
179,"('#don-juan', ""Me railler de vous ! Non, j'ai trop de bonne foi. Regarde cette main plus blanche que l'ivoire, Sganarelle, peut-on... À Sganarelle."")","('#don-juan', 'Sganarelle, regarde un peu ses mains. ')",0.64,Substitution
180,"('#charlotte', ""Fi, Monsieur, al est noire Tout comme je n'sais quoi."")","('#charlotte', 'Fi, Monsieur, elles sont noires comme je ne sais quoi. ')",0.0,Match
181,"('#don-juan', 'Laissez-la moi baiser.')","('#don-juan', 'Ha que dites-vous là, elles sont les plus belles du monde, souffrez que je les baise, je vous prie. ')",1.08,Substitution
182,"('#charlotte', ""C'est trop d'honneur pour moi, j'n'os'rais vous refuser. Mais si j'eus su tout ça devant votre arrivée, Exprès aveu du son je m'la serais lavée."")","('#charlotte', ""Monsieur, c'est trop d'honneur que vous me faites, et si j'avais su ça tantôt, je n'aurais pas manqué de les laver avec du son. "")",0.15,Substitution
183,"('#don-juan', ""Vous n'êtes point encor mariée ?"")","('#don-juan', ""Et dites-moi un peu, Belle Charlotte, vous n'êtes pas mariée sans doute ? "")",0.42,Substitution
184,"('#charlotte', ""Oh, non pas, Mais je dois bientôt l'être au fils du grand Lucas. Il se nomme Piarrot ; c'est ma Tante Phlipote Qui nous fait marier."")","('#charlotte', ""Non, Monsieur ; mais je dois bientôt l'être avec Piarrot, le fils de la voisine Simonette. "")",0.0,Match
185,"('#don-juan', ""Quoi, vous, belle Charlotte, D'un simple paysan être la femme ? Non, Il vous faut autre chose, et je crois tout de bon Que le Ciel m'a conduit exprès dans ce village, Pour rompre cet injuste et honteux mariage ; Car enfin je vous aime, et malgré les jaloux, Pourvu que je vous plaise, il ne tiendra qu'à vous Qu'on ne trouve moyen de vous faire paraître Dans l'éclat des honneurs où vous méritez d'être. Cet amour est bien prompt, je l'avouerai ; mais quoi ? Vos beautés tout d'un coup ont triomphé de moi, Et je vous aime autant, Charlotte, en un quart d'heure, Qu'on aimerait une autre en six mois."")","('#don-juan', ""Quoi ?  Une personne comme vous serait la femme d'un simple paysan ?  Non, non c'est profaner tant de beautés, et vous n'êtes pas née pour demeurer dans un village, vous méritez sans doute une meilleure fortune, et le Ciel, qui le connaît bien, m'a conduit ici tout exprès pour empêcher ce mariage, et rendre justice à vos charmes : car enfin, belle Charlotte, je vous aime de tout mon coeur, et il ne tiendra qu'à vous que je vous arrache de ce misérable lieu, et ne vous mette dans l'état où vous méritez d'être, cet amour est bien prompt sans doute ; mais quoi, c'est un effet, Charlotte, de votre grande beauté, et l'on vous aime autant en un quart d'heure, qu'on ferait une autre en six mois. "")",0.0,Match
186,"('#charlotte', 'Oui ?')",,1.0,Insertion
187,"('#don-juan', ""Je meure, S'il n'est rien de plus vrai."")",,1.0,Insertion
188,"('#charlotte', ""Monsieur, je voudrais bien Que ça fût tout com'ça, car vous n'me dites rien Qui n'me fasse assé z'aise, et j'aurais bien envie De n'vous mécroire point, mais j'ai toute ma vie Entendu dire à ceux qui savont bien s'que c'est, Qu'i n'est point de Monsieus qui ne soient toujou prêt À tromper queuque fille, à moins qu'al n'y regarde."")","('#charlotte', ""Aussi vrai, Monsieur, je ne sais comment faire quand vous parlez, ce que vous dites me fait aise, et j'aurais toutes les envies du monde de vous croire, mais on m'a toujou dit qu'il ne faut jamais croire les Monsieux, et que vous autres courtisans êtes des enjoleus, qui ne songez qu'à abuser les filles. "")",0.0,Match
189,"('#don-juan', 'Suis-je de ces gens-là ? Non Charlotte.')","('#don-juan', 'Je ne suis pas de ces gens-là. ')",0.78,Substitution
190,"('#sganarelle', ""Il n'a garde."")","('#sganarelle', ""Il n'a garde. "")",0.0,Match
191,"('#don-juan', ""Le temps vous fera voir comme j'en veux user."")",,1.0,Insertion
192,"('#charlotte', ""Aussi je n'voudrais pas me laisser abuser. Voyez-vous, si j'sis pauvre et native au village, J'ai d'l'honneur tout autant qu'on en ait à mon âge ; Et pour tout l'or du monde on n'me pourrait tenter, Si j'pensais qu'en m'aimant l'en me l'voulût ôter."")","('#charlotte', ""Voyez-vous, Monsieur, il n'y a pas plaisir à se laisser abuser, je suis une pauvre paysanne, mais j'ai l'honneur en recommandation, et j'aimerais mieux me voir morte que de me voir déshonorée. "")",0.0,Match
193,"('#don-juan', ""Je voudrais vous l'ôter, moi ? Ce soupçon m'offense. Croyez que pour cela j'ai trop de conscience, Et que si vos appas m'ont su d'abord charmer, Ce n'est qu'en tout honneur que je vous veux aimer. Pour vous le faire voir, apprenez que dans l'âme J'ai formé le dessein de vous faire ma femme. J'en donne ma parole, et pour vous au besoin L'homme que vous voyez en sera le témoin."")","('#don-juan', ""Moi, j'aurais l'âme assez méchante pour abuser une personne comme vous, je serais assez lâche pour vous déshonorer ?  Non, non, j'ai trop de conscience pour cela, je vous aime, Charlotte, en tout bien et en tout honneur, et pour vous montrer que je vous dis vrai, sachez que je n'ai point d'autre dessein que de vous épouser, en voulez-vous un plus grand témoignage, m'y voilà prêt quand vous voudrez, et je prends à témoin l'homme que voilà de la parole que je vous donne. "")",0.0,Match
194,"('#charlotte', ""Vou m'vouriez épousé, moi ?"")","('#sganarelle', 'Non, non, ne craignez point, il se mariera avec vous tant que vous voudrez. ')",0.69,Substitution
195,"('#don-juan', 'Cela vous étonne ? Demandez au témoin que mon amour vous donne, Il me connaît.')","('#don-juan', ""Ah !  Charlotte, je vois bien que vous ne me connaissez pas encore.  Vous me faites grand tort de juger de moi par les autres, et s'il y a des fourbes dans le monde, des gens qui ne cherchent qu'à abuser des filles, vous devez me tirer du nombre, et ne pas mettre en doute la sincérité de ma foi, et puis votre beauté vous assure de tout.  Quand on est faite comme vous, on doit être à couvert de toutes ces sortes de crainte, vous n'avez point l'air, croyez-moi, d'une personne qu'on abuse ; et pour moi, je l'avoue, je me percerais le coeur de mille coups, si j'avais eu la moindre pensée de vous trahir. "")",1.24,Substitution
196,"('#sganarelle', ""Très fort. Ne craignez rien, allez. Il vous épousera cent fois si vous voulez. J'en réponds."")","('#charlotte', ""Mon_Dieu, je ne sais si vous dites vrai ou non, mais vous faites que l'on vous croit. "")",0.75,Substitution
197,"('#don-juan', 'Et bien donc, pour le prix de ma flamme, Ne consentez-vous pas à devenir ma Femme ?')","('#don-juan', ""Lorsque vous me croirez, vous me rendrez justice assurément, et je vous réitère encore la promesse que je vous ai faite, ne l'acceptez-vous pas ?  Et ne voulez-vous pas consentir à être ma femme ? "")",0.0,Match
198,"('#charlotte', ""I faudret à ma tante en dire un petit mot, Pour qu'al en fût contente, al aime bian Piarrot."")","('#charlotte', 'Oui, pourvu que ma tante le veuille. ')",1.31,Substitution
199,,"('#don-juan', 'Touchez donc là, Charlotte, puisque vous le voulez bien de votre part. ')",1.0,Deletion
200,"('#don-juan', ""Je dirai ce qu'il faut, et m'en rendrai le Maître. Touchez-là seulement, pour me faire connaître Que de votre côté vous voulez bien de moi. Il lui veut prendre la main."")","('#charlotte', ""Mais au moins, Monsieur, ne m'allez pas tromper, je vous prie, il y aurait de la conscience à vous, et vous voyez comme j'y vais à la bonne foi. "")",0.53,Substitution
201,"('#charlotte', ""J'n'en veux que trop, mais vous ?"")","('#don-juan', 'Comment, il semble que vous doutiez encore de ma sincérité ?  Voulez-vous que je fasse des serments épouvantables ?  Que le Ciel... ')",0.93,Substitution
202,"('#don-juan', 'Je vous donne ma foi, Et deux petits baisers vous vont servir de gage...')","('#charlotte', 'Mon_Dieu, ne jurez point, je vous crois. ')",0.4,Substitution
203,"('#charlotte', ""Oh Monsieu, attendé qu'j'ons fait le mariage. Après ça, voyez-vous, je vous baiserai tant Que vous n'erez qu'à dire."")","('#don-juan', 'Donnez-moi donc un petit baiser pour gage de votre parole. ')",0.51,Substitution
204,"('#don-juan', 'Ah, me voilà content. Tout ce que vous voulez, je le veux pour vous plaire, Donnez-moi seulement votre main.')","('#charlotte', 'Oh, Monsieur, attendez que je soyons mariés, je vous prie ; après, ça, je vous baiserai tant que vous voudrez. ')",0.3,Substitution
205,"('#charlotte', 'Pourquoi faire ?')",,1.0,Insertion
206,"('#don-juan', ""Il faut que cent baisers vous marquent l'intérêt..."")","('#don-juan', 'Eh bien, Belle Charlotte, je veux tout ce que vous voulez, abandonnez-moi seulement votre main, et souffrez que par mille baisers, je lui exprime le ravissement où je suis... ')",0.29,Substitution
207,"('#pierrot', 'Tout doucement, Monsieu, tené-vous, si vous plaît. Vous pourriez v-s-échauffant gagné la purésie.')","('#pierrot', ""Tout doucement, Monsieur, tenez-vous, s'il vous plaît, vous vous échauffez trop, et vous pourriez gagner la purésie. "")",0.0,Match
208,"('#don-juan', ""D'où cet impertinent nous vient-il ?"")","('#don-juan', ""Qui m'amène cet impertinent ? "")",0.0,Match
209,"('#pierrot', ""Oh jarnie, J'vous dis qu'où vous tegniais, et qu'i n'est pas besoin Qu'où vegniais courtisé nos Femmes de si loin."")","('#pierrot', ""Je vous dis qu'où vous tegniez, et qu'ou ne caressiais point nos accordées. "")",0.2,Substitution
210,"('#don-juan', 'Ah, que de bruit ?')","('#don-juan', 'Ah !  Que de bruit ! ')",0.0,Match
211,"('#pierrot', ""Margué, j'ne no z'émouvons guère, Pour cé pousseus de Gens."")","('#pierrot', ""Jerniquenne !  Ce n'est pas comme ça qu'il faut pousser les gens. "")",1.54,Substitution
212,"('#charlotte', 'Piarrot, laisse-le faire.')","('#charlotte', 'Et laisse-le faire aussi, Piarrot. ')",0.0,Match
