,dufresny-regnard-chinois,dufresny-depart-des-comediens,Cost,Operation Type
117,"('#arlequin', ""Ne t'y frotte pas, ma mie ; ce sont des gaillards qui n'ont aucune considération pour le sexe."")",,1.0,Insertion
118,"('#isabelle', 'Ah, mon_Dieu !  Colombine, le vilain homme !')",,1.0,Insertion
119,"('#arlequin', ""Vous êtes charmée de ma personne, n'est-ce pas ? Quand j'ai ce compère-là sur le poing, je ne manque guère ma proie.  Nous avons dans notre famille le vol des filles et du dindon. Il montre un dindon qu'il porte sur le poing."")","('#colombine', ""On l'appelle madame la marquise d'Argent-filé."")",1.43,Substitution
120,"('#colombine', ""Les filles de ce pays-ci ne se prennent pourtant pas avec des poulets d'Inde ; quelquefois avec une fricassée de poulets, donnée à propos, je ne dis pas que non."")","('#pierrot', ""D'Argent-filé ?  C'est justement la mienne."")",1.97,Substitution
121,"('#arlequin', ""Votre chambrière a de l'esprit ; je la retiens pour être mon premier piqueur."")","('#colombine', 'Comment maraud, tu vas sur mes brisées ?')",0.81,Substitution
122,,"('#pierrot', ""C'est toi qui vas sur mon marché."")",1.0,Deletion
123,"('#colombine', ""Oh !  Monsieur, vous me faites trop d'honneur ; je ne sais pas piquer."")","('#colombine', 'Tu es un flagorneur.')",1.23,Substitution
124,"('#arlequin', 'Oh !  Que cela ne te mette point en peine, on te montrera.')",,1.0,Insertion
125,"('#isabelle', ""Mais, Monsieur, vous ne parlez que de chasse ; est-ce que vous n'avez pas d'autre occupation ?"")","('#pierrot', 'Tu es une chercheuse...')",1.63,Substitution
126,"('#arlequin', ""Oh !  Que si ; j'aime l'étude passionnément ; je nie renferme tous les matins dans mon cabinet avec mes chiens et mes chevaux."")","('#arlequin', 'Là, là, là, doucement.')",1.43,Substitution
127,"('#isabelle', 'La compagnie est savante !')",,1.0,Insertion
128,"('#arlequin', ""L'après-dînée, je monte ma jument poil d'étourneau, pour brossailler dans la forêt, et le lendemain, pour être de meilleur matin au bois, je me couche pour l'ordinaire tout botté et éperonné."")","('#pierrot', ""Madame_la_Marquise m'a choisi à la mine, et elle m'a distingué par la propre personne. \n"")",1.31,Substitution
129,"('#isabelle', 'Tout botté et éperonné !')","('#colombine', ""Et moi, j'y suis entrée de la main d'un joli homme."")",1.82,Substitution
130,"('#arlequin', ""Oh !  Que cela ne vous mette pas en peine ; nous ne nous toucherons point : mon lit a vingt-cinq pieds de diamètre, et ce n'est pas trop pour coucher deux personnes et une meute de cinquante chiens courants."")","('#arlequin', ""Hé bien, vous la servirez tous deux.  C'est ton avantage, Colombine : et quand une dame a un valet de chambre, le service se fait mieux : la maîtresse est toujours de bonne humeur, et la fille de chambre est moins grondée."")",1.38,Substitution
131,"('#isabelle', 'Quoi, monsieur !  Si je vous épouse, tous ces chiens-là coucheront avec moi ?')",,1.0,Insertion
132,"('#arlequin', ""Oh !  Non, pas tous : j'en choisirai une vingtaine des moins galeux."")","('#pierrot', ""Oui-da, il y a moyen de s'accommoder, aussi bien tu es délicate et fluette, tu ne peux pas tout faire : et je servirai, moi, pour la grosse besogne."")",1.22,Substitution
133,"('#colombine', 'Je suis votre très humble servante : la nuit, ils pourraient bien prendre ma maîtresse pour une biche, et la dévorer.')","('#colombine', 'Tu serviras donc à la cuisine ?')",1.47,Substitution
134,,"('#pierrot', ""Oh, il n'y a point de cuisine chez cette marquise-là."")",1.0,Deletion
135,,"('#arlequin', ""C'est-à-dire que chacun porte son plat, et qu'on fait tout cuire en ville."")",1.0,Deletion
136,"('#arlequin', ""Tais-toi ; j'ai bien plus de risques à courir qu'elle.  Quand nous serons mariés, elle pourrait bien me changer en cerf comme Actéon ; et mes chiens ne feraient plus qu'un morceau de ma personne. On donne du cor, les chiens viennent sur le théâtre, courant après un sanglier."")","('#pierrot', ""J'aurais envie d'être portier, j'ai étudié pour cela : car un jour dans notre village, il me prit de quitter la robe pour l'épée ; j'étais bedeau, je me fis suisse. \n"")",0.95,Substitution
137,"('#colombine', ""Ah, mademoiselle !  Un sanglier qui est entré ici ! Elles s'enfuient. La chasse du sanglier fait le divertissement du premier acte."")","('#colombine', ""Si tu étais portier, tu emporterais tout le profit ; la porte d'une coquette est aussi lucrative que celle d'un juge."")",1.06,Substitution
138,"('#colombine', ""Hé bien, monsieur, n'êtes-vous pas charmé de votre prétendu gendre, monsieur le baron de la Dindonnière ?  Par ma foi, il faudrait que vous fussiez fou pour lui donner votre fille : j'aimerais autant lui faire épouser un chenil tout entier."")","('#arlequin', ""Vous pouvez partager l'emploi ; car chez les coquettes il doit toujours y avoir deux portes et deux escaliers.  Pendant que l'un entre par celle-ci, l'autre sort par celle-là."")",1.19,Substitution
139,"('#roquillard', ""Certes, il est mal avenant de sa personne, et j'en ai regret ; car moi et mes ancêtres avons toujours chéri la chasse et les chasseurs.  J'ai dans ma bibliothèque plus de cent bois de cerf, rangés par ordre chronologique ?  Avec les relations historiques de la prise d'iceux."")",,1.0,Insertion
140,"('#colombine', ""Diantre !  Voilà de beaux titres de noblesse, cent bois de cerf dans une famille !  Sans ceux qu'on y a introduits, et dont on n'a pas tenu de registre."")",,1.0,Insertion
141,"('#roquillard', ""Le malencontreux visage que ce baron de la Dindonnière !  Encore faut-il à ma fille un peu d'accointance, et cet homme-là serait toujours à brosser dans les bois."")",,1.0,Insertion
142,"('#colombine', ""Ce ne serait pas là le plus mauvais de l'affaire.  Tandis qu'un mari court les bois, une femme peut chasser de son côté.  Le meilleur gibier n'est pas toujours dans les forêts ; il y a telle bête à Paris que j'aimerais mieux avoir prise que vingt sangliers.  C'est un friand morceau pour une femme qu'une hure de caissier bien gras."")","('#colombine', ""Mais le profit n'est pas égal : car celui qui entre, et qui meurt d'envie de voir Madame, paye grassement ; mais celui qui sort, voudrait souvent retenir ce qu'il a donné en entrant."")",0.67,Substitution
143,"('#roquillard', ""En sorte donc, Colombine, que cet homme-là n'est point de ton goût."")",,1.0,Insertion
144,"('#colombine', ""Non, ma foi ; et toute servante que je suis, je n'en voudrais ni pour or ni pour argent."")","('#arlequin', ""Cela est vrai.  Tel donne en entrant chez une coquette, qui aurait besoin qu'on lui donnât en sortant. \n"")",0.88,Substitution
145,"('#roquillard', ""Et moi, comment me trouves-tu ?  M'aimerais-tu mieux que lui ?"")",,1.0,Insertion
146,"('#colombine', 'Mille fois.  Vous êtes fleuri, mûr, belle barbe, le cuir doux et bien corroyé.  Bon, bon !  Il y a bien de la comparaison !')",,1.0,Insertion
147,"('#roquillard', ""La coquine !  Je l'aime, que j'en suis fou.  Bai...  bai...  baise-moi, friponne."")",,1.0,Insertion
148,"('#colombine', ""Oui, monsieur, que je vous baise !  Il y a je ne sais combien que vous m'amusez ; vous dites toujours que vous m'épouserez, et vous savez la peine que je prends à vous servir."")","('#colombine', ""Il n'y a qu'un mot qui serve.  Si tu veux, nous partagerons les profits et le service.  Je présiderai aux conversations secrètes ; toi, tu porteras les billets.  Je veillerai le jour..."")",0.97,Substitution
149,"('#roquillard', 'Il faut se donner patience, tu es encore jeune.')","('#pierrot', 'Je dormirai la nuit. \n')",1.88,Substitution
150,"('#colombine', ""Une fille, pendant ce temps-là, ne laisse pas de s'user ; c'est comme un carrosse qui dépérit autant sous la remise qu'à rouler."")",,1.0,Insertion
151,"('#roquillard', ""Va, va, ma bouchonne, console-toi ; si je ne t'épouse pas, je te laisserai quelque chose en mourant."")","('#colombine', ""J'aurai le profit du jeu, et toi tu fourniras les cartes.  Pour ce qui est des habits, je prendrai les jupes, et tu garderas les manteaux."")",0.93,Substitution
152,"('#colombine', ""Dépêchez-vous donc, monsieur ; car j'ai bien de I'impatience de gagner une petite somme d'argent, afin d'avoir le moyen d'être honnête fille jusqu'à la fin de mes jours."")",,1.0,Insertion
153,"('#pierrot', ""Monsieur, il y a là-dedans un homme qui est habillé comme la porte d'un jeu de paume.  Il demande à épouser votre fille ; lui baillerons-nous ?"")",,1.0,Insertion
154,"('#roquillard', ""Doucement, doucement ; ces affaires-là demandent délibération. C'est apparemment le docteur dont je t'ai parlé. À Colombine."")","('#pierrot', 'Je le veux bien. Pierrot et Colombine se retirent. ')",1.13,Substitution
155,"('#pierrot', ""Dame !  Monsieur, il faut que le mal le presse bien fort ; car il est venu en poste, et il dit qu'il veut se marier de même."")",,1.0,Insertion
156,"('#roquillard', ""Il ne faut pas prendre la poste pour venir au mariage ; c'est un gîte où l'on arrive toujours assez tôt."")",,1.0,Insertion
157,"('#pierrot', ""Cela est vrai ; et ceux qui vont si vite sont tout comme ces chevaux fringants, qui n'ont que la première journée dans le ventre."")",,1.0,Insertion
158,"('#arlequin', ""La lune est un astre commun ; Ce qui dépend d'elle est tout un : La femme dépend de la lune ; Ergo toute femme est commune. Taisez-vous, canaille ignorante et indocile ; je veux me marier, moi ; oui, je veux me marier.  Ils n'ont autre chose à me dire : Monsieur le Docteur, prenez garde à vous ; vous êtes perdu si vous faites cette folie-là : la femme est le précipice de l'homme.  Taisez-vous, vous dis-je ; vous êtes des ânes ; vous ne le savez que par expérience, moi je le sais par science : Quidquid utrique datur ; commune locatur.  Je vous le prouve en français. Je n'ai que faire de vos conseils : Jacta est alea.  Le dé est sorti du cornet ; il y a longtemps que j'ai fait germer ce mariage-là sur ma tête.  Sic volo, sic jubeo ; sit pro ratione voluntas."")","('#arlequin', ""Et vous monsieur le mystérieux, méditez-vous quelque chose d'utile pour votre fortune ?  Que prétendez-vous faire pour vous enrichir ?"")",1.46,Substitution
159,"('#roquillard', 'Monsieur...')","('#octave', 'Moi ?  Rien.')",0.8,Substitution
160,"('#arlequin', 'Je sais bien que le père est un sot ; mais je lui ai donné ma parole.')",,1.0,Insertion
161,"('#roquillard', 'Hé !  Monsieur...')","('#arlequin', 'Rien ?')",0.8,Substitution
162,,"('#octave', 'Rien du tout.')",1.0,Deletion
163,,"('#arlequin', ""Faire rien serait un excellent emploi, s'il y avait des appointements."")",1.0,Deletion
164,"('#arlequin', ""Je n'ignore pas que la fille ne soit une fieffée coquette ; mais dès le lendemain de la noce je la fais mettre aux Magdelonettes,"")","('#octave', 'Je ne ferai rien, vous dis-je ; et si, je gagnerai plus que pas un de la troupe.')",1.32,Substitution
165,"('#colombine', 'Monsieur, monsieur...')","('#arlequin', 'Apprenez-moi votre secret.')",1.04,Substitution
166,"('#arlequin', ""Je suis persuadé que la suivante est une carogne ; mais je lui donnerai tant de coups d'étrivières..."")","('#octave', ""Je me lèverai tous les jours à dix heures ; et de là jusqu'à midi, je tiendrai conseil à ma toilette sur les ajustements de l'habit du jour."")",1.08,Substitution
167,"('#roquillard #colombine', 'Monsieur, monsieur...')","('#arlequin', ""Oui : mais ces ajustements de l'habit du jour, où les prendrez-vous, si vous n'avez point de métier pour les gagner."")",1.36,Substitution
168,"('#arlequin', ""Ah !  Si vales, bene est ; ego quidem valeo.  N'êtes-vous pas monsieur Roquillard ?"")",,1.0,Insertion
169,"('#roquillard', 'Oui, monsieur ; il y a plus de soixante ans.')",,1.0,Insertion
170,"('#arlequin', ""S'il est ainsi, audite, plaudite, et reculate.  Moi, le pot pourri de la doctrine, le pâté en pot des belles-lettres, et le salmigondis de toutes les sciences, salue très élégamment Christophe Roquillard, l'égout de l'ignorance, la cruche de la stupidité, et le bassin de toutes les impertinences."")",,1.0,Insertion
171,"('#colombine', 'Monsieur, voilà un habile homme ; il sait toutes vos qualités par coeur.')","('#octave', 'Où je les prendrai ?  Ah, ah ! Où je les prendrai !  Je vois bien que tu ne te connais pas en physionomie. Il rit.')",1.11,Substitution
172,"('#arlequin', ""Beau-père, avant que d'entrer en matière, combien avez-vous de filles à me donner ?"")",,1.0,Insertion
173,"('#roquillard', ""Comment donc !  Est-ce qu'il faut plusieurs filles pour faire une femme ?"")",,1.0,Insertion
174,"('#arlequin', ""Vous ne savez donc pas que je suis philosophe, orateur, médecin, astrologue, jurisconsulte, géographe, logicien, barbier, cordonnier, apothicaire ?  En un mot, je suis omnis homo, c'est-à-dire un homme universel."")",,1.0,Insertion
175,"('#colombine', 'Hé bien, monsieur, ne vous fâchez pas ; votre femme sera universelle.')","('#arlequin', ""Ah, ah, je vous entends. C'est-à-dire, vous dépenserez les libéralités de quelque vieille dupe, qui se sera fort mal à propos coiffée de votre noire peau."")",1.02,Substitution
176,,"('#octave', 'À midi, je prendrai un consommé.  À...')",1.0,Deletion
177,"('#arlequin', ""Je sais tout ce qu'on peut savoir dans les sciences et dans les arts : je sais danser, voltiger, pirouetter, cabrioler ; jouer à la paume, au ballon ; lutter, escrimer, pousser d'estoc et de taille ; mais où j'excelle le plus, c'est en musique et en machines de théâtre."")","('#arlequin', ""Je vous quitte de ce détail-là ; je sais par coeur le journal coquet d'un comédien distingué.  Mais, faites-vous réflexion que nous fermons le théâtre, et qu'en France on oublie bien vite ce qu'on n'a plus devant les yeux ?  Croyez-moi, quelque mérite qu'ait un acteur, il cesse de briller quand le théâtre ne le met plus en vogue."")",0.9,Substitution
178,"('#colombine', 'Quoi !  Monsieur le Docteur, vous savez aussi la musique ?')",,1.0,Insertion
179,"('#arlequin', ""Bon !  Je compose des opéras il y a plus de cinquante ans : c'est moi qui ai fait le carillon de la Samaritaine.  Je m'en vais vous faire voir un échantillon de ma science."")",,1.0,Insertion
180,"('#roquillard', ""Diable !  Voilà qui est joli !  Qu'est-ce que cela signifie, monsieur ?"")",,1.0,Insertion
181,"('#arlequin', ""Cela, monsieur ?  C'est la Rhétorique chantante et la Rhétorique dansante, avec toutes les figures, les points, les virgules, les parenthèses et tout le reste."")",,1.0,Insertion
182,"('#roquillard', ""Faites-la un peu venir : je serais bien aise de l'entendre."")",,1.0,Insertion
183,"('#arlequin', 'La voici.  Madame la Rhétorique, dites-nous qui est-ce qui persuade davantage en amour.')","('#octave', ""Je veux me retirer vous dis-je.  Le mérite le plus caché est celui que les dames recherchent avec le plus d'empressement."")",1.0,Substitution
184,,"('#arlequin', ""Il est certain négoce où l'on perd beaucoup en quittant boutique."")",1.0,Deletion
185,,"('#octave', ""On n'a que faire d'enseigne, quand on est bien achalandé."")",1.0,Deletion
186,"('#la-rhetorique', ""Par mes discours doux et flatteurs, Je porte l'amour dans les coeurs, Et j'attendris la plus cruelle. Mais, à parler de bonne foi, L'argent, pour réduire une belle, Est encor plus puissant que moi."")","('#arlequin', ""Quand on trafique des colifichets, et qu'on n'a que des babioles à vendre, il faut étaler en place marchande pour en avoir le débit.  En un mot, je ne veux point m'associer avec vous."")",0.99,Substitution
187,"('#arlequin', ""Voulez-vous, en moins d'un jour, Être heureux en amour ? Laissez les fleurs de rhétorique ; Le chemin en serait trop long : Avec l'or, je vous en réponds ; Mais sans cela, non, non. Dites-nous à présent où va coucher un mari, dans le zodiaque, la première nuit de ses noces. Air : De mon pot, je vous en réponds."")","('#octave', ""Va, va, je n'ai que faire de ta société ; je trouverai bien dans Paris quelque illustre associé qui m'apprendra le fin du commerce."")",1.35,Substitution
188,"('#la-rhetorique', ""Le soleil vagabond jamais ne se repose ; Il va toujours de maison en maison. Que de maris feraient la même chose, S'il leur était permis de changer de prison ! Mais d'un mari la demeure est certaine ; Quelque chemin qu'il prenne, Qu'il aille ou qu'il vienne, Son ascendant Toujours l'entraîne Loger au croissant."")",,1.0,Insertion
189,"('#arlequin', 'Il va coucher tout de go Au signe du Virgo : Mais dès la seconde journée, Le Capricorne est sa maison. De cela je vous en réponds ; Mais du Virgo, non, non. Air : De mon pot, je vous en réponds.')",,1.0,Insertion
190,"('#roquillard', ""Qu'est-ce que signifie cette figure là-bas ?"")","('#arlequin', ""À quel emploi vous destinez-vous, s'il vous plaît ?"")",1.31,Substitution
191,"('#arlequin', ""C'est une Pagode."")","('#le-comedien', ""Moi ?  Je suis retenu auprès d'une comtesse."")",1.46,Substitution
192,"('#roquillard', ""Une Pagode !  Qu'est-ce que c'est qu'une Pagode ?"")","('#arlequin', 'Est-ce en qualité de singe ou de doguin ?')",1.5,Substitution
193,,"('#le-comedien', ""Non : c'est pour lui apprendre la langue."")",1.0,Deletion
194,"('#arlequin', 'Une Pagode est... une Pagode.  Que diable voulez-vous que je vous dise ?')",,1.0,Insertion
195,"('#roquillard', 'Mais à quoi est-elle propre ?  Sait-elle faire quelque chose ?')","('#arlequin', 'Hé, quelle langue ?  Grecque, latine, hébraïque, syriaque ?')",1.09,Substitution
196,"('#arlequin', 'Elle chante aussi.  Je vais vous la faire venir.')","('#le-comedien', ""Non, c'est la langue des mines agréables, gentilles, et mignonnes."")",1.57,Substitution
197,"('#mezzetin', ""Je viens exprès du Congo, ho, ho, ho ! Pour boire à tire-larigot Du vin de Normandie : Car dans ce temps-ci, hi, hi, hi ! Rouen vaut mieux que Tessy. Quoique Paris soit charmant, han, han, han ! J'en partirais à l'instant, Si l'on vendait les filles, Par faute de raisin, hin, hin, hin ! Aussi cher que le vin. On remporte Mezzetin."")","('#arlequin', ""Le langage minaudier ?  Diable !  C'est une mère langue, une langue vivante : car les vieilles minaudent aussi volontiers que les jeunes.  Montrez-moi un peu le dictionnaire et la grammaire de cette langue-là."")",1.48,Substitution
198,"('#roquillard', ""Voilà qui est admirable !  Et qu'est-ce que signifient toutes ces différentes figures-là ?"")","('#le-comedien', 'Le dictionnaire : le voilà. Il fait une grimace. ')",1.38,Substitution
199,"('#arlequin', ""C'est la Rhétorique dansante.  Je vais vous la faire danser avec toute sa suite. La Rhétorique dansante, figurée par Pasquariel, accompagnée de quatre sauteurs, fait un ballet de postures ; ce qui ferme le divertissement du second acte."")","('#arlequin', ""Voilà un dictionnaire d'une vilaine impression.  Faites-moi voir dans votre grammaire quelque dialogue entre une femme et un officier, qui se parlent d'une loge à l'autre. Le Comédien fait des grimaces épouvantables, tantôt d'un côté, tantôt de l'autre, pour marquer l'homme et la femme. "")",1.07,Substitution
200,"('#colombine', ""Je vous dis encore une fois, mademoiselle, que vous ne sauriez mieux faire, et qu'il faut nous en tenir à notre comédien italien."")","('#arlequin', ""Fi, fi !  Arrêtez-vous, je n'en veux pas voir davantage.  Voulez-vous prendre un conseil d'ami ?  C'est de vous en aller à la campagne, et tâcher de vous louer pour épouvantail en quelque chènevière : car tant que vous resterez dans la troupe, vous volerez la part, et vous ferez fuir les spectateurs.  À le bien prendre, vous n'êtes propre à rien."")",0.84,Substitution
201,,"('#arlequin', ""Et vous, monsieur, qu'allez-vous faire ?"")",1.0,Deletion
202,"('#isabelle', ""Je crois que tu as raison.  Je me sens toutes les dispositions à devenir bonne comédienne : j'ai l'esprit à toute main ; je serai prude quand je voudrai, coquette quand il me plaira, fière avec les bourgeois, traitable avec l'homme de qualité ; enfin, il y aura bien du malheur si je ne contente le public."")","('#pasquariel', ""Je m'en vais avec ma soeur jouer l'opéra en vendange."")",1.1,Substitution
203,,"('#arlequin', 'Comment donc ?')",1.0,Deletion
204,"('#colombine', ""Oh !  Le public est un compère qui n'est pas aisé à chausser : on ne sait pas comment faire aujourd'hui pour gagner sa bienveillance.  Je sais bien qu'une jolie personne comme vous a plus de facilité qu'une autre à faire valoir les talents du théâtre,"")","('#mezzetin', ""Oui, monsieur.  Voyant qu'il n'y a plus rien à faire à la comédie, nous nous en allons jouer un opéra à la campagne.  Si vous voulez vous associer à nous, tenez, voilà toutes nos machines. Il montre une espèce de paravent que le comédien porte sur le dos, et qu'il pose à terre. "")",0.74,Substitution
205,"('#isabelle', ""Je crois que je me tirerai d'affaire dans ce pays-là.  Je parais une fois davantage aux chandelles ; j'ai du teint, de l'enjouement.  Pour de l'embonpoint et de la gorge, il n'y a guère de personne à qui je le cède."")","('#arlequin', ""J'irais volontiers avec vous, mais je ne sais pas la musique."")",1.56,Substitution
206,"('#colombine', ""Tant mieux ; c'est l'essentiel pour une comédienne.  La gorge est une partie à quoi les spectateurs s'attachent le plus, principalement messieurs du balcon, qui se mettent là exprès afin d'être plus à portée."")","('#pasquariel', ""Bon : et en faut-il savoir pour chanter à l'opéra ?  Nous ne la savons pas non plus, nous autres.  Nous avons mis Bellérophon sur les airs du pont-neuf : et si voulez être des nôtres, nous vous donnerons votre rôle, que vous chanterez à livre ouvert."")",0.9,Substitution
207,"('#isabelle', ""Je n'ai qu'un défaut pour le théâtre, c'est que je n'ai point de mémoire.  Par exemple, Colombine, si j'aimais un homme aujourd'hui, je crois que je ne m'en souviendrais pas demain."")",,1.0,Insertion
208,"('#colombine', ""La plupart des femmes sont comme vous : mais ce défaut de mémoire est une marque de leur jugement ; car les hommes d'à présent ne méritent pas qu'on les aime plus de vingt-quatre heures.  Mais Octave va venir ; je vais me retirer.  N'aurez-vous point peur de rester toute seule avec lui ?"")",,1.0,Insertion
209,"('#isabelle', ""Bon, bon !  Tu te moques, Colombine.  Est-ce que je suis un enfant ?  À l'âge que j'ai, on ne craint plus rien."")",,1.0,Insertion
210,"('#colombine', ""Je sois aussi âgée que vous, et un tête-à-tête ne laisse pas quelquefois de me faire trembler.  Un jeune homme veut vous persuader qu'il vous aime ; il se jette à vos genoux, il vous prend les mains.  Quand une fille a les mains prises, elle ne saurait pas bien se revancher."")",,1.0,Insertion
211,"('#isabelle', ""D'accord, Colombine ; mais on peut crier."")",,1.0,Insertion
212,"('#colombine', ""Et si le jeune homme vous ferme la bouche d'un baiser, où en êtes-vous ?  Enfin, vous voulez bien en courir les risques, je m'en lave les mains."")",,1.0,Insertion
213,"('#isabelle', ""Que veux-tu ?  Puisque je suis destinée à être comédienne, il faut bien que je m'aguerrisse à faire toutes sortes de personnages."")","('#arlequin', 'Et quel rôle me donnerez-vous ?')",1.08,Substitution
214,"('#octave', ""Enfin, charmante Isabelle, me voilà seul avec vous, et je puis en liberté... Il l'embrasse."")",,1.0,Insertion
215,"('#isabelle', ""Oh !  Monsieur, point de libertés, s'il vous plaît.  Comment !  Vous débutez par où les autres finissent !"")","('#mezzetin', 'Celui de Bellérophon.  Tenez, le voilà.  Essayons pour voir.')",1.44,Substitution
216,"('#octave', ""C'est le privilège de notre profession, mademoiselle ; et la liberté du geste est la plus belle partie du comédien."")",,1.0,Insertion
217,"('#isabelle', ""Une fille n'est donc pas en sûreté avec vous autres messieurs ?"")",,1.0,Insertion
218,"('#octave', ""Ne craignez rien, belle Isabelle ; nous n'avons que l'extérieur de dangereux : notre science se borne à ébranler les coeurs, d'autres les emportent ; et tel ne dit mot dans une loge, qui a tout le profit d'une tendresse que l'acteur s'efforce d'émouvoir."")","('#arlequin', ""Princesse, tout conspire à couronner ma flamme,  Sentez-vous le plaisir qui règne dans mon âme ?  Je le veux bien. Mezzetin embrasse Arlequin, et en l'embrassant lui attache son tablier aux épaules, ce qui forme un habit à la romaine. Arlequin, se trouvant habillé en Bellérophon chante sur l'air, Sur le pont d'Avignon."")",0.72,Substitution
219,"('#isabelle', ""Quand un comédien est fait comme vous, il a souvent la meilleure part dans la tendresse qu'il inspire."")",,1.0,Insertion
220,"('#octave', 'Que je serais heureux, si vous aviez de pareils sentiments pour moi !  Et que votre coeur...')","('#mezzetin', ""J'ai toujours partagé vos peines,  Je dois partager vos plaisirs."")",0.38,Substitution
221,"('#isabelle', 'Mon coeur...  Oh !  Mon coeur ne va pas si vite que vos paroles : je ne vous aime pas encore tout à fait, mais je sens bien que je ne vous hais pas.')",,1.0,Insertion
222,"('#octave', 'Je suis le plus fortuné de tous les hommes.  Mais pour gage de votre bonne volonté, il faut que vous me donniez votre main.')","('#arlequin', ""Qu'un si doux aveu me doit plaire,  Qu'il rend mon destin glorieux ! "")",0.7,Substitution
223,"('#isabelle', ""Ma main ?  Oh !  Monsieur, je n'ai pas le geste si libre que vous."")",,1.0,Insertion
224,"('#octave', ""Vous ne voulez pas m'accorder cette faveur ?...  Ah !  Où suis-je ?....  Une vapeur me ferme les yeux !  Je n'en puis plus ! Il se laisse aller dans les bras d'Isabelle."")","('#mezzetin', ""Quand ma bouche pourrait se taire  L'amour ferait parler mes yeux. "")",0.94,Substitution
225,"('#isabelle', ""Ô ciel !  Quelqu'un !  Colombine, au secours !"")",,1.0,Insertion
226,"('#isabelle', 'Comme vous criez !  Il faut que ce jeune homme soit plus dangereux que vous ne pensiez.')",,1.0,Insertion
227,"('#colombine', ""Ah !  Colombine, il n'en peut plus ; il s'est évanoui dans mes bras."")",,1.0,Insertion
228,"('#colombine', ""Un garçon qui s'évanouit dans les bras d'une fille !  Diantre !  Il court bien de ces maladies-là cette année."")",,1.0,Insertion
229,"('#isabelle', ""Ah, Colombine !  Que veux-tu que j'en fasse ?  Il va me demeurer dans les mains."")","('#arlequin', ""Reçois, reçois, grand Apollon,  Reçois, reçois, grand Apollon,  Reçois ce sacrifice ;  Fais que le ciel, fais que le ciel à nos voeux soit propice. Tout cela va fort bien : mais certaine Sténobée jalouse, pria Amisodar de prier tous les cinquante mille diables de former un monstre de peinture et de carton, pour dévorer Bellérophon.  Bellérophon va prier le roi, le roi prie le sacrificateur, le sacrificateur prie la pythie, la pythie prie l'oracle, l'oracle prie Apollon, Apollon prie le tonnerre, le tonnerre...  Mais voyons un peu le sacrifice. Mezzetin prenant la robe de chambre de Pasquariel, devient sacrificateur, et Pasquariel reste avec un habit de prêtresse, et donne une bouteille de vin à Mezzetin, qui chante sur l'air : Ami, ne quittons point Créteil."")",1.26,Substitution
230,"('#colombine', 'Je vais chercher de quoi le faire revenir.  Tenez-le toujours bien fort.')","('#arlequin', ""Il faut verser le vin sur l'animal."")",1.84,Substitution
231,"('#isabelle', ""Je crois qu'il est mort."")",,1.0,Insertion
232,"('#octave', 'Pas encore tout à fait ; mais je mourrai bientôt, si vous ne me donnez votre main à baiser.')",,1.0,Insertion
233,"('#colombine', 'Colombine dit que quand une fille a les mains prises, elle ne saurait plus se revancher.')",,1.0,Insertion
234,"('#octave', ""Vous ne le voulez pas ?  Ah !  Je n'en puis plus !...  Je rends le dernier soupir !...  Je suis mort. Il retombe."")",,1.0,Insertion
235,"('#isabelle', 'Colombine !  Colombine !')",,1.0,Insertion
236,"('#colombine', 'Ouais !  Le mal est bien opiniâtre !')",,1.0,Insertion
237,"('#isabelle', 'Ah !  Que je suis malheureuse !  Il était revenu.')",,1.0,Insertion
238,"('#colombine', 'Hé bien ?')","('#mezzetin', 'Quelle bête était-ce ?')",1.5,Substitution
239,"('#isabelle', ""Il m'a demandé ma main à baiser."")",,1.0,Insertion
240,"('#colombine', 'Hé bien ?')","('#arlequin', 'Un boeuf.')",1.38,Substitution
241,"('#isabelle', ""Je n'ai pas voulu la lui donner."")",,1.0,Insertion
242,"('#colombine', 'Hé bien ?')",,1.0,Insertion
243,"('#isabelle', 'Et le voilà retombé.')",,1.0,Insertion
244,"('#colombine', ""Tant pis.  Dans ces maux-là, les rechutes fréquentes sont dangereuses.  Il ne faut pourtant pas laisser mourir un garçon pour une bagatelle. Çà, votre main. Çà, votre bouche.  Cela ne vaut-il pas mieux que de l'eau de la reine d'Hongrie ? Sauvez-vous ; voilà le Major qui arrive. À Isabelle. À Octave. On entend un hautbois."")","('#mezzetin', ""Par ce vin que je trouve bon,  Apollon, faites-moi raison.  Au glou de ma bouteille,  Hé bien,  Les dieux prêtent l'oreille,  Vous m'entendez bien.  Boeuf ou âne, n'importe. Il boit et chante sur l'air : Vous m'entendez bien. "")",0.74,Substitution
245,"('#mezzetin', ""De la joie, de la joie, morbleu !  Vive la guerre ! Bonjour, la belle ; n'êtes-vous pas la fille de notre hôte Monsieur Roquillard ? À Isabelle."")",,1.0,Insertion
246,"('#roquillard', ""Oui, monsieur ; c'est ma fille, et je suis le maître."")",,1.0,Insertion
247,"('#mezzetin', ""Toi, le maître ?  Par la mort !  Il faut que je t'assomme."")","('#la-pretresse', ""Chut, chut, gardez tous un silence extrême,  Je vois trembler le temple d'Apollon.  Il vous entend, il va parler lui-même.  Il va tonner à peu près sur le même ton,  Ton re lon, ton ton, tontaine, la tontaine, la ton ton.  On remue le paravent.  Le paravent s'ouvre. "")",1.21,Substitution
