,la-fontaine-daphne,moliere-psyche,Cost,Operation Type
81,"('#daphne', 'Déployons nos trésors.')","('#cleomene', ""Un coeur dont l'amour est extrême Peut-il bien consentir, hélas, D'être donné par ce qu'il aime ! Sur nos deux coeurs, Madame, à vos divins appas Nous donnons un pouvoir suprême, Disposez-en pour le trépas, Mais pour une autre que vous-même Ayez cette bonté de n'en disposer pas."")",1.59,Substitution
82,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
83,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
84,"('#meroe', 'Moi, les plus vives en couleur.')","('#agenor', ""Aux Princesses, Madame, on ferait trop d'outrage, Et c'est pour leurs attraits un indigne partage, Que les restes d'une autre ardeur ; Il faut d'un premier feu la pureté fidèle, Pour aspirer à cet honneur Où votre bonté nous appelle, Et chacune mérite un coeur Qui n'ait soupiré que pour elle."")",1.52,Substitution
85,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#aglaure', ""Il me semble, sans nul courroux, Qu'avant que de vous en défendre, Princes, vous deviez bien attendre Qu'on se fût expliqué sur vous. Nous croyez-vous un coeur si facile et si tendre ? Et lorsqu'on parle ici de vous donner à nous, Savez-vous si l'on veut vous prendre ?"")",0.77,Substitution
86,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#cidippe', ""Je pense que l'on a d'assez hauts sentiments Pour refuser un coeur qu'il faut qu'on sollicite, Et qu'on ne veut devoir qu'à son propre mérite La conquête de ses amants."")",0.84,Substitution
87,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#psyche', ""J'ai cru pour vous, mes Soeurs, une gloire assez grande, Si la possession d'un mérite si haut..."")",0.82,Substitution
88,"('#clymene', 'Amour,')","('#lycas', 'Ah, Madame !')",0.7,Substitution
89,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#psyche', ""Qu'as-tu ?"")",1.64,Substitution
90,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#lycas', 'Le Roi...')",1.49,Substitution
91,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
92,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#psyche', 'Quoi ?')",0.87,Substitution
93,,"('#lycas', 'Vous demande.')",1.0,Deletion
94,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#psyche', ""De ce trouble si grand que faut-il que j'attende ?"")",1.28,Substitution
95,,"('#lycas', 'Vous ne le saurez que trop tôt.')",1.0,Deletion
96,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#psyche', 'Hélas ! Que pour le Roi tu me donnes à craindre !')",1.52,Substitution
97,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#lycas', ""Ne craignez que pour vous, c'est vous que l'on doit plaindre."")",1.9,Substitution
98,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#psyche', ""C'est pour louer le Ciel, et me voir hors d'effroi, De savoir que je n'aie à craindre que pour moi. Mais apprends-moi, Lycas, le sujet qui te touche."")",0.77,Substitution
99,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#lycas', ""Souffrez que j'obéisse à qui m'envoie ici, Madame, et qu'on vous laisse apprendre de sa bouche Ce qui peut m'affliger ainsi."")",1.39,Substitution
100,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#psyche', ""Allons savoir sur quoi l'on craint tant ma faiblesse."")",1.3,Substitution
101,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#aglaure', ""Si ton ordre n'est pas jusqu'à nous étendu, Dis-nous quel grand malheur nous couvre ta tristesse."")",0.81,Substitution
102,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#lycas', ""Hélas ! Ce grand malheur dans la Cour répandu, Voyez-le vous-même, Princesse, Dans l'Oracle qu'au Roi les Destins ont rendu. Voici ses propres mots, que la douleur, Madame, A gravés au fond de mon âme. Que l'on ne pense nullement À vouloir de Psyché conclure l'Hyménée ; Mais qu'au sommet d'un mont elle soit promptement En pompe funèbre menée, Et que de tous abandonnée, Pour époux elle attende en ces lieux constamment Un monstre dont on a la vue empoisonnée, Un serpent qui répand son venin en tous lieux, Et trouble dans sa rage et la Terre et les Cieux. Après un arrêt si sévère. Je vous quitte, et vous laisse à juger entre vous, Si par de plus cruels et plus sensibles coups Tous les Dieux nous pouvaient expliquer leur colère."")",0.0,Match
103,,"('#cidippe', 'Ma soeur, que sentez-vous à ce soudain malheur Où nous voyons Psyché par les Destins plongée ?')",1.0,Deletion
104,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#aglaure', 'Mais vous, que sentez-vous, ma Soeur ?')",1.35,Substitution
105,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#cidippe', ""À ne vous point mentir, je sens que dans mon coeur Je n'en suis pas trop affligée."")",1.77,Substitution
106,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#aglaure', 'Moi, je sens quelque chose au mien Qui ressemble assez à la joie. Allons, le Destin nous envoie Un mal que nous pouvons regarder comme un bien.')",1.12,Substitution
107,,"('#femme-desolee', ""Deh, piangete al pianto mio, Sassi duri, antiche selve, Lagrimate fonti, e belve, D'un bel volto il fato rio."")",1.0,Deletion
108,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#premier-homme-afflige', 'Ahi dolore !')",1.79,Substitution
109,,"('#second-homme-afflige', 'Ahi martire !')",1.0,Deletion
110,"('#apollon', 'Et que crains-tu pour moi ?')","('#premier-homme-afflige', 'Cruda morte !')",1.85,Substitution
111,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#second-homme-afflige', 'Empia sorte !')",1.16,Substitution
112,,"('#trois-affliges', 'Che condanni a morir tanta beltà. Cieli, stelle, ahi crudeltà !')",1.0,Deletion
113,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")","('#second-homme-afflige', ""Com'esser puo fra voi, ò Numi eterni, Chi voglia estinta una beltà innocente ? Ahi ! Che tanto rigor, Cielo inclemente, Vince di crudeltà gli stessi Inferni."")",1.34,Substitution
114,,"('#premier-homme-afflige', 'Nume fiero !')",1.0,Deletion
115,,"('#second-homme-afflige', 'Dio severo !')",1.0,Deletion
116,,"('#trois-affliges', ""Perche tanto rigor Contro innocente cor ? Ahi, sentenza inudita, Dar morte à la beltà, ch'altrui da vita !"")",1.0,Deletion
117,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#femme-desolee', ""Ahi ch'indarno si tarda, Non resiste a li Dei mortale affetto, Alto impero ne sforza : Ove commanda il Ciel, l'uom cede a forza."")",1.48,Substitution
118,,"('#premier-homme-afflige', 'Ahi dolore ! etc. Come Sopra Ces plaintes sont entrecoupées et finies par une entrée de ballet de huit personnes affligées. ')",1.0,Deletion
119,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#psyche', ""De vos larmes, Seigneur, la source m'est bien chère ; Mais c'est trop aux bontés que vous avez pour moi, Que de laisser régner les tendresses de père Jusque dans les yeux d'un grand Roi. Ce qu'on vous voit ici donner à la Nature Au rang que vous tenez, Seigneur, fait trop d'injure, Et j'en dois refuser les touchantes faveurs : Laissez moins sur votre sagesse Prendre d'empire à vos douleurs, Et cessez d'honorer mon destin par des pleurs, Qui dans le coeur d'un roi montrent de la faiblesse."")",0.34,Substitution
120,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#le-roi', ""Ah ! Ma fille, à ces pleurs laisse mes yeux ouverts, Mon deuil est raisonnable, encor qu'il soit extrême, Et lorsque pour toujours on perd ce que je perds, La sagesse, crois-moi, peut pleurer elle-même. En vain l'orgueil du diadème Veut qu'on soit insensible à ces cruels revers, En vain de la Raison les secours sont offerts, Pour vouloir d'un oeil sec voir mourir ce qu'on aime : L'effort en est barbare aux yeux de l'Univers, Et c'est brutalité plus que vertu suprême. Je ne veux point dans cette adversité Parer mon coeur d'insensibilité, Et cacher l'ennui qui me touche ; Je renonce à la vanité De cette dureté farouche Que l'on appelle fermeté ; Et de quelque façon qu'on nomme Cette vive douleur dont je ressens les coups, Je veux bien l'étaler, ma Fille, aux yeux de tous, Et dans le coeur d'un roi montrer le coeur d'un homme."")",0.39,Substitution
121,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#psyche', ""Je ne mérite pas cette grande douleur : Opposez, opposez un peu de résistance Aux droits qu'elle prend sur un coeur Dont mille événements ont marqué la puissance. Quoi, faut-il que pour moi vous renonciez, Seigneur, À cette royale constance, Dont vous avez fait voir dans les coups du malheur Une fameuse expérience ?"")",1.19,Substitution
122,"('#momus', 'Elle fuit.')",,1.0,Insertion
123,"('#apollon', 'Mille amours avec elle ont paru.')","('#le-roi', ""La constance est facile en mille occasions. Toutes les révolutions Où nous peut exposer la fortune inhumaine, La perte des grandeurs, les persécutions, Le poison de l'Envie, et les traits de la Haine, N'ont rien qui ne puissent sans peine Braver les résolutions D'une âme où la raison est un peu souveraine : Mais ce qui porte des rigueurs À faire succomber les coeurs Sous le poids des douleurs amères, Ce sont, ce sont les rudes traits De ces fatalités sévères, Qui nous enlèvent pour jamais Les personnes qui nous sont chères. La raison contre de tels coups N'offre point d'armes secourables ; Et voilà des Dieux en courroux Les foudres les plus redoutables Qui se puissent lancer sur nous."")",1.81,Substitution
124,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#psyche', ""Seigneur, une douceur ici vous est offerte : Votre hymen a reçu plus d'un présent des Dieux, Et, par une faveur ouverte Ils ne vous ôtent rien en m'ôtant à vos yeux, Dont ils n'aient pris le soin de réparer la perte. Il vous reste de quoi consoler vos douleurs, Et cette loi du Ciel que vous nommez cruelle Dans les deux Princesses mes Soeurs, Laisse à l'amitié paternelle Où placer toutes ses douceurs."")",0.46,Substitution
125,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#le-roi', ""Ah, de mes maux soulagement frivole ! Rien, rien ne s'offre à moi qui de toi me console ; C'est sur mes déplaisirs que j'ai les yeux ouverts, Et dans un destin si funeste Je regarde ce que je perds, Et ne vois point ce qui me reste."")",0.07,Substitution
126,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
127,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
128,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#psyche', ""Vous savez mieux que moi qu'aux volontés des Dieux, Seigneur, il faut régler les nôtres, Et je ne puis vous dire en ces tristes adieux, Que ce que beaucoup mieux vous pouvez dire aux autres. Ces Dieux sont maîtres souverains Des présents qu'ils daignent nous faire ; Ils ne les laissent dans nos mains Qu'autant de temps qu'il peut leur plaire. Lorsqu'ils viennent les retirer, On n'a nul droit de murmurer Des grâces que leur main ne veut plus nous étendre ; Seigneur, je suis un don qu'ils ont fait à vos voeux, Et quand par cet arrêt ils veulent me reprendre, Ils ne vous ôtent rien que vous ne teniez d'eux, Et c'est sans murmurer que vous devez me rendre."")",0.0,Match
129,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",,1.0,Insertion
130,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#le-roi', ""Ah,\tcherche un meilleur fondement Aux consolations que ton coeur me présente, Et de la fausseté de ce raisonnement Ne fais point un accablement À cette douleur si cuisante, Dont je souffre ici le tourment. Crois-tu là me donner une raison puissante, Pour ne me plaindre point de cet arrêt des Cieux ? Et dans le procédé des Dieux Dont tu veux que je me contente, Une rigueur assassinante Ne paraît-elle pas aux yeux ? Vois l'état où ces Dieux me forcent à te rendre, Et l'autre où te reçut mon coeur infortuné : Tu connaîtras par là qu'ils me viennent reprendre Bien plus que ce qu'ils m'ont donné. Je reçus d'eux en toi, ma Fille, Un présent que mon coeur ne leur demandait pas ; J'y trouvais alors peu d'appas, Et leur en vis sans joie accroître ma famille. Mais mon coeur ainsi que mes yeux S'est fait de ce présent une douce habitude : J'ai mis quinze ans de soins, de veilles et d'étude, À me le rendre précieux, Je l'ai paré de l'aimable richesse De mille brillantes vertus, En lui j'ai renfermé par des soins assidus Tous les plus beaux trésors que fournit la Sagesse, À lui j'ai de mon âme attaché la tendresse, J'en ai fait de ce coeur le charme et l'allégresse, La consolation de mes sens abattus, Le doux espoir de ma vieillesse. Ils m'ôtent tout cela, ces Dieux, Et tu veux que je n'aie aucun sujet de plainte, Sur cet affreux arrêt dont je souffre l'atteinte ? Ah ! Leur pouvoir se joue avec trop de rigueur Des tendresses de notre coeur : Pour m'ôter leur présent, leur fallait-il attendre Que j'en eusse fait tout mon bien ? Ou plutôt, s'ils avaient dessein de le reprendre, N'eût-il pas été mieux de ne me donner rien ?"")",0.41,Substitution
131,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#psyche', 'Seigneur, redoutez la colère De ces Dieux contre qui vous osez éclater.')",1.32,Substitution
132,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")","('#le-roi', ""Après ce coup que peuvent-ils me faire ? Ils m'ont mis en état de ne rien redouter."")",1.98,Substitution
133,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#psyche', 'Ah, Seigneur, je tremble des crimes Que je vous fais commettre, et je dois me haïr...')",0.61,Substitution
134,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#le-roi', ""Ah, qu'ils souffrent du moins mes plaintes légitimes, Ce m'est assez d'effort que de leur obéir, Ce doit leur être assez que mon coeur t'abandonne Au barbare respect qu'il faut qu'on ait pour eux, Sans prétendre gêner la douleur que me donne L'épouvantable arrêt d'un sort si rigoureux. Mon juste désespoir ne saurait se contraindre, Je veux, je veux garder ma douleur à jamais, Je veux sentir toujours la perte que je fais, De la rigueur du Ciel je veux toujours me plaindre, Je veux jusqu'au trépas incessamment pleurer Ce que tout l'Univers ne peut me réparer."")",0.38,Substitution
135,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#psyche', ""Ah, de grâce, Seigneur, épargnez ma faiblesse, J'ai besoin de constance en l'état où je suis : Ne fortifiez point l'excès de mes ennuis Des larmes de votre tendresse, Seuls ils sont assez forts, et c'est trop pour mon coeur, De mon destin et de votre douleur."")",0.22,Substitution
136,"('#fleuves', 'Commandez.')",,1.0,Insertion
137,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#le-roi', ""Oui, je dois t'épargner mon deuil inconsolable. Voici l'instant fatal de m'arracher de toi : Mais comment prononcer ce mot épouvantable ? Il le faut toutefois, le Ciel m'en fait la loi, Une rigueur inévitable M'oblige à te laisser en ce funeste lieu. Adieu, je vais... Adieu."")",1.32,Substitution
138,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#psyche', ""Suivez le Roi, mes Soeurs : vous essuierez ses larmes, Vous adoucirez ses douleurs, Et vous l'accableriez d'alarmes, Si vous vous exposiez encore à mes malheurs. Conservez-lui ce qui lui reste, Le serpent que j'attends peut vous être funeste, Vous envelopper dans mon sort, Et me porter en vous une seconde mort. Le Ciel m'a seule condamnée À son haleine empoisonnée, Rien ne saurait me secourir, Et je n'ai pas besoin d'exemple pour mourir."")",0.95,Substitution
139,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#aglaure', ""Ne nous enviez pas ce cruel avantage De confondre nos pleurs avec vos déplaisirs, De mêler nos soupirs à vos derniers soupirs ; D'une tendre amitié souffrez ce dernier gage."")",0.48,Substitution
140,,"('#psyche', ""C'est vous perdre inutilement."")",1.0,Deletion
141,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')","('#cidippe', ""C'est en votre faveur espérer un miracle, Ou vous accompagner jusques au monument."")",1.41,Substitution
142,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
143,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#psyche', 'Que peut-on se promettre après un tel oracle ?')",1.51,Substitution
144,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#aglaure', ""Un Oracle jamais n'est sans obscurité, On l'entend d'autant moins que mieux on croit l'entendre, Et peut-être après tout n'en devez-vous attendre Que gloire et que félicité. Laissez-nous voir, ma Soeur, par une digne issue, Cette frayeur mortelle heureusement déçue, Ou mourir du moins avec vous, Si le Ciel à nos voeux ne se montre plus doux."")",0.31,Substitution
145,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#psyche', ""Ma Soeur, écoutez mieux la voix de la Nature, Qui vous appelle auprès du Roi. Vous m'aimez trop, le devoir en murmure, Vous en savez l'indispensable loi, Un père vous doit être encor plus cher que moi. Rendez-vous toutes deux l'appui de sa vieillesse, Vous lui devez chacune un gendre, et des neveux, Mille Rois à l'envi vous gardent leur tendresse, Mille Rois à l'envi vous offriront leurs voeux : L'oracle me veut seule, et seule aussi je veux Mourir, si je puis, sans faiblesse, Ou ne vous avoir pas pour témoins toutes deux De ce que malgré moi, la Nature m'en laisse."")",0.3,Substitution
146,"('#daphne', 'Ah, Clymène ! Plains-moi.')","('#aglaure', ""Partager vos malheurs, c'est vous importuner."")",1.52,Substitution
147,,"('#cidippe', ""J'ose dire un peu plus, ma Soeur, c'est vous déplaire."")",1.0,Deletion
148,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#psyche', ""Non, mais enfin c'est me gêner, Et peut-être du Ciel redoubler la colère."")",0.8,Substitution
149,,"('#aglaure', ""Vous le voulez, et nous partons. Daigne ce même Ciel plus juste et moins sévère, Vous envoyer le sort que nous vous souhaitons, Et que notre amitié sincère, En dépit de l'Oracle et malgré vous espère."")",1.0,Deletion
150,,"('#psyche', ""Adieu, c'est un espoir, ma Soeur, et des souhaits, Qu'aucun des Dieux ne remplira jamais."")",1.0,Deletion
151,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#psyche', ""Enfin seule, et toute à moi-même, Je puis envisager cet affreux changement, Qui du haut d'une gloire extrême Me précipite au monument. Cette gloire était sans seconde, L'éclat s'en répandait jusqu'aux deux bouts du monde, Tout ce qu'il a de Rois semblaient faits pour m'aimer : Tous leur sujets me prenant pour déesse, Commençaient à m'accoutumer Aux encens qu'ils m'offraient sans cesse ; Leurs soupirs me suivaient sans qu'il m'en coûtât rien, Mon âme restait libre en captivant tant d'âmes, Et j'étais, parmi tant de flammes Reine de tous les coeurs, et maîtresse du mien. Ô Ciel ! M'auriez-vous fait un crime De cette insensibilité ? Déployez-vous sur moi tant de sévérité, Pour n'avoir à leurs voeux rendu que de l'estime ? Si vous m'imposiez cette loi, Qu'il fallût faire un choix pour ne pas vous déplaire, Puisque je ne pouvais le faire, Que ne le faisiez-vous pour moi ? Que ne m'inspiriez-vous ce qu'inspire à tant d'autres Le mérite, l'amour, et... Mais que vois-je ici ?"")",0.44,Substitution
152,,"('#cleomene', ""Deux amis, deux rivaux, dont l'unique souci Est d'exposer leurs jours pour conserver les vôtres."")",1.0,Deletion
153,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#psyche', ""Puis-je vous écouter quand j'ai chassé deux soeurs ? Princes, contre le Ciel pensez-vous me défendre ? Vous livrer au serpent qu'ici je dois attendre, Ce n'est qu'un désespoir qui sied mal aux grands coeurs, Et mourir alors que je meurs, C'est accabler une âme tendre Qui n'a que trop de ses douleurs."")",0.52,Substitution
154,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#agenor', ""Un serpent n'est pas invincible ; Cadmus qui n'aimait rien, défit celui de Mars ; Nous aimons, et l'Amour sait rendre tout possible Au coeur qui suit ses étendards, À la main dont lui-même il conduit tous les dards."")",0.28,Substitution
155,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
156,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')","('#psyche', ""Voulez-vous qu'il vous serve en faveur d'une ingrate Que tous ses traits n'ont pu toucher ? Qu'il dompte sa vengeance au moment qu'elle éclate, Et vous aide à m'en arracher ? Quand même vous m'auriez servie, Quand vous m'auriez rendu la vie, Quel fruit espérez-vous de qui ne peut aimer ?"")",1.07,Substitution
157,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#cleomene', ""Ce n'est point par l'espoir d'un si charmant salaire Que nous nous sentons animer, Nous ne cherchons qu'à satisfaire Aux devoirs d'un amour qui n'ose présumer Que jamais, quoi qu'il puisse faire, Il soit capable de vous plaire, Et digne de vous enflammer. Vivez, belle princesse, et vivez pour un autre ; Nous le verrons d'un oeil jaloux, Nous en mourrons, mais d'un trépas plus doux Que s'il nous fallait voir le vôtre. Et si nous ne mourrons en vous sauvant le jour, Quelque amour qu'à nos yeux vous préfériez au nôtre, Nous voulons bien mourir de douleur et d'amour."")",0.0,Match
158,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#psyche', ""Vivez, Princes, vivez, et de ma destinée Ne songez plus à rompre, ou partager la loi : Je crois vous l'avoir dit, le Ciel ne veut que moi, Le Ciel m'a seule condamnée. Je pense ouïr déjà les mortels sifflements De son ministre qui s'approche, Ma frayeur me le peint, me l'offre à tous moments, Et maîtresse qu'elle est de tous mes sentiments, Elle me le figure au haut de cette roche, J'en tombe de faiblesse, et mon coeur abattu Ne soutient plus qu'à peine un reste de vertu. Adieu, Princes, fuyez, qu'il ne vous empoisonne."")",0.11,Substitution
