,biancollelli-arlequin-gentilhomme,regnard-arlequin-bonnes-fortunes,Cost,Operation Type
83,"('#mezzetin', ""La belle question, parbleu c'est l'outrager,  L'hôtesse là-dessus a le coeur fort tranquille,  Elle a de quoi loger la moitié de la ville,  Son cabaret, monsieur est vaste et spacieux,  Quand vous irez ailleurs vous ne serez pas mieux. "")","('#isabelle', ""Allez, allez ; vous ne savez ce que vous dites. Vous me croyez bien embarrassée de trois ou quatre années que j'ai plus que vous ; mais je veux bien que vous sachiez que pour dix ans de moins je ne voudrais pas être faite comme vous, ni de corps, ni d'esprit."")",0.9,Substitution
84,"('#colombine', ""Vous serez satisfait, vous n'avez rien à craindre,  Ceux qui viennent chez moi sont encore à se plaindre. "")",,1.0,Insertion
85,"('#octave', 'Entrons.  Dans le temps que Colombine veut entrer avec Octave, Mezzetin la prend par le bras.')",,1.0,Insertion
86,"('#mezzetin', ""La belle hôtesse attendez un moment,  Et daignez soulager mon amoureux tourment,  À peine ai-je entrevu votre belle figure,  Que vos yeux dans mon coeur ont fait une blessure,  Si grande qu'un carrosse avec quatre coursiers,  Pourraient s'y promener et passer quoiqu'entiers,  Vous voyez que j'exprime assez bien ma tendresse,  Et comme maintenant vous êtes mon hôtesse,  Traitez-moi largement car j'ai grand appétit,  C'est pourquoi... "")","('#pierrot', ""Qu'est-ce donc, mesdemoiselles ?  Voilà bien du bruit : il me semble que vous vous flattez comme chiens et chats.  Est-ce que vous ne sauriez vous égratigner plus doucement ? "")",0.35,Substitution
87,"('#colombine', 'Vous aurez bonne table et bon lit,  Il ne manque de rien chez moi je vous proteste. ')",,1.0,Insertion
88,"('#mezzetin', 'Avec le lit, la table il me faudrait autre chose. ')","('#colombine', ""Pierrot, c'est ma soeur qui se fiche : elle veut qu'il n'y ait de mari que pour elle. "")",1.72,Substitution
89,"('#colombine', 'Que voulez-vous de plus, je ne vous comprends pas. ')","('#pierrot', 'Ho !  La goulue ! ')",1.55,Substitution
90,"('#mezzetin', ""Je fais, voyez-vous bien, plus que mes deux repas,  Je suis encore à jeun, et ma faim est extrême,  On ne peut l'assouvir qu'en me mettant à même.  Après un bon repas  Au gré de mon envie  Servez-moi, je vous prie,  De ces mets délicats  Ne m'entendez-vous pas.  . . . . . . . .  Il chante. Dans ce temps-là Pierrot arrive, et les écoute."")","('#isabelle', ""Viens çà, Pierrot ; toi qui es un homme d'esprit, et qui sais le monde, n'est-il pas du dernier bourgeois de marier plus d'une fille dans une maison, et ne devrais-je pas déjà l'être ? "")",0.86,Substitution
91,"('#colombine', ""Vous êtes trop goulu, comment vous contenter,  Je vous répondrai bien s'il ne tient qu'à chanter.  Elle chante sur le même air.  Ces mets si délicats  Sont-ils votre usage ?  Un si grand avantage  À tous ne convient pas  Car je veux des ducats. "")","('#pierrot', ""Cela est vrai, et je dis tous les jours à votre père, que, s'il ne vous marie au plus tôt, vous lui ferez quelque stratagème. "")",1.33,Substitution
92,"('#pierrot', ""Les mets que vous voulez  Me servent de pâture  Je ne mange autre chose,  Et quoique j'en sois saoul  Vous n'en tâterez pas.  Savez-vous mon ami que c'est là notre femme,  Et que Monsieur Pierrot est d'une humeur jalouse,  . . . . . . . . . . . . . . Si vous voulez loger dans notre cabaret.  Entrez-y vous aurez du vin blanc ou clairet,  Tel que vous le voudrez, mais laissez là ma femme.  À Mezzetin il dit."")","('#colombine', ""Mon pauvre Pierrot, toi qui es si joli, est-ce qu'il faut que je demeure toute ma vie fille ? "")",1.26,Substitution
93,"('#colombine', 'Mon fils point de courroux. ')",,1.0,Insertion
94,"('#pierrot', ""Voyez la bonne lame  Tu voudrais sans savoir ni comment ni pourquoi,  Servir à ce Monsieur le même plat qu'à moi,  Il serait bientôt las d'un semblable ordinaire. "")","('#pierrot', ""Bon !  Est-ce que cela se peut ?  Voyez-vous, mademoiselle, il faut marier les filles quand elles sont jeunes.  Ce gibier-là ne se garde pas : la mouche s'y met.  À Isabelle. "")",1.13,Substitution
95,,"('#isabelle', 'Mais aussi, est-il juste que je cède mes droits à ma cadette ? ')",1.0,Deletion
96,,"('#pierrot', ""Il est vrai que vous n'êtes encore qu'un embryon, et j'en ai vu dans des bouteilles de bien plus grandes que vous. "")",1.0,Deletion
97,,"('#colombine', ""Je conviens, Pierrot, que je suis encore petite ; mais si tu savais ce que j'ai déjà "")",1.0,Deletion
98,"('#mezzetin', 'Un air libre et badin pourrait-il vous déplaire ?  Ah ! De grâce excusez. ')","('#isabelle', 'Petite fille, vous plaît-il de vous taire ? ')",0.83,Substitution
99,"('#pierrot', ""Allez, boutez dessus,  Je veux tout oublier mais n'y revenez plus. "")",,1.0,Insertion
100,"('#mezzetin', 'Pierrot es-tu fâché contre ta Colombine ?  Mon petit cupidon fais-moi meilleure mine. ')","('#pierrot', ""Hé ! Pardi, laissez-la dire.  Hé bien donc, qu'avez-vous ?  À Colombine. "")",0.99,Substitution
101,"('#pierrot', 'Je suis pris par mon faible, allons mets-là ta main,  Il le faut avouer je suis un bon humain. ')","('#colombine', ""J'ai... mais je n'oserais le dire."")",1.25,Substitution
102,"('#colombine', ""Adieu mon cher Pierrot, je suis votre servante.  Elle s'en va."")","('#isabelle', 'Vous avez raison, car vous allez dire une sottise. ')",1.74,Substitution
103,"('#mezzetin', ""L'époux est un magot et la femme est charmante. "")","('#pierrot', 'Eh !  Palsangué, laissez-la donc parler : vous lui rembourrez les paroles dans le ventre. ')",1.71,Substitution
104,"('#pierrot', 'Voyez-vous devant moi comme elle file doux,  Dame je me fais craindre, allons entrez chez nous ? ')","('#colombine', 'Me te moqueras-tu point de moi ? ')",1.25,Substitution
105,,"('#pierrot', 'Eh !  Non, non : dites. ')",1.0,Deletion
106,"('#arlequin', ""C'en est fait, j'ai vaincu rien n'égale ma joie,  Je suis avec honneur chargé de cette proie,  Et malgré tous les soins des zélés marmitons,  Je triomphe aujourd'hui d'un plat de macarons  Dans ce lieu retiré j'aurai du moins la gloire,  De jouir en repos du fruit de ma victoire,  Aucun écornifleur ne viendra m'y troubler,  Et de ces macarons je pourrai me saouler.  Ils sont délicieux, ce beurre et ce fromage  Les rendent savoureux on ne peut davantage.  Mais qui peut interrompre ici mon appétit,  Quelqu'un vient, ô malheur, cachons-nous sous le lit.  Il se met à terre et commence à manger les macarons d'une manière toute comique. Il les mange avec précipitation et fait des lazzis tous plaisants. Il prend son plat et va se mettre sous le lit, où il mange toujours."")","('#colombine', ""J'ai de la gorge, Pierrot, puisque tu le veux savoir. "")",1.45,Substitution
107,"('#isabelle', ""Avec empressement j'attends mon cher Léandre,  En ce lieu chaque jour il a soin de se rendre,  L'amour qui nous permet des entretiens si doux  Nous marque également l'heure du rendez-vous  Et son exactitude à voir l'objet qu'il aime,  M'assure des transports de son ardeur extrême,  Mais je crois de l'entendre. "")","('#pierrot', 'Oh !  Voyons cela, voyons. ')",1.56,Substitution
108,"('#arlequin', ""Hélas c'est grand hasard  Si de mes macarons il ne prétend sa part. "")","('#colombine', ""Oh, nenni, nenni ; je ne la montre pas encore : j'attends qu'elle soit plus venue. "")",1.57,Substitution
109,"('#leandre', ""Guidé par mes soupirs je vous revois, Madame,  Vous ne pouvez douter de l'excès de ma flamme,  Trop heureux si l'amour qui me force à venir,  Voulait auprès de vous toujours me retenir :  Mais quand ce Dieu répond au beau feu qui me presse,  Hélas ! Que ces moments coulent avec vitesse,  À peine je me livre à ma félicité  Qu'il faut quitter d'abord un bien si souhaité. "")","('#isabelle', ""Il n'y a plus moyen de tenir à vos impertinences : je vous laisse ; et si je faisais bien, j'avertirais mon père de mettre ordre à votre conduite. "")",0.83,Substitution
110,"('#arlequin', ""Je ne quitterai pas mon plat de cette sorte,  Et je mangerai tout ou le Diable m'emporte. "")","('#pierrot', 'Elle est bien rudanière. ')",1.87,Substitution
111,"('#isabelle', ""Mon tendre coeur soumis à l'empire amoureux  Également blessé brûle des plus beaux feux  Qu'il m'est doux de porter une si belle chaîne,  Et de m'abandonner au penchant qui m'entraîne  Mon père me destine en vain un autre époux,  Je ne veux pour mari qu'un amant tel que vous. "")","('#colombine', ""Oh !  Va, va, je ne m'en soucie pas.  Elle veut faire la madame, et me traiter comme une petite fille ; mais nous verrons.  Oh !  Çà, çà, Pierrot, il faut que tu me fasses un plaisir. "")",1.16,Substitution
112,"('#leandre', ""Mon bonheur est parfait et cet aveu m'enchante  Que dans ces sentiments votre âme soit constante,  N'admettons d'autres lois que celles de l'amour,  Et livrons-lui nos coeurs pour honorer sa cour.  Ah ! Si pour posséder un bien si plein de charmes  Un rival téméraire en vous rendant les armes,  Prétendait me ravir ce que j'aime le mieux  Il serait accablé sous mes coups furieux. "")","('#pierrot', 'Je ne demande pas mieux.  Ne suis-je pas fait pour faire plaisir aux filles ? ')",1.05,Substitution
113,"('#arlequin', ""Ciel ! Il parle de moi, que faut-il que je fasse ?  Morbleu qu'il vient de faire une laide grimace,  Sans doute on préparait pour lui ces macarons,  Je dois craindre pour moi de toutes les façons ;  Mais il a beau crier, car enfin pour les rendre  Il faut les digérer, il peut encore attendre. "")","('#colombine', 'Il faut que tu me portes cette lettre à ce monsieur que je trouvai dernièrement au Palais. ')",1.42,Substitution
114,"('#le-docteur', 'Isabelle. ')","('#pierrot', 'Une lettre ! ')",0.74,Substitution
115,"('#isabelle', ""J'entends mon père, cachez-vous. "")","('#colombine', ""Oui.  Est-ce qu'il y a du mal à cela ?  Puisque je sais écrire, pourquoi n'écrirais-je pas ? "")",1.77,Substitution
116,"('#leandre', 'Où ? ')","('#pierrot', 'Ah !  Vous avez raison. ')",1.08,Substitution
117,"('#isabelle', 'Derrière le lit. ')",,1.0,Insertion
118,"('#arlequin', ""Ne venez pas dessous,  Car nous n'y serions pas tous deux fort à notre aise.  Léandre se cache derrière le lit, Isabelle reste fort alarmée."")",,1.0,Insertion
119,"('#le-docteur', 'Je veux chercher partout. ')",,1.0,Insertion
120,"('#arlequin', 'Ah ! Ne vous en déplaise  Ne cherchez pas ici. ')","('#colombine', ""C'est un homme de grande condition, et on l'appelle monsieur le Vicomte. "")",1.95,Substitution
121,"('#le-docteur', 'Peut-être sous le lit  Pourrais-je la trouver. ')",,1.0,Insertion
122,"('#arlequin', ""Que Diable est-ce qu'il dit ? "")","('#pierrot', ""Oh !  Si c'est un vicomte, je ne dis plus rien. "")",1.5,Substitution
123,"('#le-docteur', ""À la chercher partout il faut que je m'applique,  Je ne trouve point une épée à l'antique.  Je veux voir sous le lit. "")","('#colombine', ""Tu lui diras que je m'ennuie bien fort de ne pas le voir, et qu'il ne manque pas de me venir trouver aujourd'hui.  M'entends-tu ? "")",1.35,Substitution
124,"('#arlequin', 'Hélas ! Je suis perdu,  Il va me découvrir.  Le Docteur cherche sous le lit et voit Arlequin.')","('#pierrot', ""Hé !  Oui, oui, j'entends bien, je ne suis pas sourd.  La petite masque !  C'est une belle chose que la nature !  Cela songe au mariage dès la coquille.  Il y a ici plusieurs scènes italiennes. "")",1.22,Substitution
125,"('#le-docteur', ""Juste ciel ! Qu'ai-je vu ?  Il fuit et ferme la porte de la chambre, Léandre quitte sa place et revient. "")","('#brocantin', 'Quel ouvrage faites-vous là, vous ? ')",1.92,Substitution
126,"('#le-docteur', 'Un homme sous le lit ! ')","('#colombine', ""C'est une pente de mon lit ; mais je crains de la faire trop petite ; on n'y pourra jamais coucher deux. "")",1.04,Substitution
127,"('#arlequin', 'Excusez-moi de grâce  Je consens à payer mon écot et ma place. ')","('#brocantin', ""Est-il besoin, s'il vous plaît, que vous couchiez avec quelqu'un ? "")",1.44,Substitution
128,"('#leandre', ""Apprends-moi le sujet qui t'amène en ces lieux,  Voleur ? "")","('#colombine', 'Non ; mais si, par bonheur, je venais à être mariée... ')",1.57,Substitution
129,"('#arlequin', ""Oh ! Ventrebleu vous pourriez parler mieux,  Ce larcin est ma foi le premier de ma vie,  Mais de ces macarons j'avais si fort envie  Que j'ai dans la cuisine avec dextérité  Escroqué ce butin si longtemps souhaité  Je vais me retirer car j'ai la panse pleine  Je vous rendrai e plat n'en soyez pas en peine  Je ne le vendrai point car il n'est point d'argent. "")","('#brocantin', ""Si, par bonheur, ou par malheur, vous veniez à être mariée, vous vous presseriez.  Hé !  Je sais de vos fredaines : vous n'avez pas toujours une aiguille et de la tapisserie entre les mains, et vous commencez à escrimer de la plume.  Mais ce n'est pas pour cela que nous sommes ici.  Laissez là votre ouvrage, et m'écoutez.  Le mariage...  Oh, oh !  Vous riez déjà !  Tuchou !  Il ne faut que vous hocher la bride...  Le mariage, dis-je, étant un usage aussi ancien que le monde ; car on s'est marié avant vous, et on se mariera encore après...  Ils prennent des sièges.  À Colombine. "")",0.68,Substitution
130,"('#leandre', 'Mais quel est ton emploi ? ')","('#colombine', ""Je le sais bien, mon papa ; il y a longtemps qu'on me dit cela. "")",1.91,Substitution
131,"('#arlequin', ""D'être fort indigent,  J'ai longtemps parcouru les états de la vie,  Et depuis ce matin j'ai pris la fantaisie  De choisir parmi tous celui de crocheteur,  Je me suis introduit chez Monsieur le Docteur,  Après avoir volé ce plat dans sa cuisine,  Pour assouvir la faim qui rongeait ma poitrine  Je me suis confiné dans cet appartement,  J'y mangeais en repos et fort gloutonnement,  Quand cette Demoiselle en ce lieu s'est rendue  Moi pour me dérober aussitôt à sa vue,  Et me mettre à couvert du tumulte et du bruit,  Je me suis tout tremblant retiré sous le lit  Vous avez entendu mon histoire tragique  Bien loin de me blâmer plaignez un famélique. "")","('#brocantin', ""J'ai résolu, pour éterniser la famille Brocantine...  Vous voyez où j'en veux venir. J'ai donc résolu de me marier. "")",1.15,Substitution
132,"('#isabelle', ""Comment ferons-nous donc mon père ca venir ?  Léandre il n'est pas temps de nous entretenir,  Mais plutôt... "")","('#isabelle #colombine', 'Ah, mon père ! ')",1.38,Substitution
133,"('#leandre', ""Dissipez cette frayeur extrême  Je viens d'imaginer un plaisant stratagème,  Donne-moi ton habit et tu prendras le mien.  À Arlequin."")","('#brocantin', 'Ah, mes filles !  Vous voilà bien ébaubies.  Est-ce que je ne me porte pas encore assez bien ?  Regardez cet air, cette taille, cette légèreté.  Il saute, et fait un faux pas. ')",1.24,Substitution
134,"('#arlequin', ""Fi donc dans mon casaquin ne vous ira pas bien  Il faut pour le porter toute une autre encolure  Vous n'avez d'Arlequin ni gestes ni postures. "")","('#isabelle', 'Vous vous mariez donc, mon père ? ')",1.94,Substitution
135,,"('#brocantin', 'Oui, si vous le trouvez bon, ma fille. ')",1.0,Deletion
136,,"('#colombine', 'À une femme ? ')",1.0,Deletion
137,"('#leandre', 'Dépêchons. ')",,1.0,Insertion
138,"('#arlequin', ""J'y consens pour vous faire plaisir,  Quoique je perde au change, il faut vous obéir.  Ils se déshabillent tous deux, Arlequin met l'habit de Léandre, et Léandre celui d'Arlequin."")","('#brocantin', ""Non ; c'est à un tuyau d'orgue.  Voyez, je vous prie, la belle demande ! "")",1.61,Substitution
139,"('#isabelle', 'Pourquoi vous déguiser, apprenez-moi Léandre. ')","('#isabelle', ""Vous l'épouserez ? "")",1.38,Substitution
140,,"('#brocantin', ""Mais je crois que vous avez toutes deux l'esprit en écharpe.  Est-ce que je suis hors d'âge d'avoir lignée ?  Savez-vous bien que l'on n'a que l'âge que l'on paraît ; et monsieur Visautrou, mon apothicaire, me disait encore ce matin, en me donnant un remède, que je ne paraissais pas quarante-cinq ans. "")",1.0,Deletion
141,"('#leandre', 'Cette ruse, Madame, est facile à comprendre.  Va derrière le lit, je veux rester ici.  À Arlequin.')","('#colombine', ""Oh !  Mon papa, c'est qu'il ne vous voyait pas au visage. "")",1.73,Substitution
142,"('#arlequin', 'Ce gentilhomme est fou, moi je le suis aussi. ')","('#brocantin', ""J'ai ce que j'ai ; mais je sais bien que j'ai besoin d'une femme.  Je crève de santé, et j'ai trouvé une fille comme je la souhaite, belle, jeune, sage, riche ; enfin, une fille de hasard... "")",1.41,Substitution
143,"('#leandre', ""Ici dans un instant le docteur va se rendre  Me voyant cet habit il pourra se méprendre  Ainsi j'éviterai quelque éclaircissement,  Mais il vient, je saurai le tromper aisément. "")","('#isabelle', ""Une autre fille que moi, qui ne saurait pas vivre, vous dirait, mon père, que vous risquez beaucoup en vous mariant ; qu'il faut avoir perdu l'esprit pour songer, à votre âge, à un engagement, et que l'on renferme tous les jours des gens aux Petites-Maisons pour de moindres sujets : mais moi, qui sais le respect que je vous dois, sans me prévaloir des raisons que les enfants ont d'appréhender un second mariage, je vous dirai que, puisque vous crevez de santé, vous faites parfaitement bien de prendre une femme. "")",0.94,Substitution
144,"('#le-docteur', ""Secondez, mes amis la fureur qui m'inspire,  Arrêtez ce voleur... Hé bien que vas-tu dire ?  Parle, dans ma maison quel dessein t'a conduit ?  Réponds, pendard, pourquoi te cacher sous le lit ?  Les valets saisissent Léandre."")","('#colombine', 'Pour moi, je vous le conseille ; car je voudrais que tout le monde fût marié. ')",1.55,Substitution
145,"('#leandre', ""Je ne suis pas, Monsieur, ce que vous pouvez croire,  Je vais vous raconter en deux mots mon histoire.  Je suis un crocheteur, victime de la faim,  Qu'ici son appétit n'a pas conduit en vain,  Un plat de macarons volés par prévoyance,  A soulagé les maux causés par l'abstinence,  Ici pour les manger je me suis introduit,  Et je me suis caché tout tremblant sous le lit. "")","('#brocantin', ""Ali !  Vous prenez la chose du bon biais.  Puisque vous êtes si raisonnables, apprenez donc que je suis en pourparler de mariage ; mais c'est pour vous. "")",1.06,Substitution
146,"('#isabelle', ""Mon père renvoyez ce pauvre misérable,  Ne le punissez point puisqu'il n'est pas coupable. "")",,1.0,Insertion
147,"('#le-docteur', ""Je plains ce malheureux, son sort me fait pitié  Il s'est auprès de nous assez justifié.  Va-t'en je te pardonne, et tu n'as rien à craindre,  Tu dis la vérité.  À Léandre."")",,1.0,Insertion
148,"('#leandre', ""J'ignore l'art de feindre. "")",,1.0,Insertion
149,"('#le-docteur', 'Outre les macarons que tu viens de voler  Je veux bien de dix sols encore te régaler. ')",,1.0,Insertion
150,"('#leandre', ""L'honneur de vous servir est le bien où j'aspire. "")",,1.0,Insertion
151,"('#le-docteur', 'Adieu mon pauvre enfant. ')","('#isabelle #colombine', 'Ali, mon père ! ')",0.65,Substitution
152,"('#leandre', ""Monsieur je me retire. Léandre s'en va et les valets rentrent."")",,1.0,Insertion
153,"('#isabelle', 'Au gré de mes souhaits la fourbe a réussi. ')","('#brocantin', 'Ali, mes filles ! ')",1.6,Substitution
154,"('#arlequin', 'Oui mais pour mon malheur je suis encore ici. ')","('#isabelle', ""Je vous ai des obligations que je n'oublierai jamais."")",1.35,Substitution
155,"('#le-docteur', ""Qu'entends-je ? Que dit-on ? "")",,1.0,Insertion
156,"('#isabelle', ""Rien mon père... Ah le traître !  S'il dit encore un mot il fera tout connaître.  Arlequin éternue fort."")","('#colombine', 'Ah, mon petit papa ! Que je vous aime ! ')",1.5,Substitution
157,"('#le-docteur', 'Je ne me trompe pas et quelque autre est ici. ')",,1.0,Insertion
158,"('#isabelle', 'Que je suis malheureuse ! ')",,1.0,Insertion
159,"('#le-docteur', 'Examinons ceci.  Il cherche, va derrière le lit, et trouve Arlequin habillé proprement.')",,1.0,Insertion
160,"('#isabelle', 'Tout va se découvrir la chose est certaine. ')","('#brocantin', ""Je savais bien que cela te ferait plaisir, et que tu n'aurais point de chagrin de voir marier ta soeur avant toi. "")",1.45,Substitution
161,"('#le-docteur', ""Dans ma maison, Monsieur, quel sujet vous amène ?  Holà, valets à moi, saisissez ce voleur.  Les valets viennent, se saisissent d'Arlequin qui se met à genoux devant le Docteur."")",,1.0,Insertion
162,"('#arlequin', ""Ah, Monsieur, je ne suis qu'un pauvre crocheteur. "")",,1.0,Insertion
163,"('#le-docteur', 'Chansons, cet habit-là me fait croire autre chose.  Que veut dire ceci ?  À Isabelle.')",,1.0,Insertion
164,"('#isabelle', ""Je n'en suis point la cause  Mon père, et je ne sais... "")","('#colombine', ""Quoi ! Mon père, ce n'est pas moi que vous voulez marier ? "")",1.28,Substitution
165,"('#le-docteur', 'Je veux être éclairci. ')",,1.0,Insertion
166,"('#arlequin', ""Par charité souffrez que je sorte d'ici,  Un fâcheux cours de ventre, en certain lieu m'appelle,  Et m'ordonne, Monsieur, de pousser une selle. "")","('#isabelle', ""Non ; on ferait bien mieux de vous laisser passer la première, et d'attendre à me marier que vous eussiez trois ou quatre enfants !  Pour moi, je ne conçois pas cette petite fille-là. "")",1.64,Substitution
167,"('#le-docteur', 'Vous ne sortirez pas. ')","('#colombine', 'Si vous ne me mariez, je sais bien ce que je ferai, moi. ')",1.38,Substitution
168,"('#arlequin', ""Pourquoi m'en empêcher ? "")","('#brocantin', ""Il faut bien qu'elle passe avant toi ; elle est ton aînée ; et afin de te mettre en état d'être bientôt mariée, elle épousera un honnête homme. "")",1.98,Substitution
169,"('#le-docteur', ""J'en sais bien la raison. "")","('#isabelle', 'Je le connais bien. ')",0.76,Substitution
170,"('#arlequin', 'Je vais donc tout lâcher. ')","('#brocantin', 'Bien fait. ')",1.84,Substitution
171,"('#isabelle', ""Que dis-tu, maraud, pour te tirer d'affaire ? "")",,1.0,Insertion
172,"('#arlequin', ""Cela m'est échappé, je n'y saurais que faire. "")","('#isabelle', ""Je l'ai vu. "")",1.64,Substitution
173,"('#le-docteur', 'Fouillez-le promptement. ')",,1.0,Insertion
174,"('#arlequin', 'Vous ne trouverez rien,  Je suis un crocheteur sans honneur et sans bien.  Les valets le fouillent, et trouve une lettre. ')",,1.0,Insertion
175,"('#le-docteur', 'Donnez-moi cette lettre. ')","('#brocantin', 'Riche. ')",0.99,Substitution
176,"('#arlequin', 'Hélas quel soin vous presse ?  Vieillard trop curieux. ')","('#isabelle', 'Je le crois. ')",1.52,Substitution
177,,"('#brocantin', ""Monsieur Bassinet, médecin, enfin ; c'est tout dire. "")",1.0,Deletion
178,"('#le-docteur', ""Je prétends voir l'adresse.  À Géronte... voyons ce que peut contenir... Il lit l'adresse."")",,1.0,Insertion
179,"('#arlequin', 'Ma foi je ne puis plus, Monsieur, me retenir. ')","('#isabelle', 'Monsieur Bassinet !  Monsieur Bassinet ! ')",1.41,Substitution
180,,"('#brocantin', 'Comment donc !  Vous trouvez-vous mal ?  Du vinaigre, vite ! ')",1.0,Deletion
181,"('#le-docteur', ""Le porteur de la présente, est mon fils Léandre, qui se rend à Lyon pour avoir l'honneur de donner la main à la charmante Léonore ; j'espère que vous en serez satisfait, et que vous ne différerez point de conclure un mariage que je souhaite avec tant d'empressement.  Je suis, en attendant de vos nouvelles,  Votre très affectionné serviteur et ami, DAMON. "")","('#isabelle', ""J'ai bien du respect pour la médecine ; mais, avec votre permission, mon père, je n'épouserai point un médecin. "")",0.76,Substitution
182,"('#arlequin', ""Ne me refusez pas le secours que j'implore. "")",,1.0,Insertion
183,"('#le-docteur', 'Vous venez pour donner la main à Léonore,  Et je vous trouve ici caché derrière un lit. ')","('#brocantin', ""Avec votre permission, ma fille, vous l'épouserez.  Il ne faut pas, s'il vous plaît, que vous songiez à Octave ; j'ai appris que c'était un gueux, et je vais tout de ce pas l'envoyer chercher, pour lui dire qu'un autre lui a passé la plume par le bec.  Pierrot, Pierrot ! "")",1.29,Substitution
184,"('#arlequin', ""J'avais sur mon honneur un terrible appétit,  Ces macarons exquis m'ont bien bourré la panse. "")",,1.0,Insertion
185,"('#le-docteur', 'Cette affaire est pour moi de grande conséquence,  Vous deviez un peu mieux connaître le Docteur  Je suis homme de bien. ')",,1.0,Insertion
186,"('#arlequin', 'Moi je suis crocheteur. ')",,1.0,Insertion
187,"('#le-docteur', ""Il faut pour réparer l'honneur de ma famille,  Que sans plus différer vous épousiez ma fille,  Je veux que devant moi vous lui donniez la main.  Allons disposez-vous...  À Isabelle."")","('#colombine', 'Allons, ma soeur, faites cela de bonne grâce, puisque mon père le veut. ')",0.56,Substitution
188,"('#isabelle', 'Ah ! Quel ordre inhumain  Que me prescrivez-vous ? Malgré votre colère  Je ne puis sur ce point vous obéir mon père. ')","('#isabelle', ""Je vous prie, mon père, de ne me point donner ce chagrin, et ne m'obligez pas à épouser un homme pour qui je n'ai nulle estime. "")",0.37,Substitution
189,"('#le-docteur', 'Vous osez résister après un tel affront. ')",,1.0,Insertion
190,"('#arlequin', ""Pourquoi l'agacez-vous ? Vous savez qu'il est prompt,  Mettez là votre main, Madame la coquine. "")","('#brocantin', ""Il n'y a qu'un mot qui serve ; il faut épouser monsieur Bassinet, ou un couvent.  Il vous viendra voir ; songez à le recevoir comme un homme qui doit être votre mari. "")",1.3,Substitution
191,"('#isabelle', 'Laisse-moi. ')","('#isabelle', 'Hé, mon père ! ')",1.42,Substitution
192,"('#le-docteur', ""Comment donc vous faites la mutine  Obéissez, vous dis-je, et sans plus m'irriter... "")","('#brocantin', 'Allons, dénichons ; point tant de caquet. ')",1.66,Substitution
193,"('#isabelle', ""Enfin vous m'y forcer. "")",,1.0,Insertion
194,"('#arlequin', 'Vous vous ferez frotter,  Et je vous donnerai ma foi sur les oreilles,  Ma charmante avec moi vous serez à merveilles  Je vous ferai porter les crochets quelquefois.  Beau-père, pouviez-vous faire un plus joli choix ?  Au Docteur.')","('#isabelle', ""Voilà ma soeur qui a si envie d'être mariée ; que ne lui donnez-vous monsieur Bassinet pour mari ?  J'aime mieux lui céder mes droits, et qu'elle passe avant moi. "")",0.96,Substitution
195,"('#le-docteur', ""Vous êtes à présent le mari d'Isabelle,  Adieu pour un moment je vous laisse avec elle. "")","('#colombine', ""Oh !  Ce n'est pas de même ; je suis votre cadette, et la raison qui veut que je ne me marie pas, veut que vous vous mariiez la première. "")",1.42,Substitution
196,"('#arlequin', ""C'est agir prudemment. "")",,1.0,Insertion
197,"('#isabelle', ""Ô mortelles douleurs !  Devais-tu m'exposer à de nouveaux malheurs  C'est toi qui dans ce jour cause mon infortune.  À Arlequin."")",,1.0,Insertion
198,"('#arlequin', ""Ma mie en vérité ce discours m'importune.  Si vous continuez vous vous ferez rosser. "")",,1.0,Insertion
199,"('#isabelle', 'Infâme... ')","('#brocantin', 'Pierrot ')",0.65,Substitution
200,"('#arlequin', ""Vous allez encore recommencer,  J'ai sur vous maintenant un pouvoir despotique  Vous pourriez à mes bras donner de la pratique,  Ainsi, ma chère femme, un peu plus de douceur  Là là, modérez-vous ma mignonne, mon coeur,  En voyant vos appas, l'eau me vient à la bouche,  Laissez-vous caresser, pourquoi cet air farouche ?  Ma belle crocheteuse allons-nous en coucher. "")","('#pierrot', 'Me voilà, monsieur. ')",1.64,Substitution
201,"('#isabelle', ""Quoi malheureux encore, ose-tu m'approcher ? "")","('#brocantin', ""Où diable es-tu donc toujours ?  Il faut que je m'égosille quatre heures. "")",1.1,Substitution
202,"('#arlequin', 'Un soufflet, finissons ce jeu de Comédie.  Adieu je me retire et je vous répudie. ')",,1.0,Insertion
203,"('#isabelle', ""Rien ne peut arrêter le torrent de mes pleurs  Venez, mon cher Léandre, apprendre mes malheurs,  Ce crocheteur a fait découvrir le mystère,  Il s'est sous votre habit, fait connaître à mon père,  Ayant trouvé sur lui la lettre de Damon,  Il a cru justement lui donner votre nom,  Le preant pour Léandre, Hélas ! Il m'a contrainte... "")","('#pierrot', ""Monsieur, j'étais avec cette femme qui marchande ces singes, et qui veut donner six écus du gros, parce qu'elle dit qu'il ressemble à son mari. "")",1.22,Substitution
204,"('#leandre', "". . . . . . N'ayez aucune crainte,  C'est Léandre qui doit être votre époux,  Rien ne peut à mon coeur ravir un bien si doux  Et puisque entre mes bras votre père vous livre,  Il faut sans balancer vous résoudre à me suivre  La fuite est nécessaire en cette extrémité. "")","('#brocantin', ""Laisse cela ; j'ai autre chose en tête.  Va me chercher Octave ; j'ai quelque chose de conséquence à lui dire. "")",1.2,Substitution
205,,"('#pierrot', 'Monsieur, je ne le trouve pas. ')",1.0,Deletion
