,quinault-proserpine,voltaire-pandore,Cost,Operation Type
67,"('#alphee', ""La paix dans ces beaux lieux m'offre en vain mille appas. L'amour en rend pour moi la douceur inutile ; Cruel amour, hélas ! Que me sert-il de voir tout le monde tranquille Si mon coeur ne l'est pas ?"")","('#pandore', ""Mes yeux sont offensés du jour qui m'environne :  Rien ne me plaît, et tout m'étonne.  Mes déserts avaient plus d'appas.  Disparaissez, ô splendeur infinie !  Mon amant ne vous voit pas.  Cessez, inutile harmonie !  Il ne vous entend pas.  On entend un symphonie. Le choeur recommence. Jupiter sort d'un nuage."")",0.39,Substitution
68,"('#crinise', ""Vous changez, vous quittez une nymphe inhumaine. Votre coeur ne risque rien À choisir une autre chaîne, C'est toujours un bien De changer de peine."")","('#jupiter', ""Nouveau charme de la nature,  Digne d'être éternel,  Vous tenez de la terre un corps faible et mortel,  Et vous devez cette âme inaltérable et pure  Au feu sacré du ciel.  C'est pour les dieux que vous venez de naître :  Commencez à jouir de la divinité :  Goûtez auprès de votre maître  L'heureuse immortalité. "")",1.16,Substitution
69,"('#alphee', ""Heureux qui peut être inconstant ! Rebuté des rigueurs d'une haine éternelle, J'ai voulu la quitter cette beauté cruelle, Et j'éprouve qu'en la quittant Mon coeur est encor moins content. J'ai feint de ressentir une flamme nouvelle, J'ai fait voir à ses yeux un dépit éclatant ; Mais hélas ! Dans le même instant Je brûlais en secret, je languissais pour elle, Et je ne l'aimai jamais tant. Qu'il coûte cher d'être fidèle ! Heureux qui peut être inconstant ! Crinise et Alphée répètent ensemble ces deux derniers vers."")","('#pandore', ""Le néant d'où je sors à peine  Est cent fois préférable à ce présent cruel :  Votre immortalité, sans l'objet qui m'enchaîne,  N'est rien qu'un supplice immortel. "")",0.47,Substitution
70,"('#crinise', ""Quelqu'un vient, gardez le silence."")",,1.0,Insertion
71,"('#alphee', ""C'est Ascalaphe qui s'avance Pour quelque soin pressant il quitte les enfers : Il n'a de mon amour que trop de connaissance, Où n'ai-je point porté la honte de mes fers ?"")","('#jupiter', 'Quoi ! Méconnaissez-vous le maître du tonnerre ?  Dans les palais des dieux regrettez-vous la terre. ')",1.16,Substitution
72,"('#alphee', ""Venez goûter ici le doux air qu'on respire."")","('#pandore', ""La terre était mon vrai séjour :  C'est là que j'ai senti l'amour. "")",0.31,Substitution
73,"('#ascalaphe', ""Je dois suivre le dieu de l'infernal empire. La terre par ses tremblements Vient d'ébranler les fondements De nos demeures sombres : Pluton a voulu voir si la clarté des cieux Ne s'ouvre point de passage en ces lieux Pour aller aux enfers effaroucher les ombres. Il me permet de voir Arethuse un moment."")","('#jupiter', ""Non, vous n'en connaissez qu'une image infidèle,  Dans un monde indigne de lui.  Que l'amour tout entier, que sa flamme éternelle,  Dont vous sentiez une étincelle,  De tous ses traits de feu nous embrase aujourd'hui "")",0.69,Substitution
74,"('#alphee', ""D'où vous vient tant d'empressement ?"")",,1.0,Insertion
75,"('#ascalaphe', ""Je l'ai vue aux enfers ; que je la trouvais belle !"")",,1.0,Insertion
76,"('#alphee', ""L'ingrate me fuyait, elle est toujours cruelle."")",,1.0,Insertion
77,"('#ascalaphe', 'Ses cruautés pour vous, ses soins pour fuir vos pas Ont encore à mes yeux augmenté ses appas.')",,1.0,Insertion
78,"('#alphee', ""Les flammes amoureuses Descendent-elles jusqu'à vous ? L'amour veut un séjour plus doux Que vos demeures ténébreuses."")","('#pandore', ""Je les ai tous sentis, du moins j'ose le croire :  Ils ont égalé mes tourments.  Ah ! Vous avez pour vous la grandeur et la gloire :  Laissez les plaisirs aux amants.  Vous êtes dieu, l'encens doit vous suffire :  Vous êtes dieu, comblez mes voeux.  Consolez tout ce qui respire :  Un dieu doit faire des heureux. "")",0.45,Substitution
79,"('#ascalaphe', ""L'astre brillant qui vous luit Finit son cours dans les ondes, Il ne peut percer la nuit De nos demeures profondes ; Mais il n'est point de séjour Impénétrable à l'amour."")","('#jupiter', ""Je veux vous rendre heureuse, et par vous je veux l'être.  Plaisirs, qui suivez votre maître,  Ministres plus puissants que tous les autres dieux,  Déployez vos attraits, enchantez ses beaux yeux :  Plaisirs, vous triomphez dès qu'on peut vous connaître.  Les Plaisirs dansent autour de Pandore en chantant ce qui suit."")",0.9,Substitution
80,"('#alphee', ""Qu'espérez-vous d'une âme si sévère ? Mon amour ne peut l'émouvoir."")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",1.3,Substitution
81,"('#ascalaphe', 'Si vous ne savez pas le secret de lui plaire Un autre pourra le savoir.')",,1.0,Insertion
82,"('#alphee', ""Saurez-vous de son coeur vaincre la résistance ? Est-ce aux enfers qu'on apprend ce secret ?"")",,1.0,Insertion
83,"('#ascalaphe', ""On apprend aux enfers à garder le silence, Et l'on y sait être discret ; La nymphe que je cherche avec soin vous évite, Pour la trouver, il faut que je vous quitte."")","('#une-voix', ""Sur la terre on poursuit avec peine  Des plaisirs l'ombre légère et vaine :  Elle échappe, et le dégoût la suit.  Si Zéphire un moment plaît à Flore,  Il flétrit les fleurs qu'il fait éclore :  Un seul jour les forme et les détruit. "")",0.24,Substitution
84,"('#alphee', ""Amants qui n'êtes point jaloux, Que votre sort est doux ! L'amour m'a fait gémir sous une dure chaîne ; Mais quand je me plaignais de ses funestes coups Je ne connaissais pas le plus cruel de tous. Un autre aime Arethuse et ne craint point sa haine ; Et je vois sur moi seul tomber tout son courroux : C'était peu du malheur d'aimer une inhumaine, Le bonheur d'un rival a redoublé ma peine. Amants qui n'êtes point jaloux, Que votre sort est doux !"")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous.')",0.86,Substitution
85,"('#alphee', 'Ingrate, écoutez-moi, je ne veux plus me plaindre, Je ne vous dirai rien qui vous puisse alarmer.')","('#une-voix', ""Les fleurs immortelles  Ne sont qu'en nos champs.  L'Amour et le Temps  Ici n'ont point d'ailes. "")",1.95,Substitution
86,"('#arethuse', ""Vous cessez de m'aimer, Je cesse de vous craindre."")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",0.51,Substitution
87,"('#alphee', 'Ascalaphe vous cherche ici, Bientôt vous le verrez paraître ; Arethuse, peut-être, Vous le cherchez aussi.')",,1.0,Insertion
88,"('#arethuse', ""L'aimable Proserpine en votre âme a fait naître Une nouvelle ardeur ; Si vous ne m'aimez plus, que vous sert de connaître Le secret de mon coeur ?"")","('#pandore', ""Oui, j'aime, oui, doux plaisirs, vous redoublez ma flamme :  Mais vous redoublez ma douleur.  Dieux charmants, si c'est vous qui faites le bonheur,  Allez au maître de mon âme. "")",0.0,Match
89,"('#alphee', ""Faut-il que votre coeur à l'amour moins rebelle Récompense un amant sans éprouver sa foi ? Si ce bien eût été le prix du plus fidèle, Ah ! Vous savez, cruelle, Qu'il n'était dû qu'à moi."")","('#jupiter', ""Ciel ! Ô ciel ! Quoi ! Mes soins ont ce succès fatal ?  Quoi ! J'attendris son âme, et c'est pour mon rival ! "")",0.53,Substitution
90,"('#arethuse', ""Votre nouvelle chaîne est si belle et si forte ! Pourquoi songer encore à des liens rompus. Que vous importe Qu'un autre emporte Un prix qui ne vous touche plus ?"")",,1.0,Insertion
91,"('#alphee', ""Vous avez fui les soins de mon amour extrême, Vous m'avez ôté tout espoir : Si je disais que je vous aime, Vous m'ôteriez encor le plaisir de vous voir."")",,1.0,Insertion
92,"('#arethuse #alphee', ""C'est une autre que moi qui règne dans votre âme, C'est un autre que moi qui règne dans votre âme, Vous trouvez d'autres noeuds plus doux : En vain je veux cacher ma flamme, Mon amour paraît trop dans mes transports jaloux ; Non, je ne puis aimer que vous."")","('#mercure', 'Jupiter, arme-toi du foudre :  Prends tes feux, va réduire en poudre  Tes ennemis audacieux.  Prométhée est armé : les Titans furieux  Menacent les voûtes des cieux :  Ils entassent des monts la masse épouvantable :  Déjà leur foule impitoyable  Approche de ces lieux. ')",1.12,Substitution
93,"('#arethuse', 'Est-il vrai que mon coeur soit en votre puissance ?')","('#jupiter', 'Je les punirai tous... Seul, je suffis contre eux. ')",1.2,Substitution
94,"('#ascalaphe', ""Je vous aime sans espérance ; J'ai voulu soulager mon mal Par le chagrin de mon rival. Dans les enfers, c'est ainsi qu'on en use : Mes maux n'ont pu trouver d'autre adoucissement. Pardonnez-moi, belle Arethuse, Je ne suis pas le seul qui se vante en aimant De posséder un coeur qu'on lui refuse. Mais Alphée aujourd'hui n'est plus tant rebuté ? Vous ne fuyez plus sa présence ?"")","('#pandore', ""Quoi ! Vous le puniriez, vous qui causez sa peine ?  Vous n'êtes qu'un tyran jaloux et tout-puissant.  Aimez-moi d'un amour encor plus violent,  Je vous punirai par ma haine. "")",0.0,Match
95,"('#arethuse', 'Pour punir votre vanité Je veux que vous voyez triompher sa constance.')","('#jupiter', 'Marchons, et que la foudre éclate devant moi. ')",1.49,Substitution
96,"('#ascalaphe', ""En lui donnant la préférence, Vous me rendez la liberté. Le dépit qui me possède Me guérira promptement, Vous en faites mon tourment, Et j'en ferai mon remède."")","('#pandore', 'Cruel ! Ayez pitié de mon mortel effroi :  Jugez de mon amour, puisque je vous implore. ')",0.53,Substitution
97,"('#arethuse #alphee', ""Pour être heureux, il faut qu'on aime bien."")",,1.0,Insertion
98,"('#ascalaphe', ""Pour être heureux il faut qu'on n'aime rien. Mais Pluton va bientôt rentrer dans son empire : Il passe en ces lieux, il admire Les charmes d'un séjour si doux."")",,1.0,Insertion
99,"('#pluton', ""Demeurez Arethuse, Alphée éloignez-vous. Alphée se retire, et Pluton continue à parler. Les efforts d'un géant qu'on croyait accablé Ont fait encor frémir le ciel, la terre, et l'onde Mon Empire s'en est troublé ; Jusqu'au centre du monde Mon trône en a tremblé. L'affreux Typhoée avec sa vaine rage Trébuche enfin dans des gouffres sans fonds. L'éclat du jour ne s'ouvre aucun passage Pour pénétrer les royaumes profonds Qui me sont échus en partage. Le ciel ne craindra plus que ses fiers ennemis Se relèvent jamais de leur chute mortelle, Et du monde ébranlé par leur fureur rebelle Les fondements sont raffermis : Je puis faire goûter une paix éternelle Aux peuples souterrains que le sort m'a soumis. Mais par vos soins puis-je voir Proserpine Avant que de quitter cet aimable séjour ?"")","('#jupiter', ""Prends soin de conduire Pandore.  Dieux, que mon coeur est désolé !  J'éprouve les horreurs qui menacent le monde.  L'univers reposait dans une paix profonde : Une beauté parait, l'univers est troublé.  Il sort."")",0.1,Substitution
100,"('#arethuse', ""Cette fière beauté s'obstine À fuir les amants et l'amour. Dans l'innocent repos de cette solitude Elle évite les dieux De la terre et des cieux : Jugez de son inquiétude Si le Dieu des Enfers paraissait à ses yeux. Caché sous cet épais feuillage Vous pourriez la voir un moment."")","('#pandore', ""Ô jours de ma naissance ! ô charmes trop funestes !  Désirs naissants, que vous étiez trompeurs !  Quoi ! la beauté, l'amour, et les faveurs célestes,  Tous les biens ont fait mes malheurs !  Amour, qui m'as fait naître, apaise tant d'alarmes :  N'es-tu pas souverain des dieux ?  Viens sécher mes larmes,  Enchaîne et désarmes  La terre et les cieux. "")",0.24,Substitution
101,"('#pluton', ""Allez, il suffira que votre soin l'engage À venir dans ce lieu charmant, Et si je puis la voir il n'importe comment."")",,1.0,Insertion
102,"('#ascalaphe', ""J'ai peine à concevoir d'où vient le trouble extrême Où le coeur de Pluton semble s'abandonner."")",,1.0,Insertion
103,"('#pluton', ""Tu peux t'en étonner, J'en suis surpris moi-même J'ai trouvé Proserpine en visitant ces lieux. Les pleurs coulaient de ses beaux yeux : Elle fuyait, interdite, et tremblante ; Pour implorer l'assistance des dieux Elle tournait ses regards vers les cieux : Sa douleur et son épouvante Rendaient encor sa beauté plus touchante. Les accents plaintifs de sa voix Ont ému mon coeur inflexible ; Qu'un coeur fier est troublé quand il devient sensible Pour la première fois !"")","('#encelade', 'Oui, nos frères et nous, et toute la nature,  Ont senti ta cruelle injure.  La terrible vengeance est déjà dans nos mains : Vois-tu ces monts pendants en précipices ?  Vois-tu ces rochers entassés ?  Ils seront bientôt renversés  Sur les barbares dieux qui nous ont offensés.  Nous punirons les injustices  De nos tyrans jaloux, par nos mains terrassés. ')",0.31,Substitution
104,"('#ascalaphe', ""Contre l'amour quel coeur peut se défendre ? Le temps d'aimer n'est pas connu, Il faut l'attendre ; Quand ce temps fatal est venu, Il faut se rendre. Contre l'amour quel coeur peut se défendre ?"")","('#promethee', 'Terre, contre le ciel apprends à te défendre.  Trompettes et tambours, organes des combats,  Pour la première fois vos sons se font entendre :  Éclatez, guidez nos pas.  Le ciel sera le prix de votre heureux courage.  Amis, je ne prétends que Pandore et sa foi.  Laissez-moi ce juste partage :  Marchez, Titans, et suivez-moi.  On sort au son des trompettes.')",1.26,Substitution
105,"('#pluton', ""De ce dieu si puissant je méprisais les feux, J'éprouve enfin sa vengeance cruelle. Je l'ai vu ce dieu dangereux, Il suivait Proserpine, il volait après elle. J'ai vu de sa fatale main Partir un trait de flamme, J'ai voulu l'éviter en vain, Le coup a pénétré jusqu'au fond de mon âme."")","('#choeur-de-titans', 'Courons aux armes  Contre ces dieux cruels :  Répandons les alarmes  Dans les coeurs immortels.  Courons aux armes  Contre ces dieux cruels. ')",0.88,Substitution
106,"('#ascalaphe', ""L'amour a surmonté le maître des enfers ; Il n'a plus rien à vaincre après cette victoire."")",,1.0,Insertion
107,"('#pluton-ascalaphe', ""L'amour comblé de gloire Triomphe de tout l'univers."")",,1.0,Insertion
108,"('#proserpine #nymphes', 'Les beaux jours et la paix Sont revenus ensemble.')",,1.0,Insertion
109,"('#pluton', ""La troupe des nymphes s'assemble, Retirons-nous sous ce feuillage épais. Pluton et Ascalaphe se retirent et se cachent, et Proserpine et ses nymphes s'avancent en dansant et en chantant."")","('#promethee', 'Le tonnerre en éclats répond à nos trompettes.  Jupiter quitte ses retraites :  La foudre a donné le signal :  Commençons ce combat fatal.  Un char, qui porte les dieux, descend sur les montagnes, au bruit du tonnerre. Pandore est auprès de Jupiter. Prométhée continue. Les géants montent.')",0.73,Substitution
110,"('#proserpine #nymphes', ""Les beaux jours et la paix On ne voit plus de coeur qui tremble, Tout rit dans ces lieux pleins d'attraits. Les beaux jours et la paix Sont revenus ensemble. Proserpine et ses nymphes continuent leurs danses et leurs chants."")","('#choeurs-des-nymphes', 'Tambours, trompettes, et tonnerre,  Dieux et Titans, que faites-vous ?  Vous confondez, par vos terribles coups,  Les enfers, le ciel et la terre.  Bruit du tonnerre et des trompettes.')",0.93,Substitution
111,"('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')","('#les-titans', ""Cédez, tyrans de l'univers :  Soyez punis de vos fureurs cruelles :  Tombez, tyrans. "")",1.54,Substitution
112,"('#le-choeur', ""On ne trouve rien de doux Quand on est dans l'esclavage."")",,1.0,Insertion
113,"('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')","('#les-dieux', 'Mourez, rebelles. ')",1.82,Substitution
114,"('#le-choeur', ""Les amants n'ont en partage Que langueurs, que soins jaloux."")","('#les-titans', 'Tombez, descendez dans nos fers. ')",1.67,Substitution
115,"('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",,1.0,Insertion
116,"('#le-choeur', 'Belles fleurs charmant ombrage, Il ne faut aimer que vous.')",,1.0,Insertion
117,"('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",,1.0,Insertion
118,"('#le-choeur', ""Dans les plus aimables noeuds On n'a point de bien paisible."")",,1.0,Insertion
119,"('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",,1.0,Insertion
120,"('#le-choeur', ""C'est toujours un mal terrible Que l'ardeur des plus beaux feux."")","('#les-dieux', 'Précipitez-vous aux enfers. ')",1.5,Substitution
121,"('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",,1.0,Insertion
122,"('#le-choeur', 'Quand un coeur est trop sensible Rien ne peut le rendre heureux.')",,1.0,Insertion
123,"('#proserpine', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Le jour n'éclaire Que pour nous plaire, Ces arbres verts. Ont leur plus beau feuillage, Et mille oiseaux divers Dans ce bocage Imitent nos concerts Par leur ramage ; Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Tout s'intéresse Dans nos désirs, Jamais l'amour ne nous blesse, Les doux plaisirs Sont pour les coeurs sans faiblesse. Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur."")",,1.0,Insertion
124,"('#le-choeur', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Pour nous défendre D'un amour tendre, Avec fierté, Nous avons pris les armes : Nos biens n'ont point coûté De tristes larmes, La liberté N'a jamais que des charmes : Que notre vie, etc."")","('#pandore', ""Terre, ciel, ô douleur profonde !  Dieux, Titans, calmez mou effroi.  J'ai causé les malheurs du monde :  Terre, ciel, tout périt pour moi. "")",1.25,Substitution
125,"('#proserpine', 'Nous reverrons bientôt Cérès dans ces beaux lieux, Il faut lui préparer des guirlandes nouvelles. Séparons-nous ; voyons qui sait le mieux Assortir les fleurs les plus belles.')","('#les-titans', 'Lançons nos traits. ')",1.44,Substitution
126,"('#nymphes', ""Voyons qui sait le mieux Assortir les fleurs les plus belles. Les nymphes s'écartent, Proserpine et Cyané cueillent des fleurs."")",,1.0,Insertion
127,"('#pluton', 'Infernales divinités Secondez mon amour, sortez. Une troupe de divinités infernales sort de la terre, et le char de Pluton paraît en même temps.')","('#les-dieux', 'Frappez, tonnerre. ')",0.65,Substitution
128,,"('#les-titans', 'Renversons les dieux. ')",1.0,Deletion
129,,"('#les-dieux', 'Détruisons la terre. ')",1.0,Deletion
130,"('#proserpine', 'Ciel ! Prenez ma défense !')",,1.0,Insertion
131,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")","('#dieux-titans', 'Tombez, descendez dans nos fers :  Précipitez-vous aux enfers.  Il se fait un grand silence : un nuage brillant descend : le Destin paraît un milieu des nuages.')",1.25,Substitution
132,"('#pluton #ascalaphe #divinites-infernales', 'Proserpine ne craignez pas Un dieu charmé de vos appas.')","('#le-destin', 'Arrêtez : le Destin, qui vous commande à tous,  Veut suspendre vos coups.  Il se fait encore un silence.')",1.24,Substitution
133,"('#cyane', ""Qu'elle barbare violence !"")","('#promethee', 'Être inaltérable,  Souverain des temps,  Dicte à nos tyrans  Ton ordre irrévocable. ')",1.46,Substitution
134,"('#pluton', ""Nymphe, crains ma vengeance : Sur peine de perdre la voix. Garde-toi de parler de tout ce que tu vois. L'écharpe de Proserpine demeure dans les mains de Cyané, et Pluton fait placer Proserpine près de lui sur son char."")","('#choeur', 'Ô Destin, parle, explique-toi :  Les dieux fléchiront sous ta loi. ')",0.83,Substitution
135,"('#proserpine', 'Ciel ! Prenez ma défense !')",,1.0,Insertion
136,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",,1.0,Insertion
137,"('#pluton #ascalaphe #divinites-infernales', 'Proserpine, ne craignez pas, Un dieu charmé de vos appas.')","('#le-destin', ""Cessez, cessez, guerre funeste :  Ce jour forme un autre univers.  Souverains du séjour céleste,  Rendez Pandore à ses déserts.  Dieux, comblez cet objet de tous vos dons divers.  Titans, qui jusqu'au ciel avez porté la guerre,  Malheureux, soyez terrassés :  À jamais gémissez  Sous ces monts renversés,  Qui vont retomber sur la terre.  Les rochers se détachent et retombent. Le char des dieux descend sur la terre. On remet Pandore à Prométhée."")",0.93,Substitution
138,"('#tous-ensemble', ""Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ? Ô disgrâce cruelle ! L'écho fidèle Au fond des bois Répond à notre voix ; Proserpine ? Ah faut-il qu'en vain on vous appelle ! Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ?"")",,1.0,Insertion
139,"('#arethuse', ""N'aurais-je point innocemment Causé tant de cris et de larmes ? D'un désir curieux je n'ai point pris d'alarmes ; Qui croirait que Pluton put devenir amant ! Il demandait à voir Proserpine un moment, Je crains qu'il n'ait trop vu ses charmes, Ce n'est que par mes soins que Cérès peut savoir Si le dieu des enfers tient sa fille captive ; Il m'est permis d'aller sur l'infernale rive : Adieu, dans peu de temps j'espère vous revoir."")","('#jupiter', ""Ô Destin ! Le maître des dieux  Est l'esclave de la puissance.  Eh bien ! sois obéi : mais que ce jour commence  Le divorce éternel de la terre et des cieux.  Némésis, sors des sombres lieux.  Séduis le coeur, trompe les yeux  De la beauté qui m'offense.  Pandore, connais ma vengeance  Jusque dans mes dons précieux.  Que cet instant commence  Le divorce éternel de la terre et des cieux.  Némésis sort du fond du théâtre, et Jupiter continue."")",0.18,Substitution
140,"('#alphee', ""Pouvez-vous oublier qu'il faut que je vous suive ? J'ai sans cesse suivi vos pas Quand j'excitais votre colère : Quand j'ai cessé de vous déplaire Pourrais-je ne vous suivre pas ?"")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ?  Êtes-vous soumis ou vainqueur ? "")",0.64,Substitution
141,"('#arethuse', ""Du maître des enfers je veux aller me plaindre, Craignez en me suivant d'attirer son courroux."")","('#promethee', ""La victoire est à moi, si vous m'aimez encore.  L'Amour et le Destin parlent en ma faveur. "")",1.32,Substitution
142,"('#alphee', ""Pour moi rien n'est tant à craindre Que d'être éloigné de vous. Que l'absence de ce qu'on aime Est un supplice rigoureux ! Pour les coeurs amoureux, Tout autre mal cède à ce mal extrême, Et l'enfer même N'a rien de plus affreux Que l'absence de ce qu'on aime."")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ? "")",0.75,Substitution
143,"('#arethuse #alphee', ""Le bonheur est partout où l'amour est en paix, Ne nous quittons jamais."")",,1.0,Insertion
144,"('#tous-ensemble', ""Cérès revient ! Ah qu'elle peine ! Cachons-nous à ses yeux. Sa fille n'est plus dans ces lieux ; Son espérance est vaine. Que lui pourrons-nous dire, ô dieux ! Cérès revient ; ah quelle peine ! Cachons-nous à ses yeux, Les nymphes et les dieux des bois se cachent, Alphée et Arethuse descendent aux enfers, le char volant de Cérès s'arrête, et la déesse en descend."")",,1.0,Insertion
145,"('#ceres', ""Je vais revoir ma fille, elle est dans ces campagnes : Je viens d'y voir les nymphes ses compagnes. Je vais goûter près d'elle un sort doux et charmant. Hélas ! Qu'un tendre amour accroît l'empressement De la tendresse maternelle. Proserpine est pour moi le gage précieux De l'amour le plus grand des dieux, C'est Jupiter que j'aime en elle. J'ai rendu les humains heureux, Mes travaux ont comblé leurs voeux ; Il m'est permis enfin d'être heureuse moi-même : Après avoir acquis un immortel honneur, Quand chacun par mes soins goûte un bonheur extrême Qu'il m'est doux de songer à mon propre bonheur. Les nymphes de ces lieux semblent fuir ma présence : Proserpine ? Ma fille ? Ah quel triste silence ! Est-ce ainsi qu'on devait dans cet heureux séjour Se réjouir de mon retour ? Venez, nymphes, venez, que ma fille s'avance. Venez, dieux des bois, venez-tous."")","('#promethee', 'Les Titans sont tombés : plaignez leur sort affreux.  Je dois soulager leur chaîne.  Apprenons à la race humaine  À secourir les malheureux. ')",0.98,Substitution
146,"('#ceres', ""Ma fille n'est pas avec vous ! Quoi, donc, est-ce le soin que vous en deviez prendre ? Rendez-moi Proserpine. Au lieu de me la rendre, Vous m'offrez seulement des soupirs et des pleurs ?"")",,1.0,Insertion
147,"('#le-choeur', 'Ô Cérès ! Ô mère trop tendre ! Ah quelles seront vos douleurs.')",,1.0,Insertion
148,"('#ceres', ""Ciel ! On m'ôte ma fille ! Et qui l'ose entreprendre ?"")",,1.0,Insertion
149,"('#deux-nymphes', ""Nous n'avons pu l'apprendre, Et l'on a pris le temps que nous cueillions des fleurs."")","('#pandore', 'Demeurez un moment. Voyez votre victoire.  Ouvrons ce don charmant du souverain des dieux :  Ouvrons. ')",0.73,Substitution
150,"('#ceres', ""J'ai cru qu'un doux repos devait ici m'attendre, Et je n'y trouve, hélas ! Que de cruels malheurs."")","('#promethee', ""Que faites-vous ? Hélas ! Daignez me croire.  Je crains tout d'un rival : et ces soins curieux  Sont des pièges nouveaux que vous tendent les dieux. "")",0.78,Substitution
151,"('#le-choeur', 'Ô Cérès ! Ô mère trop tendre ! Ah ! Quelles seront vos douleurs !')","('#pandore', 'Quoi ! Vous pensez... ? ')",1.43,Substitution
152,"('#cyane', ""Je ressens vos ennuis, et j'en suis trop atteinte, Quoiqu'il puisse arriver, vous allez tout savoir. Il faut que mon devoir L'emporte sur ma crainte."")","('#promethee', ""Songez à ma prière,  Songez à l'intérêt de la nature entière,  Et du moins attendez mon retour en ces lieux. "")",0.68,Substitution
153,"('#ceres', 'Parle, ma chère Cyané ; Soulage un coeur infortuné.')",,1.0,Insertion
154,"('#cyane', ""J'ai suivi Proserpine, et j'ai pris sa défense ! Hélas tous mes efforts pour elle ont été vains ! Son écharpe est entre mes mains..."")",,1.0,Insertion
155,"('#ceres', ""Ce cher et triste objet presse encore ma vengeance. Hâte-toi de nommer l'ennemi qui m'offense."")",,1.0,Insertion
156,"('#cyane', ""C'est... c'est..."")",,1.0,Insertion
157,"('#ceres', 'Achève.')",,1.0,Insertion
158,"('#cyane', ""C'est..."")",,1.0,Insertion
159,"('#ceres #le-choeur', ""Ah ! Quel malheur nouveau ! Cyané perd la voix et n'est plus qu'un ruisseau."")",,1.0,Insertion
160,"('#ceres', 'Ô malheureuse mère !')",,1.0,Insertion
161,"('#le-choeur', 'Ô trop malheureuse Cérès !')",,1.0,Insertion
162,"('#ceres', ""Les dieux n'ont pu souffrir qu'une nymphe sincère M'ait découvert mes ennemis secrets. Je ne saurai donc pas sur qui lancer les traits De ma juste colère ? On me ravit une fille si chère ! Jupiter dans les cieux sourd à mes vains regrets Ne ressent plus qu'il est son père ! Ô malheureuse mère !"")",,1.0,Insertion
163,"('#le-choeur', 'Ô trop malheureuse Cérès !')",,1.0,Insertion
164,"('#ceres', ""Ah ! Qu'elle injustice cruelle ! Ô dieux pourquoi m'arrachez-vous Un bien que je trouvais si doux ? De cette audace criminelle Est-ce Apollon ou Mars que je dois soupçonner ? Leurs mères en fureur n'ont pu me pardonner D'avoir une fille si belle. Dois-je accuser l'amour, et sert-il aujourd'hui À me ravir un bien que je tenais de lui ? Trahirait-il mon coeur fidèle ? Ah ! Quelle injustice cruelle ! Ô dieux ! Pourquoi m'arrachez-vous Un bien que je trouvais si doux ? Par mes soins, les champs de Cybele De fruits, et de moissons viennent d'être couverts ; De mes dons précieux la richesse nouvelle Brille par mes travaux en cent climats divers, Et quand de tant de biens j'ai comblé l'univers, Les dieux percent mon coeur d'une douleur mortelle. Ah ! Quelle injustice cruelle ! Ô dieux pourquoi m'arrachez-vous Un bien que je trouvais si doux. Après un si sensible outrage, Mon coeur désespéré s'abandonne à la rage. Du monde trop heureux je veux troubler la paix : Brûlons, ravageons-tout, détruisons mes bienfaits."")","('#pandore', 'Eh bien ! Vous le voulez : il faut vous satisfaire.  Je soumets ma raison : je ne veux que vous plaire.  Je jure, je promets à mes tendres amours  De vous croire toujours. ')",0.47,Substitution
165,"('#ceres', 'Que tout se ressente De la fureur que je sens.')",,1.0,Insertion
166,"('#le-choeur', 'Quel crime avons-nous fait ? Divinité puissante, Écoutez les clameurs des peuples gémissants.')","('#promethee', 'Vous me le promettez ? ')",1.65,Substitution
167,"('#ceres', ""J'ai fait du bien à tous, ma fille est innocente, Et pour toucher les dieux, nos cris sont impuissants ; J'entendrai sans pitié les cris des innocents : Que tout se ressente De la fureur que je sens."")","('#pandore', ""J'en jure par vous-même.  On obéit dès que l'on aime. "")",1.36,Substitution
168,"('#le-choeur', 'Ah ! Quelle épouvantable flamme ! Ah ! Quel ravage affreux !')",,1.0,Insertion
169,"('#ceres', ""Portons partout l'horreur qui règne dans mon âme. Portons partout d'horribles feux."")",,1.0,Insertion
