,archambault-ce-n-est-pas,archambault-janot-battus,Cost,Operation Type
135,"('#janot', ""Petit gueux !  Ah !  Ça, mais, Monsieur Ragot, est-ce que que vous croyez encore être du temps que je vous allais chercher au four votre souper de deux sous, donc ?  Dame !  C'est que c'est ben changé du d'pis, au moins."")","('#ragot', ""Ah !  Pardonnez-moi, Mam'selle, c'est rien que ça.  En parlant de couteau, c'est feu mon père qui en avait un beau ; devant Dieu soit son âme, pendu à sa ceinture, dans une gaine, avec quoi il faisait la cuisine."")",0.69,Substitution
136,"('#ragot', ""Oui, c'est ce qui me paraît.  Qué que tu fais donc à présent ?"")",,1.0,Insertion
137,"('#janot', ""Oh !  Dame !  Ce que je fais ?  Je fais fortune : v'là ce que je fais."")",,1.0,Insertion
138,"('#ragot', ""Diable !  C'est un bon métier ça."")",,1.0,Insertion
139,"('#janot', ""Pas vrai !  Eh ben !  Sans rancune.  Je me marie aujoud'hui, ou ben à peu près toujours.  Si je n'allons pas jusqu'a définition finale, j'irons ben jusqu'aux accordailles.  Je faisons un festin pour ça, et je viens vous inviter du gueulton, si le coeur vous en dit, pour en être le témoin."")",,1.0,Insertion
140,"('#ragot', ""Ben volonquiers, mon enfant : j'ai toujours eu de l'amitié pour toi.  Je suis charmé de ton bonheur.  Où que ça s' fera."")",,1.0,Insertion
141,"('#janot', ""Pardine !  Ici près.  Tenez, là, au cabaret du coin, où ce que tout est déjà commandé.  Allez-vous-y-en ; tout de suite: vous boirez un verre de vin en attendant la compagnie, que j'avons fait mettre au frais, à quinze sous, là, aux barreaux verts."")","('#suzon', 'À quelle heure que vous vienrez me prendre, pour que je me tienne prête ?')",0.77,Substitution
142,"('#ragot', ""C'est bon, mon ami, je m'y en vas : mais dis donc, ne va pas me laisser longtemps là en affront, au moins, car i' n'y a rien qui ennuie et qui soûle plus vite que de boire tout seul."")",,1.0,Insertion
143,"('#janot', ""Oh !  Vous aurez bientôt compagnie, et pis Dodinet, donc !  Que vous allez trouver là...  Et pis, que ne faites-vous une chose ?  Allez chercher Mme Ragot : faut ben qu'elle s'en ressente aussi.  Pardine !  Dans une fête, comme on dit, pus y a de monde et pus y a de personnes."")","('#ragot', ""À huit heures.  Mais dites donc, faut pas aller avec ce guernadier de l'aute jour.  J'ai toujours peur qu'il me racole avec ses crocs.  C'est de la mauvaise compagnie, ça ; et vous savez ben le proverbe : dis-moi qui tu hantes, je te dirai qui tu fréquentes...  Vaut ben pas mieux n'être que moi et vous, vlà tout ; et pis vot' p'tite soeur et mon p'tit frère et ma cousine : ça fera cinq, nous jouerons aux quatre coins, pas vrai, Mam'selle Suzon ?"")",0.13,Substitution
144,"('#ragot', ""C'est ben dit, Monsieur Janot.  J'allons chercher not' ménagère, et je ne tarderons pas à vous faire honneur.  Justement all' m'attendait pour déjeuner, ça l'i viendra comme mars en carême."")","('#suzon', 'Tout ce qui vous fera plaisir, Monsieur Janot ; mais faudra de bonne heure, nous goûterons en chemin.')",0.34,Substitution
145,"('#janot', ""Écoute, faut l'i faire une frime : ne l'y parlez pas de moi.  Faut dire que c'est un monsieur qui la demande pour voir comme all' prendra la chose."")","('#ragot', ""Oui, je passerons par Seve ; j'y mangerons de p'tits gâteaux de Nanterre...  comme j'en avons mangé l'aut' jour tout le long de la rivière, avec du beurre dessus."")",1.33,Substitution
146,"('#ragot', 'Oh !  Elle a bon coeur : elle prendra tout bien.')",,1.0,Insertion
147,"('#janot', ""Tant mieux !  All' ne m'en veut pus, donc ?"")",,1.0,Insertion
148,"('#ragot', ""Ah !  Pardi !  Oui.  Vous ne serez pas sitôt à table ensemble qu'alle ne songera pus qu'à boire et à manger."")","('#suzon', ""Et vous souvenez-vous des bonnes cerises que j'avons mangées aussi ?"")",1.35,Substitution
149,"('#janot', ""Ah !  Je le crais.  Y a des familles comme ça.  La not' était ben tranquille aussi, sinon que queuque fois mon père et ma mère vouliont s'étrangler, et pis mon frère et mes soeurs s'arrachaient les yeux ; moi, quand je voyais ça, j'allais chercher la soupe.  Les v'là tout d'un coup qui tombaient sur l'écuelle, d'un silence que vous auriez entendu grouiller une souris, avec leurs cuillers, qui n'en perdaient pas une goutte."")","('#ragot', ""Pardine !  Je le crais ben, de ste p'tite marchande qui était si jolie, à trois sous la livre."")",0.85,Substitution
150,"('#ragot', ""Ah !  Ben, va, ma femme est ben comme ça, avant qu'all' boude contre son ventre...  Et pis d'ailleurs avec les honnêtes gens, la rancune est bientôt passée.  Sans adieu, Monsieur Janot, avant peu, j'allons boire à vot' sante.  Il sort."")","('#suzon', ""Oh !  mais tous ça vous ruine, Monsieur Janot, faut pas être un dépensier comme ça ; vous ferez un mauvais ménage, au moins ; vous êtes comme un panier percé, l'argent ne vous tient pas."")",1.0,Substitution
151,"('#janot', 'De tout mon coeur, et grand bien vous fasse et à moi aussi.')","('#ragot', ""Ba, ba, vous êtes trop regardeuse aussi...  À propos de panier percé, Mam'selle Suzon, vous souvenez-vous-ti que vous m'avez promis queuque chose ?"")",1.31,Substitution
152,"('#janot', ""Bon !  I' fait semblant, à cause du vin qu'i' va boire, de faire semblant de rien, mais, dans le fond, i' fume, je le vois ben, moi.  Tant mieux !  Ça fait toujours plaisir de faire envie aux autres.  Mordine !  Quand ça ne serait pas vrai que ça serait véritable d'avoir trouvé ce que j'ai trouvé, j'en ferais toujours le semblant par exprès pour leur faire la nargue.  Il m'a paru qu'il en avait le nez pus long, M.  Ragot, qu'à l'ordinaire, d'un pied.  Pendant que je suis en train, faut encore que j'en fasse une, pour voir un peu comment que ça fera.  Me v'là devant la boutique du père de Mam'selle Suzon, faut que je l'invite aussi à ce repas, afin d'y donner un crève-coeur.  C'est ben pensé : je suis sûr que ça va le faire enrager.  Voyons ça.  Approchons."")","('#suzon', ""Moi !  De quoi donc que c'est que ça pourrait ête ?"")",1.21,Substitution
153,"('#janot', ""Ah !  Le v'là qui travaille.  Faut que je le rebute un peu.  Parlez donc, l'homme, est-ce pas ici qu'il demeure un savetier...  Un malheureux ?"")","('#ragot', ""Ah dame !  Sous vot' respect, vous m'avez promis de m'embrasser quand je vous rapporterions vos bas de coton à coins brodés, que j'ai donnés à reprendre à ma cousine la ravaudeuse, où ce qui y a une maille d'échappée."")",1.29,Substitution
154,"('#simon', 'Monsieur...')",,1.0,Insertion
155,"('#janot', 'Un ivrogne...  Un drôle ?')","('#suzon', 'Est-ce que vous les avez dessus vous ?')",1.57,Substitution
156,"('#simon', 'Monsieur...')","('#ragot', 'Oui.')",0.07,Substitution
157,"('#janot', 'Hein ?  Qué que tu dis ?')","('#suzon', 'Ah !  Ben obligée, donnez-les moi.')",1.32,Substitution
158,"('#simon', 'Rien, Monsieur.  Je demande ce que Monsieur demande.')","('#ragot', ""Oui-dà !  Donnant, donnant : faut m'embrasser auparavant"")",1.29,Substitution
159,"('#janot', ""Oh ben !  La demande que Monsieur demande, c'est pour te demander si tu n'es pas savetier."")",,1.0,Insertion
160,"('#simon', 'Eh !  Pardine, vous le voyez ben.')",,1.0,Insertion
161,"('#janot', 'Comment !  Je le vois ben.  Est-ce que je suis fait pour me connaître à un métier aussi bas, aussi vilain, aussi dégoûtant, aussi malpropre...')","('#suzon', 'Oh !  Comme ça, dans la rue, devant tout le monde ?')",1.38,Substitution
162,"('#simon', 'Monsieur !  Monsieur !  Monsieur !...')","('#ragot', ""Non, venez m'ouvrir la porte de l'allée, j'entrerons un instant."")",1.45,Substitution
163,"('#janot', ""Allons, allons, pas de réplique.  T'es savetier, v'là qu'est fini.  Je viens te commander de l'ouvrage pour te faire gagner ta vie, parce qu'il faut que tout le monde vive."")","('#suzon', ""Eh ben !  Éteignez votre lanterne, qu'on ne vous voie pas ; je vas vous jeter la clef."")",1.56,Substitution
164,"('#simon', ""Ah !  Monsieur, je vous remercie de tout mon coeur.  De queu part que c'est-i', s'il vous plaît ?"")","('#ragot', ""C'est bon. Il souffle sa lumière."")",1.3,Substitution
165,"('#janot', ""C'est de la part d'une comtesse, tel que tu me vois."")","('#simon', ""Eh ben !  Chienne de bavarde, avec qui que t'es ponc là à causer ?"")",1.68,Substitution
166,,"('#suzon', 'Avec personne, mon père.')",1.0,Deletion
167,"('#simon', ""D'une comtesse !  Ça n'est pas vous par hasard ?"")","('#janot', ""Hem !  Qu'est-ce que vous dites, Mam'selle Suzon ?"")",1.08,Substitution
168,,"('#simon', ""Ah !  C'est encore ce petit gueux de Janot !"")",1.0,Deletion
169,"('#janot', 'Moi, la comtesse !')","('#janot', ""Janot,...  Oui, c'est moi...  Jetez donc."")",1.88,Substitution
170,,"('#simon', 'Que je jette ?')",1.0,Deletion
171,"('#simon', ""Non, pour qui i' faut travailler ?"")","('#ragot', 'Oui, la clef dans mon bonnet.  Me vlà.')",1.57,Substitution
172,"('#janot', ""Non, non : c'est une remonture qu'il faut faire à son postillon, pour ses bottes, qu'all' attend après."")","('#simon', ""Tout-à-l'heure.  Attends, attends. Y es-tu ? Il va chercher un pot, etc."")",1.13,Substitution
173,,"('#janot', 'Oui, jette.')",1.0,Deletion
174,"('#simon', 'Eh ben !  Les avez-vous là ?')","('#simon', 'Tiens, attrape.')",1.57,Substitution
175,"('#janot', ""Non : je ne les ai pas dessus moi ; mais c'est tout d' même, vous n'avez qu'à les venir prendre ou ben emporter votre boutique pour les raccommoder à l'hôtel."")","('#janot', ""Ah !  Sarpédié !  Qu'est-ce que c'est que ça ?...  Vous ne pouvez pas prendre garde à ce que vous faites.  On crie, gare l'eau du moins avant que de jeter...  Mais comme ça sent donc !...  Est-ce que ça serait... Ah !  Jarniguoi !  C'en est.  Vlà ma veste toute perdue, y n'y a pas à dire non ; c'en est ben !  Fi, Mam'selle Suzon, c'est z'indigne à vous.  C'est un fait exprès !  Vous m'avez fait éteindre ma lanterne !  Mais jarni !  Gny a pas besoin des yeux pour ça !  Avec le nez on voit ben !...  Vlà une belle chienne d'attrape !...  Vous avez beau rire ; allez, je ne sommes pas vot' dupe, je voyons ben à présent de quoi y retourne !...  Ah !  Sarpédié !  Comment que j'allons donc faire ?  Fait aller montrer ça tout chaud à not' maîtresse. Il flaire. Il se retourne vivement pour s'en aller, et se cogne contre Dodinet."")",0.87,Substitution
176,"('#simon', ""Comment !  Que j'emporte ma boutique ?  Mais, Monsieur, pardon, excuse ; sus vot' respect, révérence parler, le nom n'est pas une offense ; mais ne seriez-vous pas un petit coquin que j'ai teu l'honneur de rosser y a quéque temps pour des vitres qu'l' m'avait cassées ?"")","('#dodinet', ""Au diable soit l'aminal !  Vous ne pouvez pas prendre garde !"")",1.25,Substitution
177,"('#janot', ""Ah !  Au sujet de quéque chose qu'on lui avait jeté, pas vrai ?"")","('#ragot', ""Eh !  Pardine, prends garde toi-même.  Est-ce que tu ne vois pas ben que je n'y vois goutte ?"")",1.51,Substitution
178,,"('#dodinet', 'Eh ben, on va doucement, on ne se jette pas comme ça dans le monde.')",1.0,Deletion
179,"('#simon', 'Tout juste.')",,1.0,Insertion
180,"('#janot', ""Comment !  Est-ce que vous avez encore ça sus l' coeur, vous ?"")","('#janot', ""Eh !  Mais, queu rencontre !  Y me semble j'ai vu ste voix-là queuque part... Qui est-là ? Haut."")",1.49,Substitution
181,"('#simon', ""Moi, non.  Je n'y pense pus, sinon que ça m'en rappelle ; mais, au bout de tout, c'est donc vous-même ?"")","('#dodinet', 'Qui est-là, toi-même ?')",0.34,Substitution
182,,"('#janot', ""Oh !  C'est lui sûrement. Je m'appelle Janot. Haut."")",1.0,Deletion
183,"('#janot', ""Oui-da, c'est moi : mais je sis ben nettoyé du d'pis c' temps-là, va."")","('#dodinet', ""Comment !  C'est Janot ?...  Et moi, je suis Dodinet."")",1.39,Substitution
184,"('#simon', ""Eh !  Jarni !  Il y paraît, vous v'là prope comme un sou.  Qu'est-ce qui vous arrange donc si ben à présent ?"")","('#ragot', ""Ah !  Mon cher Dodinet !  Je suis t'enchanté de te retrouver.  Pardine !  Quiens, drès que j't'ai reconnu, je me suis douté que c'était toi...  Embrassons-nous."")",1.1,Substitution
185,,"('#dodinet', ""De tout mon coeur. Eh !  mais, tu es tout mouillé ! Ils s'embrassent."")",1.0,Deletion
186,"('#janot', ""Oh !  C'est chez une comtesse.  Comme je t'ai dit, y a là un homme qu'a soin de moi, que j'ai sa protection."")","('#ragot', ""Oh !  C'est une histoire que je te vas conter.  Quiens, imagine-toi... Mais, qu'est-ce que t'as donc là ? En gesticulant il touche l'épée de Dodinet."")",1.07,Substitution
187,,"('#dodinet', ""Ça, c'est mon épée"")",1.0,Deletion
188,"('#simon', ""Qu'est-ce que c'est que c't homme-là ?"")","('#ragot', ""Ton épée, est-ce que t'es soldat de milice ?"")",1.15,Substitution
189,,"('#dodinet', 'Non, je suis engagé dans les Rats-de-cave.')",1.0,Deletion
190,"('#janot', ""Oh !  Un homme d'importance : c'est lui qui mène toute la maison."")",,1.0,Insertion
191,"('#simon', ""L'intendant ?"")","('#ragot', ""Guiabe !  c'est-ti un beau régiment ça ?"")",1.34,Substitution
192,,"('#dodinet', ""Oh !  Je t'en réponds, va...  Mais... Viens un peu de ce côté-ci. Eh ben, ton histoire ? Il flaire. Il mène à l'autre bout du théâtre."")",1.0,Deletion
193,"('#janot', ""Non, c'est le cocher."")",,1.0,Insertion
194,"('#simon', ""La peste !  I' faut ben le ménager."")","('#ragot', ""Imagine-toi donc, je m'en allais chercher not' soupé, et pis vlà que..."")",1.14,Substitution
195,,"('#dodinet', ""Queu diable d'odeur !  Quiens, reculons-nous ici. Il recule d'un autre côté."")",1.0,Deletion
196,"('#janot', ""Bon !  Je me passerai ben de lui à présent : c'est moi qui vas protéger les autres de ce coup-ci."")","('#ragot', ""Et pis, vlà donc que je passais, en passant ; et pis tout d'un coup..."")",1.8,Substitution
197,,"('#dodinet', ""Mais c'est encore pus fort ici."")",1.0,Deletion
198,,"('#ragot', ""Est-ce que t'as des fourmis dans les pieds, toi ?  Qu'est-ce que t'as donc à danser ?"")",1.0,Deletion
199,,"('#dodinet', ""Eh !  Non ; c'est que je crais qu'il a passé par ici des..."")",1.0,Deletion
200,,"('#ragot', ""Non, il n'a passé personne."")",1.0,Deletion
201,,"('#dodinet', 'Si fait, je te dis : ça sent un goût...')",1.0,Deletion
202,,"('#ragot', ""Comment !  Un goût !...  Ah !  Quiens, c'est ça, peut-être. Il lui porte son bras sous le nez."")",1.0,Deletion
203,"('#simon', 'Comment donc ça ?')","('#dodinet', ""Ah !  Fi donc !  Qu'est-ce que c'est donc que ça ?"")",0.34,Substitution
204,"('#janot', ""Oh !  Dame, c'est une histoire qu'est un peu longue."")","('#ragot', ""C'est l'histoire que je te veux conter."")",0.64,Substitution
205,,"('#dodinet', ""Le diable t'emporte...  Est-ce qu'on t'a jeté ?..."")",1.0,Deletion
206,"('#simon', ""Eh ben !  Écoutez : v'là que j'allons à l'hôtel chercher les bottes, vous me conterez ça en chemin."")",,1.0,Insertion
207,"('#janot', 'Ah !  Le nigaud !  Qui a donné là dedans.')","('#ragot', ""Tout juste ; t'as mis le nez dessus."")",1.41,Substitution
208,,"('#dodinet', 'Ah !  Ben !  Tant mieux, mon ami ; vlà une bonne affaire pour toi ça.')",1.0,Deletion
209,,"('#ragot', 'Ba !  Je la croyais mauvaise, moi !')",1.0,Deletion
210,,"('#dodinet', 'Au contraire, mon ami, elle est excellente.')",1.0,Deletion
211,"('#simon', 'Dans de quoi donc ?')","('#ragot', 'Comment donc ça ?')",0.0,Match
212,"('#janot', ""Pardine !  Dans le godan de c't' hôtel de la comtesse que je te conte."")","('#dodinet', ""Oh !  C'est que tu t'auras de bons dédommagements.  Faut faire une plainte cheux le commissaire."")",1.12,Substitution
213,,"('#ragot', ""Ah !  Oui, mordine, t'as raison."")",1.0,Deletion
214,,"('#dodinet', ""Ne t'a-t-on pas rossé aussi un peu ?"")",1.0,Deletion
215,,"('#ragot', 'Non, heureusement.')",1.0,Deletion
216,,"('#dodinet', 'Ah !  Tant pis, morbleu !  Tant pis.')",1.0,Deletion
217,,"('#ragot', 'Tant mieux, putôt.')",1.0,Deletion
218,,"('#dodinet', ""Eh non !  Tant pis, mon ami ; si t'avais eu seulement queuques coups de bâton, ou queuque coups de pied au cul, ça te vaudrait de l'argent."")",1.0,Deletion
219,"('#simon', ""Comment !  Est-ce que ça n'est pas vrai ?"")","('#ragot', 'Es-tu ben sûr de ça ?')",0.91,Substitution
220,"('#janot', ""Pas du tout : tu t'es laissé là attraper à propos de botte."")","('#dodinet', ""Pardine, imagine-toi : c'est le casuel de not' emploi, je devons ben le savoir."")",1.01,Substitution
221,,"('#ragot', ""Ah !  C'est ça p'tête qu'on appelle le tour du bâton, pas vrai ?"")",1.0,Deletion
222,,"('#dodinet', ""Quiens, y n'y a pas encore huit jours, j'ai t'eu un soufflet qui m'a valu près de dix pistoles."")",1.0,Deletion
223,"('#simon', ""Que le diable vous emporte donc de venir me faire perdre mon temps.  J'avons aut' chose à faire qu'à rire, moi."")","('#ragot', ""Peste !  C'est ben heureux ça !  J'en ai diablement reçu qui ne m'ont rien rapporté, moi."")",1.44,Substitution
224,,"('#dodinet', ""C'est que tu ne sais pas t'y prendre.  Quiens, moi, vlà comme ça m'est venu.  Y avait zun homme qui courait après moi dans la rue ; et me sauvant, le pied m'a glissé, je suis tombé dessus un coup de canne.  Je ne perds pas la tête, moi, je me relève.  Vlà mon homme qui me rattrape : y vient sur moi comme un furieux, comme ça, quiens...  Si je ne m'étais pas retourné, il me campait un coup de pied dans le ventre."")",1.0,Deletion
225,"('#janot', ""Eh !  Là, là, ne te fâche pas.  Tu n'es pas au milieu : c'est la fin qui raccommodera tout ça."")","('#ragot', ""C'est ben adroit ; tu l'as escamoté donc ?"")",1.43,Substitution
226,,"('#dodinet', ""Oui, par derrière...  Le vlà tout sot, lui, d'avoir manque son coup !  Quand il voit ça, il m'allonge un soufflet..."")",1.0,Deletion
227,"('#simon', ""Eh ben !  Quoi que gn'y a donc encore ?"")","('#ragot', ""Que t'escamotes encore ?"")",1.16,Substitution
228,"('#janot', ""Y a que je viens te prier de prier Mam'selle Suzon, ta fille, et toi, de venir assister en propres personnes au repas du festin de mes accordailles, dans un cabaret, avec une jolie demoiselle, que je donne là au coin de la rue."")","('#dodinet', ""Non : je l'ai reçu, celui-là ; il m'a fait voir pus de dix mille chandelles."")",1.14,Substitution
229,,"('#ragot', ""Diable !  T'as vu là une belle illumination !"")",1.0,Deletion
230,"('#simon', ""Ah !  vraiment, Monsieur Janot, si ce n'est que ça, je ne manquerons pas de répondre à l'honneur que vous nous faites, en nous y trouvant le verre à la main, comme quoi que je vas faire ma toilette tout de suite."")","('#dodinet', ""Oui : mais je ne me suis pas endormi, vois-tu ; j'ai été porter ma joue toute chaude cheux un commissaire, et comme je te dis, j'en ai t'eu toujours ben une bonne centaine de francs."")",1.06,Substitution
231,"('#janot', ""Oui, et Mam'selle ta fille aussi."")",,1.0,Insertion
232,"('#simon', ""Oh !  Elle aura bentôt fait de se faire brave : c'est tout juste aujourd'hui un lendemain de fête, all' n'est pas encore ben decoiffér d'hier, c'est zune avance."")","('#ragot', ""C'est ben heureux.  Si j'avais su ste rubrique-là putôt, je me serais déjà ben fait payer aussi, moi...  Quiens, vois-tu ste dent-là qui me manque dans le coin, là...  Mâchelière ?"")",1.24,Substitution
233,"('#janot', ""Bon, bon, sans cérémonie : qu'all' vienne dîner comme elle est, ça sera toujours autant de pris."")",,1.0,Insertion
234,"('#simon', ""Mais, Monsieur Janot, je n'ai qu'une peur à l'heure qu'il est."")",,1.0,Insertion
235,"('#janot', 'De quoi donc ?')","('#dodinet', ""Eh ben, est-ce d'un soufflet ?"")",0.99,Substitution
236,"('#simon', ""C'est c'te p'tite fille, qui maugré vent et marée a toujours zeu une poignée d'inclination pour vous, quand ça va vous voir en épouster zune autre, ça va l'y retourner tout son lait."")","('#ragot', ""Oui, il était chenu, pas vrai, stilà...  Faut que je te le conte, ça, quiens, à poing fermé, pour deux yards j'avais passé l'eau, à la place Louis XV, dans un bateau ; je prends dispute pour une pièce, avec le passeu, de dix-huit deniers, qu'elle n'était pas bonne à ce qui disait ; moi, je n'y en voulais pas donner une aute.  Y me plante un soufflet, quiens, comme ça, avec sa main, qui me prend depis l'oreille jusque sur le nez, vois-tu, comme une épaule de mouton.  Y me jette à la renverse et me casse une dent là, les quatre fers en l'air...  Sitôt que je vois ça, moi, vlà que je me mets tout de suite à saigner du nez et à cracher le sang...  Vlà tout le monde qui s'amasse.  Le passeu a eu peur.  Il a repoussé au large sans me demander son reste...  Moi, je me suis ramassé, j'ai pris mes jambes à mon cou, et j'y ai emporté ses deux yards ; vlà tout ce qu'il m'a valu."")",0.82,Substitution
237,,"('#dodinet', ""Ah !  Ce n'est pas assez.  Mais crais-moi, ne manque pas st'occasion-là...  Vlà ici tout justement un commissaire qui demeure à ste lanterne là.  Vas ben vite faire ta plainte, et demain je te dirai ce qu'il faudra faire.  Où demeures-tu ?"")",1.0,Deletion
238,,"('#ragot', 'Quiens, là-devant, chez le fripier, au coin de la rue.')",1.0,Deletion
239,,"('#dodinet', ""C'est bon : à demain, au revoir, mon ami. Il s'en va."")",1.0,Deletion
240,"('#janot', ""Écoutez, Monsieur Simon, consolez-la, c't' enfant, je ne vous dis rien, mais je n'ai pas encore dit mon dernier mot.  On ne sait pas comment que la chance tournera : qu'all' vienne toujours ; p't-êt' que quand je la verrai là, qu'est-ce qui sait ?  La future n'est pas encore si future, que...  Enfin vous m'entendez ben."")","('#janot', ""Pardine, je suis ben heureux de l'avoir rencontre !  Sans lui, j'aurais encore perdu ça, moi.  Vlà pourtant ce que c'est de savoir les affaires !  On tire part de tout.  C'est là qui m'a dit le commissaire, je crois, voyons t'un peu, holà. Il frappe."")",1.09,Substitution
241,,"('#le-clerc', 'Que demandez-vous ?')",1.0,Deletion
242,,"('#ragot', ""C'est-ti pas ici que demeure la maison de Monsieur le commissaire ?"")",1.0,Deletion
243,,"('#le-clerc', ""Oui : qu'est-ce que vous lui voulez ?"")",1.0,Deletion
244,"('#simon', ""Oui, oui ; diab' !  Il n'y a rien de pus clair : je vous entends."")","('#ragot', ""Je voudrais l'y parler en main propre."")",1.09,Substitution
245,,"('#le-clerc', ""Il n'y est pas."")",1.0,Deletion
246,"('#janot', ""Si vous n'étiez pas un bavard, je vous dirais ben queuque chose de pus clair encore, mais c'est que..."")","('#ragot', ""Ah !  Ben, c'est tout de même.  Dites-lui qu'il faut que je l'y parle."")",0.69,Substitution
247,,"('#le-clerc', ""D'abord qu'il n'y est pas, vous ne pouvez lui parler."")",1.0,Deletion
248,"('#simon', 'Moi, bavard !  Ah !  Pardi !  Oui, je ne dis jamais que ce que je sais, et pis quéquefois ce que je ne sais pas, mais du reste on ne me ferait pas deserrer les dents.')","('#ragot', ""Je vous dis que si fait, pisque c'est pour affaire, faut ben que j'y parle."")",0.93,Substitution
249,"('#janot', ""Eh !  V'là comme faut être.  Écoutez, j'ai trouvé un trésor."")","('#le-clerc', ""Pour affaire !  Oh bien !  Je suis son maître clerc, vous pouvez me dire ce que c'est ; c'est la même chose.  Parlez, je vous écoute."")",1.31,Substitution
250,,"('#ragot', 'Eh ben !  Monsieur, je viens me plaindre.')",1.0,Deletion
251,,"('#le-clerc', 'Ah !  Vous venez faire une plainte ?')",1.0,Deletion
252,,"('#ragot', 'Oui, Monsieur, je viens faire une plainte contre...')",1.0,Deletion
253,"('#simon', 'Miséricorde !  Un trésor !')","('#le-clerc', 'Un instant, mon ami, pour faire une plainte, il y a une petite formalité à observer.')",1.53,Substitution
254,,"('#ragot', ""Eh ben, qu'est ce que c'est ?"")",1.0,Deletion
255,,"('#le-clerc', ""Notre temps est précieux, voyez-vous, nous ne pouvons pas le perdre à bavarder avec le premier venu...  Lorsqu'on veut causer avec nous, il faut commencer par payer."")",1.0,Deletion
256,,"('#ragot', 'Comment !  Payer pour venir se plaindre ?')",1.0,Deletion
257,,"('#le-clerc', 'Oui, mon ami, payer pour se plaindre.')",1.0,Deletion
258,"('#janot', ""Oui, mon ami, un trésor, fin encore, et je me marie tout de suite avec tant qu'il durera.  Et...  Allez-moi bien vite chercher Mam'selle Suzon, et amenez-la au cabaret, où ce que je dirai le reste...  Et moi, je vas chercher le trésor."")","('#ragot', ""Pardine !  Vlà une bonne histoire encore !...  Je n'ai pas d'argent, moi, Monsieur."")",1.08,Substitution
259,,"('#le-clerc', ""Vous n'avez pas d'argent ?"")",1.0,Deletion
260,,"('#ragot', ""Non, Monsieur, je n'en ai pas."")",1.0,Deletion
261,"('#simon', ""J'y cours, mon cher ami.  Un trésor !  Embrassons-nous, mon cher Janot.  Un trésor !  Fin, ah!  Queu bonheur !  Embrassons-nous encore : je vous en fais mon compliment...  Encore...  Ah !  Comme Suzon va être contente, c'te pauvre enfant !  Un trésor !  Ça va la faire pâmer, M.  Janot, ça va la faire pâmer.  Holà !  Suzon, holà ! Il rentre."")","('#le-clerc', ""Vous n'avez pas d'argent !  Eh !  Pourquoi diable vous plaignez-vous donc, si vous n'avez pas d'argent ?  Allez, mon ami, allez, vous êtes un mal-avisé.  Il vous sied bien de venir interrompre un commissaire !  Retirez-vous !  Vous êtes un impertinent !  Apprenez que quand on n'a point d'argent, on ne doit pas se plaindre, entendez-vous bien ?  on ne doit pas se plaindre. Il s'en va."")",0.86,Substitution
262,"('#janot', ""Quiens !  Pâmer !  Sembe-t-i' pas qu'ils le tiennent déjà.  Ventreguenne !  Comme ça vous affriande !  Diable !  C'est dangereux d'être si riche.  V'là déjà qu'i' m'a presque étranglé, lui, à force de caresses.  Eh ben !  Dodinet...  Qu'est-ce que t'as fait ?"")","('#janot', ""Une belle chienne de raison !  C'est justement-là le moment de se plaindre, ou jamais...  Diabe !  Dodinet ne m'avait pas prévenu de ça, moi...  Mais c'est p'tête pas ben cher, y faut voir.  J'ai là st'écu que not' maîtresse m'a donné, de six francs.  Je peux prendre la plainte dessus, je l'y remettrai ça de mon boursicot qui est dans ma chambre...  Reparlons-l'y...  Écoutez donc, Monsieur !"")",0.63,Substitution
263,,"('#le-clerc', 'Eh bien, que me voulez-vous encore ?')",1.0,Deletion
264,,"('#ragot', ""Monsieur, c'est-ti ben cher que vous prenez ?"")",1.0,Deletion
265,,"('#le-clerc', 'Non ; il ne vous en coûtera que vingt-quatre sous.')",1.0,Deletion
266,"('#dodinet', 'Mon ami, tout est en bon train : les viandes sont à la broche, le couvert est mis, le vin est sur la table, et je viens de chercher le clerc de notaire, qui est déjà au cabaret à griffonier et à boire en nous attendant.')","('#ragot', ""Vingt-quatre sous !  Je vous garderai donc une heure...  Mais à quoi ça m'avancera-t-il ?..."")",1.5,Substitution
267,,"('#le-clerc', ""À avoir des dédommagements, des réparations, des intérêts considérables !  Oh !  C'est de l'argent bien placé !"")",1.0,Deletion
268,"('#janot', ""C'est bon.  Moi, j'ai ben avancé la besogne aussi, va : j'ai déjà invité Monsieur et Madame Ragot, avec Mam'selle Suzon, et son ch' père, dans sa boutique, que je leux ai fait tourner la tête à tous."")","('#ragot', ""Ah ben !  En ce cas-là, revenez, Monsieur ; je m'en vas vous payer."")",1.18,Substitution
269,,"('#le-clerc', ""Eh !  Vous disiez que vous n'aviez point d'argent !"")",1.0,Deletion
270,"('#dodinet', ""Comme ça, je n'ai donc pus à prier, moi, que la fille de boutique du dégraisseur ?  Comment que tu dis qu'elle s'appelle ?"")","('#ragot', ""Ah !  C'est que mon gousset était percé ; mais je viens d'en trouver dans la doublure."")",1.35,Substitution
271,,"('#le-clerc', ""Tant mieux !  Puisque vous avez de l'argent, parlez, je vous écoute.  Plaignez-vous, Monsieur, plaignez-vous de tout le quartier, si vous voulez ; me voici prêt à recevoir votre plainte...  Où est votre argent ?"")",1.0,Deletion
272,,"('#ragot', 'Le vlà, Monsieur. Il montre son écu.')",1.0,Deletion
