,la-fontaine-daphne,quinault-proserpine,Cost,Operation Type
95,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#ascalaphe', ""Je dois suivre le dieu de l'infernal empire. La terre par ses tremblements Vient d'ébranler les fondements De nos demeures sombres : Pluton a voulu voir si la clarté des cieux Ne s'ouvre point de passage en ces lieux Pour aller aux enfers effaroucher les ombres. Il me permet de voir Arethuse un moment."")",0.51,Substitution
96,,"('#alphee', ""D'où vous vient tant d'empressement ?"")",1.0,Deletion
97,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#ascalaphe', ""Je l'ai vue aux enfers ; que je la trouvais belle !"")",1.09,Substitution
98,"('#momus', 'Elle fuit.')","('#alphee', ""L'ingrate me fuyait, elle est toujours cruelle."")",0.98,Substitution
99,"('#apollon', 'Mille amours avec elle ont paru.')","('#ascalaphe', 'Ses cruautés pour vous, ses soins pour fuir vos pas Ont encore à mes yeux augmenté ses appas.')",1.5,Substitution
100,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#alphee', ""Les flammes amoureuses Descendent-elles jusqu'à vous ? L'amour veut un séjour plus doux Que vos demeures ténébreuses."")",0.87,Substitution
101,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#ascalaphe', ""L'astre brillant qui vous luit Finit son cours dans les ondes, Il ne peut percer la nuit De nos demeures profondes ; Mais il n'est point de séjour Impénétrable à l'amour."")",0.73,Substitution
102,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
103,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
104,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#alphee', ""Qu'espérez-vous d'une âme si sévère ? Mon amour ne peut l'émouvoir."")",0.58,Substitution
105,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",,1.0,Insertion
106,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#ascalaphe', 'Si vous ne savez pas le secret de lui plaire Un autre pourra le savoir.')",0.81,Substitution
107,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#alphee', ""Saurez-vous de son coeur vaincre la résistance ? Est-ce aux enfers qu'on apprend ce secret ?"")",0.97,Substitution
108,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",,1.0,Insertion
109,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#ascalaphe', ""On apprend aux enfers à garder le silence, Et l'on y sait être discret ; La nymphe que je cherche avec soin vous évite, Pour la trouver, il faut que je vous quitte."")",1.07,Substitution
110,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#alphee', ""Amants qui n'êtes point jaloux, Que votre sort est doux ! L'amour m'a fait gémir sous une dure chaîne ; Mais quand je me plaignais de ses funestes coups Je ne connaissais pas le plus cruel de tous. Un autre aime Arethuse et ne craint point sa haine ; Et je vois sur moi seul tomber tout son courroux : C'était peu du malheur d'aimer une inhumaine, Le bonheur d'un rival a redoublé ma peine. Amants qui n'êtes point jaloux, Que votre sort est doux !"")",0.37,Substitution
111,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#alphee', 'Ingrate, écoutez-moi, je ne veux plus me plaindre, Je ne vous dirai rien qui vous puisse alarmer.')",1.13,Substitution
112,"('#fleuves', 'Commandez.')","('#arethuse', ""Vous cessez de m'aimer, Je cesse de vous craindre."")",1.47,Substitution
113,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#alphee', 'Ascalaphe vous cherche ici, Bientôt vous le verrez paraître ; Arethuse, peut-être, Vous le cherchez aussi.')",1.2,Substitution
114,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#arethuse', ""L'aimable Proserpine en votre âme a fait naître Une nouvelle ardeur ; Si vous ne m'aimez plus, que vous sert de connaître Le secret de mon coeur ?"")",0.83,Substitution
115,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#alphee', ""Faut-il que votre coeur à l'amour moins rebelle Récompense un amant sans éprouver sa foi ? Si ce bien eût été le prix du plus fidèle, Ah ! Vous savez, cruelle, Qu'il n'était dû qu'à moi."")",0.75,Substitution
116,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",,1.0,Insertion
117,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
118,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#arethuse', ""Votre nouvelle chaîne est si belle et si forte ! Pourquoi songer encore à des liens rompus. Que vous importe Qu'un autre emporte Un prix qui ne vous touche plus ?"")",1.02,Substitution
119,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#alphee', ""Vous avez fui les soins de mon amour extrême, Vous m'avez ôté tout espoir : Si je disais que je vous aime, Vous m'ôteriez encor le plaisir de vous voir."")",1.01,Substitution
120,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#arethuse #alphee', ""C'est une autre que moi qui règne dans votre âme, C'est un autre que moi qui règne dans votre âme, Vous trouvez d'autres noeuds plus doux : En vain je veux cacher ma flamme, Mon amour paraît trop dans mes transports jaloux ; Non, je ne puis aimer que vous."")",0.91,Substitution
121,"('#daphne', 'Ah, Clymène ! Plains-moi.')",,1.0,Insertion
122,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#arethuse', 'Est-il vrai que mon coeur soit en votre puissance ?')",0.82,Substitution
123,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#ascalaphe', ""Je vous aime sans espérance ; J'ai voulu soulager mon mal Par le chagrin de mon rival. Dans les enfers, c'est ainsi qu'on en use : Mes maux n'ont pu trouver d'autre adoucissement. Pardonnez-moi, belle Arethuse, Je ne suis pas le seul qui se vante en aimant De posséder un coeur qu'on lui refuse. Mais Alphée aujourd'hui n'est plus tant rebuté ? Vous ne fuyez plus sa présence ?"")",0.17,Substitution
124,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#arethuse', 'Pour punir votre vanité Je veux que vous voyez triompher sa constance.')",0.75,Substitution
125,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#ascalaphe', ""En lui donnant la préférence, Vous me rendez la liberté. Le dépit qui me possède Me guérira promptement, Vous en faites mon tourment, Et j'en ferai mon remède."")",0.37,Substitution
126,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
127,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",,1.0,Insertion
128,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#arethuse #alphee', ""Pour être heureux, il faut qu'on aime bien."")",0.89,Substitution
129,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#ascalaphe', ""Pour être heureux il faut qu'on n'aime rien. Mais Pluton va bientôt rentrer dans son empire : Il passe en ces lieux, il admire Les charmes d'un séjour si doux."")",0.96,Substitution
130,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",,1.0,Insertion
131,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#pluton', ""Demeurez Arethuse, Alphée éloignez-vous. Alphée se retire, et Pluton continue à parler. Les efforts d'un géant qu'on croyait accablé Ont fait encor frémir le ciel, la terre, et l'onde Mon Empire s'en est troublé ; Jusqu'au centre du monde Mon trône en a tremblé. L'affreux Typhoée avec sa vaine rage Trébuche enfin dans des gouffres sans fonds. L'éclat du jour ne s'ouvre aucun passage Pour pénétrer les royaumes profonds Qui me sont échus en partage. Le ciel ne craindra plus que ses fiers ennemis Se relèvent jamais de leur chute mortelle, Et du monde ébranlé par leur fureur rebelle Les fondements sont raffermis : Je puis faire goûter une paix éternelle Aux peuples souterrains que le sort m'a soumis. Mais par vos soins puis-je voir Proserpine Avant que de quitter cet aimable séjour ?"")",0.7,Substitution
132,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#arethuse', ""Cette fière beauté s'obstine À fuir les amants et l'amour. Dans l'innocent repos de cette solitude Elle évite les dieux De la terre et des cieux : Jugez de son inquiétude Si le Dieu des Enfers paraissait à ses yeux. Caché sous cet épais feuillage Vous pourriez la voir un moment."")",0.78,Substitution
133,"('#tharsis', 'Je vous verrai.')","('#pluton', ""Allez, il suffira que votre soin l'engage À venir dans ce lieu charmant, Et si je puis la voir il n'importe comment."")",0.75,Substitution
134,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#ascalaphe', ""J'ai peine à concevoir d'où vient le trouble extrême Où le coeur de Pluton semble s'abandonner."")",1.08,Substitution
135,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#pluton', ""Tu peux t'en étonner, J'en suis surpris moi-même J'ai trouvé Proserpine en visitant ces lieux. Les pleurs coulaient de ses beaux yeux : Elle fuyait, interdite, et tremblante ; Pour implorer l'assistance des dieux Elle tournait ses regards vers les cieux : Sa douleur et son épouvante Rendaient encor sa beauté plus touchante. Les accents plaintifs de sa voix Ont ému mon coeur inflexible ; Qu'un coeur fier est troublé quand il devient sensible Pour la première fois !"")",0.18,Substitution
136,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#ascalaphe', ""Contre l'amour quel coeur peut se défendre ? Le temps d'aimer n'est pas connu, Il faut l'attendre ; Quand ce temps fatal est venu, Il faut se rendre. Contre l'amour quel coeur peut se défendre ?"")",0.38,Substitution
137,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",,1.0,Insertion
138,"('#telamon', 'Ceci vous trouble et vous étonne.')",,1.0,Insertion
139,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#pluton', ""De ce dieu si puissant je méprisais les feux, J'éprouve enfin sa vengeance cruelle. Je l'ai vu ce dieu dangereux, Il suivait Proserpine, il volait après elle. J'ai vu de sa fatale main Partir un trait de flamme, J'ai voulu l'éviter en vain, Le coup a pénétré jusqu'au fond de mon âme."")",0.4,Substitution
140,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#ascalaphe', ""L'amour a surmonté le maître des enfers ; Il n'a plus rien à vaincre après cette victoire."")",0.98,Substitution
141,"('#tharsis', 'Tu ris.')",,1.0,Insertion
142,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#pluton-ascalaphe', ""L'amour comblé de gloire Triomphe de tout l'univers."")",1.43,Substitution
143,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")","('#proserpine #nymphes', 'Les beaux jours et la paix Sont revenus ensemble.')",1.93,Substitution
144,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#pluton', ""La troupe des nymphes s'assemble, Retirons-nous sous ce feuillage épais. Pluton et Ascalaphe se retirent et se cachent, et Proserpine et ses nymphes s'avancent en dansant et en chantant."")",1.37,Substitution
145,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")","('#proserpine #nymphes', ""Les beaux jours et la paix On ne voit plus de coeur qui tremble, Tout rit dans ces lieux pleins d'attraits. Les beaux jours et la paix Sont revenus ensemble. Proserpine et ses nymphes continuent leurs danses et leurs chants."")",1.18,Substitution
146,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.31,Substitution
147,,"('#le-choeur', ""On ne trouve rien de doux Quand on est dans l'esclavage."")",1.0,Deletion
148,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",1.05,Substitution
149,"('#le-choeur', 'Parmi les plaisirs et les jeux.')","('#le-choeur', ""Les amants n'ont en partage Que langueurs, que soins jaloux."")",0.95,Substitution
150,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#proserpine', 'Belles fleurs, charmant ombrage Il ne faut aimer que vous.')",0.78,Substitution
151,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#le-choeur', 'Belles fleurs charmant ombrage, Il ne faut aimer que vous.')",1.28,Substitution
152,,"('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.0,Deletion
153,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#le-choeur', ""Dans les plus aimables noeuds On n'a point de bien paisible."")",1.41,Substitution
154,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')","('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.83,Substitution
155,"('#penee', 'Laissez-nous achever cette cérémonie.')","('#le-choeur', ""C'est toujours un mal terrible Que l'ardeur des plus beaux feux."")",1.71,Substitution
156,,"('#proserpine', 'Quand un coeur est trop sensible, Rien ne peut le rendre heureux.')",1.0,Deletion
157,,"('#le-choeur', 'Quand un coeur est trop sensible Rien ne peut le rendre heureux.')",1.0,Deletion
158,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#proserpine', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Le jour n'éclaire Que pour nous plaire, Ces arbres verts. Ont leur plus beau feuillage, Et mille oiseaux divers Dans ce bocage Imitent nos concerts Par leur ramage ; Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Tout s'intéresse Dans nos désirs, Jamais l'amour ne nous blesse, Les doux plaisirs Sont pour les coeurs sans faiblesse. Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur."")",0.16,Substitution
159,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#le-choeur', ""Que notre vie Doit faire envie ! Le vrai bonheur Est de garder son coeur. Pour nous défendre D'un amour tendre, Avec fierté, Nous avons pris les armes : Nos biens n'ont point coûté De tristes larmes, La liberté N'a jamais que des charmes : Que notre vie, etc."")",0.35,Substitution
160,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')","('#proserpine', 'Nous reverrons bientôt Cérès dans ces beaux lieux, Il faut lui préparer des guirlandes nouvelles. Séparons-nous ; voyons qui sait le mieux Assortir les fleurs les plus belles.')",1.55,Substitution
161,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
162,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#nymphes', ""Voyons qui sait le mieux Assortir les fleurs les plus belles. Les nymphes s'écartent, Proserpine et Cyané cueillent des fleurs."")",0.92,Substitution
163,,"('#pluton', 'Infernales divinités Secondez mon amour, sortez. Une troupe de divinités infernales sort de la terre, et le char de Pluton paraît en même temps.')",1.0,Deletion
164,,"('#proserpine', 'Ciel ! Prenez ma défense !')",1.0,Deletion
165,,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.0,Deletion
166,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#pluton #ascalaphe #divinites-infernales', 'Proserpine ne craignez pas Un dieu charmé de vos appas.')",0.92,Substitution
167,,"('#cyane', ""Qu'elle barbare violence !"")",1.0,Deletion
168,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#pluton', ""Nymphe, crains ma vengeance : Sur peine de perdre la voix. Garde-toi de parler de tout ce que tu vois. L'écharpe de Proserpine demeure dans les mains de Cyané, et Pluton fait placer Proserpine près de lui sur son char."")",0.83,Substitution
169,,"('#proserpine', 'Ciel ! Prenez ma défense !')",1.0,Deletion
170,,"('#proserpine #cyane', ""Ô ciel ! Protégez l'innocence !"")",1.0,Deletion
171,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#pluton #ascalaphe #divinites-infernales', 'Proserpine, ne craignez pas, Un dieu charmé de vos appas.')",0.56,Substitution
172,"('#telamon', ""N'en saurai-je pas plus ?"")","('#tous-ensemble', ""Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ? Ô disgrâce cruelle ! L'écho fidèle Au fond des bois Répond à notre voix ; Proserpine ? Ah faut-il qu'en vain on vous appelle ! Proserpine ? Répondez-nous ? Hélas ! En quels lieux êtes-vous ?"")",1.43,Substitution
173,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
174,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#arethuse', ""N'aurais-je point innocemment Causé tant de cris et de larmes ? D'un désir curieux je n'ai point pris d'alarmes ; Qui croirait que Pluton put devenir amant ! Il demandait à voir Proserpine un moment, Je crains qu'il n'ait trop vu ses charmes, Ce n'est que par mes soins que Cérès peut savoir Si le dieu des enfers tient sa fille captive ; Il m'est permis d'aller sur l'infernale rive : Adieu, dans peu de temps j'espère vous revoir."")",0.05,Substitution
175,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",,1.0,Insertion
176,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#alphee', ""Pouvez-vous oublier qu'il faut que je vous suive ? J'ai sans cesse suivi vos pas Quand j'excitais votre colère : Quand j'ai cessé de vous déplaire Pourrais-je ne vous suivre pas ?"")",0.7,Substitution
177,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#arethuse', ""Du maître des enfers je veux aller me plaindre, Craignez en me suivant d'attirer son courroux."")",0.58,Substitution
178,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#alphee', ""Pour moi rien n'est tant à craindre Que d'être éloigné de vous. Que l'absence de ce qu'on aime Est un supplice rigoureux ! Pour les coeurs amoureux, Tout autre mal cède à ce mal extrême, Et l'enfer même N'a rien de plus affreux Que l'absence de ce qu'on aime."")",0.33,Substitution
179,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#arethuse #alphee', ""Le bonheur est partout où l'amour est en paix, Ne nous quittons jamais."")",1.65,Substitution
180,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#tous-ensemble', ""Cérès revient ! Ah qu'elle peine ! Cachons-nous à ses yeux. Sa fille n'est plus dans ces lieux ; Son espérance est vaine. Que lui pourrons-nous dire, ô dieux ! Cérès revient ; ah quelle peine ! Cachons-nous à ses yeux, Les nymphes et les dieux des bois se cachent, Alphée et Arethuse descendent aux enfers, le char volant de Cérès s'arrête, et la déesse en descend."")",0.7,Substitution
