,moliere-amants-magnifiques,quinault-alceste,Cost,Operation Type
103,"('#timocles', 'Vous en userez comme vous voudrez.')","('#cephise', ""Si je change d'Amant  Qu'y trouves-tu d'étrange ?  Est-ce un sujet d'étonnement  De voir une fille qui change ? "")",1.78,Substitution
104,,"('#straton', 'Après deux ans passés dans un si doux lien,  Devais-tu jamais prendre une chaîne nouvelle ? ')",1.0,Deletion
105,"('#iphicrate', ""Clitidas se ressouvient bien qu'il est de mes amis : je lui recommande toujours de prendre mes intérêts auprès de sa maîtresse, contre ceux de mon rival."")",,1.0,Insertion
106,"('#clitidas', ""Laissez-moi faire : il y a bien de la comparaison de lui à vous, et c'est un prince bien bâti pour vous le disputer."")",,1.0,Insertion
107,"('#iphicrate', 'Je reconnaîtrai ce service.')","('#cephise', ""Ne comptes-tu pour rien  D'être deux ans fidèle ? "")",1.27,Substitution
108,"('#timocles', ""Mon rival fait sa cour à Clitidas ; mais Clitidas sait bien qu'il m'a promis d'appuyer contre lui les prétentions de mon amour."")","('#straton', ""Par un espoir doux et trompeur,  Pourquoi m'engageais-tu dans un amour si tendre ?  Fallait-il me donner ton coeur,  Puisque tu voulais le reprendre ? "")",0.95,Substitution
109,"('#clitidas', ""Assurément, et il se moque de croire l'emporter sur vous ; voilà auprès de vous un beau petit morveux de prince."")",,1.0,Insertion
110,"('#timocles', ""Il n'y a rien que je ne fasse pour Clitidas."")","('#cephise', ""Quand je t'offris mon coeur, c'était de bonne foi ;  Que n'empêches-tu qu'on te l'ôte ?  Est-ce ma faute  Si Licas me plaît plus que toi ? "")",1.4,Substitution
111,"('#clitidas', ""Belles paroles de tous côtés.  Voici la Princesse ; prenons mon temps pour l'aborder."")","('#straton', 'Ingrate, est-ce le prix de ma persévérance ? ')",1.3,Substitution
112,"('#cleonice', 'On trouvera étrange, Madame, que vous vous soyez ainsi écartée de tout le monde.')",,1.0,Insertion
113,"('#eriphile', ""Ah !  Qu'aux personnes comme nous qui sommes toujours accablées de tant de gens, un peu de solitude est parfois agréable, et qu'après mille impertinents entretiens, il est doux de s'entretenir avec ses pensées !  Qu'on me laisse ici promener toute seule."")","('#cephise', ""Essaye un peu de l'inconstance :  C'est toi qui le premier m'appris à m'engager :  Pour récompense  Je te veux apprendre à changer. "")",1.08,Substitution
114,"('#cleonice', ""Ne voudriez-vous pas, Madame, voir un petit essai de la disposition de ces gens admirables qui veulent se donner à vous ?  Ce sont des personnes, qui par leurs pas, leurs gestes, et leurs mouvements expriment aux yeux toutes choses, et on appelle cela pantomimes.  J'ai tremblé à vous dire ce mot, et il y a des gens dans votre Cour qui ne me le pardonneraient pas."")","('#straton #cephise', 'Il faut aimer toujours.  Il faut changer toujours.  Les plus douces amours  Sont les amours fidèles :  Sont les amours nouvelles :  Il faut aimer toujours.  Il faut changer toujours. ')",1.18,Substitution
115,,"('#licomede', ""Straton, donne ordre qu'on s'apprête  Pour commencer la Fête.  STRATON se retire."")",1.0,Deletion
116,"('#eriphile', ""Vous avez bien la mine, Cléonice, de me venir ici régaler d'un mauvais divertissement ; car, grâce au Ciel vous ne manquez pas de vouloir produire indifféremment tout ce qui se présente à vous, et vous avez une affabilité qui ne rejette rien.  Aussi est-ce à vous seule qu'on voit avoir recours toutes les muses nécessitantes ; vous êtes la grande protectrice du mérite incommodé, et tout ce qu'il y a de vertueux indigents au monde va débarquer chez nous."")","('#licomede', ""Enfin, grâce au dépit, je goûte la douceur  De sentir le repos de retour dans mon coeur.  J'étais à préférer au Roi de Thessalie ;  Et si pour sa gloire, on publie  Qu'Apollon autrefois lui servit de Pasteur,  Je suis Roi de Scyros, et Thétis est ma soeur.  J'ai su me consoler d'un hymen qui m'outrage,  J'en ordonne les Jeux avec tranquillité.  Qu'aisément le dépit dégage  Des fers d'une ingrate Beauté :  Et qu'après un long esclavage,  Il est doux d'être en liberté. "")",0.49,Substitution
117,"('#cleonice', ""Si vous n'avez pas envie de les voir, Madame, il ne faut que les laisser là."")","('#cephise', ""Il n'est pas sûr toujours de croire l'apparence :  Un coeur bien pris, et bien touché,  N'est pas aisément détaché,  Ni sitôt guéri que l'on pense ;  Et l'amour est souvent caché  Sous une feinte indifférence. "")",1.44,Substitution
118,"('#eriphile', 'Non, non, voyons-les, faites-les venir.')",,1.0,Insertion
119,"('#cleonice', 'Mais peut-être, Madame, que leur danse sera méchante.')",,1.0,Insertion
120,"('#eriphile', 'Méchant, ou non, il la faut voir ; ce ne serait avec vous que reculer la chose, et il vaut mieux en être quitte.')","('#licomede', ""Quand on est sans espérance,  On est bientôt sans amour.  Mon Rival a la préférence,  Ce que j'aime est en sa puissance,  Je perds tout espoir en ce jour :  Quand on est sans espérance,  On est bientôt sans amour.  Voici l'heure qu'il faut que la Fête commence,  Chacun s'avance,  Préparons-nous. "")",1.27,Substitution
121,,"('#choeur', 'Vivez, vivez, heureux Époux. ')",1.0,Deletion
122,"('#cleonice', ""Ce ne sera ici, Madame, qu'une danse ordinaire, une autre fois..."")","('#pheres', 'Jouissez des douceurs du noeud qui vous assemble. ')",1.42,Substitution
123,"('#eriphile', ""Point de préambule, Cléonice, qu'ils dansent."")","('#admete #alceste', ""Quand l'Hymen et l'Amour sont bien d'accord ensemble  Que les noeuds qu'ils forment sont doux ? "")",0.95,Substitution
124,,"('#choeur', 'Vivez, vivez, heureux Époux. ')",1.0,Deletion
125,,"('#deux-tritons', ""Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Partout où l'on mène  Les Coeurs amoureux,  On voit la Mer pleine  D'écueils dangereux ;  Mais sans quelque peine,  On n'est jamais heureux :  Une âme constante,  Après la tourmente,  Espère un beau jour.  Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  Une âme commune  S'étonne d'abord,  Le soin l'importune,  Le calme l'endort,  Mais quelle fortune  Fait-on sans quelque effort ?  Est-il un commerce  Exempt de traverse ?  Chacun doit risquer.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  On danse."")",1.0,Deletion
126,"('#eriphile', ""Voilà qui est admirable !  Je ne crois pas qu'on puisse mieux danser qu'ils dansent, et je suis bien aise de les avoir à moi."")","('#cephise', ""Jeunes Coeurs, laissez-vous prendre,  Le péril est grand d'attendre,  Vous perdez d'heureux moments  En cherchant à vous défendre.  Si l'Amour a des tourments,  C'est la faute des Amants.  On danse."")",0.79,Substitution
127,"('#cleonice', ""Et moi, Madame, je suis bien aise que vous ayez vu que je n'ai pas si méchant goût que vous avez pensé."")","('#une-nymphe #cephise', ""Plus les âmes sont rebelles,  Plus leurs peines sont cruelles,  Les plaisirs doux et charmants  Sont le prix des coeurs fidèles :  Si l'Amour a des tourments,  C'est la faute des Amants. "")",1.38,Substitution
128,"('#eriphile', ""Ne triomphez point tant, vous ne tarderez guère à me faire avoir ma revanche, qu'on me laisse ici."")","('#licomede', 'On vous apprête  Dans mon Vaisseau  Un divertissement nouveau. ')",1.65,Substitution
129,"('#cleonice', 'Je vous avertis, Clitidas, que la Princesse veut être seule.')","('#licomede #straton', ""Venez voir ce que notre fête  Doit avoir de plus beau.  LICOMÈDE conduit ALCESTE dans son Vaisseau, STRATON y mène CÉPHISE, et dans le temps qu'ADMÈTE et ALCIDE y veulent passer, le Pont s'enfonce dans la Mer. "")",1.46,Substitution
130,,"('#admete #alcide', ""Dieux ! Le Pont s'abîme dans l'eau. "")",1.0,Deletion
131,,"('#choeur', 'Ah quelle trahison funeste ! ')",1.0,Deletion
132,,"('#alceste #cephise', 'Au secours, au secours. ')",1.0,Deletion
133,"('#clitidas', 'Laissez-moi faire, je suis homme qui sais ma cour.')","('#alcide', 'Perfide... ')",1.35,Substitution
134,"('#clitidas', 'La, la, la, la, ah !')","('#admete', 'Alceste... ')",1.46,Substitution
135,,"('#alcide #admete', 'Laissons les vains discours. Au secours, au secours. ')",1.0,Deletion
136,,"('#choeur-des-thessaliens', 'Au secours, au secours. ')",1.0,Deletion
137,"('#eriphile', 'Clitidas.')",,1.0,Insertion
138,"('#clitidas', 'Je ne vous avais pas vue là, Madame.')",,1.0,Insertion
139,"('#eriphile', ""Approche.  D'où viens-tu ?"")","('#thetis', ""Époux infortuné, redoute ma colère,  Tu vas hâter l'instant qui doit finir tes jours ;  C'est Thétis que la Mer révère,  Que tu vois contre toi du parti de son Frère.  Et c'est à la mort que tu cours. "")",1.67,Substitution
140,,"('#admete', 'Au secours, au secours. ')",1.0,Deletion
141,"('#clitidas', ""De laisser la Princesse votre mère qui s'en allait vers le temple d'Apollon, accompagnée de beaucoup de gens."")","('#thetis', ""Puisqu'on méprise ma puissance ;  Que les vents déchaînés,  Que les flots mutinés  S'arment pour ma vengeance.  THETIS rentre dans la Mer, et les Aquilons excitent une tempête qui agite les Vaisseaux qui s'efforcent de poursuivre LICOMÈDE. "")",1.47,Substitution
142,"('#eriphile', 'Ne trouves-tu pas ces lieux les plus charmants du monde ?')",,1.0,Insertion
143,"('#clitidas', 'Assurément.  Les Princes vos amants y étaient.')","('#eole', ""Le Ciel protège les Héros :  Allez Admète, allez Alcide ;  Le Dieu qui sur les Dieux préside  M'ordonne de calmer les flots :  Allez, poursuivez un Perfide.  Retirez-vous,  Vents en courroux,  Rentrez dans vos prisons profondes :  Et laissez régner sur les ondes  Les Zéphyrs les plus doux.  L'orage cesse, les Zéphyrs volent et font fuir les Aquilons qui tombent dans la Mer avec les nuages qu'ils en avaient élevés, et les Vaisseaux d'ALCIDE et d'ADMÈTE poursuivent LICOMÈDE."")",1.15,Substitution
144,"('#eriphile', ""Le fleuve Pénée fait ici d'agréables détours."")",,1.0,Insertion
145,"('#clitidas', 'Fort agréables.  Sostrate y était aussi.')",,1.0,Insertion
146,"('#eriphile', ""D'où vient qu'il n'est pas venu à la promenade ?"")","('#cephise', 'Alceste ne vient point, et nous devons attendre. ')",1.31,Substitution
147,"('#clitidas', ""Il a quelque chose dans la tête qui l'empêche de prendre plaisir à tous ces beaux régales.  Il m'a voulu entretenir, mais vous m'avez défendu si expressément de me charger d'aucune affaire auprès de vous, que je n'ai point voulu lui prêter l'oreille, et je lui ai dit nettement que je n'avais pas le loisir de l'entendre."")","('#straton', ""Que peut-elle prétendre ?  Pourquoi se tourmenter ici mal à propos ?  Ses cris ont beau se faire entendre,  Peut-être son Époux a péri dans les flots,  Et nous sommes enfin dans l'Île de Scyros. "")",1.01,Substitution
148,"('#eriphile', ""Tu as eu tort de lui dire cela, et tu devais l'écouter."")","('#cephise', ""Tu ne te plaindras point que j'en use de même :  Je t'ai donné peu d'embarras  Tu vois comme je suis tes pas. "")",0.74,Substitution
149,"('#clitidas', ""Je lui ai dit d'abord que je n'avais pas le loisir de l'entendre, mais après je lui ai donné audience."")","('#straton', 'Tu sais dissimuler une colère extrême. ')",1.95,Substitution
150,"('#eriphile', 'Tu as bien fait.')","('#cephise', ""Et si je te disais que c'est toi seul que j'aime ? "")",1.45,Substitution
151,"('#clitidas', ""En vérité c'est un homme qui me revient, un homme fait comme je veux que les hommes soient faits : ne prenant point des manières bruyantes et des tons de voix assommants ; sage et posé en toutes choses ; ne parlant jamais que bien à propos ; point prompt à décider ; point du tout exagérateur incommode ; et quelques beaux vers que nos poètes lui aient récités, je ne lui ai jamais ouï dire voilà qui est plus beau que tout ce qu'a jamais fait Homère.  Enfin, c'est un homme pour qui je me sens de l'inclination, et si j'étais princesse, il ne serait pas malheureux."")","('#straton', 'Tu le dirais en vain, je ne te croirais pas.')",1.61,Substitution
152,"('#eriphile', ""C'est un homme d'un grand mérite assurément, mais de quoi t'a-t-il parlé ?"")",,1.0,Insertion
153,"('#clitidas', ""Il m'a demandé si vous aviez témoigné grande joie au magnifique régale que l'on vous a donné ; m'a parlé de votre personne avec des transports les plus grands du monde, vous a mise au-dessus du ciel, et vous a donné toutes les louanges qu'on peut donner à la princesse la plus accomplie de la terre, entremêlant tout cela de plusieurs soupirs, qui disaient plus qu'il ne voulait.  Enfin, à force de le tourner de tous côtés, et de le presser sur la cause de cette profonde mélancolie, dont toute la Cour s'aperçoit, il a été contraint de m'avouer qu'il était amoureux."")","('#cephise', ""Crois-moi, si j'ai feint de changer  C'était pour te mieux engager. Un Rival n'est pas inutile,  Il réveille l'ardeur et les soins d'un Amant ;  Une conquête facile  Donne peu d'empressement,  Et l'Amour tranquille  S'endort aisément. "")",0.77,Substitution
154,"('#eriphile', ""Comment amoureux ?  Quelle témérité est la sienne !  C'est un extravagant que je ne verrai de ma vie."")","('#straton', ""Non, non, ne tente point une seconde ruse,  Je vois plus clair que tu ne crois.  On excuse d'abord un Amant qu'on abuse ;  Mais la sottise est sans excuse,  De se laisser tromper deux fois. "")",0.89,Substitution
155,"('#clitidas', 'De quoi vous plaignez-vous, Madame ?')",,1.0,Insertion
156,"('#eriphile', ""Avoir l'audace de m'aimer, et de plus avoir l'audace de le dire ?"")","('#cephise', ""N'est-il aucun moyen d'apaiser ta colère ? "")",1.52,Substitution
157,"('#clitidas', ""Ce n'est pas vous, Madame, dont il est amoureux."")","('#straton', ""Consens à m'épouser, et sans retardement. "")",1.36,Substitution
158,"('#eriphile', ""Ce n'est pas moi ?"")",,1.0,Insertion
159,"('#clitidas', 'Non, Madame, il vous respecte trop pour cela, et est trop sage pour y penser.')","('#cephise', ""Une si grande affaire  Ne se fait pas si promptement :  Un hymen qu'on diffère  N'en est que plus charmant. "")",1.2,Substitution
160,"('#eriphile', 'Et de qui donc, Clitidas ?')",,1.0,Insertion
161,"('#clitidas', ""D'une de vos filles la jeune Arsinoé."")",,1.0,Insertion
162,"('#eriphile', ""A-t-elle tant d'appas, qu'il n'ait trouvé qu'elle digne de son amour ?"")","('#straton', ""Un hymen qui peut plaire  Ne coûte guère,  Et c'est un noeud bientôt formé ;  Rien n'est plus aisé que de faire  Un Époux, d'un Amant aimé. "")",0.93,Substitution
163,"('#clitidas', ""Il l'aime éperdument, et vous conjure d'honorer sa flamme de votre protection."")","('#cephise', ""Je t'aime d'un amour sincère ;  Et s'il est nécessaire,  Je m'offre à t'en faire un serment. "")",0.19,Substitution
164,"('#eriphile', 'Moi ?')","('#straton', 'Amusement, amusement.')",1.27,Substitution
165,"('#clitidas', ""Non, non, Madame, je vois que la chose ne vous plaît pas.  Votre colère m'a obligé à prendre ce détour, et pour vous dire la vérité, c'est vous qu'il aime éperdument."")","('#cephise', ""L'injuste enlèvement d'Alceste  Attire dans ces lieux une guerre funeste,  Les plus braves des Grecs s'arment pour son secours :  Au milieu des cris et des larmes,  L'hymen a peu de charmes ;  Attendons de tranquilles jours.  Le bruit affreux des armes  Effarouche bien les Amours. "")",1.08,Substitution
166,"('#eriphile', ""Vous êtes un insolent de venir ainsi surprendre mes sentiments.  Allons, sortez d'ici, vous vous mêlez de vouloir lire dans les âmes ; de vouloir pénétrer dans les secrets du coeur d'une princesse.  Ôtez-vous de mes yeux, et que je ne vous voie jamais, Clitidas."")","('#straton', ""Discours, discours, discours.  Tu n'as qu'à m'épouser pour m'ôter tout ombrage ?  Pourquoi différer davantage ?  À quoi servent tant de façons ? "")",0.85,Substitution
167,"('#clitidas', 'Madame.')",,1.0,Insertion
168,"('#eriphile', 'Venez ici.  Je vous pardonne cette affaire-là.')","('#cephise', ""Rends-moi la liberté pour m'épouser sans crainte ;  Un hymen fait avec contrainte  Est un mauvais moyen de finir tes soupçons. "")",1.48,Substitution
169,,"('#straton', 'Chansons, chansons, chansons. ')",1.0,Deletion
170,,"('#licomede', 'Allons, allons, la plainte est vaine. ')",1.0,Deletion
171,"('#clitidas', 'Trop de bonté, Madame.')","('#alceste', 'Ah ! Quelle rigueur inhumaine ! ')",1.65,Substitution
172,"('#eriphile', ""Mais à condition, prenez bien garde à ce que je vous dis, que vous n'en ouvrirez la bouche à personne du monde, sur peine de la vie."")","('#licomede', 'Allons, je suis sourd à vos cris,  Je me venge de vos mépris. ')",1.28,Substitution
173,"('#clitidas', 'Il suffit.')","('#alceste', 'Quoi ! Vous serez inexorable ? ')",1.72,Substitution
174,,"('#licomede', ""Cruelle, vous m'avez appris  À devenir impitoyable. "")",1.0,Deletion
175,"('#eriphile', ""Sostrate t'a donc dit qu'il m'aimait ?"")","('#alceste', ""Est-ce ainsi que l'Amour a su vous émouvoir ?  Est-ce ainsi que pour moi votre âme est attendrie ? "")",1.03,Substitution
176,"('#clitidas', ""Non, Madame : il faut vous dire la vérité.  J'ai tiré de son coeur par surprise un secret qu'il veut cacher à tout le monde et avec lequel il est, dit-il, résolu de mourir.  Il a été au désespoir du vol subtil que je lui en ai fait, et bien loin de me charger de vous le découvrir, il m'a conjuré, avec toutes les instantes prières qu'on saurait faire, de ne vous en rien révéler, et c'est trahison contre lui que ce que je viens de vous dire."")","('#licomede', ""L'Amour se change en Furie,  Quand il est au désespoir ;  Puisque je perds toute espérance,  Je veux désespérer mon rival à son tour ;  Et les douceurs de la Vengeance  Ont de quoi consoler des rigueurs de l'Amour. "")",0.42,Substitution
177,,"('#alceste', ""Voyez la douleur qui m'accable. "")",1.0,Deletion
178,,"('#licomede', ""Vous avez sans pitié regardé ma douleur,  Vous m'avez rendu misérable,  Vous partagerez mon malheur. "")",1.0,Deletion
179,"('#eriphile', ""Tant mieux, c'est par son seul respect qu'il peut me plaire ; et s'il était si hardi que de me déclarer son amour, il perdrait pour jamais, et ma présence, et mon estime."")","('#alceste', ""Admète avait mon coeur dès ma plus tendre enfance ;  Nous ne connaissions pas l'Amour ni sa puissance.  Lorsque d'un noeud fatal il vint nous enchaîner :  Ce n'est pas une grande offense  Que le refus d'un coeur qui n'est plus à donner. "")",0.74,Substitution
180,"('#clitidas', 'Ne craignez point, Madame...')","('#licomede', ""Est-ce aux Amants qu'on désespère  À devoir rien examiner ?  Non, je ne puis vous pardonner  D'avoir trop su me plaire.  Que ne m'ont point coûté vos attraits !  Ils ont mis dans mon coeur une cruelle flamme ;  Ils ont arraché de mon âme  L'innocence et la paix.  Non, Ingrate, non, Inhumaine,  Non, quelque soit votre peine,  Non, je ne vous rendrai jamais  Tous les maux que vous m'avez faits. "")",1.01,Substitution
181,,"('#straton', ""Voici l'Ennemi qui s'avance  En diligence. "")",1.0,Deletion
182,"('#eriphile', 'Le voici ; souvenez-vous au moins, si vous êtes sage, de la défense que je vous ai faite.')","('#licomede', 'Préparons-nous  À nous défendre. ')",1.06,Substitution
183,"('#clitidas', 'Cela est fait, Madame, il ne faut pas être courtisan indiscret.')","('#alceste', ""Ah ! Cruel, que n'épargnez-vous  Le sang qu'on va répandre ! "")",1.82,Substitution
184,"('#sostrate', ""J'ai une excuse, Madame, pour oser interrompre votre solitude, et j'ai reçu de la Princesse votre mère une commission qui autorise la hardiesse que je prends maintenant."")","('#licomede #soldats', ""Périssons-tous,  Plutôt que de nous rendre.  LICOMÈDE contraint ALCESTE d'entrer dans la Ville, CÉPHISE la suit, et les soldats de LICOMÈDE ferment la Porte de la Ville aussitôt qu'ils y sont entrés. "")",1.4,Substitution
185,"('#eriphile', 'Quelle commission, Sostrate ?')","('#admete #alcide', 'Marchez, marchez, marchez :  Approchez, Amis, approchez,  Marchez, marchez, marchez :  Hâtons-nous de punir les Traîtres,  Rendons-nous maîtres  Des murs qui les tiennent cachés :  Marchez, marchez, marchez : ')",1.6,Substitution
186,"('#sostrate', ""Celle, Madame, de tâcher d'apprendre de vous vers lequel des deux Princes peut incliner votre coeur."")","('#licomede', 'Ne prétendez pas nous surprendre,  Venez, nous allons vous attendre :  Nous ferons tous notre devoir  Pour vous bien recevoir. ')",1.13,Substitution
187,"('#eriphile', ""La Princesse ma mère montre un esprit judicieux dans le choix qu'elle a fait de vous pour un pareil emploi.  Cette commission, Sostrate, vous a été agréable sans doute, et vous l'avez acceptée avec beaucoup de joie."")","('#straton', 'Nous ferons tous notre devoir  Pour vous bien recevoir. ')",1.54,Substitution
188,,"('#admete', 'Perfide, évite un sort funeste,  On te pardonne tout si tu veux rendre Alceste. ')",1.0,Deletion
189,"('#sostrate', ""Je l'ai acceptée, Madame, par la nécessité que mon devoir m'impose d'obéir, et si la Princesse avait voulu recevoir mes excuses, elle aurait honoré quelqu'autre de cet emploi."")","('#licomede', ""J'aime mieux mourir, s'il le faut,  Que de céder jamais cet Objet plein de charmes. "")",1.27,Substitution
190,,"('#admete #alcide', ""À l'assaut, à l'assaut. "")",1.0,Deletion
191,,"('#licomede #straton', 'Aux Armes, aux Armes.')",1.0,Deletion
192,,"('#les-assiegeants', ""À l'assaut, à l'assaut. "")",1.0,Deletion
193,,"('#les-assieges', 'Aux armes, aux armes.')",1.0,Deletion
194,"('#eriphile', 'Quelle cause, Sostrate, vous obligeait à le refuser ?')",,1.0,Insertion
195,"('#sostrate', ""La crainte, Madame, de m'en acquitter mal."")","('#admete #licomede', 'À moi, Compagnons, à moi.  À moi, suivez votre Roi. ')",1.62,Substitution
196,,"('#alcide', ""C'est Alcide  Qui vous guide. "")",1.0,Deletion
197,,"('#admete #alcide #licomede', 'À moi, Compagnons, à moi.  On fait avancer des Béliers et autres Machines de guerre  pour battre la Place.')",1.0,Deletion
198,,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')",1.0,Deletion
199,,"('#les-assiegeants', ""Que chacun à l'envi combatte ;  Que l'on abatte  Les Murs, et les Remparts. "")",1.0,Deletion
200,,"('#tous-ensemble', 'Donnons, donnons de toutes parts. ')",1.0,Deletion
201,,"('#les-assieges', ""Que les ennemis pêle-mêle,  Trébuchent sous l'affreuse grêle  De nos flèches, et de nos dards. "")",1.0,Deletion
202,"('#eriphile', 'Croyez-vous que je ne vous estime pas assez pour vous ouvrir mon coeur, et vous donner toutes les lumières que vous pourrez désirer de moi sur le sujet de ces deux Princes ?')","('#tous', 'Donnons, donnons de toutes parts.  Courage, courage, courage,  Ils sont à nous, ils sont à nous. ')",1.16,Substitution
203,"('#sostrate', ""Je ne désire rien pour moi là-dessus, Madame, et je ne vous demande que ce que vous croirez devoir donner aux ordres qui m'amènent."")","('#alcide', ""C'est trop disputer l'avantage,  Je vais vous ouvrir un passage,  Suivez-moi tous, suivez-moi tous. "")",0.99,Substitution
204,"('#eriphile', ""Jusques ici je me suis défendue de m'expliquer, et la Princesse ma mère a eu la bonté de souffrir que j'aie reculé toujours ce choix qui me doit engager ; mais je serai bien aise de témoigner à tout le monde que je veux faire quelque chose pour l'amour de vous, et si vous m'en pressez je rendrai cet arrêt qu'on attend depuis si longtemps."")","('#tous', 'Courage, courage, courage,  Ils sont à nous, ils sont à nous.  Les assiégés voyant leurs Remparts à demi abattus,  et la Porte de la Ville enfoncée,  font un dernier effort dans une Sortie,  pour repousser les Assiégeants. ')",1.22,Substitution
205,,"('#les-assiegeants', ""Achevons d'emporter la Place ;  L'Ennemi commence à plier.  Main basse, main basse, main basse. ."")",1.0,Deletion
206,,"('#les-assieges', 'Quartier, quartier, quartier. ')",1.0,Deletion
207,,"('#les-assiegeants', 'La Ville est prise. ')",1.0,Deletion
208,,"('#les-assieges', 'Quartier, quartier, quartier. ')",1.0,Deletion
209,,"('#licas', 'Il faut rendre Céphise. ')",1.0,Deletion
210,,"('#straton', 'Je suis ton prisonnier,  Quartier, quartier, quartier. ')",1.0,Deletion
211,"('#sostrate', ""C'est une chose, Madame, dont vous ne serez point importunée par moi, et je ne saurais me résoudre à presser une princesse qui sait trop ce qu'elle a à faire."")","('#pheres', ""Courage, Enfants, je suis à vous ;  Mon bras va seconder vos coups :  Mais c'en est déjà fait, et l'on a pris la Ville ;  La faiblesse de l'âge a retardé mes pas :  La valeur devient inutile  Quand la force n'y répond pas.  Que la Vieillesse est lente,  Les efforts qu'elle tente  Sont toujours impuissants :  C'est une charge bien pesante  Qu'un fardeau de quatre-vingts ans. "")",0.53,Substitution
212,"('#eriphile', ""Mais c'est ce que la Princesse ma mère attend de vous."")","('#alcide', 'Rendez à votre Fils cette aimable Princesse. ')",0.11,Substitution
213,"('#sostrate', ""Ne lui ai-je pas dit aussi que je m'acquitterais mal de cette commission ?"")",,1.0,Insertion
214,"('#eriphile', ""Ô çà, Sostrate, les gens comme vous ont toujours les yeux pénétrants ; et je pense qu'il ne doit y avoir guère de choses qui échappent aux vôtres.  N'ont-ils pu découvrir, vos yeux, ce dont tout le monde est en peine, et ne vous ont-ils point donné quelques petites lumières du penchant de mon coeur ?  Vous voyez les soins qu'on me rend, l'empressement qu'on me témoigne : quel est celui de ces deux Princes que vous croyez que je regarde d'un oeil plus doux ?"")","('#pheres', 'Ce don de votre main serait encor plus doux. ')",1.25,Substitution
215,"('#sostrate', ""Les doutes que l'on forme sur ces sortes de choses ne sont réglés d'ordinaire que par les intérêts qu'on prend."")",,1.0,Insertion
216,"('#eriphile', ""Pour qui, Sostrate, pencheriez-vous des deux ?  Quel est celui, dites-moi, que vous souhaiteriez que j'épousasse ?"")","('#alcide', 'Allez, allez la rendre à son heureux Époux. ')",1.35,Substitution
217,"('#sostrate', 'Ah !  Madame, ce ne seront pas mes souhaits, mais votre inclination qui décidera de la chose.')",,1.0,Insertion
218,"('#eriphile', 'Mais si je me conseillais à vous pour ce choix ?')",,1.0,Insertion
219,"('#sostrate', 'Si vous vous conseilliez à moi, je serais fort embarrassé.')",,1.0,Insertion
220,"('#eriphile', 'Vous ne pourriez pas dire qui des deux vous semble plus digne de cette préférence ?')","('#alceste', 'Tout est soumis, la guerre cesse ;  Seigneur, pourquoi me laissez-vous ?  Quel nouveau soin vous presse ?')",1.12,Substitution
221,"('#sostrate', ""Si l'on s'en rapporte à mes yeux, il n'y aura personne qui soit digne de cet honneur.  Tous les princes du monde seront trop peu de chose pour aspirer à vous ; les Dieux seuls y pourront prétendre, et vous ne souffrirez des hommes que l'encens et les sacrifices."")","('#alcide', ""Vous n'avez rien à redouter,  Je vais chercher ailleurs des Tyrans à dompter. "")",1.17,Substitution
222,"('#eriphile', ""Cela est obligeant, et vous êtes de mes amis.  Mais je veux que vous me disiez pour qui des deux vous vous sentez plus d'inclination, quel est celui que vous mettez le plus au rang de vos amis."")","('#alceste', ""Les noeuds d'une amitié pressante  Ne retiendront-ils point votre âme impatiente ?  Et la Gloire vous doit-elle emporter ? "")",0.99,Substitution
223,"('#chorebe', 'Madame, voilà la Princesse qui vient vous prendre ici, pour aller au bois de Diane.')",,1.0,Insertion
224,"('#sostrate', 'Hélas !  Petit garçon, que tu es venu à propos.')","('#alcide', ""Gardez-vous bien de m'arrêter. "")",1.45,Substitution
225,"('#aristione', 'On vous a demandée, ma Fille, et il y a des gens que votre absence chagrine fort.')",,1.0,Insertion
226,"('#eriphile', ""Je pense, Madame, qu'on m'a demandée par compliment, et on ne s'inquiète pas tant qu'on vous dit."")",,1.0,Insertion
227,"('#aristione', ""On enchaîne pour nous ici tant de divertissements les uns aux autres, que toutes nos heures sont retenues, et nous n'avons aucun moment à perdre, si nous voulons les goûter tous.  Entrons vite dans le bois, et voyons ce qui nous y attend ; ce lieu est le plus beau du monde, prenons vite nos places."")","('#alceste', ""C'est votre valeur triomphante  Qui fait le sort charmant que nous allons goûter ;  Quelque douceur que l'on ressente,  Un ami tel que vous l'augmente ;  Voulez-vous sitôt nous quitter ? "")",0.62,Substitution
228,"('#tircis', ""Vous chantez sous ces feuillages, Doux rossignols pleins d'amour, Et de vos tendres ramages Vous réveillez tour à tour Les échos de ces bocages : Hélas ! Petits oiseaux, hélas ! Si vous aviez mes maux, vous ne chanteriez pas."")","('#alcide', ""Gardez-vous bien de m'arrêter.  Laissez ; laissez-moi fuir un charme qui m'enchante :  Non, toute ma vertu n'est pas assez puissante  Pour répondre d'y résister.  Non, encore une fois, Princesse trop charmante,  Gardez-vous bien de m'arrêter. "")",0.99,Substitution
