,fuzelier-enfer-galant,la-fontaine-daphne,Cost,Operation Type
116,,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",1.0,Deletion
117,,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",1.0,Deletion
118,,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",1.0,Deletion
119,"('#venus', 'Votre danse est par trop comique Halte-là, Bacchus, vous me feriez étouffer de rire. AIR : je ne suis né ni roi ni prince.')","('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",0.78,Substitution
120,"('#bacchus', ""Elle triomphe du tragique Que vous veniez représenter ; Vénus qui pleure et qui soupire Dès que l'on parle de sauter Ne saurait s'empêcher de rire."")","('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",0.94,Substitution
121,,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",1.0,Deletion
122,"('#venus', ""C'est une inattention qui est échappée à mon désespoir."")","('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",1.36,Substitution
123,,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",1.0,Deletion
124,,"('#tharsis', 'Je vous verrai.')",1.0,Deletion
125,"('#bacchus', 'Les veuves sont fort sujettes à ces inattentions-là ; mais où vous conduit à présent votre désespoir inattentif ?')","('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")",1.0,Substitution
126,"('#venus', 'Je viens sur le mont Latmos chercher à me dissiper un peu, il faut bien suivre le torrent.')","('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")",1.34,Substitution
127,"('#bacchus', ""Le torrent à tout nous engage Malgré tout le poids des raisons Le torrent aussi sous l'ombrage Conduira Mars et j'en réponds, Vous ferrez un rapatriage En dépit de tous vos crépons. AIR : On n'entend plus le bruit des armes"")","('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")",0.74,Substitution
128,,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",1.0,Deletion
129,,"('#telamon', 'Ceci vous trouble et vous étonne.')",1.0,Deletion
130,"('#bacchus', ""Je sais que Mars est admirable pour consoler les belles affligées...  Eh !  Le voilà !  D'abord, le torrent opère."")","('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")",0.79,Substitution
131,"('#mars', ""Pour le coup Adonis n'est plus J'ai puni l'ingrate Vénus AIR : Carillon de Mélusine."")",,1.0,Insertion
132,"('#bacchus', ""Rien n'est égal à sa tristesse"")","('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",0.45,Substitution
133,,"('#tharsis', 'Tu ris.')",1.0,Deletion
134,"('#mars', 'Pour calmer celle qui me presse Din dan don din din dan don Je viens carillonner Pluton')","('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")",1.51,Substitution
135,,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",1.0,Deletion
136,"('#bacchus', ""Mais Mars qu'est ce donc que ceci ? Sans fanfare, arriver ici ? Quoi ! Vous ne mener vos trompettes Que dans les affaires secrètes ? Là quand il faut furtivement Trouver Vénus et son amant ? Répondez ad rem. L'amusement est digne du dieu de la guerre. Même air."")","('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",0.88,Substitution
137,"('#mars', 'Din dan don din din dan don Je vais carillonner Pluton')",,1.0,Insertion
138,"('#bacchus', ""Pluton sans bruit infernal ! Que vous vous annoncez mal ! Quoi tranquillement. Mars se tire d'affaire en petit-maître.  Sans doute le monarque des enfers n'est pas encore ici.  Allons prendre notre poste avant qu'il arrive.  Morbleu le voici, il m'a aperçu, je ne peux me dispenser de le saluer. À Pluton. AIR : Lon la"")","('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",0.99,Substitution
139,"('#pluton', 'Par un tremblement La terre ne chancelle Que quand sur mon char poliment Je reconduis ma belle, Lon la Je reconduis ma belle.')","('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",1.05,Substitution
140,,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",1.0,Deletion
141,,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",1.0,Deletion
142,"('#bacchus', ""Vous faites gémir les campagnes Vous faites mugir les montagnes Et puis aussi doux qu'un mouton Vous endurez tout sans vergogne. On dira ma foi que Pluton Fait plus de bruit que de besogne. Que vous quittez docilement dès qu'elle vous congédie. Adieu beau ténébreux, je ne veux pas vous gêner. Allons informer les dieux de l'arrivée de Pluton, ils comptaient d'en être avertis par un tremblement de terre ; ce petit signal leur a manqué, c'est à moi d'y suppléer. AIR de Julien l'hospitalier. À part."")","('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')",0.72,Substitution
143,"('#pluton', ""Ils me cèdent la place, Et sans souffler, D'abord qu'ils ont l'audace d'y flageoler. Diane se plaît fort vraiment A les voir jouer de leur instrument ! Oh ma foi ! Je les chasse Bien promptement. Enfin le mont Latmos est paisible, je ne rencontre plus de bergers téméraires qui osent y chanter des airs nouveaux pendant que Diane s'y promène. Elle vient cette déesse de mauvais exemple qui s'avise d'être prude quand la mode en est passée dès le déluge ! AIR : Ô gué lon la bergère"")","('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")",0.66,Substitution
144,"('#pluton', ""Vous m'avez cette obligation-là, j'ai écanillé tous ces bergers chantants qui vous étourdissaient."")","('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")",0.94,Substitution
145,"('#diane', ""De quoi vous mêlez-vous D'épouvanter leurs musettes ? AIR : De quoi vous plaignez-vous"")","('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",1.22,Substitution
146,"('#pluton', ""D'amour ils parlaient tous."")","('#penee', 'Laissez-nous achever cette cérémonie.')",1.83,Substitution
147,"('#diane', 'De quoi vous mêlez-vous De venir dans ces retraites Nous y donner pour régal Au lieu de leurs brunettes Un concert infernal ?')","('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")",0.72,Substitution
148,"('#pluton', ""Si Diane souffrait L'amour sous ces ombrages Mon coeur me conduirait Toujours dans ce bocage. Et zon zon zon. Mais Diane est trop sage Et zon zon zon C'est un petit Caton. AIR : Eh zon, zon, zon, Lisette. Riant. Sérieux."")","('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")",0.25,Substitution
149,,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",1.0,Deletion
150,"('#diane', ""Que vous sert de m'aimer ?"")","('#clymene', ""On me l'a dit cent fois."")",1.07,Substitution
151,"('#pluton', 'La belle demande !')","('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")",1.66,Substitution
152,"('#diane', ""Oui car je n'aimerai jamais. AIR : Ô Reguingué."")","('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",1.06,Substitution
153,"('#pluton', ""Comment esquiver vos attraits ? Où ne lancent-ils pas leurs traits ? Au Ciel, en Terre redoutables Dans l'enfer même ils font les diables."")","('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")",0.68,Substitution
154,"('#diane', ""Quoi dans l'éternelle nuit, Vous l'affirmez sans honte, Quoi dans l'éternelle nuit Le flambeau de l'amour luit ? Quel conte, quel conte, quel conte ! Non, Pluton n'est pas fait pour semer la fleurette. AIR : des fraises AIR : Non, je ne ferai pas ce qu'on veut que je fasse"")","('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")",0.42,Substitution
155,"('#pluton', 'Oh ! je sais quand il faut dire la chansonnette !')","('#telamon', ""N'en saurai-je pas plus ?"")",1.8,Substitution
156,,"('#clymene', ""Je n'ai rien appris d'elle."")",1.0,Deletion
157,"('#diane', ""Non, Pluton n'est pas fait pour se laisser charmer."")","('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")",1.25,Substitution
158,,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",1.0,Deletion
159,,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")",1.0,Deletion
160,,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",1.0,Deletion
161,"('#pluton', 'Pluton vous voit souvent, peut-il ne pas aimer ?')","('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")",0.74,Substitution
162,,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")",1.0,Deletion
163,,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")",1.0,Deletion
164,"('#diane', 'Ce style galant et rare Est-il du dieu des enfers ? Vous ferez bientôt des vers Sous les cyprès du Tenare89 Comment donc ?  Je ne vous reconnais plus. AIR : Branle de Metz.')","('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")",0.52,Substitution
165,,"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",1.0,Deletion
166,"('#pluton', ""Vous conviendrez que Pluton N'a rien du tout de barbare."")","('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",1.48,Substitution
167,,"('#leucippe', 'Et mon bien ?')",1.0,Deletion
168,,"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")",1.0,Deletion
169,"('#diane', ""Je conviendrai que Pluton Ne fut jamais si mignon. Oh çà !  J'ai affaire au ciel et vous en enfer ! Ce n'est pas tout à fait le même chemin, quittons-nous sans cérémonie."")","('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")",1.06,Substitution
170,,"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')",1.0,Deletion
171,"('#pluton', 'Oh !  Je ne vous laisserai pas là toute seule !')","('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")",1.26,Substitution
172,"('#diane', 'Vous avez une fureur de politesse qui assomme !  On ne saurait sortir de chez vous que vous ne fassiez atteler votre char et que vous ne vous campiez vous-même dedans pour ramener... des gens qui ne vous tiennent pas grand compte de vos honnêtetés. Bas.')","('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",1.33,Substitution
173,,"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')",1.0,Deletion
174,,"('#telamon', 'Changera-t-il son âme ?')",1.0,Deletion
175,,"('#tharsis', 'Je vais le consulter. Attends ici Tharsis.')",1.0,Deletion
176,"('#pluton', ""En soupirant, quel déboire91 j'essuie ! Mon rang ici de rien ne me tient lieu, Je vois fort bien que Pluton vous ennuie. AIR : Toure loure"")","('#momus', ""Vous qui de votre sort, voulez être éclaircis, Consultez, comme moi, le démon de la treille ; Mon oracle est Bacchus, quand j'ai quelques soucis, Et ma sibylle est la bouteille. Cette chasse m'altère. Ah ! Si Bacchus... Je crois Que ce dieu m'entendait."")",0.6,Substitution
177,"('#diane', ""Oui comme amant Mais Je respecte le dieu. Toure lon ton ton tontaine la tontaine Toure lon ton ton tontaine la tonton C'est à ce mot que Pluton se retire, Par son amour il n'est pas retenu. Partez, mon cher, de vous on pourra dire Jean s'en alla comme il était venu. À part AIR : J'en jurerais presque sur sa laideur."")","('#bacchus', ""Momus, monte avec moi Viens écouter d'ici tous les chants de victoire. Ces gens m'ont au spectacle invité, les voici. Quoi ! la peau de leur ours aussi ?"")",1.1,Substitution
178,,"('#un-chasseur', 'Tharsis, nous érigeons ce trophée à ta gloire')",1.0,Deletion
179,,"('#un-sylvain', 'Par ta valeur, le monstre a vu finir son sort.')",1.0,Deletion
180,,"('#un-berger', ""L'ennemi commun est mort."")",1.0,Deletion
181,,"('#momus', 'Noyez-en dans le vin la funeste mémoire.')",1.0,Deletion
182,,"('#un-chasseur', ""N'est-ce pas Télamon qui nous invite à boire ?"")",1.0,Deletion
183,,"('#tous-ensemble', ""Ô le mortel heureux, d'être aimé de Bacchus !"")",1.0,Deletion
184,,"('#un-sylvain', ""Amis, laissons à part les discours superflus. L'ours est mort."")",1.0,Deletion
185,,"('#un-chasseur', ""L'ours ne vit plus."")",1.0,Deletion
186,,"('#un-berger', ""L'ours a passe l'onde noire."")",1.0,Deletion
187,,"('#tous', ""Noyons-en dans le vin la funeste mémoire. Les chasseurs et les Sylvains dansent à l'entour du trophée et font une forme de bacchanales. Les Sylvains sont suivis de leurs ours, qui vont en cadence. Pendant que les danseurs se reposent, Bacchus et Momus, faisant la débauche sous le berceau suspendu, animent toute cette troupe par leur exemple."")",1.0,Deletion
188,"('#pluton', ""Cachons-nous pour apprendre Ce qu'elle deviendra. Je n'ai garde de faire une... pareille sortie...  Demeurons plutôt pour examiner la conduite de Diane, son empressement à me chasser doit m'être suspect. AIR : J'ai fait à ma maîtresse Il sort."")","('#bacchus', ""Cher compagnon, me veux-tu croire ? Courons ensemble le pays ; Tu sais médire, et je sais boire : Nous ne manquerons point d'amis."")",0.77,Substitution
189,"('#diane', ""Le sot va redescendre Sur son char sonica. Ah ! Pour faire une scène Toujours le pied en l'air, Ce n'était pas la peine De sortir de l'enfer. Mais Endymion se montre à mes yeux !  Qu'il paraît inquiet !  Il n'ose m'aborder, il est un peu honteux, il a besoin qu'on le mette en train. Riant."")","('#momus', 'Toujours le vin et la satire Tiennent aux tables le haut bout ; Tu sais boire, et je sais médire : Voilà de quoi passer partout.')",1.23,Substitution
190,"('#diane', ""Vous êtes par trop discret, Je vous désire moins sage Car Diane vous permet L'accès de ce vert bocage. Rassurez, rassurez, rassurez-vous, Là, Berger, prenez courage. Approchez, échauffez, dégelez-vous, Vous filez un peu trop doux. Vos chants n'expliquent point quel est votre esclavage A qui destinez-vous ce cadeau musical ? À propos de doux, apprenez Endymion que j'ai cent fois entendu vos concerts... les plus doux.... mais... AIR : Mariez, mariez, mariez-moi. À part. Haut. AIR : Tarare pompon."")","('#clymene', ""Quel étrange et sombre palais ! Je frémis à le voir ; n'as-tu point peur, Aminte ? Va seule dans ces lieux ; pour moi, j'ai trop de crainte."")",1.0,Substitution
191,"('#endymion', ""N'allez pas me l'arracher. On ne saurait trop cacher Un amour trop téméraire. Tique tique taque et lon lan la, L'amant ne peut trop se taire Quand il en est logé là. Ah déesse, laissez-moi mon secret ! AIR : Tique tique taque lon lan la. Lazzi du bâtonnement."")","('#aminte', ""Qu'y demanderais-tu ? Tes voeux sont satisfaits. Philandre a l'âme blessée Des traits dont tu sais charmer ; Moi, que Tircis a laissée, J'ai sujet d'être empressée Pour savoir qui doit m'aimer."")",0.55,Substitution
192,"('#diane', 'Quel est ce feu qui vous anime ? Il ne paraît pas fort pressant. Parlez. Ne craignez rien. AIR : Pierre Bagnolet')","('#clymene', ""Je te rends ce Tircis ; son ardeur m'importune."")",0.87,Substitution
193,,"('#aminte', ""J'aurai donc pour toute fortune Ton refus."")",1.0,Deletion
194,,"('#clymene', ""Que t'importe ? Examine ton coeur ; Et si Tircis te plaît, laisse le point d'honneur."")",1.0,Deletion
195,,"('#aminte', ""Tu ris ; que diras-tu, si je fais qu'il te quitte ?"")",1.0,Deletion
196,,"('#clymene', 'Mes rigueurs en cela préviendront ton mérite.')",1.0,Deletion
197,"('#endymion', ""Vous m'ordonnez un crime."")","('#aminte', 'Tu dois aux miennes ce berger Que mes faveurs vont rengager.')",1.52,Substitution
198,"('#diane', 'Il veut toujours être innocent ! Quel innocent ! Pauvre innocent ! Parlez. Haut.')","('#clymene #aminte', 'Une fille a cent adresses Pour rebuter un amant ; Mais de dire ses finesses Pour faire un engagement, On ne le peut nullement.')",1.22,Substitution
199,,"('#clymene', 'Voilà, sans consulter Ismèle Un oracle bientôt rendu.')",1.0,Deletion
200,"('#endymion', ""Vous m'ordonnez un crime ?"")","('#aminte', 'Aurait-elle mieux répondu ?')",1.2,Substitution
201,,"('#clymene', ""Non, et nous nous pouvons désormais passer d'elle : Aussi bien l'intérêt de Daphné nous appelle."")",1.0,Deletion
202,"('#diane', ""La peste crève l'innocent."")","('#penee', ""Ma fille, tout est prêt ; Ismèle va sortir : N'ayez point de repentir, Si le choix des dieux est autre Que le vôtre."")",1.83,Substitution
203,"('#endymion', ""Si vous saviez déesse L'objet de ma tendresse, Loin de me tourmenter Pour déclarer qui j'aime Vous verriez qu'un dieu même N'oserait s'y frotter. AIR : Le bonhomme Diogène"")","('#ismele', ""Monarque de l'Olympe, en qui sont tous les temps, Qui les fais devant toi passer comme moments, Et pour qui n'est qu'un point toute la destinée, Dis-nous, Ô maître des dieux, À qui doit être donnée La princesse de ces lieux. Où sont tes truchements ? Es-tu sourd aux prières ? Fantômes, qui savez peindre en mille manières Les secrets du destin gravés au haut des cieux, Simulacres volants, frères du dieu des songes, Faites-nous voir sans mensonges Ce qu'ont ordonné les dieux Sur un si digne hyménée ; Dites-nous la destinée De la Nymphe de ces lieux. Que vois-je ! Quel objet ! Quelle image à mes yeux Si vive et si claire Vient se présenter, Et me tourmenter Plus qu'à l'ordinaire ? L'objet Me fait Tressaillir : Je sens Mes sens Défaillir. Après ces paroles, Ismèle, comme possédée du Dieu, danse avec les autres prêtresses, tantôt comme si elles allaient tomber en extase, et tantôt avec des contorsions étranges. Pendant qu'elles dansent, des enfants, en guise de petits démons, et représentant les simulacres et les espèces qui s'offrent aux yeux, viennent de divers endroits du ciel se présenter à Ismèle, portant des branches et des couronnes de laurier. Ismèle, ayant vu ces objets, dit."")",0.19,Substitution
204,,"('#amphrise', ""Les dieux à leur interprète Ont fait un étrange don ; Ne peut-on être prophète, Si l'on ne perd la raison ?"")",1.0,Deletion
205,"('#diane', ""En amour tout rang est égal Il s'agit seulement de plaire, Ce qu'on refuse au général Souvent s'accorde au mousquetaire. L'amour est un mutin d'enfant Pata pan pata pan pata pan pan pan Qui mène tout tambour battant. AIR du Camp de Porché-Fontaine106"")","('#apidame #sperchee #amphrise', ""Les démons Vont l'agitant, Ses poumons Vont haletant ; Et son coeur va palpitant. Les ressorts De son corps, Son esprit, Tout pâtit."")",1.25,Substitution
206,"('#endymion', ""Ainsi donc la tendre flamme Du maître des enfers, Ne touche point votre âme ? Il porte en vain vos fers ? C'n'est pas pour lui que le four chauffe ? C'n'est pas pour lui qu'on cuit chez vous ? AIR : un boulanger de Gonesse"")","('#ismele', ""Qu'on se taise : soyez attentifs aux mystères. J'épands en l'air ces caractères : C'est ma réponse ; il faut la poser sur l'autel. Démons, peuples légers, ministres de l'oracle, Cherchez-la ; car aucun mortel Ne la peut trouver sans miracle. Approchez-vous, lisez, et que dans ce vallon Un invisible choeur mon oracle répète. À ce commandement d'Ismèle, les esprits habitants de l'air cherchent en dansant les feuilles que la Sibylle a jetées, et les viennent, en dansant aussi, poser sur l'autel. Ismèle assemble ces feuilles, et dit à Pénée et à Daphné."")",0.8,Substitution
207,,"('#penee #daphne', ""Daphné doit aujourd'hui couronner Apollon."")",1.0,Deletion
208,,"('#choeur', ""Daphné doit aujourd'hui couronner Apollon."")",1.0,Deletion
209,,"('#penee', ""Ismèle, servez-vous vous-même d'interprète ; Expliquez-nous l'ordre des dieux."")",1.0,Deletion
210,"('#diane', ""C'est la pure vérité !"")","('#amphrise', ""Un prophète entend-il les choses qu'il annonce ? C'est à l'événement d'expliquer sa réponse."")",1.61,Substitution
211,,"('#ismele', 'Adieu, princesse, adieu, je vous laisse en ces lieux.')",1.0,Deletion
212,"('#endymion', ""Oh !  Je devine l'enclouure !"")","('#penee', ""Couronner Apollon ! Qu'importe à l'hyménée De la fille de Pénée ? Pour comprendre ces mots, je fais un vain effort."")",1.49,Substitution
213,"('#diane', ""Quel devin ! Qu'il est bouché."")",,1.0,Insertion
214,"('#endymion', 'Du haut en bas, Votre coeur se plaît à descendre. Du haut en bas, Vos yeux ont trouvé des appas. Quelque heureux mortel vous rend tendre, Et pour lui vous daignez vous rendre, Du haut en bas. Confessez la dette !  Vous donnez dans le subalterne, vous oubliez la grandeur.111 AIR : Du haut en bas.')","('#amphrise', ""Nos conseils ont été frivoles ; La seule obscurité fait le prix des paroles Que l'on cherche aux livres du Sort."")",0.77,Substitution
215,,"('#penee', ""Ma fille, rendez-vous aux volontés d'un père : Qu'il soit votre oracle aujourd'hui Aimez Tharsis ; il vous doit plaire ; Toute notre Cour est pour lui."")",1.0,Deletion
216,"('#diane', ""Au dieu du ténébreux empire Je le préfère. Enfin vous y êtes ; oui, c'est un mortel qui me charme. AIR de la serrure."")","('#apidame', ""Tels étaient ces mortels pour qui l'idolâtrie Commença d'introduire au monde son pouvoir."")",0.94,Substitution
217,,"('#amphrise', ""Il a tout l'air d'un dieu ; l'on dirait à le voir, Que l'Olympe est sa patrie."")",1.0,Deletion
218,"('#endymion', 'Aveu maudit. Eh bien ? Comment nommez-vous ce fortuné là ?')","('#daphne', ""Hélas ! J'en crus autant, lorsqu'en notre prairie Je le vis arriver inconnu dans ces lieux. Maintenant mon coeur tâche à démentir mes yeux. Ne m'en accusez point : quelque force suprême M'entretient malgré moi dans cette erreur extrême. Que Tharsis soit parfait, qu'il ait l'air qu'ont les dieux, Est-ce par raison que l'on aime ?"")",0.8,Substitution
219,"('#diane', 'Faut-il vous le redire ?')","('#penee', ""L'hymen change les coeurs : suivez mes volontés."")",1.52,Substitution
220,,"('#daphne', ""Quoi ! Seigneur, vous aussi vous me persécutez ! De ses autres tyrans sans peine on se console ; Mais d'un père ! un père m'immole ! Je tiens le jour de vous, Seigneur ; vous me l'ôtez."")",1.0,Deletion
221,,"('#penee', ""Moi, je perdrais Daphné ! qu'ai-je à conserver qu'elle ? L'hymen m'a-t-il fait d'autres dons ?"")",1.0,Deletion
