,regnard-coquette,regnard-divorce,Cost,Operation Type
97,"('#pierrot', ""Fi !  Monsieur, n'en faites rien ; il ne vient que des chapons de ce pays-là. Scènes italiennes. "")","('#mezzetin', ""Je tire bon augure de l'affaire de Monsieur Aurélio, et la fortune ne nous a pas renvoyé Arlequin pour rien.  Mon maître m'a ordonné tantôt de lui amener un barbier : il ne faut pas manquer cette occasion pour lui voler sa bourse ; elle servira à mettre nos affaires en train.  Allons trouver Arlequin."")",1.14,Substitution
98,"('#colombine', ""Une bougie ?  Est-ce que tu n'entends pas que je demande une bougie pour cacheter une lettre ?"")","('#sotinet', 'Entends-tu bien ce que je te dis ?')",0.71,Substitution
99,"('#pierrot', ""Pardonnez-moi... mais... c'est que... en vérité... mademoiselle ; je m'en vais... "")","('#pierrot', ""Oui, monsieur ; vous me dites d'empêcher que madame n'entre dans la maison, et de lui fermer la porte au nez."")",0.92,Substitution
100,"('#colombine', ""Pour moi, je ne sais plus quelle maladie a attaqué le cerveau de cet animal-là : il ne voit plus, il n'entend plus ; il a assurément quelque chose de brouillé dans son timbre. Tu veux donc que je cachette une lettre avec un manchon ?  Je te demande une bougie, m'entends-tu ? Je crois qu'il me fera perdre l'esprit.  Oh, oh !  Voilà une nouvelle folie que je ne lui connaissais pas encore.  Depuis quand as-tu perdu la parole ?  Parle, réponds ; dis donc à qui tu en as. Pierrot apporte un manchon.  Pierrot fait encore des mines. "")","('#sotinet', ""Animal, c'est tout le contraire : je te dis de ne laisser entrer personne pour voir ma femme, et de fermer la porte au nez de tous ceux qui se présenteront."")",1.22,Substitution
101,"('#pierrot', ""Je n'oserais ; je sens là un tourbillon, un étouffement de la nature... heurtant contre l'amour.  Tenez, voilà une lettre qui vous dira tout cela. "")",,1.0,Insertion
102,"('#colombine', ""Que signifie donc cette cérémonie-ci ?  Je trouve cela assez plaisant.  Voyons donc ce que dit cette lettre. Comme il n'y a point d'animal dans le monde qui n'aime quelque autre animal, c'est ce qui fait que je vous aime.  Autre chose ne peut vous dire votre très humble serviteur et fidèle amant, Pierrot. Mon très humble serviteur et fidèle amant, Pierrot.  Ah, ah !  Voilà donc où le bât vous blesse, monsieur l'amoureux !  En vérité, je suis ravie d'avoir fait une pareille conquête.  Elle lit. "")","('#pierrot', ""Eh bien !  Monsieur, n'est-ce pas ce que je dis ? Mais, à propos, vous êtes donc jaloux ?"")",0.56,Substitution
103,,"('#sotinet', 'Ce ne sont pas là tes affaires.')",1.0,Deletion
104,"('#pierrot', ""Hé !  Mademoiselle, je sais bien que mon mérite n'est pas capable de mériter ;... mais, d'un autre côté,... voilà que l'occasion,... votre beauté... Je ne suis pas bien riche ; mais, ma foi, je suis un bon garçon. "")",,1.0,Insertion
105,"('#colombine', ""J'entends cela le mieux du monde ; mais je vous prie, monsieur Pierrot, d'étouffer un peu vos hoquets de tendresse, et d'aller porter cette lettre à monsieur de la Maltotière."")","('#pierrot', ""Ah, ah, ah !  Cela est plaisant !  De quoi diable vous êtes-vous avisé de vous marier à l'âge que vous avez ?  Ne savez-vous pas bien qu'un vieux mari est comme ces arbres qui ne portent point de bons fruits, et qui ne servent que d'ombre ?"")",0.95,Substitution
106,"('#pierrot', 'Ah !  Petit cocodrille !  Ouf ! ')",,1.0,Insertion
107,"('#colombine', ""La conquête de Pierrot n'est pas bien illustre : je sens néanmoins une secrète joie de voir que rien ne m'échappe.  Quelque sévérité qu'affectent les femmes, elles ne sont jamais fâchées de s'entendre dire qu'on les aime. "")","('#sotinet', 'Impertinent, tes épaules te démangent bien.')",1.62,Substitution
108,"('#le-laquais', 'Mademoiselle, voilà monsieur le conseiller Nigaudin. ')","('#pierrot', 'Il y a là-dedans un barbier.')",1.42,Substitution
109,"('#colombine', ""En vérité, monsieur Nigaudin, j'ai lieu de louer votre diligence : nous ne devons partir pour la Comédie que dans deux heures, et je suis ravie de pouvoir pendant ce temps-là profiter de votre conversation."")","('#sotinet', 'Fais-le entrer.')",1.79,Substitution
110,"('#nigaudin', ""Mademoiselle, quand il s'agira de venir vous offrir ses hommages, on n'obtiendra point de défaut contre moi : en cas de rendez-vous auprès des dames, je ne me laisse jamais contumacer, et je me rends bien vite à l'ajournement personnel. "")","('#arlequin', ""On m'a dit, monsieur, que vous aviez besoin d'un homme de ma profession ; je viens vous offrir mes services."")",1.18,Substitution
111,"('#colombine', ""Ah, monsieur !  Que vous dites les choses galamment !  Vous avez un tour aisé et naturel dans les expressions, que les autres n'ont point ; et il semble toujours que vous demandiez le coeur, quelque indifférente chose que vous puissiez dire. "")","('#sotinet', ""Ah !  Monsieur, je suis ravi de vous voir ; faites-moi, s'il vous plaît, la barbe, le plus promptement que vous pourrez."")",0.73,Substitution
112,"('#nigaudin', ""Moi, mademoiselle ! Je ne vous demande rien ; vous me prenez donc pour un escroc ?  Il est vrai que nous autres gens de robe, la plupart, nous avons la belle élocution à commandement.  Tout franc, mademoiselle, les gens d'épée n'ont point le boute-dehors comme nous. "")","('#arlequin', 'Ne vous mettez pas en peine, monsieur ; dans deux petites heures votre affaire sera faite.')",1.1,Substitution
113,"('#colombine', ""Fi !  Ne me parlez point des gens d'épée ; ils n'auraient jamais rien à vous dire, s'ils ne vous étourdissaient de leurs bonnes fortunes, et s'ils ne vous faisaient le calcul du nombre des bouteilles qu'ils ont vidées.  Pour moi, je ne conçois pas bien la manie de la plupart des femmes d'aujourd'hui ; on ne saurait leur plaire, si l'on ne revient de Flandre ou d'Allemagne, et si l'on ne rapporte à leurs pieds un coeur tout persillé de poudre à canon. "")","('#sotinet', 'Comment, dans deux heures ! Je crois que vous vous moquez.')",1.48,Substitution
114,"('#nigaudin', ""Ma foi, il y a bien de l'entêtement ; car, entre nous, il n'y a point de gens qui tiennent une procédure si irrégulière auprès des dames que les gens de guerre : ils sont brusques et entreprenants sur le fait des faveurs, et n'observent jamais les délais fixés par l'ordonnance de l'amour. "")","('#arlequin', ""Oh !  Que cela ne vous étonne pas : j'ai bien été trois mois entiers après une barbe, et tandis que je rasais d'un côté, le poil revenait de l'autre : mais présentement je suis plus habile ; vous allez voir. Il déploie ses outils, ôte son manteau, et le met au cou de Sotinet, au lieu de linge à barbe."")",0.91,Substitution
115,"('#colombine', ""Il est vrai qu'on n'est point en sûreté contre leurs entreprises ; et quand ils sont chez les dames, ils s'imaginent être dans un quartier d'hiver à vivre à discrétion. "")",,1.0,Insertion
116,"('#nigaudin', ""À propos de quartier d'hiver, mademoiselle, il me semble qu'ils sont venus cette année quinze jours plus tôt pour moi. "")",,1.0,Insertion
117,"('#colombine', 'Pourquoi donc, monsieur ? ')","('#sotinet', ""Mais qu'est-ce donc que vous m'avez mis au cou ?"")",0.85,Substitution
118,"('#nigaudin', ""J'avais hypothèque spéciale sur votre coeur, sans ce visage d'épetier qui est arrivé, et qui se prétend privilégié sur la chose : mais, ventrebleu !  Nous verrons. "")","('#arlequin', ""Ah !  Ma foi, je vous demande pardon : l'empressement de vous raser m'a fait prendre mon manteau pour votre linge à barbe.  Allons, toi, donne-moi le linge, vite. Mezzetin lui donne le linge."")",1.4,Substitution
119,"('#colombine', 'Eh !  Que craint-on, monsieur, quand on est fait comme vous ? ')","('#sotinet', 'Qui est cet homme-là !')",1.26,Substitution
120,"('#nigaudin', ""Il est vrai qu'un juge craint fort peu de chose ; mais la plupart de ces gens de guerre sont des brutaux qui usent d'abord des voies de fait.  Nous autres, nous faisons notre affaire en douceur, et nous n'aimons pas le fracas de la brette. "")",,1.0,Insertion
121,"('#colombine', ""Vous avez assez d'autres endroits pour vous faire distinguer. "")",,1.0,Insertion
122,"('#nigaudin', ""Ce n'est pas, ventrebleu !  Qu'on n'ait du coeur. Je voudrais que vous me vissiez aux buvettes : je fais tout trembler ; et si tous mes confrères les praticiens me ressemblaient, il ne se recevrait pas le quart des nasardes qui se donnent tous les jours. "")",,1.0,Insertion
123,"('#colombine', ""Je gagerais, à votre air, que vous opinez l'épée à la main ?  Et je vous prendrais quelquefois pour un colonel de robe. "")",,1.0,Insertion
124,"('#nigaudin', ""Vous trouvez donc mon habit joli ?  C'est un petit déshabillé de chasse que je me suis fait faire pour la cour.  N'est-il pas vrai que l'épée me sied bien ? "")","('#arlequin', ""C'est maître Jacques, celui qui accommode mes outils.  Venez, maître Jacques, repassez-moi ce rasoir pour faire la barbe à monsieur."")",0.8,Substitution
125,"('#colombine', 'À charmer. ')","('#mezzetin', ""La bourse est de ce côté-ci ; ne la manque pas. Il s'en va."")",1.63,Substitution
126,"('#nigaudin', ""Je sens quelquefois des convulsions de bravoure que je ne saurais retenir. J'étais né pour la guerre : mais mon père, voyant que j'avais trop d'esprit pour ce métier-là, me mit dans notre présidial de Beauvais, et m'acheta une charge d'assesseur.  Il tousse. "")",,1.0,Insertion
127,"('#colombine', ""Ah, monsieur l'assesseur !  Si vous débrouillez aussi bien un procès que vous savez vous faire jour dans un coeur, que vous êtes un juge éclairé !"")","('#sotinet', 'Voilà un plaisant homme !\n')",1.14,Substitution
128,"('#nigaudin', ""Tout franc, mademoiselle, je ne me plains pas de mes lumières, et je vous avoue que j'ai une pénétration d'esprit qui me surprend quelquefois.  Je jugeai dernièrement un gros procès à l'audience, dont je n'avais pas entendu un mot. "")","('#arlequin', ""Allons, allons, monsieur, je n'ai point de temps à perdre.  Mettez-vous là. Il le pousse rudement dans un fauteuil, et lui\nprenant le nez, lui met des morailles."")",1.15,Substitution
129,"('#colombine', 'Pas un mot !  Et comment avez-vous pu rendre la justice ? ')",,1.0,Insertion
130,"('#nigaudin', ""Bon !  Dans tous les procès, il n'y a qu'une routine.  L'une des parties m'avait envoyé un carrosse de cent pistoles, et l'autre deux chevaux gris de six cents écus ; vous jugez bien qui avait le bon droit ? "")","('#sotinet', 'Hai, hai, hai !  Eh !  Que diable faites-vous là ? Me prenez-vous pour un cheval ? Il arrache les morailles, et les jette par terre.')",0.87,Substitution
131,"('#colombine', 'Oh !  Je sais que deux chevaux gris mènent un procès bien rondement. ')",,1.0,Insertion
132,"('#nigaudin', 'Ma foi, vous avez raison ; les chevaux entraînèrent le carrosse.')","('#arlequin', ""Point du tout, monsieur ; mais c'est qu'il y a des gens qui sont terriblement rétifs sous le fer, et avec cet instrument-là, on leur couperait la gorge, qu'ils ne diraient mot."")",1.37,Substitution
133,,"('#sotinet', 'Vraiment, je le crois bien.  Arlequin prend un bassin fait en forme de pot-de-chambre, et le met sous le nez de Sotinet pour le raser.')",1.0,Deletion
134,"('#le-capitaine', 'Parbleu !  Mon ami, je crois que tu ne me connais pas. ')",,1.0,Insertion
135,"('#colombine', 'Ah, monsieur !  Vous êtes perdu si cet homme-là vous trouve ici. ')",,1.0,Insertion
136,"('#nigaudin', 'Comment donc ? ')","('#sotinet', ""Qu'est-ce que cela ?"")",0.0,Match
137,"('#colombine', ""C'est un officier qui est jaloux à la fureur ; il a déjà tué cinq ou six hommes pour n'avoir fait que me regarder. "")",,1.0,Insertion
138,"('#nigaudin', 'Cinq ou six hommes !  Voilà qui est bien brutal.  Holà !  Hé, laquais. Il se déshabille, et met son rabat. ')","('#arlequin', ""C'est un bassin à deux mains. Arlequin le lave, en lui donnant de temps en temps des soufflets ; puis tire une grosse boule, dont il se sert pour savonnette, et après en avoir bien frotté le visage de Sotinet, il la lui laisse tomber sur un pied."")",0.96,Substitution
139,"('#colombine', 'Hé, que faites-vous, monsieur ?  À quoi vous amusez-vous là ? ')","('#sotinet', ""Qu'est-ce donc que cela signifie ?  Avez-vous entrepris de m'estropier ? Il se lève."")",0.82,Substitution
140,"('#nigaudin', ""Je sais bien ce que je fais.  Il faudra qu'il soit bien lâche, s'il me bat sans épée.  Pour plus grande sûreté, vite, qu'on me donne ma robe. "")",,1.0,Insertion
141,"('#colombine', 'Votre robe !  Et où est-elle ? ')",,1.0,Insertion
142,"('#nigaudin', 'Je ne vais jamais sans cela : on ne sait pas ce qui peut arriver. ')",,1.0,Insertion
143,"('#colombine', ""Ah, monsieur !  Ne vous y fiez pas ; vous auriez toutes les robes du Palais sur le corps, qu'il... "")","('#arlequin', ""Que de babil !  Tenez-vous donc, si vous voulez ; croyez-vous que je n'aie que vous à raser ? Il le rase avec un rasoir d'une grandeur à faire peur."")",0.95,Substitution
144,"('#le-capitaine', 'Par la mort !  Par la tête !  Si tu ne me laisses entrer, je mettrai le feu à la maison. ')","('#sotinet', ""Allez tout doucement ; vous m'écorchez tout vif."")",1.24,Substitution
145,"('#colombine', 'Que je suis malheureuse !  Le voilà qui entre. Tenez, cachez-vous vite sous cette table-là, et ne remuez pas. ')","('#arlequin', ""C'est que vous avez le cuir si dur, que vous ébréchez tous mes rasoirs. Il prend un cuir à repasser, et l'accroche par un bout au cou de Sotinet, tenant l'autre bout de la main gauche ; et pour avoir plus de force à repasser son rasoir qu'il tient de la main droite, il lève un de ses pieds et l'appuie rudement sur l'estomac de Sotinet ; puis, tirant le bout du cuir de toute sa force, il repasse dessus son rasoir, de manière qu'il étrangle Sotinet, qui à peine peut crier."")",1.04,Substitution
146,"('#nigaudin', 'Ah !  Ma maudite toux me va trahir. ')","('#sotinet', ""Miséricorde !  Je suis mort !  Au secours !  On m'étrangle ! Il se lève pour appeler du monde."")",1.43,Substitution
147,"('#le-capitaine', ""Comment !  Mordi, mademoiselle : il est plus difficile d'entrer chez vous que de prendre trois demi-lunes l'épée à la main.  Si vous ne changez de portier, ma foi, il faudra rompre tout commerce avec vous.  Malepeste !  Une cravate de Malines qui n'est plus propre qu'à faire de la charpie !  Voilà qui est fait, je ne rends plus de visites qu'à des portes bâtardes. "")","('#arlequin', ""La peste m'étouffe, si vous branlez, je vous coupe la gorge.  Quel homme êtes-vous donc ?"")",1.24,Substitution
148,"('#colombine', ""Monsieur, je suis bien fâchée de l'accident de votre cravate : mais... "")",,1.0,Insertion
149,"('#le-capitaine', ""Mais, mademoiselle, on est bien aise de conserver le peu qu'on a de linge.  Je suis revenu trente fois de l'assaut en meilleur équipage.  Il est vrai qu'une jolie personne comme vous est un redoutable ouvrage à cornes. Hem, plaît-il ?  Il râpe du tabac ; Nigaudin tousse. "")","('#sotinet', ""Il faut filer doux ; ce coquin-là le ferait comme il le dit : il a une mauvaise physionomie.  Dis-moi, mon ami, de quel pays es-tu ? Haut, pendant qu'Arlequin le rase."")",0.85,Substitution
150,"('#colombine', ""Ce n'est rien, monsieur...  Que voilà un habit bien entendu !"")","('#arlequin', 'Limousin, monsieur, pour vous rendre service.')",1.23,Substitution
151,"('#le-capitaine', ""Je ne suis pas mal fait, oui ; je dois ma taille à une douzaine de bouteilles de vin que je bois réglément par jour : un grand ventre sied bien à la tête d'un bataillon. Ouais !  Qu'est-ce donc que j'entends ?  Nigaudin tousse. "")","('#sotinet', ""Limousin !  Et y a-t-il des barbiers de ce pays-là ?  Je croyais qu'il n'y en avait que de gascons."")",1.36,Substitution
152,"('#colombine', ""Ce n'est rien, vous dis-je.  Voilà vos inquiétudes qui vous prennent ; vous voudriez déjà être hors d'ici, et vous ne songez pas qu'il y a un siècle qu'on ne vous a vu. "")",,1.0,Insertion
153,"('#le-capitaine', ""J'y viendrais plus souvent : mais tout le genre humain y aborde.  Voyez-vous, mademoiselle, je suis le gentilhomme de France du meilleur commerce ; mais, ventrebleu !  Je ne m'accommode point de vos neutralités. "")","('#arlequin', ""Je crois aussi être le premier de mon pays qui ait embrassé le parti de la savonnette.  J'étais auparavant tailleur de pierres ; et comme on disait que j'avais beaucoup de légèreté dans la main, je crus que je serais plus propre à ce métier-ci. Et de tailleur de pierres, je me suis fait tailleur de barbes. Il lui met la main dans la poche"")",0.87,Substitution
154,,"('#sotinet', 'Il me semble que vous avez la main gauche bien plus légère que la droite.')",1.0,Deletion
155,"('#colombine', ""Mon_Dieu !  Monsieur, je ménage tout le monde pour des raisons particulières ; mais je sais donner la préférence à qui le mérite.  Je me distingue en voyant des gens de cour ; les officiers me font plaisir ; je trouve des ressources avec les financiers : et pour peu qu'on aime les bagatelles, c'est le moins qu'on puisse avoir que deux ou trois petits abbés dans une maison. "")","('#arlequin', ""Ah !  Monsieur, vous vous moquez !  Ce sont de petits talents qu'on reçoit de la nature, et dont un honnête homme ne doit pas se glorifier."")",0.31,Substitution
156,"('#le-capitaine', ""Pour les abbés, passe : on sait bien que cette graine-là est nécessaire aux femmes : mais j'enrage de voir à vos trousses un tas de gens de robe, qui sont pour la plupart des croquants, à qui l'esprit n'a été donné que comme le sel aux jambons pour les conserver. "")","('#sotinet', 'Avez-vous bien des pratiques ?')",1.98,Substitution
157,"('#colombine', ""Bon ! L'été les femmes les souffrent faute d'officiers : mais ce sont des oiseaux de semestre qui disparaissent avec les hirondelles.  Et puis les affaires viennent sans qu'on y pense ; on a tous les jours, malgré soi, des procès ; et vous savez qu'auprès d'un juge sensible, l'enjouement d'une jolie femme est toujours la meilleure pièce d'un sac. "")",,1.0,Insertion
158,"('#le-capitaine', ""Vous voyez entre autres un certain... Trigaudin... Nigaudin ; un petit friquet de chicane.  Par la ventrebleu !  Si jamais je l'y rencontre ; je n'aime pas le bruit, mais assurément je lui couperai les oreilles. Nigaudin tousse, et Colombine tousse aussi, de peur que le Capitaine ne l'entende. "")","('#arlequin', ""Tant, que je n'y saurais suffire. C'est moi qui fais la barbe et les cheveux à tous les limousins qui viennent ici travailler, et j'ai une pension de la ville pour faire tous les quinze jours le crin au cheval de bronze. Hai !  Hai ! Il lui vole sa bourse sans qu'il s'en aperçoive, et cesse de le raser en criant : "")",0.68,Substitution
159,,"('#sotinet', ""Qu'avez-vous ?  Vous trouvez-vous mal ?"")",1.0,Deletion
160,"('#colombine', ""Hé !  Fi, monsieur, ne m'en parlez point ; je ne le saurais souffrir : c'est une éponge à sottises. Elle tousse. "")","('#arlequin', 'Point, point ; voilà qui est passé.  Hai !  Hai ! Il le rase, puis se met à crier : ')",1.2,Substitution
161,"('#le-capitaine', ""Qu'avez-vous donc, mademoiselle ?  Vous me paraissez bien enrhumée. "")","('#sotinet', 'Comment donc ?  Mais vous avez quelque chose ?')",1.0,Substitution
162,"('#colombine', ""Ce n'est rien, monsieur ; on ne peut pas toujours se porter si bien que vous.  Mon_Dieu !  Que vous avez bon visage ! "")",,1.0,Insertion
163,"('#le-capitaine', ""Je le crois, ma foi, qu'il est hon ; il y a plus de trente ans que je m'en sers jour et nuit ; je ne suis pas comme ces femmes qui le mettent le soir sur leur toilette."")","('#arlequin', ""Oh !  Pour le coup, je n'y puis plus tenir.  Hai !  Hai !  Hai !  Une colique épouvantable qui me prend...  Je suis à vous tout-à-l'heure.  Hai !  Hai !  Hai !  Il s'en va, et revient sur ses pas."")",1.03,Substitution
164,"('#le-sergent', 'Mon capitaine, ne voulez-vous pas arrêter les parties de ce marchand a fourni les justaucorps de la compagnie ? ')","('#sotinet', ""Je n'ai jamais vu un pareil original...  Mais vous voilà ?  Avez-vous déjà été à la garde-robe ?"")",1.26,Substitution
165,"('#colombine', ""C'est-à-dire, monsieur le capitaine, que vous ne manquez pas de moyens pour trouver de l'argent. "")","('#arlequin', ""Point du tout, Monsieur ; cela n'en valait pas la peine : j'ai changé d'avis, et j'ai mieux aimé insulter la doublure de ma culotte que de vous faire attendre plus longtemps."")",1.51,Substitution
166,"('#le-capitaine', ""Je veux être un infâme, si j'ai le premier sou pour faire ma compagnie : ce qui me console, c'est que je dois beaucoup.  Allons, tirez.  Allons, tirez.  Pour une demoiselle, il me semble que vous avez là un vilain mâtin sous votre table.  Il écrit, et sent quelque chose sous la table. "")","('#sotinet', ""Comment, impudent !  Je vous trouve bien hardi de vous approcher de moi en l'état où vous êtes."")",0.56,Substitution
167,"('#colombine', 'Vous rêvez, je crois, avec vos mâtins. ')",,1.0,Insertion
168,"('#le-capitaine', ""Brin-d'amour ?"")",,1.0,Insertion
169,"('#le-sergent', 'Mon capitaine. ')",,1.0,Insertion
170,"('#le-capitaine', 'Chassez-moi ce chien de dessous cette table. ')",,1.0,Insertion
171,"('#le-sergent', 'Allons, tirez ; à la paille.  Nigaudin sort.')",,1.0,Insertion
172,"('#le-capitaine', ""Oh, oh !  Mon petit ami, et que faites-vous donc ici, s'il vous plaît ? "")","('#arlequin', ""Qu'appelez-vous, monsieur, s'il vous plaît ?  Chacun ne fait-il pas de sa culotte ce qu'il lui plaît ?"")",0.7,Substitution
173,"('#nigaudin', 'La Violette, laquais, prenez ma robe. ')",,1.0,Insertion
174,"('#le-capitaine', 'Mon petit ami, si vous ne dénichez au plus vite, je vous ferai amoureusement descendre par la fenêtre. ')","('#sotinet', 'Sortez, insolent !  Si je faisais bien, je vous ferais jeter par les fenêtres.')",0.63,Substitution
175,"('#colombine', ""Monsieur le capitaine, vous êtes un extravagant de vous emporter sans raison.  N'ai-je pas fait mon devoir de faire cacher monsieur pour vous épargner du chagrin ?  Tant pis pour vous, si vous allez chercher où vous n'avez que faire. Et vous, monsieur, de quoi vous avisez-vous de faire du bruit mal à propos ?  Il n'y a qu'un homme de robe et officier d'un présidial capable de tousser quand on le cache sous une table.  Puisque vous avez fait la sottise, démêlez la fusée comme il vous plaira.  À Nigaudin.  Elle sort. "")",,1.0,Insertion
176,"('#nigaudin', ""Adieu, monsieur ; nous ne serons pas toujours seul à seul ; et s'il vous tombe jamais quelque décret sur le corps, je vous apprendrai ce que c'est que de scandaliser un juge chez des femmes."")",,1.0,Insertion
177,"('#le-capitaine', 'Va, va, petit regrattier de la justice, je me moque de toi et de tes décrets ; je suis en garnison dans une bonne citadelle. ')",,1.0,Insertion
178,"('#nigaudin', ""On ne traite pas comme cela un conseiller assesseur, et je m'en plaindrai à votre citadelle.  Ils sortent l'un d'un côté et l'autre de l'autre. "")","('#arlequin', ""Comment, mardi, par les fenêtres !  Est-ce ainsi qu'on insulte un officier public ?  Il s'approche de Sotinet, qui veut le battre, et lui fait un collier de son bassin, qu'il lui casse sur la tête, et s'enfuit."")",0.83,Substitution
179,"('#pierrot', ""Monsieur, je viens de chez votre notaire ; il vous prie bien fort de l'excuser ; il ne saurait venir aujourd'hui. "")",,1.0,Insertion
180,"('#trafiquet', ""Il faut prendre patience, pourvu qu'il vienne demain. "")",,1.0,Insertion
181,"('#pierrot', ""Ni demain non plus : il lui est survenu une petite affaire ; je ne crois pas qu'il puisse venir si tôt. "")",,1.0,Insertion
182,"('#trafiquet', 'Et quelle est donc cette affaire ? ')",,1.0,Insertion
183,"('#pierrot', ""C'est, monsieur, qu'il est mort. "")",,1.0,Insertion
184,"('#trafiquet', ""Il est mort !  Tu as raison ; je ne crois pas qu'il revienne de longtemps. C'est bien dommage ; c'était le seul honnête homme de notaire que j'aie encore trouvé.  Hé !  Dis-moi, as-tu des nouvelles de notre homme ? "")",,1.0,Insertion
185,"('#pierrot', ""Ho !  Oui, monsieur ; pour celui-là, on m'a dit qu'il était arrivé par le poulailler du Maine, et qu'il demeurait tout rasibus de chez nous. "")",,1.0,Insertion
186,"('#trafiquet', ""Le ciel en soit loué !  Je me déferai peut-être à la fin de ma fille, et je ne verrai plus dans ma maison des animaux de toute sorte d'espèces, et particulièrement cette assemblée de femmes, ou plutôt cette académie de folles qui s'y tenait. "")",,1.0,Insertion
187,"('#pierrot', ""Tout franc, monsieur, je commençais à être bien las de toutes ces visageresses, et j'étais résolu de prendre mon congé ou de vous donner le vôtre.  Mais, monsieur, je voudrais bien vous lâcher un petit mot, tandis que je sommes sur la chose du mariage. "")",,1.0,Insertion
188,"('#trafiquet', 'Parle, Pierrot ; que me veux-tu ? ')",,1.0,Insertion
189,"('#pierrot', 'Monsieur, regardez-moi bien ; tel que vous me voyez, je me vais marier. ')",,1.0,Insertion
190,"('#trafiquet', 'Toi, te marier !  Es-tu fou ? ')","('#sotinet', 'Arrête !  Arrête !  Arrête !')",1.28,Substitution
191,"('#pierrot', ""Ce qui me console ; monsieur, c'est que celle que j'épouse est aussi folle que moi. "")","('#isabelle', ""Ah !  Colombine, quel bruit épouvantable !  Quelle rumeur !  Mais il faut qu'on ait perdu l'esprit, de faire un tintamarre semblable dans mon antichambre !  Quelle brutalité de m'éveiller à l'heure qu'il est !  Non, je ne crois pas qu'il soit encore midi ; il n'y a pas trois heures que je suis rentrée.  Je crois, Colombine, que je suis faite d'une jolie manière.  Ah !  L'horreur !  Quelle extinction de teint ! Elle se regarde dans un miroir."")",1.22,Substitution
192,"('#trafiquet', 'Et qui est donc cette malheureuse-là ? ')",,1.0,Insertion
193,"('#pierrot', ""Oh !  Monsieur, vous la connaissez bien ; c'est... mademoiselle votre fille. "")",,1.0,Insertion
194,"('#trafiquet', 'Ma fille ?  Ma fille Colombine ? ')",,1.0,Insertion
195,"('#pierrot', ""Vraiment, monsieur, cela est tout prêt ; on n'attend plus que votre consentement et le sien. "")",,1.0,Insertion
196,"('#trafiquet', ""Je ne sais, maraud, à quoi il tient que je ne t'assomme de coups. "")",,1.0,Insertion
197,"('#pierrot', ""Mais, monsieur, il ne faut pas se fâcher ; cela n'est pas si inégal.  Je suis un garçon, une fois, et elle est une fille ; et puis, monsieur, je ne sais ce que c'est que de faire le blêche : vous me donnez quinze écus par an ; j'aime mieux n'en gagner que dix et être votre gendre.  Voilà comme je parle, moi. "")","('#colombine', ""Eh !  Là, là ; consolez-vous, madame ; vous avez des yeux à défrayer tout un visage.  Et de quoi vous embarrassez-vous de votre teint ?  Il ne tiendra qu'à vous de l'avoir comme il vous plaira.  Que ne me laissez-vous faire ?  Je ne veux qu'une petite couche de rouge pour réparer de trente méchantes nuits la plus obstinée."")",0.61,Substitution
198,"('#trafiquet', 'Et moi, voilà comme je réponds. ')",,1.0,Insertion
199,"('#pierrot', ""Eh !  Fi donc, monsieur ; est-ce comme ça qu'on parle de mariage ?"")",,1.0,Insertion
200,"('#pierrot', ""Tenez, voilà votre diable de bailli ; est-ce qu'il est mieux fait que moi ? "")",,1.0,Insertion
201,"('#arlequin', ""Je crois, monsieur, que vous avez plus d'impatience de me faire votre gendre, que je n'en ai de vous voir mon beau-père.  Vous avez une fille : ergo vous êtes pourvu d'une drogue dont vous voudriez être défait ; car une fille, c'est une fleur qui se fane, si elle n'est cueillie dans sa saison ; c'est un quartaut de vin de Champagne qui jaunit, s'il n'est bu dans sa primeur. "")","('#isabelle', ""Ah !  Fi, Colombine, avec ton rouge !  Tu me mets au désespoir.  Crois-tu que je puisse me résoudre à donner tous les jours un habit neuf à mes appas ?  J'ai une conscience si délicate, que je me reprocherais les conquêtes qui ne se seraient pas faites de bonne guerre, et je crois que je mourrais de honte d'avoir dix années de plus que mon visage."")",0.53,Substitution
202,"('#pierrot', ""Monsieur du quartaut, vous n'en aurez peut-être que la baissière. "")",,1.0,Insertion
203,"('#trafiquet', ""J'espère, monsieur, que vous ne vous repentirez pas de l'affaire que vous faites ; car je puis vous assurer que je vous livre une fille toute neuve, et qui vous fera dans la suite un très bon usé. "")","('#colombine', ""Bon, bon, mademoiselle, vous avez là un plaisant scrupule ; la beauté que l'on achète n'est-elle pas à soi ?  Qu'importe que vos joues portent les couleurs d'un marchand ou les vôtres, pourvu que cela vous fasse honneur ?  Pour moi, je trouve quelques femmes d'aujourd'hui d'un parfaitement bon goût ; de toute l'année elles en ont fait un carnaval perpétuel ; elles peuvent aller au bal à coup sûr, sans crainte d'être connues."")",0.58,Substitution
