,dufresny-chevalier-joueur,regnard-joueur,Cost,Operation Type
250,,"('#nerine', 'Il vous est obligé, Monsieur, de tant de peine.')",1.0,Deletion
251,"('#dorante', 'Quoi !  Il serait possible que ton extravagance...')","('#le-marquis', ""Je n'y suis pas plus tôt, soudain je perds haleine. Ces fades compliments sur de grands mots montés, Ces protestations qui sont futilités, Ces serrements de mains dont on vous estropie, Ces grands embrassements dont un flatteur vous lie, M'ôtent à tout moment la respiration : On ne s'y dit bonjour que par convulsion."")",1.33,Substitution
252,"('#nerine', 'Ça, venez lui confirmer la vôtre.')","('#angelique', 'Les dames de la cour sont bien mieux votre affaire ?')",1.64,Substitution
253,,"('#le-marquis', ""Point. Il faut être au moins gros fermier pour leur plaire : Leur sotte vanité croit ne pouvoir trop haut À des faveurs de cour mettre un injuste taux. Moi, j'aime à pourchasser des beautés mitoyennes. L'hiver, dans un fauteuil, avec des citoyennes, Les pieds sur les chenets étendus sans façons, Je pousse la fleurette, et conte mes raisons. Là toute la maison s'offre à me faire fête ; Valet, filles de chambre, enfants, tout est honnête : L'époux même discret, quand il entend minuit, Me laisse avec madame, et va coucher sans bruit. Voilà comme je vis, quand parfois dans la ville Je veux bien déroger..."")",1.0,Deletion
254,,"('#nerine', 'La manière est facile ; Et ce commerce-là me paraît assez doux.')",1.0,Deletion
255,"('#dorante', ""Je n'oserai plus paraître devant ses yeux.  Juste Ciel !  Que va-t-elle penser de moi ?"")","('#le-marquis', ""C'est ainsi que je veux en user avec vous. Je suis tout naturel, et j'aime la franchise : Ma bouche ne dit rien que mon coeur n'autorise : Et quand de mon amour je vous fais un aveu, Madame, il est trop vrai que je suis tout en feu."")",0.89,Substitution
256,,"('#la-comtesse', ""Fi donc, petit badin, un peu de retenue ; Vous me parlez, Marquis, une langue inconnue : Le mot d'amour me blesse, et me fait trouver mal."")",1.0,Deletion
257,,"('#le-marquis', ""L'effet n'en serait pas peut-être si fatal."")",1.0,Deletion
258,,"('#nerine', ""Elle veut qu'en détours la chose s'enveloppe ; Et ce mot dit à cru lui cause une syncope."")",1.0,Deletion
259,"('#nerine', ""Que vous en valez mille fois mieux, d'avoir de l'amour."")","('#angelique', ""Dans la bouche d'un autre il deviendrait plus doux."")",0.95,Substitution
260,"('#dorante', 'Je suis au désespoir.')","('#la-comtesse', ""Comment ? Qu'est-ce ? Plaît-il ? Parlez ; expliquez-vous. Parlez donc, parlez donc. Apprenez, je vous prie, Que mortel, quel qu'il soit, ne me dit de ma vie Un mot douteux qui pût effleurer mon honneur."")",1.82,Substitution
261,,"('#le-marquis', ""Croirait-on qu'une veuve aurait tant de pudeur ?"")",1.0,Deletion
262,"('#nerine', 'Elle a pris la chose parfaitement bien.')","('#angelique', 'Mais Valère vous aime : et souvent...')",1.56,Substitution
263,"('#dorante', 'Que je suis malheureux !')","('#le-marquis', ""Qu'est-ce à dire, Valère ? Un autre ici conjointement soupire ! Ah ! Si je le savais, je lui ferais, morbleu ! ... Où loge-t-il ?"")",1.2,Substitution
264,"('#nerine', 'Allons lui conter votre malheur.')","('#nerine', 'Ici.')",1.63,Substitution
265,"('#dorante', 'Non, je ne la verrai de ma vie.')","('#le-marquis', 'Nous nous verrons dans peu.')",1.07,Substitution
266,,"('#la-comtesse', 'Mais quel droit avez-vous sur moi ?')",1.0,Deletion
267,"('#nerine', ""Hé bien, ne la voyez point ; si vous ne profitez de son dépit, le Chevalier saura bien profiter du retour, et quand le contrat sera signé, il saura bien mieux encore mettre à profit les tendres moments.  Ma Chère, lui dira-t-il, je suis abîmé, vous pouvez me sauver l'honneur et la vie, en signant seulement votre nom.  Ah !  Mon cher, répondra-t-elle, je signerais ma mort : à Dieu ne plaise.  Signez seulement une obligation de vingt mille francs.  Cet argent-là perdu, reproches, brouilleries, raccommodement ; la pauvre victime signera une vente : enfin quand elle aura consommé toute sa dot en raccommodements, le cher fourbe ne se souciera plus de se raccommoder, et voilà le désespoir."")","('#le-marquis', ""Quel droit, ma reine ? Le droit de bienséance avec celui d'aubaine. Vous me convenez fort, et je vous conviens mieux. Sur vous l'on sait assez que je jette les yeux."")",0.6,Substitution
268,,"('#la-comtesse', 'Vous êtes fou, Marquis, de parler de la sorte.')",1.0,Deletion
269,"('#dorante', 'Ah !  Nérine, tu me perces le coeur.')",,1.0,Insertion
270,"('#nerine', 'Voyez-la donc pour prévenir toutes ces désolations.')","('#le-marquis', ""Je sais ce que je dis, ou le diable m'emporte."")",1.38,Substitution
271,,"('#la-comtesse', 'Sommes-nous donc liés par quelque engagement ?')",1.0,Deletion
272,,"('#le-marquis', 'Non pas autrement... mais...')",1.0,Deletion
273,"('#dorante', 'Hélas !  À quoi me vais-je exposer ?')","('#la-comtesse', ""Qu'est-ce à dire ? Comment ? ... Parlez."")",1.17,Substitution
274,"('#nerine', ""Ce n'est plus qu'en s'exposant qu'on fait fortune auprès des femmes. Exposez-vous, morbleu, exposez-vous...  Je ne connais plus que cet homme-là qui soit poltron en amour. Le poussant chez Angélique."")","('#le-marquis', ""Je ne sais point prendre en main des trompettes, Pour publier partout les faveurs qu'on m'a faites."")",0.56,Substitution
275,,"('#angelique', 'Hé, ma soeur !')",1.0,Deletion
276,,"('#nerine', 'Des faveurs !')",1.0,Deletion
277,"('#nerine', ""Entends-tu ?  Si Monsieur le Chevalier veut entrer dans notre appartement, qu'on lui dise qu'il n'y a personne.  Grâce au Ciel, Angélique s'accoutume à voir Dorante amoureux ; cela me prouve que la pluralité des amants n'est pas incompatible avec la sagesse de nos femmes."")","('#le-marquis', 'Suffit, je suis discret ; Et sais, quand il le faut, oublier un secret.')",1.01,Substitution
278,"('#frontin', 'Mon maître monte à grands pas, nous allons voir une belle scène de raccommodement.')","('#la-comtesse', 'On ne connaît que trop ma retenue austère. Il veut rire.')",1.22,Substitution
279,"('#nerine', ""Ton maître aura le loisir d'étudier son rôle ; car Angélique est sortie, et ne reviendra que ce soir."")","('#le-marquis', 'Ah ! Parbleu, je saurai de Valère Quel est, en vous aimant, le but de ses désirs, Et de quel droit il vient chasser sur mes plaisirs.')",1.28,Substitution
280,,"('#laquais-1er', ""Monsieur, c'est de la part de la grosse comtesse."")",1.0,Deletion
281,"('#frontin', 'Tant mieux, tant mieux, nous allons dormir tout le jour.')","('#le-marquis', 'Je le lirai tantôt. Le laquais sort.')",1.69,Substitution
282,,"('#laquais-2nd', 'Cette jeune duchesse Vous attend à vingt pas pour vous mener au jeu.')",1.0,Deletion
283,"('#le-chevalier', ""Pourquoi m'ôtes-tu mon manteau, bourreau que tu es ?"")","('#le-marquis', ""Qu'elle attende. Le second laquais sort."")",1.57,Substitution
284,"('#frontin', ""C'est vous qui me le donnez."")","('#laquais-3eme', 'Monsieur...')",1.77,Substitution
285,"('#le-chevalier', 'Ne vois-tu pas que je veux ressortir ?')","('#le-marquis', 'Encore ! Ah ! Palsambleu, Il faut que de la ville enfin je me dérobe.')",0.65,Substitution
286,"('#frontin', 'Le sommeil vous serait plus utile que...')","('#laquais-3eme', 'Je viens de voir, Monsieur, cette femme de robe, Qui dit que cette nuit son mari couche aux champs, Et que ce soir, sans bruit...')",1.43,Substitution
287,"('#le-chevalier', ""Remets-moi mon manteau, raisonneur...  Irai-je encore ? Attends donc.  Cette maison-là est maudite pour moi, je n'y gagnerai jamais ; voyons pourtant, donne. Mais on n'y veut plus jouer sur ma parole.  Hé !  Va-t'en au diable avec ton manteau.  Avant-hier je perdis cinq cent louis, douze cent hier, aujourd'hui mille.  Tu le veux ainsi, juste Ciel !  Je te loue. Frontin veut lui mettre son manteau. Le Chevalier se promène à grands pas, et Frontin le suit voulant mettre son manteau sur ses épaules."")","('#le-marquis', ""Il suffit, je t'entends. Tu prendras ce manteau, fait pour bonne fortune, De couleur de muraille ; et tantôt, sur la brune, Va m'attendre en secret où tu fus avant-hier, Là..."")",0.0,Match
288,"('#frontin', 'Ces louanges-là ne sont pas sincères.')",,1.0,Insertion
289,"('#le-chevalier', ""Va-t'en voir chez la Marquise si on joue encore."")","('#laquais-3eme', 'Je sais. Il sort.')",1.77,Substitution
290,"('#frontin', ""Il est neuf heures, Monsieur, et toutes les femmes réglées sortent du Lansquenet dès cinq heures du matin, pour s'aller coucher de bonne heure."")","('#le-marquis', ""Il faudrait avoir un corps de fer Pour résister à tout. J'ai de l'ouvrage à faire, Comme vous le voyez ; mais je m'en veux distraire. Vous ferez désormais tous mes soins les plus doux. À la Comtesse."")",1.25,Substitution
291,,"('#la-comtesse', 'Si mon coeur était libre, il pourrait être à vous.')",1.0,Deletion
292,"('#le-chevalier', 'Je suis pourtant bien piqué ; ha Frontin !')",,1.0,Insertion
293,"('#frontin', 'Ce soupir signifie que votre bourse est à sec.')",,1.0,Insertion
294,"('#le-chevalier', ""J'ai tout perdu, Frontin."")","('#le-marquis', ""Adieu, charmant objet : à regret je vous quitte. C'est un pesant fardeau d'avoir un gros mérite."")",1.61,Substitution
295,,"('#nerine', 'Cet homme-là vous aime épouvantablement.')",1.0,Deletion
296,,"('#angelique', 'Je ne vous croyais pas un tel engagement.')",1.0,Deletion
297,"('#frontin', 'Quoi ?  Il ne vous reste pas la moindre pistole ?')",,1.0,Insertion
298,"('#le-chevalier', 'Pas un sol.')","('#la-comtesse', 'Il est vif.')",1.6,Substitution
299,"('#frontin', ""Vous allez donc être bien tendre ; car la tendresse vous vient à mesure que l'argent s'en va."")","('#angelique', 'Il vous aime ; et son ardeur est belle.')",0.68,Substitution
300,"('#le-chevalier', ""Sais-tu si Angélique est levée ?  Pourquoi n'ai-je point de ses nouvelles ?"")","('#la-comtesse', ""L'amour qu'il a pour moi lui tourne la cervelle : Il ne m'a pourtant vue encore que deux fois."")",1.66,Substitution
301,"('#frontin', ""Hé !  C'est parce qu'on lui aura dit des vôtres ; elle est sortie."")","('#nerine', 'Il en a donc bien fait la première...')",1.55,Substitution
302,,"('#nerine', 'Je crois Voir Valère.')",1.0,Deletion
303,,"('#la-comtesse', ""L'amour auprès de moi le guide."")",1.0,Deletion
304,,"('#nerine', 'Il tremble en approchant.')",1.0,Deletion
305,"('#le-chevalier', ""Quoi sans m'attendre ?  Elle est donc fâchée ?  Dans le fond, je n'ai pas grand tort, je lui ai promis de ne plus jouer quand je serai marié ; mais je ne le suis pas encore."")","('#la-comtesse', ""J'aime un amant timide, Cela marque un bon fond. Approchez, approchez ; Ouvrez de votre coeur les sentiments cachés. Vous allez voir, ma soeur. À Valère. À Angélique."")",1.76,Substitution
306,"('#frontin', ""Vous ne voulez point quitter le jeu que vous ne soyez marié ?  Angélique ne veut point vous épouser que vous n'ayez quitté le jeu : voilà un mariage fort avancé."")","('#valere', ""Ah ! Quel bonheur, Madame, Que vous me permettiez d'ouvrir toute mon âme ; Et quel plaisir de dire, en des transports si doux, Que mon coeur vous adore, et n'adore que vous ! À Angélique."")",1.04,Substitution
307,,"('#la-comtesse', ""L'amour le trouble. Eh quoi ! Que faites-vous, Valère ?"")",1.0,Deletion
308,"('#le-chevalier', ""Dis-moi...  Ai-je de l'argent ?"")","('#valere', ""Ce que vous-même ici m'avez permis de faire."")",1.2,Substitution
309,"('#frontin', 'Non pas, que je sache.')",,1.0,Insertion
310,"('#le-chevalier', 'Je te demande si tu as fait quelque affaire ?')","('#nerine', 'Voici du quiproquo.')",1.71,Substitution
311,"('#frontin', ""J'avais fait un tarif d'emprunt, où je taxais, comme amis, jusqu'aux connaissances de vue ; mais il y a longtemps qu'ils ont tous fourni ou refusé leur somme."")","('#valere', ""Que je serais heureux, S'il vous plaisait encor de recevoir mes voeux !"")",1.26,Substitution
312,,"('#la-comtesse', 'Vous vous méprenez.')",1.0,Deletion
313,,"('#valere', ""Non. Enfin, belle Angélique, Entre mon oncle et moi que votre coeur s'explique ; Le mien est tout à vous, et jamais dans un coeur..."")",1.0,Deletion
314,"('#le-chevalier', 'Et la Comtesse ?')","('#la-comtesse', 'Angélique !')",1.47,Substitution
315,,"('#valere', 'On ne vit une plus noble ardeur.')",1.0,Deletion
316,,"('#la-comtesse', ""Ce n'est donc pas pour moi que votre coeur soupire ?"")",1.0,Deletion
317,"('#frontin', ""Elle craint qu'en vous prêtant sans emploi, sa conscience n'y soit engagée ; elle vous prêterait pour payer vos créanciers."")","('#valere', ""Madame, en ce moment je n'ai rien à vous dire. Regardez votre soeur ; et jugez si ses yeux Ont laissé dans mon coeur de place à d'autres feux."")",1.7,Substitution
318,"('#le-chevalier', ""De l'argent pour payer mes créanciers, j'aimerais autant rien."")","('#la-comtesse', ""Quoi ! D'aucun feu pour moi votre âme n'est éprise ?"")",1.33,Substitution
319,"('#frontin', ""J'ai imaginé des dettes d'une espèce libertine, afin que n'osant les payer elle-même..."")","('#valere', ""Quelques civilités que l'usage autorise..."")",1.89,Substitution
320,"('#le-chevalier', 'Elle est ici ?')","('#la-comtesse', 'Comment ?')",1.1,Substitution
321,"('#frontin', 'Non, Monsieur, mais elle va rentrer ; attendez-la au passage, votre présence dissipera ses scrupules.')","('#angelique', 'Il ne faut pas avec sévérité Exiger des amants trop de sincérité. Ma soeur, tout doucement avalez la pilule.')",1.0,Substitution
322,,"('#la-comtesse', ""Taisez-vous, s'il vous plaît, petite ridicule."")",1.0,Deletion
323,,"('#valere', ""Vous avez cent vertus, de l'esprit, de l'éclat ; Vous êtes belle, riche, et..."")",1.0,Deletion
324,"('#le-chevalier', ""Un fauteuil...  Je suis abîmé ; j'en ai l'obligation à un homme, un homme, Frontin, un seul homme qui me suit partout."")","('#la-comtesse', 'Vous êtes un fat.')",1.8,Substitution
325,"('#frontin', 'Est-ce un de ces joueurs prudents qui ne donnent rien au hasard ?')",,1.0,Insertion
326,"('#le-chevalier', ""Non, je n'ai jamais joué contre lui."")",,1.0,Insertion
327,"('#frontin', 'Hé !  Comment donc vous a-t-il abîmé.')","('#angelique', 'La modération, qui fut votre partage, Vous ne la mettez pas, ma soeur, trop en usage.')",1.65,Substitution
328,"('#le-chevalier', ""Il a la rage de me porter malheur en s'appuyant sur le dos de ma chaise.  C'est un écumeur de réjouissances, qui a la face longue d'une toise ; dès que je le vois ma carte est prise."")","('#la-comtesse', ""Monsieur vaut-il le soin qu'on se mette en courroux ? C'est un extravagant ; il est tout fait pour vous. Elle sort."")",0.88,Substitution
329,,"('#nerine', 'Elle connaît ses gens.')",1.0,Deletion
330,"('#frontin', ""Les Lansquenets sont pleins de ces visages climatériques, dont l'aspect change l'ordre des cartes ; rien n'est plus certain."")","('#valere', 'Oui, pour vous je soupire, Et je voudrais avoir cent bouches pour le dire.')",1.65,Substitution
331,,"('#nerine', 'Allons, Madame, allons, ferme ; voici le choc : Point de faiblesse au moins, ayez un coeur de roc.')",1.0,Deletion
332,"('#le-chevalier', 'Je voudrais ne me point abandonner à mes réflexions ; va me chercher un Livre.')","('#angelique', ""Ne m'abandonne point."")",1.16,Substitution
333,,"('#nerine', 'Non, non ; laissez-moi faire.')",1.0,Deletion
334,"('#frontin', ""Si vous voulez lire un petit Ouvrage d'esprit... Qui court les rues, c'est sur la pauvreté ; je suis curieux de voir tout ce qui s'écrit sur la pauvreté ; car il me revient sans cesse dans l'idée, que nous mourrons tous deux sur un fumier. Trois coupe-gorge de suite. Le Chevalier prend le papier. Le Chevalier regardant fixement le papier sans le lire."")","('#valere', ""Mais que me sert, hélas ! Que mon coeur vous préfère ? Que sert mon amour un si sincère aveu ? Vous ne m'écoutez point, vous dédaignez mon feu. De vos beaux yeux pourtant, cruelle, il est l'ouvrage. Je sais qu'à vos beautés c'est faire un dur outrage De nourrir dans mon coeur des désirs partagés ; Que la fureur du jeu se mêle où vous régnez : Mais..."")",0.76,Substitution
335,"('#frontin', ""Il n'y a point de coupe-gorge là dedans."")",,1.0,Insertion
336,"('#le-chevalier', ""Je ne saurais m'appliquer ; lis."")","('#angelique', ""Cette passion est trop forte en votre âme Pour croire que l'amour d'aucun feu vous enflamme. Suivez, suivez l'ardeur de vos emportements ; Mon coeur n'en aura point de jaloux sentiments."")",1.48,Substitution
337,,"('#nerine', 'Optimè. ')",1.0,Deletion
338,"('#frontin', ""De mille soins fâcheux la richesse est suivie ;  Mais le philosophe indigent  N'a qu'un seul soin dans la vie,  C'est de chercher de l'argent. Tel Héros, que l'on vante tant,  Mourut sans en avoir envie :  Mais un brave Joueur perd volontiers la vie,  Quand il a perdu son argent. ... Diogène parlant du mépris des richesses, disait : AUTRE sur le mépris de la mort. Mais, Monsieur, au lieu de m'écouter vous méditez sur le portrait de votre maîtresse ; auriez-vous quelque remords d'avoir gardé si longtemps ce portrait, malgré tous les diamants qui l'environnent ?"")","('#valere', ""Désormais, plein de votre tendresse, Nulle autre passion n'a rien qui m'intéresse : Tout ce qui n'est point vous me paraît odieux."")",0.26,Substitution
339,,"('#angelique', 'Non, ne vous présentez jamais devant mes yeux.')",1.0,Deletion
340,,"('#nerine', 'Vous mollissez.')",1.0,Deletion
341,"('#le-chevalier', ""La Comtesse tarde trop, je n'ai pas le loisir d'être si longtemps sans argent ; je perds peut-être le moment de bonheur.  Frontin, il y a longtemps que je suis curieux de savoir ce que peuvent valoir ces diamants-là, va-t'en chez l'Orfèvre, et ..."")","('#valere', 'Jamais ! Quelle rigueur extrême ! Jamais ! Ah ! Que ce mot est cruel quand on aime ! Hé quoi ! Rien ne pourra fléchir votre courroux ? Vous voulez donc me voir mourir à vos genoux ?')",1.2,Substitution
342,,"('#angelique', ""Je prends peu d'intérêt, Monsieur, à votre vie."")",1.0,Deletion
343,,"('#nerine', 'Nous allons bientôt voir jouer la comédie.')",1.0,Deletion
344,,"('#valere', ""Ma mort sera l'effet de mon cruel dépit."")",1.0,Deletion
345,,"('#nerine', ""Qu'un amant mort pour nous nous mettrait en crédit !"")",1.0,Deletion
346,"('#frontin', ""J'entends monter...  C'est la Comtesse, commencez votre rôle ordinaire ; paraissez accablé, outré, hébété par le chagrin ; surtout, écoutez patiemment la mercuriale, songez que l'argent est au bout."")","('#valere', 'Vous le voulez ? Eh bien ! Il faut vous satisfaire, Cruelle ! Il faut mourir. Il veut tirer son épée.')",0.77,Substitution
347,,"('#angelique', 'Que faites-vous, Valère ?')",1.0,Deletion
348,,"('#nerine', 'Eh bien ! Ne voilà pas votre tendre maudit Qui vous prend à la gorge ! Euh !')",1.0,Deletion
349,,"('#angelique', ""Tu ne m'as pas dit, Nérine, qu'il viendrait se percer à ma vue : Et je tremble de peur quand une épée est nue."")",1.0,Deletion
350,,"('#nerine', 'Que les amants sont sots !')",1.0,Deletion
351,"('#frontin', 'Hé !  Madame, venez consoler mon maître, il est dans un accablement.')","('#valere', ""Puisqu'un soin généreux Vous intéresse encore aux jours d'un malheureux, Non, ce n'est point assez de me rendre la vie ; Il faut que par l'amour, désarmée, attendrie, Vous me rendiez encor ce coeur si précieux, Ce coeur sans qui le jour me devient odieux."")",0.92,Substitution
352,,"('#angelique', ""Nérine, qu'en dis-tu ?"")",1.0,Deletion
353,,"('#nerine', ""Je dis qu'en la mêlée Vous avez moins de coeur qu'une poule mouillée."")",1.0,Deletion
354,,"('#valere', 'Madame, au nom des dieux, au nom de vos attraits...')",1.0,Deletion
355,,"('#angelique', 'Si vous me promettiez...')",1.0,Deletion
356,"('#la-comtesse', ""La passion du jeu est un abîme de désolation, tout se perd dans ce gouffre, le temps, l'esprit, la joie, la santé."")","('#valere', ""Oui, je vous le promets, Que la fureur du jeu sortira de mon âme, Et que j'aurai pour vous la plus ardente flamme..."")",0.89,Substitution
357,,"('#nerine', 'Pour faire des serments il est toujours tout prêt.')",1.0,Deletion
358,"('#frontin', ""Vous oubliez l'argent, c'est ce qui va au fond du gouffre.  Je sais cela parce que mes gages y sont."")","('#angelique', ""Il faut encore, ingrat, vouloir ce qu'il vous plaît. Oui, je vous rends mon coeur."")",1.22,Substitution
359,"('#le-chevalier', 'Ah !...')","('#valere', 'Ah ! Quelle joie extrême !')",0.8,Substitution
360,"('#la-comtesse', 'Chevalier, êtes-vous fâché que...')",,1.0,Insertion
361,"('#le-chevalier', 'Non, madame, vous avez trop de bonté de vouloir bien...')","('#angelique', 'Et pour vous faire voir à quel point je vous aime, Je joins à ce présent celui de mon portrait. Elle lui donne son portrait enrichi de diamants.')",1.12,Substitution
362,"('#frontin', ""Nous aimons vos remontrances pour le bon effet qu'elles produisent."")","('#nerine', ""Hélas ! De mes sermons voilà quel est l'effet !"")",0.71,Substitution
363,"('#la-comtesse', 'Ne peut-on pas adoucir votre affliction ?')","('#valere', 'Quel excès de faveurs !')",1.36,Substitution
364,"('#le-chevalier', ""Je dois vous la cacher, ce n'est rien."")",,1.0,Insertion
365,"('#frontin', ""C'est Angélique qui cause tous nos maux, nous voudrions bien nous en dépêtrer."")",,1.0,Insertion
366,"('#la-comtesse', 'Ouvrez-moi votre coeur, parlez.')","('#angelique', 'Gardez-le, je vous prie.')",0.76,Substitution
367,"('#le-chevalier', ""Non, Madame, mes chagrins, sont d'une nature..."")","('#valere', 'Que je le garde, ô ciel ! Le reste de ma vie... Que dis-je ? Je prétends que ce portrait si beau Soit mis avec moi dans le même tombeau, Et que même la mort jamais ne nous sépare.')",1.24,Substitution
368,,"('#nerine', ""Que l'esprit d'une fille est changeant et bizarre !"")",1.0,Deletion
369,"('#la-comtesse', 'Vous êtes discret, et je ne suis point curieuse.')","('#angelique', 'Ne me trompez donc plus, Valère ; et que mon coeur Ne se repente point de sa facile ardeur.')",1.04,Substitution
370,"('#frontin', ""Nous sommes fâchés d'être contraints à précipiter son mariage pour payer des dettes pressantes."")",,1.0,Insertion
371,"('#le-chevalier', 'Je vous prie de vous taire, Frontin.')","('#valere', 'Fiez-vous aux serments de mon âme amoureuse.')",1.22,Substitution
372,,"('#nerine', ""Ah ! Que voilà pour l'oncle une époque fâcheuse !"")",1.0,Deletion
373,"('#frontin', ""Dois-je me taire, Madame, parce qu'il a du coeur, et qu'il crèverait plutôt que de vous découvrir ses besoins."")","('#valere', ""Est-il dans l'univers de mortel plus heureux ? Elle me rend son coeur ; elle comble mes voeux, M'accable de faveurs..."")",0.76,Substitution
374,"('#le-chevalier', 'Encore un coup, je vous commande de vous taire.')","('#hector', 'Monsieur, je viens vous dire...')",0.76,Substitution
375,"('#frontin', 'Je me tairai, Madame, de peur de chagriner mon maître, je me contenterai de vous faire voir un mémoire instructif.')","('#valere', ""Je suis tout transporté. Vois, considère, admire : Angélique m'a fait ce généreux présent."")",1.4,Substitution
376,"('#le-chevalier', ""C'en est trop, donnez-moi tout à l'heure ce mémoire que je le déchire en présence de Madame."")","('#hector', 'Que les brillants sont gros ! Pour être plus content, Je vous amène encore un lénitif de bourse, Une usurière.')",1.14,Substitution
377,,"('#valere', 'Et qui ?')",1.0,Deletion
378,,"('#hector', 'Madame La Ressource.')",1.0,Deletion
379,"('#frontin', 'Je le veux voir absolument.')","('#valere', ""Hé ! Bonjour, mon enfant : tu ne peux concevoir Jusqu'où va dans mon coeur le plaisir de te voir."")",1.34,Substitution
380,"('#le-chevalier', 'Vous ne le verrez point, Madame, je connais votre coeur.')","('#madame-la-ressource', 'Je vous suis obligée on ne peut davantage.')",1.52,Substitution
381,"('#frontin', 'Nous craignons votre générosité.')","('#hector', ""Elle est jolie encor. Mais quel sombre équipage ! Vous voilà, sans mentir aussi noire qu'un four."")",1.58,Substitution
382,"('#le-chevalier', 'Écoutez, Frontin, si vous parlez seulement du mémoire, je vous chasserai comme un coquin.  Pardon, Madame, je suis au désespoir que vous vous soyez aperçue du sujet de mes chagrins, je me retire pour vous le cacher.')","('#valere', ""Ne vois-tu pas, Hector, que c'est un deuil de cour ?"")",1.27,Substitution
383,"('#frontin', ""Voilà l'humeur de mon maître, il ne sait ce que c'est que d'emprunter ; cependant il a des créanciers qui le persécutent ; cela l'obligerait, comme je vous ai dit, à précipiter son mariage avec Angélique, dont il n'est presque plus amoureux ; il ne l'a jamais aimée que superficiellement.  Entre nous, Madame, toute la solidité du coeur de ce jeune homme-là est pour vous, il le dit bien dans ses moments de prudence : je devrais, dit-il, me laisser entraîner au penchant vertueux que je me sens pour Madame_la_Comtesse."")","('#madame-la-ressource', ""Oh ! Monsieur, point du tout. Je suis une bourgeoise, Qui sais me mesurer justement à ma toise. J'en connais bien pourtant, qui ne me valent pas, Qui se font teindre en noir du haut jusques en bas : Mais pour moi je n'ai point cette sotte manie ; Et si mon pauvre époux était encore en vie... Elle pleure."")",0.71,Substitution
384,,"('#valere', 'Quoi ! Monsieur La Ressource est mort ?')",1.0,Deletion
385,,"('#madame-la-ressource', 'Subitement.')",1.0,Deletion
386,"('#la-comtesse', ""Quoi !  Il t'a parlé en ces termes !"")","('#hector', ""Subitement ? Hélas ! J'en suis fâché vraiment. Au fait. Bas à Valère."")",1.78,Substitution
387,"('#frontin', ""Tout au moins, madame, tout au moins ; oui, je crois qu'il reviendrait de son premier entêtement s'il avait le temps de se reconnaître ; or afin qu'il ait le temps de se reconnaître, mon avis serait que vous lui fissiez tenir adroitement l'argent nécessaire pour se reconnaître."")","('#valere', ""J'aurais besoin, Madame La Ressource, De mille écus."")",1.25,Substitution
388,,"('#madame-la-ressource', 'Monsieur, disposez de ma bourse.')",1.0,Deletion
389,"('#la-comtesse', ""Je t'ai déjà dit que je payerais moi-même."")","('#valere', 'Je fais, bien entendu, mon billet au porteur.')",1.17,Substitution
390,"('#frontin', ""Vous-même ; fi, ces dettes-là sont d'une espèce libertine, des dettes de garçons, une femme régulière ne doit point entrer dans un détail si déréglé."")","('#hector', ""Et je veux l'endosser."")",1.95,Substitution
391,"('#la-comtesse', 'Voyons le mémoire.')","('#madame-la-ressource', ""Avec les gens d'honneur On ne perd jamais rien."")",1.7,Substitution
392,"('#frontin', ""Lisons.  Mémoire déréglé des dettes envenimées de Monsieur le Chevalier.  Premièrement.  À Monsieur Frontin, Moi...  C'est moi.  Pour gages, profits et deniers prêtés à mon Maître dans ses mauvais jours.  500 livres.  Pour cet article-ci vous auriez raison de le payer par vos mains, de vous à moi sans détour ; aussi ma quittance est toute prête."")","('#valere', ""Je veux que tu le prennes. Nous faisons ici bas des routes incertaines ; Je pourrais bien mourir. Ce maraud m'avait dit Que sur des gages sûrs tu prêtais à crédit."")",0.76,Substitution
393,"('#la-comtesse', 'Nous verrons.')",,1.0,Insertion
394,"('#frontin', ""Plus, quatre-vingt Louis d'or neufs pour une partie de paume ébauchée : vous ne sauriez l'achever vous-même, Madame ; il faut qu'il mette argent sous corde, mais il vous rendra cela sous la Galerie ; je lui sers de second, nous avons quatre jeux à un, quarante-cinq à rien, une chasse au pied, et notre bisque à prendre ; vous gagnerez à coup sûr.  Plus, 200 livres à quatre-vingt treize Quidams pour nous avoir coiffé, chauffé, ganté, parfumé, rasé, médicamenté, voituré, porté, alimenté, désaltéré, etc.  Une Dame prudente ne doit point paraître dans des payements qui concernent l'entretien d'un joli homme.  Plus 600 livres pour des ratafias, eaux-de-vie, pitrepite, et autres liqueurs soldatesques que vous n'oseriez payer de peur d'être soupçonnée d'avoir aidé à la consommation d'icelles.  Il y a encore un article ; parole donnée pour cent pistoles d'honneur à mademoiselle Mimi, Lingère du Palais : vous verrez que c'est pour ses appointements ; mais vous devez ignorer, et payer la pauvre fille incognito par mon ministère si vous voulez."")","('#madame-la-ressource', ""Sur des gages, Monsieur ? C'est une médisance ; Je sais que ce serait blesser ma conscience. Pour des nantissements qui valent bien leur prix, De la vieille vaisselle au poinçon de Paris, Des diamants usés, et qu'on ne saurait vendre, Sans risquer mon honneur, je crois que j'en puis prendre."")",0.17,Substitution
395,,"('#valere', ""Je n'ai pour te donner, vaisselle ni bijoux."")",1.0,Deletion
396,,"('#hector', 'Oh ! Parbleu, nous marchons sans crainte des filous.')",1.0,Deletion
397,,"('#madame-la-ressource', ""Eh bien ! Nous attendrons, Monsieur, qu'il vous en vienne."")",1.0,Deletion
