,la-fontaine-daphne,quinault-persee,Cost,Operation Type
109,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#cassiope', ""Elle peut revenir, elle peut nous surprendre. Junon s'obstine à se venger ; Contre elle aucun des dieux n'a soin de nous défendre ; Mon seul espoir est d'engager Jupiter à nous protéger."")",0.56,Substitution
110,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
111,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
112,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#phinee', 'Je vous entends ; je sais quelle est votre espérance. Persée a beau vanter sa divine naissance, Après votre promesse, après la choix du roi, Andromède doit être à moi.')",0.47,Substitution
113,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")","('#cassiope', ""Le ciel punit mon crime ; il est inexorable. J'ai besoin de secours dans un mortel effroi."")",1.67,Substitution
114,,"('#phinee', ""Ah ! si le ciel est équitable,  Vous trouverait-il moins coupable Si vous m'aviez manqué de foi ?"")",1.0,Deletion
115,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#merope', ""Il est aimé de ce qu'il aime ; Vous avec approuvé ses voeux : Briserez-vous des noeuds Que vous avez formés vous-même ? Que le désespoir est affreux Pour un amour extrême, Qui s'était flatté d'être heureux !"")",0.61,Substitution
116,,"('#phinee #merope', 'Briserez-vous des noeuds Que vous avez formés vous-même ?')",1.0,Deletion
117,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")","('#phinee', ""Seigneur, vous m'avez destiné À l'hymen fortuné De l'aimable Andromède. A l'amour de Persée on veut que je la cède ; M'ôterez-vous un bien que vous m'avez donné ?"")",0.87,Substitution
118,"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")","('#cephee', 'Au fils de Jupiter on peut céder sans honte.')",1.45,Substitution
119,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")","('#phinee', ""Et croyez-vous aussi la fable qu'il raconte ? Croyez-vous qu'un dieu souverain, Qui sur tout l'univers préside, Se laisse par l'amour changer en or liquide Pour entrer en secret dans une tour d'airain ? Par ce prodige imaginaire, Persée est révéré du crédule vulgaire : Il se dit fils du dieu dont le ciel suit la loi ; Mais je ne prétends pas l'en croire sur sa foi."")",0.48,Substitution
120,"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")","('#cephee', ""Votre incrédulité n'aura donc plus d'excuse, Mon frère ; sa valeur va vous ouvrir les yeux. Reconnaissez le fils du plus puissant des dieux : Il offre de couper le tête de Méduse."")",0.98,Substitution
121,,"('#merope #cassiope #phinee', 'La tête de Méduse ! Ô cieux !')",1.0,Deletion
122,,"('#cephee', ""Ma fille est le prix qu'il demande."")",1.0,Deletion
123,,"('#cassiope #cephee', 'Quel prix peut trop payer cet effort glorieux ?')",1.0,Deletion
124,"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')","('#phinee', ""Le succès n'est pas sûr, souffrez que je l'attends : Souffrez que cependant mon amour se défendre D'abandonner un bien si précieux ; Persée encor n'est pas victorieux. Il sort."")",0.5,Substitution
125,"('#fleuves', 'Commandez.')",,1.0,Insertion
126,"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")","('#cephee', ""L'espoir dans nos coeurs doit renaître... Dieux, que Junon engage à servir son courroux, Dieux irrités, apaisez-vous ! La vengeance du ciel n'a que trop au paraître. Le fils de Jupiter veut combattre pour nous : Ô ciel ! favorisez le fils de votre maître. Il répètent tous les trois ensemble les deux derniers vers, et puis Cépéhe et Cassiope s'en vont."")",0.16,Substitution
127,"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")","('#merope', ""Hélas ! Il va périr ! Dois-je en trembler ? Pourquoi Pour l'amant d'Andromède ai-je pris tant d'effroi ? Faut-il que mon dépit s'oublie ? Quel intérêt ai-je à sa vie ? Il vivrait pour une autre, il est perdu pour moi... Cependant quand je songe à son péril extrême, Quand je le vois chercher un horrible trépas, Sans songer qu'il ne m'aime pas, Je sens seulement que je l'aime."")",1.28,Substitution
128,"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')","('#andromede', ""Infortunés, qu'un monstre affreux A changés en rochers par ses regards terribles, Vous ne ressentez plus vos destins rigoureux, Et vos coeurs endurcis sont pour jamais paisibles. Hélas ! les coeurs sensibles Sont mille fois plus malheureux."")",0.71,Substitution
129,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')","('#merope', ""Andromède semble interdite ;  Elle vient rêver en ces lieux : Ah ! je reconnais dans ses yeux Le même trouble qui m'agite."")",0.91,Substitution
130,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",,1.0,Insertion
131,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")","('#andromede', ""Il ne m'aime que trop, et tout me sollicite De l'aimer à mon tour ; C'est du plus grand des dieux qu'il a reçu le jour. Dans nos périls mortels l'amour le précipite : Le moyen de tenir contre tant de mérite, Et contre tant d'amour ?"")",0.93,Substitution
132,"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")","('#merope', ""Ah ! Vous aimez Persée ; il cause vos alarmes ; N'en désavouez point vos larmes : Vos tendres sentiments se sont trop exprimés. Vous l'aimez."")",0.74,Substitution
133,"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")","('#andromede', ""Vous l'aimez. L'espoir de son hymen avait charmé votre âme, Et je sais les projet que vous aviez formés : Je vois que le dépit n'éteint pas votre flamme ; Persée est en péril, et vous vous alarmez. Vous l'aimez."")",0.47,Substitution
134,"('#daphne', 'Ah, Clymène ! Plains-moi.')",,1.0,Insertion
135,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')","('#merope', ""Vous l'aimez."")",1.34,Substitution
136,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")","('#andromede #merope', ""Ah ! Qu'un tendre coeur est à plaindre D'être réduit à feindre ! Quel tourment ne fait point souffrir Un malheureux amour que l'on ne peut éteindre, Et que l'on n'ose découvrir ? Ah ! qu'un tendre coeur est à plaindre D'être réduit à feindre !"")",0.79,Substitution
137,"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")","('#merope', ""Il est vrai, le dépit veut en vain m'animer ; Je sens que la pitié désarme ma colère. Persée est un ingrat qui ne me peut aimer ; Il n'a pas laissé de me plaire. Il vous a trop aimée, hélas ! Comment ne l'aimeriez-vous pas ?"")",0.81,Substitution
138,"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")","('#andromede', ""L'amour qu'il a pour moi l'engage À chercher à se perdre avec empressement : Ne me reprochez point ce funeste avantage ; Je le paierai bien chèrement."")",0.98,Substitution
139,"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",,1.0,Insertion
140,"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')","('#merope', ""Unissons nos regrets, le même amour nous lie. Qu'importe à qui de nous Persée offre ses voeux ! Nous allons perdre toutes deux ; Son péril nous réconcilie."")",1.41,Substitution
141,"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")","('#andromede #merope', ""Ce héros s'expose pour nous : Sa perte est infaillible, Ah ! Qu'il vive, s'il est possible, Quand il vivrait pour vous."")",0.71,Substitution
142,"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")","('#andromede', 'Il faut que mon amour se cache et de trahisse... Ô ciel ! Il va parti ! Il me chercher en ces lieux.')",0.2,Substitution
143,,"('#merope', ""Je veux m'épargner le supplice D'être témoin de vos adieux. Elle sort."")",1.0,Deletion
144,"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")","('#cephee', 'Belle princesse, enfin vous souffrez ma présence.')",1.38,Substitution
145,"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")","('#andromede', ""Seigneur, on me l'ordonne, et je suis mon devoir."")",0.88,Substitution
146,"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")","('#cephee', ""Vous voulez me faire savoir Que je ne dois ce bien qu'à votre obéissance. N'importe, rien ne peut ébranler ma constance. J'ai su jusqu'à ce jour vous aimer sans espoir. Je vais avec plaisir prendre notre défense, Quand j'aurais pour récompense Que la seule douceur que je sens à vous voir."")",0.51,Substitution
147,"('#tharsis', 'Je vous verrai.')",,1.0,Insertion
148,"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")","('#andromede', ""Non, ne vous flattez pas ; je peux ne vous rien taire : Vous m'aimez vainement ; Phinée a su ma plaire ; Il est choisi pour être mon époux ; Nos deux coeurs sont unis ; quel prix espérez-vous D'une entreprise dangereuse ? Quand nous seriez dangereuse ? Quand vous seriez vainqueur, votre âme est généreuse, Et vous ne voudrez pas rompre des noeuds si doux."")",0.6,Substitution
149,"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")","('#cephee', 'Je serai malheureux, désespéré, jaloux ; Mais je mourrai content si vous vivez heureuse.')",0.61,Substitution
150,,"('#andromede', 'Ô dieux !')",1.0,Deletion
151,"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")","('#cephee', 'De mes regards vos beaux yeux sont blessés ; Vous souffrez à me voir, mon amour vous outrage. Je vais chercher Méduse, et je vous aime assez Pour ne vous pas contraindre à souffrir davantage.')",0.0,Match
152,"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')","('#andromede', 'Quoi ! pour jamais vous me quittez ! Persée, arrêtez, arrêtez.')",0.9,Substitution
153,"('#telamon', 'Ceci vous trouble et vous étonne.')","('#cephee', ""Qu'entends-je ? Ô cieux : belle princesse ! Que vois-je ? vous versez des pleurs !"")",1.8,Substitution
154,"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")","('#andromede', ""Ah ! par l'excès de mes douleurs Connaissez, s'il se peut, l'excès de ma tendresse. Voyez à quoi j'avais recours Pour vous ôter l'ardeur qui vous fait entreprendre Un combat funeste à vos jours. Hélas ! que l'ai-je pu me rendre Indigne de votre secours ? Que n'êtes-vous magnanime ? Méduse d'un regard porte un trépas certain."")",0.27,Substitution
155,,"('#cephee', 'Vous pourriez être sa victime.')",1.0,Deletion
156,,"('#andromede', ""Tout l'effort des mortels contre elle serait vain."")",1.0,Deletion
157,"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")","('#cephee', ""Le fils de Jupiter, lorsque l'amour l'anime, Doit aller au delà de tout l'effort humain."")",1.08,Substitution
158,"('#tharsis', 'Tu ris.')","('#andromede', ""Par les frayeurs d'un amour tendre Ne serez-vous point désarmé ?"")",1.63,Substitution
159,"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")","('#cephee', ""J'ignorais votre amour, et j'aillais vous défendre ; Puis-je à vous secourir être moins animé, Quand je sais que je suis aimé ?"")",0.22,Substitution
160,,"('#andromede', 'Quoi ! vous partez ?')",1.0,Deletion
161,"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")","('#cephee', ""L'amour m'appelle."")",1.77,Substitution
162,"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")","('#andromede', 'Vous méprisez mes pleurs ! Mes cris sont superflus !')",0.86,Substitution
163,"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",,1.0,Insertion
164,"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")","('#cephee', ""Vous me verrez comblé d'une gloire immortelle."")",1.28,Substitution
165,"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')","('#andromede', 'Hélas ! nous ne vous verrons plus !')",1.83,Substitution
166,"('#le-choeur', 'Parmi les plaisirs et les jeux.')",,1.0,Insertion
167,"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')","('#persee #andromede', ""Ah ! Le péril est extrême ! Je vois votre danger, je ne vois pas le mien.. Dieux ! sauvez ce que j'aime ! Et pour moi-même Je ne demande rien. Dieux ! sauvez ce que j'aime ! Andromède sort."")",1.04,Substitution
168,,"('#mercure', ""Persée, où courez-vous ? qu'allez-vous entreprendre ?"")",1.0,Deletion
169,"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")","('#cephee', ""Un peuple infortuné m'engage à le défendre ; C'est à la gloire que je cours. Si je meurs, mon trépas sera digne d'envie ; Je laisse le soin de mes jours Au dieu qui m'a donné la vie."")",1.03,Substitution
170,"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")","('#mercure', ""Ce dieux juste et puissant favorise vos voeux, Et c'est par ma voix qu'il s'explique : Il reconnaît son sang à l'effort généreux Que vous allez tenter, d'une ardeur héroïque,  Pour secourir des malheureux ; Mais ce n'est point en téméraire Qu'il faut dans le péril précipiter vos pas. L'assistance des dieux vous sera nécessaire : Ils veulent vous l'offrir, ne le négligez pas. Je viens d'apprendre à toute la nature Que Jupiter s'intéresse à vos jours : La jalouse Junon vainement en murmure, Et tout, jusqu'aux enfers, vous promet du secours."")",0.27,Substitution
171,"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",,1.0,Insertion
172,"('#penee', 'Laissez-nous achever cette cérémonie.')",,1.0,Insertion
173,"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")","('#un-des-cyclopes', ""C'est pour vous que Vulcain, de ses mains immortelles ; A forgé cette épée et préparé ces ailes. Hâtez-vous de vous signaler Par une célèbre victoire : Chacun doit aller à la gloire ; Mais un héros y doit voler."")",0.47,Substitution
174,"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")","('#une-nymphe-guerriere', ""Le plus vaillant guerrier s'abuse D'oser tout espérer de l'effort de son bras. Si vous voulez vaincre Méduse, Portez le bouclier de la sage Pallas. Que la valeur et la prudence, Quand elles sont d'intelligence, Achèvent d'exploits glorieux ! Le monstre le plus furieux Leur fait vainement résistance. La paix ne peut régner que par leur assistance ; L'univers leur doit son bonheur. Rien ne peux mieux donner un immortel honneur Que la valeur et la prudence, Quand elles sont d'intelligence."")",0.29,Substitution
175,"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",,1.0,Insertion
176,"('#clymene', ""On me l'a dit cent fois."")",,1.0,Insertion
177,"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")","('#une-divinite-infernale', ""Ce casque vous est présenté Au nom du souverain de l'empire des Ombres. Au milieu du péril, pour votre sûreté, Il répandra sur vous l'épaisse obscurité Qui règne en nos demeures sombres. Ce don mystérieux doit apprendre aux humains Comme on peut s'assurer d'un succès favorable : Il faut cacher de grands desseins Sous un secret impénétrable."")",0.68,Substitution
178,"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")","('#mercure #choeurs-de-cyclopes #nymphes-guerrieres #divinites-infernales', ""Que l'enfer, la terre et les cieux, Votre généreuse entreprise ! Que l'enfer, la terre et les cieux, Que tout l'univers favorise Le fils du plus puissant des lieux !"")",1.76,Substitution
179,"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")","('#mercure', ""Votre conduite à mes soins est commise. L'impatience éclate dans vos yeux ; La gloire qui vous est promise Ne peut plus souffrir de remise. Suivez-moi ; partons de ces lieux. Mercure et Persée s'envolent."")",0.36,Substitution
180,,"('#les-choeurs', ""Que l'enfer, la terre et les cieux, etc."")",1.0,Deletion
181,"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")","('#meduse', ""J'ai perdu la beauté qui me rendit si vaine : Je n'ai plus ces cheveux si beaux Dont autrefois le dieu des eaux Sentit lier son coeur d'une si douce chaîne. Pallas, la barbare Pallas, Fut jalouse de mes appas, Et me rendit affreuse autant que j'étais belle ; Mais l'excès étonnant de la difformité Dont me punit sa cruauté, Fera connaître, en dépit d'elle, Quel fut l'excès de ma beauté. Je ne puis trop montrer sa vengeance cruelle ; Ma tête est fière encor d'avoir pour ornement Des serpents dont le sifflement Excite une frayeur mortelle. Je porte l'épouvante et la mort en tous lieux ; Tout se change en rocher à mon aspect horrible : Les traits que Jupiter lance du haut des cieux N'ont rien de si terrible Qu'un regard de mes yeux. Les plus grands dieux du ciel, de la terre et de l'onde, Du soin de se venger se reposent sur moi : Si je perds la douceur d'être l'amour du monde, J'ai le plaisir nouveau d'en devenir l'effroi."")",0.25,Substitution
182,"('#telamon', ""N'en saurai-je pas plus ?"")",,1.0,Insertion
183,"('#clymene', ""Je n'ai rien appris d'elle."")",,1.0,Insertion
184,"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")","('#meduse #euryale #stenone', ""Ô le doux emploi, pour la rage, De causer un affreux ravage. Heureuse la fureur Qui remplit l'univers d'horreur ! Dans ce triste séjour qui peut nous faire entendre Le doux bruit qui nous vient surprendre ? Jamais ici mortel avec impunité Ne porta sa vue indiscrète. Quels concerts ! quelle nouveauté ! Qui peut chercher l'horreur secrète De notre fatale retraite... ? C'est Mercure qui vient dans cet antre écarté. Les trois Gorgones entendent un doux concert."")",0.64,Substitution
185,"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')","('#meduse', ""Mon terrible secours vous est-il nécessaire ? De superbes mortels osent-ils vous déplaire ? Faut-il vous en venger ? Faut-il armer contre eux Le funeste courroux de mes serpents affreux ? Où faut-il que ma fureur vole ? Vous n'avez qu'à nommer l'empire malheureux Que vous voulez que je désole."")",1.37,Substitution
186,"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")","('#mercure', ""C'est toujours mon plus cher désir De voir tout l'univers dans une paix profonde. Ne vous lassez-vous point du barbare plaisir De troubler le repos du monde !"")",0.32,Substitution
187,"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')","('#meduse', ""Puis-je causer jamais des malheurs assez grands Au gré de la fureur qui de mon coeur s'empare ? C'est des dieux que j'apprends À devenir barbare."")",1.54,Substitution
188,"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")","('#mercure', ""Il est vrai qu'un fatal courroux A trop éclaté contre vous ; Vous n'avez eu que trop de charmes. Sans Pallas, sans ses rigueurs, Vous n'auriez troublé les coeurs Que par de douces alarmes."")",0.37,Substitution
189,"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")","('#meduse', ""Que sert-il de m'entretenir D'un bien trop tôt passé, qui ne peut revenir ? Je n'en ressens que trop la perte irréparable ! Ah ! quand on se trouve effroyable, Que c'est un cruel souvenir De songer que l'on fut aimable !"")",1.13,Substitution
190,"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")","('#mercure', ""Je ne puis, dans votre malheur, Vous offrir qu'un sommeil paisible."")",0.92,Substitution
191,,"('#meduse', 'Avec une vive douleur Le repos est incompatible.')",1.0,Deletion
192,"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")","('#mercure', ""Ô tranquille sommeil, que vous êtes charmant ! Que vous faites sentir un doux enchantement Dans la plus triste solitude ! Votre divin pouvoir calme l'inquiétude Vous savez adoucir le plus cruel tourment. Ô tranquille sommeil, que vous êtes charmant ! Jouissez du repos dans ce lieux solitaire. Aux Gorgornes."")",0.55,Substitution
