,barante-arlequin-misanthrope,biancollelli-foire-galante,Cost,Operation Type
147,"('#monsieur-disanvray', 'Comment donc ?')",,1.0,Insertion
148,"('#arlequin', ""C'est que de mon temps il leur était défendu de travailler de la besogne neuve, et ils ne s'occupaient qu'à rajuster ce qui avait été fait par les autres."")",,1.0,Insertion
149,"('#monsieur-disanvray', ""C'est donc toujours de même.  Car quand vous allez acheter des Livres, vous entendez annoncer comme dans une friperie : Monsieur, une petite pensée d'Horace bien proprement retournée.  Monsieur, une Satire de Juvénal doublée de neuf.  Une Comédie de Térence à grandes manches et grosses boutonnières.  Des Dialogues de rencontre.  Les Oraisons de Cicéron à la pièce."")",,1.0,Insertion
150,"('#arlequin', ""De sorte qu'il ne paraît plus de nouveautés ?"")",,1.0,Insertion
151,"('#monsieur-disanvray', ""Bon !  On n'en a jamais tant vu.  La rage possède les Auteurs pour imprimer ; et si le grand flegme et la retenue du Public qui n'achète plus rien ne modéraient ce grand feu, il n'y aurait pas assez de papier en France.  Tel qui n'a pas seulement apprit à lire, fait des Poèmes Dramatiques en Vers et en cinq Actes, qu'on joue cinq fois la semaine.  Voilà la liste des Livres qui furent affichés mardi passé."")","('#arlequin', 'À la foire, Vénus Étalant sa boutique Crèvera de pratique. Ses appas sont connus, Les cafés sont perdus.')",0.83,Substitution
152,"('#arlequin', 'Relation véritable et remarquable de la sanglante défaite des Anciens par les Modernes, avec la liste des morts et des blessés.  À la fin, ces maroufles ont donc été battus ?')",,1.0,Insertion
153,"('#monsieur-disanvray', ""Et comme il faut.  Il n'y en a pas un qui n'ait quelque vilain coup qui le défigure."")",,1.0,Insertion
154,"('#arlequin', ""C'est donc par derrière, car nos braves Modernes ne regardent pas face à face ces poltrons-là.  Topographie exacte du visage d'une femme, ou l'art d'y placer les mouches régulièrement ; avec une dissertation sur les différentes manières de rire de bonne grâce.  Le tout composé par un jeune Abbé de qualité."")","('#pierrot', ""La belle Vénus ne vient pas Trafiquer ses appas. Elle ne paraît en ces lieux Que pour plaire à nos yeux. Air : Tu n'as pas le pouvoir Bis. Bis."")",1.13,Substitution
155,"('#monsieur-disanvray', ""Oh, nos jeunes Abbés se distinguent par l'érudition."")",,1.0,Insertion
156,"('#arlequin', ""L'Art d'aimer, réduit en abrégé par un Ancien Fermier Général.  Ouvrage enrichi de plusieurs médailles d'or."")",,1.0,Insertion
157,"('#monsieur-disanvray', 'Celui-là est fort rare.  On en trouve presque plus de la bonne édition.')",,1.0,Insertion
158,"('#arlequin', ""Projet d'un Dictionnaire de Mine.  Ouvrage fort utile aux lorgneurs, pour l'intelligence des grimaces des Coquettes."")",,1.0,Insertion
159,"('#monsieur-disanvray', 'Celui-là ne sera pas dur à la vente.')",,1.0,Insertion
160,"('#arlequin', ""Traduction des Instituts de Justinien en langue vulgaire, pour le soulagement des Magistrats qui n'entendent pas le latin.  Je réponds du débit de celui-là."")",,1.0,Insertion
161,"('#monsieur-disanvray', ""Il enrichira l'Imprimeur, si tous ceux qui en ont besoin en achètent un exemplaire."")",,1.0,Insertion
162,"('#arlequin', ""Monsieur Disanvray, voilà de nouveaux visages qui me viennent ; laissez-moi un moment, je vais vous rejoindre tout à l'heure."")",,1.0,Insertion
163,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
164,"('#arlequin', 'Sans compliment.')",,1.0,Insertion
165,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
166,"('#arlequin', 'Hé, sans façon.')",,1.0,Insertion
167,"('#le-docteur', 'Monsieur...')",,1.0,Insertion
168,"('#arlequin', 'Sans cérémonie, ou je vous plante-là.')",,1.0,Insertion
169,"('#le-docteur', ""Monsieur, la haute réputation que vous avez dans le monde, et l'estime générale que vous vous êtes acquise..."")",,1.0,Insertion
170,"('#arlequin', ""Moi, de l'estime ?  Si je croyais être bien dans l'esprit de quelqu'un des hommes d'aujourd'hui, je m'irais pendre tout à l'heure."")",,1.0,Insertion
171,"('#le-docteur', 'Mais, Monsieur...')",,1.0,Insertion
172,"('#arlequin', ""Oui, je veux que les hommes me haïssent, me méprisent, et me regardent à peu près du même oeil que je les vois.  De l'estime ?  Je voudrais bien voir quelqu'un m'estimer !  Je les y attends !"")",,1.0,Insertion
173,"('#le-docteur', 'Mais, souffrez que je vous dise...')","('#arlequin', ""Pierrot, ne vous fâchez pas tant, Parlez plus doucement. En fait d'amour, gardez-vous bien De répondre de rien. Bis. Bis."")",0.85,Substitution
174,"('#arlequin', ""Souffrez que je vous dise moi, que le caractère du peu de mérite, est d'être estimé des hommes d'aujourd'hui, et que la vraie marque qu'on vaut quelque chose, est d'en être méprisé.  Je veux qu'ils me méprisent, entendez-vous ?"")",,1.0,Insertion
175,"('#le-docteur', 'Soit.')",,1.0,Insertion
176,"('#arlequin', 'Sans préambule de quoi est-il question ?')",,1.0,Insertion
177,"('#le-docteur', ""Monsieur, comme vous savez qu'on ne fait plus rien dans les Provinces, et que Paris est le seul Théâtre où l'on peut paraître un peu à l'avantage, je vais m'y établir avec ma famille, et je n'ai pas voulu passer par ces lieux, sans voir un Philosophe qui fait autant de bruit que vous, Monsieur."")",,1.0,Insertion
178,"('#arlequin', 'Vous auriez pu retrancher plus de la moiti »é de votre longue période, aussi bien que les fréquents, Monsieur, dont vous entrelardez vos longues phrases ?  Mais qui êtes-vous pour aller à Paris avec tant de confiance ?')",,1.0,Insertion
179,"('#le-docteur', 'Je suis, Monsieur, un homme de lettres, dont le nom fait du bruit parmi les savants.')",,1.0,Insertion
180,"('#arlequin', ""Je m'en suis douté en vous voyant si jargonneur.  Vous allez donc à Paris faire fortune, vous courez après quelque établissement considérable ?"")",,1.0,Insertion
181,"('#le-docteur', ""Je ne suis guère embarrassé là-dessus.  J'ai deux ou trois Ouvrages fins, prêts à mettre sous la Presse, et je ne serai pas plutôt arrivé à Paris, que les Libraires de ce pays-là, qui sont connaisseurs, riches et honnêtes gens, viendront au devant de moi m'offrir tout ce que je voudrai de mes Livres."")","('#pierrot', ""Pour me brouiller avec Vénus J'ai trop bon naturel. Je ne puis souffrir sans chagrin Qu'on en dise du mal. Bis. Bis."")",0.93,Substitution
182,"('#arlequin', 'Ah, ah les Libraires connaisseurs, riches et honnêtes gens.  Cet homme-là connaît la Librairie !')",,1.0,Insertion
183,"('#le-docteur', ""Et la jeunesse de la Cour, qui est généreuse et délicate, sera ravie de m'avoir, et l'argent pleuvra chez moi, Dieu sait !"")","('#arlequin', ""Ah ! si l'amour Conduit chaque jour Bien du monde à la foire, À leurs dépens Nous aurons de boire, Et nous serons contents."")",0.61,Substitution
184,"('#arlequin', 'Oui, oui, la jeunesse de la Cour généreuse et délicate ?  Ah, que voilà un homme bien instruit !')","('#pierrot', 'Quoi, tu ne parles que de boire ! Pour moi, je mourrai de souci Si les ongles du mariage Ne grattent ma démangeaison. Air : Réveillez-vous, [belle endormie]')",1.18,Substitution
185,"('#le-docteur', 'Outre cela, comme je sais de bien des sortes de choses, et que les Magistrats sont curieux, appliqués et bienfaisants, ce sera un plaisir de voir comme je serai couru.')","('#arlequin', ""Avant de me mettre en ménage, Si je pousse quelques soupirs, Je veux que l'objet qui m'engage Accorde tout à mes désirs, Et sans cela, je me retire, tan la rara, etc."")",0.63,Substitution
186,"('#arlequin', ""Les jeunes Magistrats appliqués, bienfaisants !  Il connaît aussi bien la Robe que l'Épée.  Hé, mon ami, quand vous serez à Paris, que les choses vous paraîtront différentes de ce que vous les avez vues de votre Province !  Les fortunes des gens de Lettres sont de belles perspectives, qui ne brillent que de loin.  Mais qui sont ces gens-là !"")",,1.0,Insertion
187,"('#le-docteur', ""C'est ma famille, Monsieur, et j'ai encore un fils à Paris, qui est à ce qu'on m'a dit, dans un poste fort éclairant."")",,1.0,Insertion
188,"('#arlequin', 'Ce jeune garçon-là, est-il votre fils ?')",,1.0,Insertion
189,"('#le-docteur', 'Oui, Monsieur, mon cadet.')",,1.0,Insertion
190,"('#arlequin', 'Va-t-il aussi faire fortune ?')",,1.0,Insertion
191,"('#leandre', ""Je l'espère, Monsieur."")",,1.0,Insertion
192,"('#arlequin', 'Et comment cela, Monsieur ?')",,1.0,Insertion
193,"('#leandre', ""Monsieur, j'ai comme vous voyez un extérieur assez souffrable ; j'ai bien fait mes exercices ; je manie bien un cheval ; je danse passablement ; je sais un peu les langues étrangères, Monsieur."")",,1.0,Insertion
194,"('#arlequin', 'Et avec tout cela vous prétendez, Monsieur...')",,1.0,Insertion
195,"('#leandre', ""M'attacher à quelque grand Seigneur, qui m'avancera à l'Armée et prendra soin de ma fortune."")",,1.0,Insertion
196,"('#arlequin', 'Chimère, mon ami, chimère toute pure.  Si, fait comme vous voilà, vous parliez de vous faire Valet de Chambre, ou premier Laquais de quelque Vieille, passe.')","('#pierrot', ""Ne va pas si vite en besogne, Tu fais l'amour en étourdi. Il faut quelque temps battre en brèche Avant que de donner l'assaut. Air : Réveillez-vous, [belle endormie]"")",0.75,Substitution
197,"('#leandre', ""Hé, fi Monsieur, je n'ai pas l'esprit assez bas."")",,1.0,Insertion
198,"('#arlequin', ""À quel étage croyez-vous donc qu'il faille avoir l'esprit pour faire fortune ?  Mais dites-moi, cette grande fille est-elle votre soeur ?  Elle n'est pas mal bâtie."")",,1.0,Insertion
199,"('#leandre', 'Monsieur, elle danse bien, et a la voix assez jolie.')",,1.0,Insertion
200,"('#le-docteur', ""Je lui ai donné la meilleure éducation que j'ai pu.  Je voudrais la mettre auprès de quelque femme de qualité, qui après l'avoir gardée quelque temps chez elle, la mariât avantageusement."")",,1.0,Insertion
201,"('#arlequin', ""Cela n'est pas bien sûr.  On ne trouve presque plus d'épouseurs pour les filles qui sortent des grandes maisons."")",,1.0,Insertion
202,"('#le-docteur', 'Et pourquoi cela ?')",,1.0,Insertion
203,"('#arlequin', ""Mon_Dieu, c'est que les médisants jasent toujours, et qu'on ne saurait ôter de la tête de certaines gens, qu'une jolie fille qui rend les soins à Madame, reçoit souvent ceux de Monsieur.  Mais puisqu'elle chante, savez-vous ce qu'il en faudrait faire ?"")",,1.0,Insertion
204,"('#le-docteur', 'Et quoi ?')",,1.0,Insertion
205,"('#arlequin', ""La mettre à l'Opéra."")",,1.0,Insertion
206,"('#le-docteur', ""À l'Opéra ?"")",,1.0,Insertion
207,"('#arlequin', ""Oui, à l'Opéra ; si elle peut y être reçue, s'entend.  Car la presse y est diablement, depuis quelque temps.  On pourra toujours par faveur la faire recevoir surnuméraire."")","('#arlequin', ""Vas, tu n'as pas lu le grimoire, Tout tes avis sont superflus. Apprend, mon ami, qu'à la foire, Les marchés sont bientôt conclus, Jamais en vain l'on n'y soupire, tan la tare."")",0.82,Substitution
208,"('#le-docteur', 'Si vous vouliez, vous nous rendriez ce bon office.')",,1.0,Insertion
209,"('#arlequin', ""Attendez, que j'examine votre fille.  Dans le fonds, elle n'est pas propre à l'Opéra, elle n'a pas cet air ouvert...  Là...  Cette hardiesse...  Je ne sais même si elle se tirerait bien d'un Duo, et vous savez pourtant que c'est le Duo qui place une fille à l'Opéra."")",,1.0,Insertion
210,"('#le-docteur', 'De sorte que...')",,1.0,Insertion
211,"('#arlequin', ""De sorte que, si vous et votre famille n'avez pas de meilleure ressource, vous pouvez à coup sûr épargner les frais du voyage.  Croyez-moi, retournez-vous-en chez vous."")",,1.0,Insertion
212,"('#le-docteur', 'Nous resterions volontiers avec vous, si vous y consentiez.')",,1.0,Insertion
213,"('#arlequin', ""Oh, c'est une autre affaire ; un Solitaire craint d'être trop accompagné.  Scaramouche se met à pleurer."")",,1.0,Insertion
214,"('#arlequin', ""Hé, qu'as-tu donc, mon ami, qu'est-ce qui t'afflige ?  Parle, que veux-tu ?"")",,1.0,Insertion
215,"('#scaramouche', 'Ah, Monsieur, si tous ces bonnes gens qui ont du mérite, qui savent tant de choses, ne savent pas faire fortune à Paris, que ferai-je donc, moi ?')",,1.0,Insertion
216,"('#arlequin', 'Comment ?')",,1.0,Insertion
217,"('#scaramouche', ""Oui, qu'est-ce que je ferai, moi qui ne suis bon à rien, qui ne fais que de la bagatelle, qui ne sais que la bagatelle, et qui ne suis moi-même qu'une bagatelle."")",,1.0,Insertion
218,"('#arlequin', 'Tu sais la bagatelle ?')",,1.0,Insertion
219,"('#scaramouche', 'Oui.')",,1.0,Insertion
220,"('#arlequin', 'Tu fais la bagatelle ?')",,1.0,Insertion
221,"('#scaramouche', 'Hélas oui.')",,1.0,Insertion
222,"('#arlequin', ""Et tu es la bagatelle ?  Ah, mon cher, viens que je t'embrasse ; tu es né pour Paris, tu es né pour une grande fortune ?  Avec une si belle disposition, tu peux aspirer à tout.  La bagatelle ?  Ah !  Mon ami, si j'avais eu un noble penchant pour la bagatelle, je ne serais pas ici, je serais à Paris dans une fortune éclatante."")",,1.0,Insertion
223,"('#scaramouche', 'Quoi ?')",,1.0,Insertion
224,"('#arlequin', ""Pars hardiment, pars, vas, tu n'y sera pas plutôt, que tout le monde courra après toi."")",,1.0,Insertion
225,"('#scaramouche', 'Mais pourtant...')",,1.0,Insertion
226,"('#arlequin', ""C'est un pays où l'on ne respire que bagatelle, le sérieux y est marchandise de contrebande, et la bagatelle y est si universellement répandue, qu'on peut dire qu'à proprement parler, Paris n'est qu'une grande bagatelle."")",,1.0,Insertion
227,"('#scaramouche', 'Ainsi avec beaucoup de bagatelle je puis faire un peu de fortune ?')",,1.0,Insertion
228,"('#arlequin', ""Telle que tu voudras.  La bagatelle est aujourd'hui la porte des honneurs et des richesses.  L'un a épousé une vieille qui l'a rendu gros Seigneur pour avoir dit une bagatelle de bonne grâce ; celui-ci a donné dans l'oeil à une femme du premier rang pour avoir fait un saut périlleux d'un air robuste ; cet autre possède une Charge de Judicature qui ne lui coûte qu'un petit tour de poignet, dans une rafle de six amenées à propos ; et j'en connais un élevé à de grandes dignités qui n'a qu'une jolie femme pour tout mérite.  Compte en un mot, que je te réponds de ta fortune, et que je t'en prie de m'en mettre de moitié."")","('#venus', ""Faites-lui ressentir l'effet de ma puissance, Cupidon, punissez le faquin qui m'offense. Ah ! Cupidon, faites-moi grâce, Quoi ! vous visez droit à mon coeur ! Ma foi, j'en tiens, quoique l'on fasse, L'amour est toujours le vainqueur. Cupidon poursuit Arlequin, et après un jeu de théâtre, il lui décoche une flèche, après quoi Arlequin chante sur l'air Réveillez-vous. Les violons reprennent l'ouverture."")",0.57,Substitution
229,"('#scaramouche', ""Volontiers.  Voilà des bagatelles de ma façon. On ouvre, et on voit un grand Cabinet illuminé. Il est soutenu par quatre Mores vêtus de gaze d'or. Il y a dans chaque niche, des figures richement vêtues. Les Violons jouent une Chaconne. Quatre Biscayens dansent."")",,1.0,Insertion
230,"('#un-espagnol', ""Il ne faut qu'une bagatelle Pour être heureux ou malheureux ; Pour faire un infidèle De l'Amant le plus amoureux, Il ne faut qu'une bagatelle. Un autre Espagnol danse seul."")",,1.0,Insertion
231,"('#un-espagnol', ""Pour réduire une belle À bien payer nos feux ; Pour troubler la cervelle Du mari le moins soupçonneux, Il ne faut qu'une bagatelle."")","('#arlequin', ""Du dieu d'Amour, je ressens la puissance, Ce mirmidon m'a percé le gosier. Il m'a vaincu, malgré ma résistance. Mes intestins ne sont plus qu'un brasier. Savant docteur, soleil de médecine, Vous pouvez seul soulager mes tourments. Accordez-moi l'aimable Colombine, Que j'aime mieux que tous vos lavements. Je suis le modèle D'un parfait amant. Souffrez qu'à la belle, Je fasse un... tant la leri, un compliment. Air : Folies d'Espagne"")",0.78,Substitution
232,"('#une-espagnolette', ""Pour le faire riche ou gueux,  Pour rendre son nom fameux,  Par un croissant de bon modèle,  Il ne faut qu'une bagatelle. Le second Espagnol et l'Espagnolette dansent."")",,1.0,Insertion
233,"('#une-espagnolette', ""Sans un peu de bagatelle Tout le monde finirait. Qu'est-ce qu'on dirait ? Qu'est-ce qu'on ferait ? On craindrait une ruelle, On s'ennuierait, On s'enfuirait, Rien ne plairait Sans un peu de bagatelle. Les quatre Biscayens dansent."")",,1.0,Insertion
234,"('#une-espagnolette', ""Qui se marierait ? Qui nous voudrait ? Que servirait d'être belle ? On nous morguerait ; On s'en passerait Sans un peu de bagatelle. Les figures du Cabinet se détachent, et font une danse de postures."")",,1.0,Insertion
235,"('#la-comtesse', ""Oh ça, Monsieur, en deux mots comme en mille, qu'il se mette à la raison, ou je le quitte."")",,1.0,Insertion
236,"('#arlequin', 'Que veut-elle dire ?')",,1.0,Insertion
237,"('#la-comtesse', 'Oui, oui, je sais comme on se sépare.  À quelque Tribunal que nous plaidions, il y aura plus de la moitié de nos Juges qui seront de jeunes gens, et ces Messieurs-là rendent bonne justice aux femmes qui cherchent à rompre un noeud, auquel ils sont les premiers à donner de furieuses entorses.')",,1.0,Insertion
238,"('#arlequin', ""Mais, madame, parlez plus intelligiblement.  Je n'entends rien à tout ce galimatias de séparations, de jeunes Juges, d'entorses à la foi conjugale.  Que diantre veut dire tout cela."")",,1.0,Insertion
239,"('#le-chevalier', ""Quoi, Monsieur, vous ne comprenez pas que Madame a toutes les raisons du monde de se plaindre de Monsieur son Époux, qui la maintient dans une terre d'où il ne veut pas qu'elle parte sans son ordre ?"")",,1.0,Insertion
240,"('#arlequin', ""Il est vrai qu'il y a près de huit jours que votre mari vous a laissée ici."")",,1.0,Insertion
241,"('#la-comtesse', ""Hé bien, monsieur, huit jours ?  Comptez-vous huit jours pour rien ?  Savez-vous ce que c'est pour une jolie femme, d'être huit jours hors de Paris ?  Une femme comme moi hors de Paris, c'est un poisson hors de l'eau.  Entendez-vous, Monsieur, huit jours ?  Si je n'avais trouvé le Chevalier ici, que serais-je devenue ?"")",,1.0,Insertion
242,"('#le-chevalier', ""En vérité, Monsieur, une jeune Dame comme Madame_la_Comtesse, est-elle faite pour demeurer à la campagne ?  Tant d'appas doivent-ils demeurer cachés, ou n'être vus que par des gens qui ne leur rendent pas l'hommage que leur doivent toutes les personnes de bon goût ?"")",,1.0,Insertion
243,"('#arlequin', 'Hé, le godelureau !  Comme il fait le doucereux !  Depuis que les femmes affectent les airs cavaliers, les jeunes gens ont pris toutes les manières féminines.')",,1.0,Insertion
244,"('#le-chevalier', 'Mais, Monsieur, vous êtes homme judicieux, mettez la main sur la conscience, que voulez-vous que Madame fasse dans cette maudite Gentilhommière ?')",,1.0,Insertion
245,"('#arlequin', ""Qu'elle commence par vous en bannir ; et vive ensuite comme les autres femmes."")",,1.0,Insertion
246,"('#la-comtesse', ""Fort bien !  Vivre comme les autres femmes !  C'est parler d'or, si cela se pouvait."")",,1.0,Insertion
247,"('#arlequin', 'Et pourquoi non ?')",,1.0,Insertion
248,"('#le-chevalier', ""Puis-je, dites-moi, dans une solitude, me levant à midi, être jusqu'à deux heures à ma toilette, parmi mille nuances de justaucorps rouges et bleus qui me réjouiraient la vue ?"")",,1.0,Insertion
249,"('#arlequin', 'Vraiment, on sait bien que vous ne pourrez pas comme certaines femmes, destiner les différents jours de la semaine aux différentes professions, et donner le Lundi aux gens de Robe, le Mardi aux Abbés, le Mercredi aux Étrangers, et le reste de la semaine au public.')",,1.0,Insertion
250,"('#la-comtesse', ""Vous voyez donc bien, Monsieur, que Madame a raison, et que vous n'avez rien à répondre ?"")",,1.0,Insertion
251,"('#arlequin', ""Il est vrai, j'en suis sur la négative."")",,1.0,Insertion
252,"('#la-comtesse', ""Hé, que répondrait-il ?  Me fera-t-il comprendre que si je donne à jouer dans un vieux château qui menace ruine, et qui est à vingt lieues de Paris, j'aurai tous les jours vingt coupeurs aux quatre pistoles ?"")",,1.0,Insertion
253,"('#le-chevalier', ""Difficilement les rondes d'un seul hiver vous vaudraient ici de quoi faire la fortune d'un joli homme."")","('#le-docteur', 'Marinette autrefois faisait votre bonheur.')",1.02,Substitution
254,"('#la-comtesse', 'En vérité, madame la Comtesse raisonne comme un charme, et je vois bien que Monsieur ne saurait résister à la force de son raisonnement.')",,1.0,Insertion
255,"('#arlequin', ""Hé le petit butor !  Il ne sait pas que la raison n'a rien à faire dans le raisonnement des femmes."")",,1.0,Insertion
256,"('#la-comtesse', ""Dans un maudit pays comme celui-ci, a-t-on le moindre plaisir ?  Et celui de la promenade, tout innocent qu'il est, ne vous est-il pas interdit ?"")",,1.0,Insertion
257,"('#le-chevalier', 'Ho pour cela, Madame, on vous a donné de mauvais Mémoires, nous avons ici aux environs les plus belles promenades du monde.')",,1.0,Insertion
258,"('#la-comtesse', 'Hé fi !  De quoi me parlez-vous ?')","('#arlequin', ""Ciel ! Qu'entends-je ?"")",0.48,Substitution
259,"('#arlequin', 'Ne voyez-vous pas que Madame ne veut se promener que dans les rues de Paris ?')",,1.0,Insertion
260,"('#la-comtesse', ""Non.  Mais, vous n'avez ici ni Cours, ni Tuileries, ni Vincennes."")",,1.0,Insertion
261,"('#le-chevalier', 'Il est vrai.  Mais nous avons des promenades qui ne valent guère moins.')",,1.0,Insertion
262,"('#arlequin', ""Madame a raison.  Dans nos promenades on n'a pas le plaisir de contrôler.  Peut-on dire par exemple, voilà une telle qui est dans le carrosse de son amant.  Cette maigre échine qui est dans le fond leur sert de commode.  Mon_Dieu, que Célimène est mal coiffée aujourd'hui !  Ne se corrigera-t-elle jamais de mettre si peu de rouge sur deux doigts de blanc ?  Votre grand Président ne veut-il pas avoir un autre équipage ?  Je crois qu'il a acheté le sien à la vallée de la Misère !  Non, il n'y a point de Carrosse de remise qui ne donnât quinze et bisque à ce vilain fiacre-là."")",,1.0,Insertion
263,"('#la-comtesse', ""Ce sont toutes ces gentillesses qui font l'âme de la conversation du Cours et des Tuileries."")",,1.0,Insertion
264,"('#le-chevalier', ""Madame dit cela d'un air malicieux qui enchante."")",,1.0,Insertion
265,"('#la-comtesse', 'Oh point, on a tous les torts du monde de dire que je suis médisante, je suis la meilleure pâte de femme qui fut jamais.')",,1.0,Insertion
266,"('#arlequin', ""La bonne pâte de femme !  On n'y a pas épargné la farine et le levain."")",,1.0,Insertion
267,"('#la-comtesse', ""Enfin, monsieur, pour trancher court, je suis venue vous prier d'écrire à mon mari, que s'il ne me retire au plutôt d'ici, je m'en retirerai moi-même ; qu'il prenne ses mesures là-dessus.  Allons Chevalier, allons."")","('#le-docteur', 'Après avoir donné son coeur, Doit-on devenir infidèle ?')",1.72,Substitution
268,"('#arlequin', ""L'extravagante créature !  Mais quel est cet homme-là ?"")",,1.0,Insertion
269,"('#octave', ""Monsieur, vous êtes un homme illustre, au-dedans, je suis un homme illustre au dehors.  Vous faites le Sage quand il vous plaît, et je ne fais le fou que quand je veux.  Vous vous cachez, et l'on vous suit.  Je m'expose en public, et l'on ne me suit pas autant que je voudrais : enfin, Monsieur, vous êtes philosophe, et je suis comédien ?"")",,1.0,Insertion
270,"('#arlequin', ""Ah, Comédien ?  Je ne m'étonne plus s'il est gaillard.  Hé, bien Monsieur, que cherche ici votre personne Comique ?"")",,1.0,Insertion
271,"('#octave', ""Hé, Monsieur, dès que je suis comédien, je cherche de l'argent, du plaisir et de la gloire."")",,1.0,Insertion
272,"('#arlequin', ""Il n'y a guère ici de tout cela."")",,1.0,Insertion
273,"('#octave', ""Monsieur, nous ne faisons plus rien dans les grandes Villes.  Le public ne court plus après nous, nous avons songé dans notre Compagnie que la nouveauté de voir des Comédiens dans un désert nous ferait suivre par une multitude qui ne s'étonnait pas de nous voir bien solitaires dans une Ville."")",,1.0,Insertion
274,"('#arlequin', 'Mais savez-vous que cela est bien pensé ?  Moi qui ai souvent vu avec chagrin, la Comédie bien solitaire à Paris, je sens que je serais ravi de la voir bien fréquentée dans un désert.')",,1.0,Insertion
275,"('#octave', ""Cela ne peut pas manquer pour peu que vous soyez de la partie.  Tous les grands hommes sont d'excellents Comédiens, et on ne se distingue qu'à mesure qu'on joue mieux son personnage."")",,1.0,Insertion
276,"('#arlequin', ""Hé comment !  Ceci est rare.  On disait que les gens de plaisir n'avaient bien de l'esprit que le verre à la main, et celui-ci raisonne de sang froid."")",,1.0,Insertion
277,"('#octave', ""Monsieur, je m'ouvre à vous.  Les gens de ma profession ont besoin d'un peu de solitude pour se connaître.  Nous faisons si souvent les Princes et les Rois, que nous sommes comme ces menteurs de profession, qui à force d'en imposer, se trompe eux-mêmes, et prennent leurs impostures pour des vérités."")","('#arlequin', 'Par rapport à ses yeux charmants, Et son air peu sévère,bis À mes premiers engagements, Je deviendrai contraire. Aussi prompt à trahir mes serments, Que je fus à les faire.bis Air : Fanatiques')",0.59,Substitution
278,"('#arlequin', 'Vous êtes riche dans vos comparaisons.')",,1.0,Insertion
279,"('#octave', ""Je vous avoue donc, Monsieur, qu'en mon particulier, je ne saurais vivre dans une grande Ville sans y faire le Prince."")",,1.0,Insertion
280,"('#arlequin', 'Ah, ah, ceci est plaisant.  Le Prince de Colombine serait-il Prince de sang de ce souverain-ci.  Mais elle vient.')","('#colombine', 'Arlequin, tu peux te flatter De plaire à Colombine.')",0.81,Substitution
281,"('#octave', ""Ciel !  Qu'est-ce que je vois ?  Colombine en ce désert !  Elle me surprend après que je me suis découvert."")",,1.0,Insertion
282,"('#arlequin', 'Bonjour, la belle affligée.  Venez, levez les yeux.  Je vous présente ici un Prince qui pourra vous donner des nouvelles de celui que vous cherchez.')",,1.0,Insertion
283,"('#colombine', 'Ô Dieux !  Octave...')",,1.0,Insertion
284,"('#arlequin', ""Elle s'évanouit ?  Quoi entre mes bras ?  Adieu ma Philosophie."")",,1.0,Insertion
285,"('#octave', 'Tout mon amour se rallume.')",,1.0,Insertion
286,"('#arlequin', ""Que veut dire ceci ?  C'est tout de bon, je crois.  Allons donc, réveillez-vous, voici votre Prince.  Il n'y a pas de meilleur antidote que le retour d'un Amant, pour ranimer une Belle évanouie."")",,1.0,Insertion
287,"('#octave', 'Souffrez, Monsieur...')",,1.0,Insertion
288,"('#arlequin', 'Je ne souffre rien.')",,1.0,Insertion
289,"('#octave', 'Mais, encore...')",,1.0,Insertion
290,"('#arlequin', ""Mais retirez-vous de là, vous dis-je. Octave veut secourir Colombine, Arlequin l'en empêche et emmène Colombine. Octave reste fort embarrassé. Le Docteur vient, qui le reconnaît pour son fils. Octave feint de ne pas le reconnaître et s'échappe. Le Docteur le suit. Après cette Scène, qui est toute en Italien, Arlequin revient sur le Théâtre."")","('#le-docteur', ""Quoi ! Vous osez vous en vanter, Madame la coquine. Hors d'ici, je saurai tricoter Comme il faut votre échine. Bis. Le Docteur poursuit Colombine, ce qui donne lieu à un jeu de théâtre avec Arlequin qui veut empêcher le Docteur de la maltraiter. Arlequin se retire."")",0.12,Substitution
291,"('#arlequin', ""Notre évanouie est enfin revenue, et je comprends bien qu'elle pourrait faire le bonheur de quelqu'un qui vaudrait mieux que son Prince comique.  Mais à qui en veut Pierrot ?"")","('#le-docteur', ""Le soin que je prends de son sort Me fera troubler la cervelle. Arlequin croit triompher d'elle, Mais le coquin se trompe fort. Le Docteur s'en va."")",0.77,Substitution
292,"('#pierrot', ""Oh dame, en voilà bien d'un autre !  Le Coche de Paris veut vous voir, le ferai-je entrer ?"")",,1.0,Insertion
293,"('#arlequin', 'Le Coche de Paris ?')",,1.0,Insertion
294,"('#pierrot', ""Oui le Coche de Paris ?  C'est-à-dire, non pas celui de Paris, mais qui va à Paris, et ce n'est pas le Coche qui prétend avoir l'honneur de vous parler, ce sont les gens qui sont dedans ?  Je m'entends bien, une fois."")",,1.0,Insertion
295,"('#arlequin', ""C'est fort bien fait.  Mais quelles gens sont-ce."")",,1.0,Insertion
296,"('#pierrot', 'Oh, il y en a de toutes les façons, des hommes, des femmes.')",,1.0,Insertion
297,"('#arlequin', 'Des femmes ?')",,1.0,Insertion
298,"('#pierrot', ""Oui, des femmes.  Il y en a de jeunes et de vieilles.  Il y en a de pimpantes comme des poupées du Palais, et d'autres qui ont l'air sainte Nitouche.  Il y a encore des abbés."")",,1.0,Insertion
299,"('#arlequin', 'Des Abbés ?')",,1.0,Insertion
