,quinault-isis,cahusac-l-algerien,Cost,Operation Type
119,,"('#hassan', 'Puis-je, belle Fatmé, vous parler un moment ? Pardonnez mon impolitesse. À Isabelle et à Dorise.')",1.0,Deletion
120,,"('#isabelle', 'Éloignons-nous.')",1.0,Deletion
121,,"('#dorise', 'Je cours pour chercher mon amant.')",1.0,Deletion
122,"('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")","('#hassan', ""POur la dernière fois souffrez que je vous presse De me parler sans nul déguisement, Votre bonheur surtout est ce qui m'intéresse..."")",1.08,Substitution
123,"('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")","('#clarice', ""C'est trop peu pour tous vos bienfaits De toute ma reconnaissance ; Mais enfin..."")",0.79,Substitution
124,"('#micene', ""C'est pour vous seule ici que Mercure descend."")","('#hassan', 'Mes désirs seront tous satisfaits, Si vous daignez me voir sans répugnance. Quand on a mon âge et mes traits...')",1.6,Substitution
125,,"('#clarice', ""Vous êtes trop modeste, et c'est mal vous connaître."")",1.0,Deletion
126,"('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")","('#hassan', ""C'est parce que je me connais, Que j'ai peu de mérite à l'être. J'ai toujours les mêmes projets. Nos usages, nos moeurs et nos lois que je hais, Vont m'exiler des lieux de ma naissance. Pour la société tous les hommes sont faits, Les Turcs ignorent ses attraits, Et tout m'invite à chercher dans la France Ses plaisirs délicats qu'ici mon opulence Ne me procurerait jamais ; Mais m'unir avec vous, vivre avec vous sans cesse, Est le bien qui me flatte, et que je me promets. Du vrai bonheur l'image enchanteresse Ne s'offre à moi que sous vos traits."")",1.01,Substitution
127,"('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")","('#clarice', ""Tout ce qu'il dit de lui je le sens pour un autre. Trop généreux Hassan, quelle erreur est la vôtre. Haut."")",1.45,Substitution
128,"('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")","('#hassan', ""Belle Fatmé, je cherche un solide bonheur : L'estime et l'amitié sont les plaisirs du coeur, Et je n'ai point l'âme obsédée Des transports d'une folle ardeur, Un sentiment plus sûr pour vous l'a décidée. Des douceurs de l'hymen, de ses engagements J'ai peut-être une fausse idée ; Mais je crois que ses noeuds doivent être charmants ; Lorsque sans le secours de ces feux violents, Fruits de la passion, périssables comme elle, La confiance mutuelle L'amitié, les égards, et les soins complaisants D'un tendre époux, d'une épouse fidèle, Peuvent remplir tous les moments, Le Ciel attache alors au doux noeud qui les lie Les plaisirs des amis, le repos de la vie, Et les délices des amants."")",0.48,Substitution
129,,"('#clarice', 'Quel bonheur d_Oberval ! Si le Ciel plus propice... ')",1.0,Deletion
130,"('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")","('#hassan', ""Ce n'est donc point un amoureux caprice Qu'aujourd'hui j'exige de vous : J'ose vous demander un moindre sacrifice. Des mains de l'amitié prenez-moi pour époux."")",0.46,Substitution
131,"('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")","('#clarice', ""D'un généreux penchant vous êtes la victime... Eh pourquoi m'offrez vous vos voeux ? Je ne saurais vous rendre heureux, Vous le seriez avec Fatime."")",0.79,Substitution
132,"('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")","('#hassan', ""Je connais ses appas, je l'aime, je l'estime ; Sans doute votre amie à tous les agréments Et de son sexe et de son âge , Son, esprit est aimable, et ses traits font charmants ; Mais vous me plaisez davantage."")",0.41,Substitution
133,,"('#clarice', ""Dans de trop grands dangers votre erreur vous coNduit : Hassan, votre amitié me flatte ; Mais je dois m'opposer aux desseins qu'elle suit. Si je veux n'être pas ingrate,"")",1.0,Deletion
134,"('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")","('#hassan', ""Je m'y livre avec sûreté, Et l'on peut accorder le désir qui me presse, Et votre générosité. Il semble à mes projets que le Ciel s'intéresse ? Depuis six jours il a conduit chez moi Un Français qui rendra ma retraite facile,"")",1.03,Substitution
135,,"('#clarice', 'Un Français !')",1.0,Deletion
136,,"('#hassan', ""Oui, Fatmé. Soyez tranquille : J'ai confié mes secrets à sa foi..."")",1.0,Deletion
137,,"('#clarice', 'Eh le connaissez-vous ?')",1.0,Deletion
138,"('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")","('#hassan', ""J'en fis la connaissance À mon dernier voyage en France. Son abord me prévint ; il a des sentiments, Beaucoup d'esprit, sans suffisance, Et des jeunes gens de son temps Il réunit les grâces, les talents, Sans en avoir l'impertinence. Enfin quoique tous deux d'âges fort différents, L'amitié nous unit."")",0.4,Substitution
139,,"('#clarice', ""Mais c'est donc un jeune homme ?"")",1.0,Deletion
140,,"('#hassan', ""Oui, mais prudent, quoiqu'il n'ait pas trente_ans. Son vaisseau dans le port..."")",1.0,Deletion
141,,"('#clarice', 'Et ce Français se nomme ?...')",1.0,Deletion
142,,"('#hassan', ""D'Oberval est son nom... Mais l'auriez-vous connu ?.."")",1.0,Deletion
143,,"('#clarice', ""Serait-il vrai ?... L'ai-je bien entendu ?"")",1.0,Deletion
144,,"('#hassan', 'Parlez Fatmé : vous paraissez émue.')",1.0,Deletion
145,,"('#clarice', ""Il est vrai... ce François ... je J'ai vu quelquefois, Et de lui ma famille était beaucoup connue."")",1.0,Deletion
146,"('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")","('#hassan', ""Rien de plus heureux pour tous trois. Comme moi-même il sait ce que je pense Il connaît mes projets, il les approuve tous... Sans doute en ses discours vous aurez confiance, Ils vaincront votre résistance : Je tiendrai d'un ami mon bonheur le plus doux. Bientôt vous l'allez voir paraître."")",0.1,Substitution
147,,"('#clarice', ""Quoi je pourrai le voir !... Vos bontés aujourd'hui..."")",1.0,Deletion
148,"('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")","('#hassan', ""Eh ! Pourquoi non ? Vous devez me connaître, Fatmé, voyez en moi toujours un tendre ami, Et n'y voyez jamais un maître. Ce Sérail ne vous a causé que trop d'ennui : À tous moments je prétends qu'il vous voie, Ces murs ne sont plus faits, ni pour vous, ni pour lui. Avouez qu'à le voir vous aurez quelque joie ?..."")",0.45,Substitution
149,"('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")","('#clarice', ""Mais... il connaît... ce que j'ai de plus cher ; Et l'amour... du pays...."")",1.12,Substitution
150,"('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")","('#hassan', ""Pourquoi vous en défendre. L'amour de la Patrie est un penchant si tendre... On en triomphe à peine, et même dans Alger. Eh ! Le vôtre, Fatmé, pourrait-il me surprendre ? J'ai beaucoup voyagé ; mais de tous les pays, Celui dont mes regards ont été plus ravis' Où toutes les beautés naissent, où vont se rendre, C'est la France, sans doute : elle est à tous égards, Quoiqu'en dise l'envie et malgré son murmure, Le chef_d_oeuvre de la Nature, Et l'heureux asile des arts. Que votre goût pour elle éclate âmes regards. .11 Mon coeur à ses beautés comme vous est sensible."")",0.19,Substitution
151,,"('#clarice', ""Oh ! Le goût que j'éprouve est un goût invincible."")",1.0,Deletion
152,,"('#hassan', 'Vous trouverez d_Oberval bien changé[.]')",1.0,Deletion
153,,"('#clarice', 'Comment donc !')",1.0,Deletion
154,,"('#hassan', ""Son coeur est plongé Dans une amertume terrible : par un coup imprévu la mort l'a séparé D'une Maîtresse aimable, et tendre autant que belle."")",1.0,Deletion
155,,"('#clarice', 'Ah ! Je respire. Il est fidèle.')",1.0,Deletion
156,"('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")","('#hassan', ""Par la douleur son coeur est déchiré : En voyageant il a cru s'en distraire ; Mais les maux de ce caractère Sont pour un coeur sensible aussi longs que cuisants, Son vaisseau dans le port fut poussé par les vents : À son esprit alors l'amitié me rappelle,  Il me fait avertir ; j'accours à la nouvelle.  Jugez de la douceur de nos embrassements : Il est chez moi depuis ; mais à tous les moments, Sa tristesse se renouvelle. Vous verrez ses regrets... Ses pleurs sont si touchants Oh ! Vous aurez pitié de sa douleur mortelle."")",0.41,Substitution
157,,"('#clarice', ""Elle s'adoucira, peut-être avec le temps."")",1.0,Deletion
158,"('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")","('#hassan', ""Je Vous laisse... En ces lieux je reviens le conduire : Pour vous faire jouir de son étonnement, J'aurai soin de ne pas l'instruire Que vous le connaissez. L'amitié qui m'inspire Voudrait que tout pour vous devint amusement. En revenant. Il sort."")",0.45,Substitution
159,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",,1.0,Insertion
160,"('#io', 'Je crains tout, je me crains moi-même.')","('#clarice', ""Ciel, au bonheur que tu me rends, Pourquoi mêler tant de trouble et de crainte ! J'étais maîtresse à peine de mes sens... Mais aux mouvements que je sens Je puis enfin nie livrer sans contrainte."")",0.98,Substitution
161,"('#jupiter', 'Quoi ! voulez vous me fuir')","('#isabelle', 'Il est parti. Je guettais le moment. Vous adoucissez-vous ? Êtes-vous moins cruelle ?')",1.05,Substitution
162,"('#io', ""C'est mon dernier espoir."")","('#clarice', ""Partagez mes transports... Ah ! Ma chère Isabelle !... Qui pouvait se flatter d'un tel événement !... Quelle joie !... Oui... Je suis dans un ravissement... Tout ce qu'Hassan m'a dit prouve qu'il est fidèle..."")",1.69,Substitution
163,,"('#isabelle', ""Un transport si prompt et si grand, À vous parler vrai me surprend, Sa constance pour vous n'est pas une nouvelle? Vous deviez y compter..."")",1.0,Deletion
164,"('#jupiter', 'Écoutez mon amour.')","('#clarice', 'Cet agréable instant Est le plus flatteur de ma vie... Vous me voyez transportée et ravie...')",0.95,Substitution
165,"('#io', 'Écoutez mon devoir.')","('#isabelle', ""Eh ! Mais je crois qu'il ne tenait qu'à vous D'avancer un instant si doux, Si vous en aviez bien envie. L'heureux Hassan n'eût point fait le cruel."")",1.65,Substitution
166,,"('#clarice', ""L'heureux Hassan !... Quelle est cette folie ?"")",1.0,Deletion
167,"('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')","('#isabelle', 'Je ne vous blâme point !... Il est fort naturel...')",1.68,Substitution
168,"('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')","('#clarice', ""Qu'a donc Hassan de commun, je vous prie, Avec mes tendres mouvements ?"")",1.41,Substitution
169,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",,1.0,Insertion
170,"('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")","('#isabelle', ""Oh ! Pour le coup je ne sais que vous dire, 'Sans doute vous voulez sonder mes sentiments ; Mais croyez quelque goût que sa vertu m'inspire, Que je vous vois sans peine achever son bonheur."")",0.99,Substitution
171,,"('#clarice', ""Qui vous parle d'Hassan ? D'où vous vient cette erreur ?"")",1.0,Deletion
172,,"('#isabelle', ""De qui s'agit-il donc ?"")",1.0,Deletion
173,,"('#clarice', 'De d_Oberval sans doute.')",1.0,Deletion
174,"('#jupiter', 'Quoi si tôt.')","('#isabelle', ""Est-ce qu'il est ici !"")",1.22,Substitution
175,"('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')","('#clarice', ""Je vous l'ai dit cent fois... Jugez du plaisir que je goûte ? Son coeur est toujours sous mes lois... Il me croit morte, il me pleure sans_cesse. Que j'aurai de plaisir à bannir sa tristesse !... Quelle sera sa joie ! Il va bientôt me voir. Je sens que pour la concevoir, Il faudrait avoir ma tendresse."")",0.88,Substitution
176,,"('#isabelle', ""Votre bonheur m'étonne autant qu'il m'intéresse ; Mais Hassan sait-il votre amour ? Allez-vous quitter ce séjour ? Expliqués-moi comment ?... Oh bon! Voici Dorise. Les fous sont toujours importuns."")",1.0,Deletion
177,"('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")","('#dorise', ""Le destin qui me favorise Fait pour moi des efforts qui ne font pas communs. Mais il me rend en vain un amant qui m'adore Si vous ne secondez mes voeux, Sans doute Hassan ne me retient encore Que pour vous engager à partager ses feux... Que vous a-t-il appris ? Faut-il que je l'ignore ?"")",0.44,Substitution
178,,"('#isabelle', 'Rien du tout.')",1.0,Deletion
179,,"('#dorise', ""Comment rien !... Pour mon coeur amoureux C'est un coup de poignard."")",1.0,Deletion
180,"('#io', ""Le devoir veut que je vous quitte, Et je sens que vous m'arrêtez"")","('#clarice', ""Tâchez de m'en défaire. Que lui dirai-je ?"")",0.61,Substitution
181,"('#mercure', 'Iris est ici-bas et Junon elle-même  Pourrait vous suivre dans ces lieux.')","('#isabelle', 'Rien, allez. Laissez-moi faire; Vous croyez donc toujours d_Oberval dans ces lieux ? À Dorise.')",0.99,Substitution
182,"('#jupiter', ""Pour la nymphe que j'aime Je crains ses transports furieux."")","('#dorise', ""Apparemment, j'en puis croire mes yeux."")",1.34,Substitution
183,"('#mercure', 'Sa vengeance serait funeste, Si votre amour était surpris.')","('#isabelle', ""D'une illusion agréable On a bien de la peine à défendre son coeur, Ce qu'on désire avec ardeur Paraît toujours assez croyable ; Mais on revient bientôt de son erreur, Lorsqu'on comme vous un esprit raisonnable."")",1.01,Substitution
184,,"('#dorise', ""Je vous jure... Eh ! Pourquoi voudrais-je vous tromper ? Je l'ai vu. C'est un fait."")",1.0,Deletion
185,,"('#isabelle', 'd_Oberval?')",1.0,Deletion
186,,"('#dorise', 'Oui. Lui-même.')",1.0,Deletion
187,"('#jupiter', ""Va, prends soin d'arrêter Iris, Mon amour prendra soin du reste."")","('#isabelle', ""Te conçois aisément qu'un amant que l'on aime Maître de notre esprit doit toujours l'occuper ; Vous avez une âme si tendre ...."")",1.2,Substitution
188,"('#mercure', ""Arrêtez, belle Iris, différez un moment D'accomplir en ces lieux ce que Junon désire."")","('#dorise', ""Vous me connaissez bien. C'est une passion... Une ardeur...."")",0.82,Substitution
189,"('#iris', ""Vous m'arrêtez vainement Et vous n'aurez rien à me dire."")","('#isabelle', ""Oh ! La chose est facile à comprendre. Tout doit céder sans doute à cette impression, Et dans tous les objets dont la vue est frappée Le coeur cherche, et croit voir ces traits victorieux ; La voix, l'air, les regards dont l'âme est occupée..."")",1.52,Substitution
190,"('#mercure', ""Mais, si je vous disais que je veux vous choisir Pour attacher mon coeur d'une éternelle chaîne ?"")","('#dorise', ""Quand vous verriez mon coeur vous n'y liriez pas mieux. Son image me fuit... Je crois toujours l'entendre. Je lui parle..."")",1.05,Substitution
191,,"('#isabelle', ""Et voilà d'où naît l'illusion. L'esprit le plus sensé peut se laisser surprendre, Et l'Amour sait son rôle en trompait la raison ;"")",1.0,Deletion
192,"('#iris', 'Je vous écouterais peut-être avec plaisir, Mais je vous croirais avec peine.')","('#dorise', 'Son idée en effet est assez vraisemblable, Cependant.... mon erreur serait bien pardonnable.')",0.64,Substitution
193,"('#mercure', ""Refusez vous d'unir votre coeur et le mien."")","('#clarice', ""J'entends du bruit... Ce sont les Bostangi, Que leurs travaux mènent ici. Ils paraissent déjà. Tâchez de vous contraindre."")",1.55,Substitution
194,"('#iris', ""Jupiter et Junon nous occupent sans cesse Nos soins sont assez grands sans que l'amour nous blesse, Nous n'avons pas tous deux de loisir d'aimer bien."")","('#dorise', ""Vous n'auriez qu'à vouloir, nous serions tous heureux, Et c'est vous dans le fond qui me rendez à plaindre."")",0.81,Substitution
195,"('#mercure', 'Si je fais ma première affaire De vous voir et de vous plaire.')","('#isabelle', 'Ils avancent... Soyez plus discrète à leurs yeux.')",1.08,Substitution
196,"('#iris', 'Je ferai mon premier devoir De vous plaire et de vous voir.')","('#dorise', ""Oh ! J'aime trop pour pouvoir feindre : Pourquoi d'ailleurs me cacher devant eux ? Je parle pour leur Maître, et je n'ai rien à craindre."")",0.78,Substitution
197,"('#mercure', ""Un coeur fidèle  A pour moi de charmants appas: Vous avez mille attraits, Vous n'êtes que trop belle: Mais je crains que vous n'ayez pas. Un coeur fidèle."")","('#osmin', ""Demeurez, aimable Axelie, Puisqu'un heureux hasard nous cache à tous les yeux, Daignez m'apprendre, je vous prie, Quel sera près de vous le succès de mes feux. Votre coeur à la fin d'accord avec mes voeux, Voudra-t-il consentir au bonheur de ma vie."")",0.69,Substitution
198,"('#iris', ""Pourquoi craignez-vous tant Que mon coeur se dégage Je vous permets d'être inconstant, Sitôt que je serai volage."")","('#axelie', ""Osmin, vous me parlez d'un ton bien langoureux... Je suis vive, gaie et badine ; Si l'amour est si sérieux, À vous parler vrai, j'imagine Que vous êtes loin d'être heureux."")",0.2,Substitution
199,"('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')","('#osmin', ""Je vous rends grâces de m'instruire : Si la gaîté peut gagner votre coeur, C'est mon premier talent, et vous n'avez qu'à dire. Qu'un baiser seulement commence mon bonheur, Et vous verrez si je sais rire."")",0.71,Substitution
200,,"('#axelie', ""Oh ! Non pas, s'il vous plaît, je ris sans ce secours. J'aime une gaîté naturelle, Dont la langueur jamais n'interrompe le cours, Qui s'amuse de tout, et qu'un rien renouvelle : La liberté, les biens, les plus tendres amours, Ne sauraient me plaire sans elle."")",1.0,Deletion
201,,"('#osmin', ""Et voilà justement quelle est l'aimable humeur Que donne la Nature aux lieux de ma naissance. Elle aurait dû vous faire naître en France : On pourra réparer peut-être son erreur ; J'en ai du moins quelqu'espérance. Vous connaissez pour moi d'Hassan la confiance : Si je me flattais d'être aimé, D'un projet important que son coeur a formé Je vous ferais la confidence."")",1.0,Deletion
202,"('#mercure', 'Que la feinte entre nous finisse')","('#axelie', 'Oh ! Je vous aime assez pour apprendre un secret.')",0.62,Substitution
203,"('#iris', 'Parlons sans mystère en ce jour;')","('#osmin', ""M'aimez-vous assez pour le taire ?"")",1.09,Substitution
204,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")","('#axelie', ""Je n'aurais pas un grand effort à faire : Si j'ai le coeur peu tendre, il est au moins discret."")",0.96,Substitution
205,,"('#osmin', ""Eh bien sachez qu'Hassan va rompre l'esclavage Des Françaises qui sont ici depuis six mois ; Nous les menons en France, et je fais à mon choix Les arrangements du voyage : Il ne faut que m'aimer pour venir avec nous... Ne croyez pas que j'exagère, Dans ce climat aussi riant que doux, Vous verrez tout ce qui peut plaire, Et c'est le seul digne de vous,"")",1.0,Deletion
206,"('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",,1.0,Insertion
207,"('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')","('#axelie', ""Sans doute. Qui ne croit que c'est dans sa patrie Qu'on trouve le suprême bien ? Chaque homme sur ce point a la même manie, Et de tous les pays ne vante que le lien."")",1.26,Substitution
208,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",,1.0,Insertion
209,"('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")","('#osmin', ""Oui. Mais ce que je dis du mien, L'Europe entière le publie. C'est le Ciel le plus beau...."")",1.03,Substitution
210,"('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")","('#axelie', ""Oh ! Cela n'y fait rien : Bientôt le plus beau ciel ennuie."")",1.33,Substitution
211,,"('#osmin', ""J'en conviens. Lorsque comme ici, Et dans tous les pays qu'on appelle Turquie, On paraît ignorer tout le prix de la vie, Que le printemps de l'âge est obscurci Par la honte des fers, la crainte, le souci, Que d'un maître absolu l'on sert la tyrannie, Qu'on ne vit que pour lui"")",1.0,Deletion
212,"('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')","('#axelie', ""Propos de jalousie : Les malheurs de celui qui sert Font le bonheur de celui qui commande ; L'un gagne ce que l'autre perd."")",1.05,Substitution
213,,"('#osmin', ""En Turquie on exige, en France l'on demande..."")",1.0,Deletion
214,,"('#axelie', ""La différence n'est pas grande : Le bien le plus gardé tôt ou tard est offert."")",1.0,Deletion
215,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",,1.0,Insertion
216,"('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")","('#osmin', ""Cependant votre sexe ici dans l'esclavage Porte d'indignes fers, et languit sous leur poids ; Aussi nous lui rendons un éternel hommage, Tandis qu'en France il goûte l'avantage De vivre libre, et de donner des lois : Nous ne sommes jamais heureux que par son choix. Maîtresses du bonheur, les Belles sont nos Rois."")",0.81,Substitution
217,,"('#axelie', ""Et c'est tout comme ici. Le Turc le plus farouche Soupire, et languit à nos pieds."")",1.0,Deletion
218,"('#iris', 'Elle honore son maître et brille sous ses pas.')","('#osmin', ""Mais qu'il vous plaise, ou non, il faut que vous feigniez Que son amour vous honore, et vous touche Lors même qu'il s'abaisse il vous donne la loi, Et le Tyran ne vous couronne Que pour vous enchaîner un peu plus près de soi. Une foule d'Argus toujours vous environne, Vous suit partout, vous contraint, ou vous prône : Se faire détester est son affreux emploi. C'est tout le contraire chez moi : Les Belles en tout temps sont comme sur un trône, Leur volonté décide, elle défend, ordonne, On obéit, sans demander pourquoi ; Leur pouvoir est un bien que la beauté leur donne ; Elles sortent sans suite, de rentrent sans effroi, En bravant le courroux du sot qui les soupçonne, Et toujours sur leur bonne foi..."")",0.98,Substitution
219,,"('#axelie', 'Elles ne trompent donc personne !')",1.0,Deletion
220,"('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")","('#osmin', ""Ah ! J'oubliais cet article important. Elles trompent aussi comme par tout le monde : Mais en France tout les seconde, Et ce plaisir est ici plus piquant."")",0.57,Substitution
221,,"('#axelie', 'Vous voilà bien. Pour un mot innocent... ')",1.0,Deletion
222,,"('#osmin', ""Mon Dieu, n'ayons point de querelle, Eh bien sur ce tableau fidèle ?"")",1.0,Deletion
223,,"('#axelie', ""Il pourrait me tenter s'il était ressemblant. Malgré tous vos discours je doute cependant Que la grandeur de vos sultans de France..."")",1.0,Deletion
224,"('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")","('#osmin', ""Oh ! Vraiment, quelle différence ! Je sais que vos sultans en imposant des fers, Se flattent de régner sur cent peuples divers : Leur Empire s'étend jusqu'aux lieux où nous sommes Mais quels sont les humains soumis à leur pouvoir ? Des esclaves tremblants qu'ils dédaignent de voir : Notre Roi règne sur des hommes, Souverain de leurs coeurs l'amour fait leur devoir. Dans un sérail obscur où l'orgueil les resserre, Vos Sultans amollis par d'éternels loisirs, Poids inutiles de la Terre, Abandonnent leur gloire aux bras de leurs vizirs. Le Sultan des Français fait lui-même la guerre, Et ce n'est qu'en héros qu'il se livre aux plaisirs."")",0.67,Substitution
225,,"('#axelie', ""Mais c'est donc un Prince admirable ! Les coeurs doivent voler au devant d'un tel Roi."")",1.0,Deletion
226,"('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")","('#dorise', ""Mon cher Osmin, ayez pitié de moi ; Vous pouvez me tirer d'un état déplorable : J'aime... Oh ! Devant vous je ne me gêne pas. Je vous crois, aimable Axelie, Un très bon coeur, et de plus mon amie : On doit penser fort bien quand on a tant d'appas. À Axelie."")",0.38,Substitution
227,"('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')","('#axelie', 'Le compliment...')",1.17,Substitution
228,"('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")","('#dorise', ""Je n'ai pas le loisir d'en faire. Cher Osmin, il faut me servir... On ne nous entend point ?..."")",1.24,Substitution
