,regnard-arlequin-bonnes-fortunes,regnard-coquette,Cost,Operation Type
105,"('#isabelle', 'Hé !  Qui vous a donc appris de si belles choses ? ')","('#nigaudin', ""J'avais hypothèque spéciale sur votre coeur, sans ce visage d'épetier qui est arrivé, et qui se prétend privilégié sur la chose : mais, ventrebleu !  Nous verrons. "")",1.59,Substitution
106,,"('#colombine', 'Eh !  Que craint-on, monsieur, quand on est fait comme vous ? ')",1.0,Deletion
107,"('#colombine', ""Cela ne s'apprend-il pas tout seul ?  Quand je songe que je serai mariée, je suis si aise, si aise !  Oh !  Il faut que ce soit quelque chose de fort joli que le mariage, puisque la pensée seule fait tant de plaisir. "")","('#nigaudin', ""Il est vrai qu'un juge craint fort peu de chose ; mais la plupart de ces gens de guerre sont des brutaux qui usent d'abord des voies de fait.  Nous autres, nous faisons notre affaire en douceur, et nous n'aimons pas le fracas de la brette. "")",1.09,Substitution
108,,"('#colombine', ""Vous avez assez d'autres endroits pour vous faire distinguer. "")",1.0,Deletion
109,"('#isabelle', ""Vous vous trompez fort à votre calcul, si vous vous figurez tant de plaisir dans le mariage.  Le beau régal qu'un mari qui gronde toujours !  Les soins des domestiques, l'incommodité d'une grossesse : non, quand il n'y aurait que la peur d'avoir des enfants, je renoncerais au mariage pour toute ma vie. "")","('#nigaudin', ""Ce n'est pas, ventrebleu !  Qu'on n'ait du coeur. Je voudrais que vous me vissiez aux buvettes : je fais tout trembler ; et si tous mes confrères les praticiens me ressemblaient, il ne se recevrait pas le quart des nasardes qui se donnent tous les jours. "")",0.66,Substitution
110,,"('#colombine', ""Je gagerais, à votre air, que vous opinez l'épée à la main ?  Et je vous prendrais quelquefois pour un colonel de robe. "")",1.0,Deletion
111,,"('#nigaudin', ""Vous trouvez donc mon habit joli ?  C'est un petit déshabillé de chasse que je me suis fait faire pour la cour.  N'est-il pas vrai que l'épée me sied bien ? "")",1.0,Deletion
112,,"('#colombine', 'À charmer. ')",1.0,Deletion
113,"('#colombine', ""La peur d'avoir des enfants !  Bon !  On dit que c'est pour cela qu'il faut se marier. "")","('#nigaudin', ""Je sens quelquefois des convulsions de bravoure que je ne saurais retenir. J'étais né pour la guerre : mais mon père, voyant que j'avais trop d'esprit pour ce métier-là, me mit dans notre présidial de Beauvais, et m'acheta une charge d'assesseur.  Il tousse. "")",1.91,Substitution
114,"('#isabelle', 'Bon Dieu !  Quelle petitesse de raisonnement !  Que votre esprit est à rez-de-chaussée ! ')","('#colombine', ""Ah, monsieur l'assesseur !  Si vous débrouillez aussi bien un procès que vous savez vous faire jour dans un coeur, que vous êtes un juge éclairé !"")",1.34,Substitution
115,"('#colombine', 'Mais vous, ma saur, qui êtes si raisonnable, est-ce que vous ne voulez pas vous marier ? ')",,1.0,Insertion
116,"('#isabelle', ""Oh !  Ce n'est pas de même, moi ; je suis votre aînée, et la raison qui veut que vous ne vous mariiez pas, veut que je me marie.  Vous n'êtes point propre au mariage ; ce n'est point un jeu d'enfant. "")","('#nigaudin', ""Tout franc, mademoiselle, je ne me plains pas de mes lumières, et je vous avoue que j'ai une pénétration d'esprit qui me surprend quelquefois.  Je jugeai dernièrement un gros procès à l'audience, dont je n'avais pas entendu un mot. "")",1.13,Substitution
117,,"('#colombine', 'Pas un mot !  Et comment avez-vous pu rendre la justice ? ')",1.0,Deletion
118,"('#colombine', ""Et moi, je vous dis que j'y suis aussi propre que vous.  Je supporterai fort bien toutes les fatigues du ménage ; et quoique je sois jeune, si j'étais mariée présentement, je suis sûre que je n'en mourrais pas. "")","('#nigaudin', ""Bon !  Dans tous les procès, il n'y a qu'une routine.  L'une des parties m'avait envoyé un carrosse de cent pistoles, et l'autre deux chevaux gris de six cents écus ; vous jugez bien qui avait le bon droit ? "")",1.2,Substitution
119,,"('#colombine', 'Oh !  Je sais que deux chevaux gris mènent un procès bien rondement. ')",1.0,Deletion
120,,"('#nigaudin', 'Ma foi, vous avez raison ; les chevaux entraînèrent le carrosse.')",1.0,Deletion
121,,"('#le-capitaine', 'Parbleu !  Mon ami, je crois que tu ne me connais pas. ')",1.0,Deletion
122,,"('#colombine', 'Ah, monsieur !  Vous êtes perdu si cet homme-là vous trouve ici. ')",1.0,Deletion
123,,"('#nigaudin', 'Comment donc ? ')",1.0,Deletion
124,"('#isabelle', ""En vérité, il faut que j'aie bien de la bonté de souffrir tous les travers de votre esprit.  Tout ce que je puis faire encore pour vous, c'est de vous conseiller de bannir de votre cerveau toutes vos idées matrimoniales, et de croire qu'il n'y a personne assez dépourvu de bon sens pour vouloir se charger de votre peau. "")","('#colombine', ""C'est un officier qui est jaloux à la fureur ; il a déjà tué cinq ou six hommes pour n'avoir fait que me regarder. "")",1.1,Substitution
125,"('#colombine', ""Hé !  La la, cette charge-là n'est pas si pesante et ne fait pas peur à tout le monde : il n'y a pas encore huit jours que je trouvai dans une boutique, au Palais, un monsieur de condition, qui me dit que j'étais bien à son gré, et qu'il serait bien aise de m'épouser. "")","('#nigaudin', 'Cinq ou six hommes !  Voilà qui est bien brutal.  Holà !  Hé, laquais. Il se déshabille, et met son rabat. ')",0.97,Substitution
126,"('#isabelle', 'Et que lui répondîtes-vous ? ')","('#colombine', 'Hé, que faites-vous, monsieur ?  À quoi vous amusez-vous là ? ')",0.85,Substitution
127,,"('#nigaudin', ""Je sais bien ce que je fais.  Il faudra qu'il soit bien lâche, s'il me bat sans épée.  Pour plus grande sûreté, vite, qu'on me donne ma robe. "")",1.0,Deletion
128,,"('#colombine', 'Votre robe !  Et où est-elle ? ')",1.0,Deletion
129,"('#colombine', ""Je lui dis que j'étais encore bien petite pour cela ; mais que l'année qui vient, j'espérais d'être plus grande. "")","('#nigaudin', 'Je ne vais jamais sans cela : on ne sait pas ce qui peut arriver. ')",1.02,Substitution
130,"('#isabelle', ""Vous serez plus grande et plus folle.  Vous ne voyez donc pas qu'il se moquait de vous, et que vous vous donnez un ridicule dans le monde ?  Allez, vous devriez mourir de honte."")","('#colombine', ""Ah, monsieur !  Ne vous y fiez pas ; vous auriez toutes les robes du Palais sur le corps, qu'il... "")",1.11,Substitution
131,,"('#le-capitaine', 'Par la mort !  Par la tête !  Si tu ne me laisses entrer, je mettrai le feu à la maison. ')",1.0,Deletion
132,"('#colombine', 'Ne voilà-t-il pas ?  Vous me grondez toujours.  Vous voulez bien vous marier, vous, et vous ne voulez pas que je me marie.  Est-ce que je ne suis pas fille comme vous ? ')","('#colombine', 'Que je suis malheureuse !  Le voilà qui entre. Tenez, cachez-vous vite sous cette table-là, et ne remuez pas. ')",0.88,Substitution
133,"('#isabelle', ""Une petite fille qui n'a pas quinze ans, donner à corps perdu au travers du mariage ! "")","('#nigaudin', 'Ah !  Ma maudite toux me va trahir. ')",1.82,Substitution
134,"('#colombine', ""Mon_Dieu !  Je vous dis, encore une fois, que j'ai plus d'âge qu'il ne faut ; mais puisque vous me trouvez trop jeune, faisons une chose ; vous avez quatre années plus que moi, donnez-m'en deux ; cela ne gâtera rien ni pour l'une, ni pour l'autre. "")","('#le-capitaine', ""Comment !  Mordi, mademoiselle : il est plus difficile d'entrer chez vous que de prendre trois demi-lunes l'épée à la main.  Si vous ne changez de portier, ma foi, il faudra rompre tout commerce avec vous.  Malepeste !  Une cravate de Malines qui n'est plus propre qu'à faire de la charpie !  Voilà qui est fait, je ne rends plus de visites qu'à des portes bâtardes. "")",1.14,Substitution
135,,"('#colombine', ""Monsieur, je suis bien fâchée de l'accident de votre cravate : mais... "")",1.0,Deletion
136,,"('#le-capitaine', ""Mais, mademoiselle, on est bien aise de conserver le peu qu'on a de linge.  Je suis revenu trente fois de l'assaut en meilleur équipage.  Il est vrai qu'une jolie personne comme vous est un redoutable ouvrage à cornes. Hem, plaît-il ?  Il râpe du tabac ; Nigaudin tousse. "")",1.0,Deletion
137,,"('#colombine', ""Ce n'est rien, monsieur...  Que voilà un habit bien entendu !"")",1.0,Deletion
138,,"('#le-capitaine', ""Je ne suis pas mal fait, oui ; je dois ma taille à une douzaine de bouteilles de vin que je bois réglément par jour : un grand ventre sied bien à la tête d'un bataillon. Ouais !  Qu'est-ce donc que j'entends ?  Nigaudin tousse. "")",1.0,Deletion
139,"('#isabelle', ""Allez, allez ; vous ne savez ce que vous dites. Vous me croyez bien embarrassée de trois ou quatre années que j'ai plus que vous ; mais je veux bien que vous sachiez que pour dix ans de moins je ne voudrais pas être faite comme vous, ni de corps, ni d'esprit."")","('#colombine', ""Ce n'est rien, vous dis-je.  Voilà vos inquiétudes qui vous prennent ; vous voudriez déjà être hors d'ici, et vous ne songez pas qu'il y a un siècle qu'on ne vous a vu. "")",0.23,Substitution
140,"('#pierrot', ""Qu'est-ce donc, mesdemoiselles ?  Voilà bien du bruit : il me semble que vous vous flattez comme chiens et chats.  Est-ce que vous ne sauriez vous égratigner plus doucement ? "")","('#le-capitaine', ""J'y viendrais plus souvent : mais tout le genre humain y aborde.  Voyez-vous, mademoiselle, je suis le gentilhomme de France du meilleur commerce ; mais, ventrebleu !  Je ne m'accommode point de vos neutralités. "")",0.75,Substitution
141,"('#colombine', ""Pierrot, c'est ma soeur qui se fiche : elle veut qu'il n'y ait de mari que pour elle. "")","('#colombine', ""Mon_Dieu !  Monsieur, je ménage tout le monde pour des raisons particulières ; mais je sais donner la préférence à qui le mérite.  Je me distingue en voyant des gens de cour ; les officiers me font plaisir ; je trouve des ressources avec les financiers : et pour peu qu'on aime les bagatelles, c'est le moins qu'on puisse avoir que deux ou trois petits abbés dans une maison. "")",1.23,Substitution
142,"('#pierrot', 'Ho !  La goulue ! ')",,1.0,Insertion
143,"('#isabelle', ""Viens çà, Pierrot ; toi qui es un homme d'esprit, et qui sais le monde, n'est-il pas du dernier bourgeois de marier plus d'une fille dans une maison, et ne devrais-je pas déjà l'être ? "")","('#le-capitaine', ""Pour les abbés, passe : on sait bien que cette graine-là est nécessaire aux femmes : mais j'enrage de voir à vos trousses un tas de gens de robe, qui sont pour la plupart des croquants, à qui l'esprit n'a été donné que comme le sel aux jambons pour les conserver. "")",0.84,Substitution
144,,"('#colombine', ""Bon ! L'été les femmes les souffrent faute d'officiers : mais ce sont des oiseaux de semestre qui disparaissent avec les hirondelles.  Et puis les affaires viennent sans qu'on y pense ; on a tous les jours, malgré soi, des procès ; et vous savez qu'auprès d'un juge sensible, l'enjouement d'une jolie femme est toujours la meilleure pièce d'un sac. "")",1.0,Deletion
145,"('#pierrot', ""Cela est vrai, et je dis tous les jours à votre père, que, s'il ne vous marie au plus tôt, vous lui ferez quelque stratagème. "")","('#le-capitaine', ""Vous voyez entre autres un certain... Trigaudin... Nigaudin ; un petit friquet de chicane.  Par la ventrebleu !  Si jamais je l'y rencontre ; je n'aime pas le bruit, mais assurément je lui couperai les oreilles. Nigaudin tousse, et Colombine tousse aussi, de peur que le Capitaine ne l'entende. "")",1.04,Substitution
146,"('#colombine', ""Mon pauvre Pierrot, toi qui es si joli, est-ce qu'il faut que je demeure toute ma vie fille ? "")","('#colombine', ""Hé !  Fi, monsieur, ne m'en parlez point ; je ne le saurais souffrir : c'est une éponge à sottises. Elle tousse. "")",1.4,Substitution
147,,"('#le-capitaine', ""Qu'avez-vous donc, mademoiselle ?  Vous me paraissez bien enrhumée. "")",1.0,Deletion
148,,"('#colombine', ""Ce n'est rien, monsieur ; on ne peut pas toujours se porter si bien que vous.  Mon_Dieu !  Que vous avez bon visage ! "")",1.0,Deletion
149,"('#pierrot', ""Bon !  Est-ce que cela se peut ?  Voyez-vous, mademoiselle, il faut marier les filles quand elles sont jeunes.  Ce gibier-là ne se garde pas : la mouche s'y met.  À Isabelle. "")","('#le-capitaine', ""Je le crois, ma foi, qu'il est hon ; il y a plus de trente ans que je m'en sers jour et nuit ; je ne suis pas comme ces femmes qui le mettent le soir sur leur toilette."")",1.34,Substitution
150,"('#isabelle', 'Mais aussi, est-il juste que je cède mes droits à ma cadette ? ')","('#le-sergent', 'Mon capitaine, ne voulez-vous pas arrêter les parties de ce marchand a fourni les justaucorps de la compagnie ? ')",1.54,Substitution
151,"('#pierrot', ""Il est vrai que vous n'êtes encore qu'un embryon, et j'en ai vu dans des bouteilles de bien plus grandes que vous. "")","('#colombine', ""C'est-à-dire, monsieur le capitaine, que vous ne manquez pas de moyens pour trouver de l'argent. "")",1.6,Substitution
152,"('#colombine', ""Je conviens, Pierrot, que je suis encore petite ; mais si tu savais ce que j'ai déjà "")","('#le-capitaine', ""Je veux être un infâme, si j'ai le premier sou pour faire ma compagnie : ce qui me console, c'est que je dois beaucoup.  Allons, tirez.  Allons, tirez.  Pour une demoiselle, il me semble que vous avez là un vilain mâtin sous votre table.  Il écrit, et sent quelque chose sous la table. "")",1.2,Substitution
153,,"('#colombine', 'Vous rêvez, je crois, avec vos mâtins. ')",1.0,Deletion
154,"('#isabelle', 'Petite fille, vous plaît-il de vous taire ? ')","('#le-capitaine', ""Brin-d'amour ?"")",1.45,Substitution
155,,"('#le-sergent', 'Mon capitaine. ')",1.0,Deletion
156,,"('#le-capitaine', 'Chassez-moi ce chien de dessous cette table. ')",1.0,Deletion
157,,"('#le-sergent', 'Allons, tirez ; à la paille.  Nigaudin sort.')",1.0,Deletion
158,"('#pierrot', ""Hé ! Pardi, laissez-la dire.  Hé bien donc, qu'avez-vous ?  À Colombine. "")","('#le-capitaine', ""Oh, oh !  Mon petit ami, et que faites-vous donc ici, s'il vous plaît ? "")",0.72,Substitution
159,"('#colombine', ""J'ai... mais je n'oserais le dire."")","('#nigaudin', 'La Violette, laquais, prenez ma robe. ')",1.53,Substitution
160,,"('#le-capitaine', 'Mon petit ami, si vous ne dénichez au plus vite, je vous ferai amoureusement descendre par la fenêtre. ')",1.0,Deletion
161,"('#isabelle', 'Vous avez raison, car vous allez dire une sottise. ')","('#colombine', ""Monsieur le capitaine, vous êtes un extravagant de vous emporter sans raison.  N'ai-je pas fait mon devoir de faire cacher monsieur pour vous épargner du chagrin ?  Tant pis pour vous, si vous allez chercher où vous n'avez que faire. Et vous, monsieur, de quoi vous avisez-vous de faire du bruit mal à propos ?  Il n'y a qu'un homme de robe et officier d'un présidial capable de tousser quand on le cache sous une table.  Puisque vous avez fait la sottise, démêlez la fusée comme il vous plaira.  À Nigaudin.  Elle sort. "")",1.07,Substitution
162,"('#pierrot', 'Eh !  Palsangué, laissez-la donc parler : vous lui rembourrez les paroles dans le ventre. ')","('#nigaudin', ""Adieu, monsieur ; nous ne serons pas toujours seul à seul ; et s'il vous tombe jamais quelque décret sur le corps, je vous apprendrai ce que c'est que de scandaliser un juge chez des femmes."")",1.69,Substitution
163,"('#colombine', 'Me te moqueras-tu point de moi ? ')","('#le-capitaine', 'Va, va, petit regrattier de la justice, je me moque de toi et de tes décrets ; je suis en garnison dans une bonne citadelle. ')",0.94,Substitution
164,"('#pierrot', 'Eh !  Non, non : dites. ')","('#nigaudin', ""On ne traite pas comme cela un conseiller assesseur, et je m'en plaindrai à votre citadelle.  Ils sortent l'un d'un côté et l'autre de l'autre. "")",1.65,Substitution
165,,"('#pierrot', ""Monsieur, je viens de chez votre notaire ; il vous prie bien fort de l'excuser ; il ne saurait venir aujourd'hui. "")",1.0,Deletion
166,"('#colombine', ""J'ai de la gorge, Pierrot, puisque tu le veux savoir. "")",,1.0,Insertion
167,"('#pierrot', 'Oh !  Voyons cela, voyons. ')","('#trafiquet', ""Il faut prendre patience, pourvu qu'il vienne demain. "")",1.79,Substitution
168,"('#colombine', ""Oh, nenni, nenni ; je ne la montre pas encore : j'attends qu'elle soit plus venue. "")","('#pierrot', ""Ni demain non plus : il lui est survenu une petite affaire ; je ne crois pas qu'il puisse venir si tôt. "")",0.64,Substitution
169,,"('#trafiquet', 'Et quelle est donc cette affaire ? ')",1.0,Deletion
170,,"('#pierrot', ""C'est, monsieur, qu'il est mort. "")",1.0,Deletion
171,,"('#trafiquet', ""Il est mort !  Tu as raison ; je ne crois pas qu'il revienne de longtemps. C'est bien dommage ; c'était le seul honnête homme de notaire que j'aie encore trouvé.  Hé !  Dis-moi, as-tu des nouvelles de notre homme ? "")",1.0,Deletion
172,,"('#pierrot', ""Ho !  Oui, monsieur ; pour celui-là, on m'a dit qu'il était arrivé par le poulailler du Maine, et qu'il demeurait tout rasibus de chez nous. "")",1.0,Deletion
173,,"('#trafiquet', ""Le ciel en soit loué !  Je me déferai peut-être à la fin de ma fille, et je ne verrai plus dans ma maison des animaux de toute sorte d'espèces, et particulièrement cette assemblée de femmes, ou plutôt cette académie de folles qui s'y tenait. "")",1.0,Deletion
174,"('#isabelle', ""Il n'y a plus moyen de tenir à vos impertinences : je vous laisse ; et si je faisais bien, j'avertirais mon père de mettre ordre à votre conduite. "")","('#pierrot', ""Tout franc, monsieur, je commençais à être bien las de toutes ces visageresses, et j'étais résolu de prendre mon congé ou de vous donner le vôtre.  Mais, monsieur, je voudrais bien vous lâcher un petit mot, tandis que je sommes sur la chose du mariage. "")",0.58,Substitution
175,"('#pierrot', 'Elle est bien rudanière. ')",,1.0,Insertion
176,"('#colombine', ""Oh !  Va, va, je ne m'en soucie pas.  Elle veut faire la madame, et me traiter comme une petite fille ; mais nous verrons.  Oh !  Çà, çà, Pierrot, il faut que tu me fasses un plaisir. "")","('#trafiquet', 'Parle, Pierrot ; que me veux-tu ? ')",0.41,Substitution
177,,"('#pierrot', 'Monsieur, regardez-moi bien ; tel que vous me voyez, je me vais marier. ')",1.0,Deletion
178,,"('#trafiquet', 'Toi, te marier !  Es-tu fou ? ')",1.0,Deletion
179,"('#pierrot', 'Je ne demande pas mieux.  Ne suis-je pas fait pour faire plaisir aux filles ? ')","('#pierrot', ""Ce qui me console ; monsieur, c'est que celle que j'épouse est aussi folle que moi. "")",1.31,Substitution
180,"('#colombine', 'Il faut que tu me portes cette lettre à ce monsieur que je trouvai dernièrement au Palais. ')","('#trafiquet', 'Et qui est donc cette malheureuse-là ? ')",1.57,Substitution
181,"('#pierrot', 'Une lettre ! ')",,1.0,Insertion
182,"('#colombine', ""Oui.  Est-ce qu'il y a du mal à cela ?  Puisque je sais écrire, pourquoi n'écrirais-je pas ? "")",,1.0,Insertion
183,"('#pierrot', 'Ah !  Vous avez raison. ')",,1.0,Insertion
184,"('#colombine', ""C'est un homme de grande condition, et on l'appelle monsieur le Vicomte. "")","('#pierrot', ""Oh !  Monsieur, vous la connaissez bien ; c'est... mademoiselle votre fille. "")",1.22,Substitution
185,,"('#trafiquet', 'Ma fille ?  Ma fille Colombine ? ')",1.0,Deletion
186,"('#pierrot', ""Oh !  Si c'est un vicomte, je ne dis plus rien. "")","('#pierrot', ""Vraiment, monsieur, cela est tout prêt ; on n'attend plus que votre consentement et le sien. "")",1.55,Substitution
187,"('#colombine', ""Tu lui diras que je m'ennuie bien fort de ne pas le voir, et qu'il ne manque pas de me venir trouver aujourd'hui.  M'entends-tu ? "")","('#trafiquet', ""Je ne sais, maraud, à quoi il tient que je ne t'assomme de coups. "")",0.75,Substitution
188,"('#pierrot', ""Hé !  Oui, oui, j'entends bien, je ne suis pas sourd.  La petite masque !  C'est une belle chose que la nature !  Cela songe au mariage dès la coquille.  Il y a ici plusieurs scènes italiennes. "")","('#pierrot', ""Mais, monsieur, il ne faut pas se fâcher ; cela n'est pas si inégal.  Je suis un garçon, une fois, et elle est une fille ; et puis, monsieur, je ne sais ce que c'est que de faire le blêche : vous me donnez quinze écus par an ; j'aime mieux n'en gagner que dix et être votre gendre.  Voilà comme je parle, moi. "")",1.59,Substitution
189,"('#brocantin', 'Quel ouvrage faites-vous là, vous ? ')","('#trafiquet', 'Et moi, voilà comme je réponds. ')",0.92,Substitution
190,,"('#pierrot', ""Eh !  Fi donc, monsieur ; est-ce comme ça qu'on parle de mariage ?"")",1.0,Deletion
191,,"('#pierrot', ""Tenez, voilà votre diable de bailli ; est-ce qu'il est mieux fait que moi ? "")",1.0,Deletion
192,"('#colombine', ""C'est une pente de mon lit ; mais je crains de la faire trop petite ; on n'y pourra jamais coucher deux. "")","('#arlequin', ""Je crois, monsieur, que vous avez plus d'impatience de me faire votre gendre, que je n'en ai de vous voir mon beau-père.  Vous avez une fille : ergo vous êtes pourvu d'une drogue dont vous voudriez être défait ; car une fille, c'est une fleur qui se fane, si elle n'est cueillie dans sa saison ; c'est un quartaut de vin de Champagne qui jaunit, s'il n'est bu dans sa primeur. "")",1.21,Substitution
193,"('#brocantin', ""Est-il besoin, s'il vous plaît, que vous couchiez avec quelqu'un ? "")","('#pierrot', ""Monsieur du quartaut, vous n'en aurez peut-être que la baissière. "")",1.47,Substitution
194,"('#colombine', 'Non ; mais si, par bonheur, je venais à être mariée... ')","('#trafiquet', ""J'espère, monsieur, que vous ne vous repentirez pas de l'affaire que vous faites ; car je puis vous assurer que je vous livre une fille toute neuve, et qui vous fera dans la suite un très bon usé. "")",1.31,Substitution
195,"('#brocantin', ""Si, par bonheur, ou par malheur, vous veniez à être mariée, vous vous presseriez.  Hé !  Je sais de vos fredaines : vous n'avez pas toujours une aiguille et de la tapisserie entre les mains, et vous commencez à escrimer de la plume.  Mais ce n'est pas pour cela que nous sommes ici.  Laissez là votre ouvrage, et m'écoutez.  Le mariage...  Oh, oh !  Vous riez déjà !  Tuchou !  Il ne faut que vous hocher la bride...  Le mariage, dis-je, étant un usage aussi ancien que le monde ; car on s'est marié avant vous, et on se mariera encore après...  Ils prennent des sièges.  À Colombine. "")","('#arlequin', ""Ah !  Cette marchandise-là ne dure toujours que trop.  Vous pouvez aussi vous vanter que vous serez le beau-père de France le mieux engendré.  Je n'ai aucune mauvaise qualité ; je hais le vin à la mort ; j'ai une aversion incroyable pour le jeu, et je suis fort aisé à vivre : je ne crois pas avoir assommé plus de vingt paysans ; et si, ce n'était que pour des bagatelles, quelques rentes seigneuriales.  Il tire son mouchoir, et laisse voir dans sa poche un pistolet et une bouteille ; il fait tomber des dés et des cartes. "")",0.46,Substitution
196,,"('#trafiquet', ""Voilà cet homme si doux, qui ne joue et qui ne boit pas ! Vous dites donc, monsieur, que ma fille sera doucement avec vous ; et qu'est-ce que c'est que cela, s'il vous plaît ?  Haut.  Il montre le pistolet."")",1.0,Deletion
197,"('#colombine', ""Je le sais bien, mon papa ; il y a longtemps qu'on me dit cela. "")","('#arlequin', ""Je porte toujours cela sur moi, car je n'aime pas à être contredit. "")",1.19,Substitution
198,,"('#trafiquet', ""Vous m'assurez que sa dot ne court point de risque entre vos mains, et que vous ne jouez point ? Il montre les cartes qui sont à terre."")",1.0,Deletion
199,"('#brocantin', ""J'ai résolu, pour éterniser la famille Brocantine...  Vous voyez où j'en veux venir. J'ai donc résolu de me marier. "")","('#arlequin', ""Fi, monsieur !  Il n'y a que des fripons qui s'amusent à ce métier-là.  Je porte quelquefois des cartes et des dés par complaisance ; mais je ne m'en sers qu'en compagnie, et je vous assure que si j'étais seul je ne jouerais jamais. "")",1.28,Substitution
200,,"('#pierrot', ""Je vous l'ai toujours dit, monsieur ; il n'y a que les mauvaises compagnies qui gâtent la jeunesse. "")",1.0,Deletion
201,,"('#trafiquet', ""Pour du vin, vous n'en buvez pas ? "")",1.0,Deletion
202,,"('#arlequin', 'La crapule me fait horreur.  Est-ce que les honnêtes gens boivent du vin ? ')",1.0,Deletion
203,,"('#trafiquet', ""Je vois pourtant là quelque chose qui a assez la physionomie d'une bouteille. "")",1.0,Deletion
204,"('#isabelle #colombine', 'Ah, mon père ! ')","('#pierrot', 'Bon !  Monsieur, vous avez la berlue. ')",1.4,Substitution
205,"('#brocantin', 'Ah, mes filles !  Vous voilà bien ébaubies.  Est-ce que je ne me porte pas encore assez bien ?  Regardez cet air, cette taille, cette légèreté.  Il saute, et fait un faux pas. ')","('#arlequin', ""Oui, parbleu !  Il l'a ; ce n'est que de l'eau-de-vie que je porte à une femme de qualité qui est en couche. "")",1.53,Substitution
206,"('#isabelle', 'Vous vous mariez donc, mon père ? ')","('#trafiquet', ""Allons, allons, il faut passer par là-dessus : on ne fera pas un homme exprès pour moi.  Apparemment vous n'épouserez pas ma fille sans la voir ?  Pierrot, dis à Colombine qu'elle vienne saluer monsieur. "")",1.13,Substitution
207,"('#brocantin', 'Oui, si vous le trouvez bon, ma fille. ')","('#pierrot', ""Elle n'est pas ici. "")",1.89,Substitution
208,"('#colombine', 'À une femme ? ')","('#trafiquet', ""Elle n'est pas ici ? "")",1.68,Substitution
209,"('#brocantin', ""Non ; c'est à un tuyau d'orgue.  Voyez, je vous prie, la belle demande ! "")","('#pierrot', ""Non, monsieur ; j'ai vu un chevalier avec un abbé qui sont venus pour l'emprunter jusqu'à sept heures. "")",1.14,Substitution
210,"('#isabelle', ""Vous l'épouserez ? "")","('#arlequin', ""L'emprunter !  Comment donc !  Est-ce là cette fille si neuve ?  Si on me l'emprunte comme cela quand elle sera ma femme, elle ne durera pas si longtemps que je pensais.  Mon garçon, la fille de monsieur se prête donc quelquefois de main en main quand on la demande ? "")",1.47,Substitution
211,,"('#pierrot', ""Oui, monsieur, tous les jours ; il y a tout plein d'honnête monde qui la vient prendre pour la divertir. "")",1.0,Deletion
212,,"('#arlequin', ""Oui, monsieur du beau-père !  En tout cas, si dans six mois ou un an je ne m'accommodais pas de votre fille, en perdant quelque chose dessus, vous la reprendriez. "")",1.0,Deletion
213,,"('#trafiquet', ""Il n'y a rien à perdre sur cette fille-là ; vous en trouverez toujours votre argent. "")",1.0,Deletion
214,"('#brocantin', ""Mais je crois que vous avez toutes deux l'esprit en écharpe.  Est-ce que je suis hors d'âge d'avoir lignée ?  Savez-vous bien que l'on n'a que l'âge que l'on paraît ; et monsieur Visautrou, mon apothicaire, me disait encore ce matin, en me donnant un remède, que je ne paraissais pas quarante-cinq ans. "")","('#pierrot', ""On ne parle point du loup qu'on n'en voie la queue.  Tenez, la voilà.  Ne vous avais-je pas bien dit qu'elle viendrait souper avec vous ?  Il n'y a point de fille à Paris si bien morigénée ; elle ne couche jamais en ville. "")",0.86,Substitution
215,,"('#trafiquet', 'Ma fille, voilà le bailli en question : tu ne voudras peut-être pas lui ouvrir ton coeur en ma présence ?  Monsieur, je ne vous rends pas un méchant office de vous laisser seul avec votre maîtresse.  Il sort avec Pierrot.  Pierrot fait des mines en quittant Colombine. ')",1.0,Deletion
216,"('#colombine', ""Oh !  Mon papa, c'est qu'il ne vous voyait pas au visage. "")","('#arlequin', ""Ne vous étonnez pas, mademoiselle, si vous me voyez reculer trois pas au frontispice de vos charmes : vous avez des yeux capables d'embraser tout le bailliage de mon coeur ; et depuis qu'on porte des bouches, on n'a jamais bouchonné un bouchon si bouchonnable. "")",1.4,Substitution
217,"('#brocantin', ""J'ai ce que j'ai ; mais je sais bien que j'ai besoin d'une femme.  Je crève de santé, et j'ai trouvé une fille comme je la souhaite, belle, jeune, sage, riche ; enfin, une fille de hasard... "")","('#colombine', ""Je suis confuse de vos civilités, monsieur ; et il faudrait avoir plus d'esprit que je n'en ai pour répondre à un compliment aussi bien tourné. "")",1.17,Substitution
218,,"('#arlequin', ""Il est vrai que pour des compliments, il n'y a personne dans notre province qui ose me prêter le collet.  J'ai harangué une fois notre intendant pendant deux heures, avec tant d'éloquence, qu'il s'endormit tout debout, et ne s'éveilla qu'une heure après que j'eus fini. "")",1.0,Deletion
219,,"('#colombine', ""De pareils efforts d'esprit sont bons pour la province ; mais à Paris on aime à parler terre à terre."")",1.0,Deletion
220,,"('#arlequin', ""Bon !  A-t-on de l'esprit à Paris ?  Sitôt qu'il y a un fat dans un pays, on l'y envoie ; c'est le rendez-vous de tous les sots de la France ; et, de tous les Parisiens, je ne vois que les Normands et les Manceaux qui aient un peu de brillant. "")",1.0,Deletion
221,,"('#colombine', ""À vous entendre parler, vous ne paraissez pas content des cavaliers de ce pays-ci ; et les dames, qu'en dites-vous ? "")",1.0,Deletion
